date,Youtube Privacy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete gmail,how to delete twitter,how to delete youtube,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2012-09-01,56,40,29,0,10,27,1,1,6,8,170,47,1,12,51,62,1,534,430,494,0,55,13,47,1,2,1,5,0,9,23,0,1,2,2,1,0,2,1,1,0,0,1,16,1,2,0,5,0,243,29,0,0,7,1,2,2,4,0,2,557,32,1,37,0,1,4,1,1
2012-10-01,65,37,20,0,9,35,2,2,5,9,138,45,4,11,43,52,1,484,395,475,0,49,14,43,0,2,1,9,0,10,43,0,1,2,2,1,1,2,1,2,1,0,0,31,1,2,0,3,0,222,26,2,0,4,1,3,2,3,0,4,557,33,0,39,0,1,5,1,0
2012-11-01,78,26,22,0,6,30,1,2,4,6,191,51,13,10,45,57,1,501,412,500,0,61,13,37,0,5,2,7,0,7,55,1,1,2,1,1,0,1,1,1,0,0,1,49,1,1,0,4,1,200,30,1,0,7,1,3,2,3,1,3,444,33,2,44,1,1,8,1,1
2012-12-01,72,26,26,0,7,41,2,4,7,5,207,55,18,21,49,55,0,567,477,594,0,64,15,42,1,5,2,9,0,11,22,1,1,1,2,1,1,0,1,1,1,0,1,46,1,43,0,4,0,219,32,1,0,5,0,3,2,4,0,3,294,39,5,38,0,1,6,1,1
2013-01-01,72,23,30,0,7,43,1,2,5,7,175,55,10,22,59,76,1,567,501,563,0,64,16,36,1,3,6,10,0,16,14,1,1,2,1,2,1,1,0,1,1,0,0,25,1,11,0,4,0,190,31,1,0,11,0,2,2,4,0,3,250,48,5,38,1,1,7,1,1
2013-02-01,70,23,28,0,3,48,2,2,6,8,147,60,6,23,52,71,1,559,477,569,0,54,13,37,1,5,5,7,0,11,19,1,1,1,1,1,2,1,1,1,1,1,0,28,1,4,0,4,0,198,36,0,0,7,1,3,3,5,0,3,238,47,6,36,0,1,8,1,1
2013-03-01,68,24,28,0,6,44,2,3,4,6,161,55,14,17,48,61,1,550,465,538,0,47,16,34,1,3,10,6,0,17,55,1,1,2,2,1,1,1,1,1,1,0,0,28,1,3,0,3,0,227,32,1,0,9,0,1,2,4,0,4,213,59,7,36,0,2,8,1,1
2013-04-01,67,18,23,0,4,36,3,3,8,10,163,54,19,19,56,49,1,592,430,550,0,58,16,37,1,3,16,7,1,14,26,1,1,2,1,1,1,1,1,1,0,0,0,25,1,3,0,2,0,150,31,1,0,8,1,3,2,4,0,3,200,52,11,32,0,1,7,2,1
2013-05-01,56,19,22,0,5,46,2,2,7,5,135,53,12,20,63,57,1,600,406,544,0,56,17,36,1,5,10,7,0,15,23,3,1,1,2,1,1,1,1,1,3,0,1,22,1,3,0,2,0,148,29,1,0,8,1,2,3,2,0,3,182,44,18,33,0,1,9,1,1
2013-06-01,50,19,24,0,5,56,3,3,8,11,135,58,22,31,65,63,2,642,430,575,0,50,21,45,1,5,4,7,0,14,21,2,1,2,3,1,1,1,1,2,3,0,0,22,1,2,0,3,0,140,33,1,0,8,1,2,3,3,0,2,169,45,26,30,1,4,9,1,1
2013-07-01,43,25,30,0,5,67,3,2,5,9,168,64,20,29,70,57,2,650,483,600,0,51,18,47,3,4,8,8,0,20,54,1,1,4,4,1,1,3,0,1,4,0,1,22,2,2,0,3,0,179,34,2,0,10,1,3,3,4,0,3,163,60,18,36,1,2,9,1,1
2013-08-01,48,22,33,0,5,51,4,3,7,10,173,76,21,30,74,60,1,684,483,625,0,52,17,41,2,5,14,7,0,21,29,1,1,3,2,1,2,0,0,1,4,0,1,16,2,3,0,3,0,143,72,4,0,11,1,2,4,3,0,3,157,53,15,36,0,1,6,1,1
2013-09-01,58,17,29,0,4,53,2,2,7,8,117,51,17,22,62,56,1,667,424,550,0,51,20,46,1,5,12,8,0,18,24,1,1,2,2,0,0,2,1,1,3,0,0,25,1,4,0,3,0,148,35,3,0,9,1,2,2,3,0,6,157,48,19,32,0,2,8,1,1
2013-10-01,61,21,25,2,2,48,1,2,4,7,131,45,20,23,69,58,1,650,383,494,0,45,18,46,2,6,4,7,0,11,18,0,1,2,2,0,0,1,0,1,2,1,0,91,1,4,0,3,0,206,46,3,0,5,0,2,3,3,0,3,157,45,17,29,0,1,6,0,1
2013-11-01,66,18,23,4,2,52,3,3,4,8,135,45,21,18,67,49,1,659,383,500,0,46,18,51,2,4,6,6,0,16,37,1,1,2,2,0,3,1,0,1,3,0,0,19,1,2,0,4,1,127,43,3,0,6,0,1,4,4,1,3,119,45,19,22,1,1,7,1,1
2013-12-01,57,16,27,4,4,60,3,3,7,7,168,49,28,29,82,58,1,759,448,538,0,49,20,53,2,5,10,5,0,20,55,1,1,2,4,0,1,1,0,1,5,0,0,19,1,9,0,3,0,106,38,3,0,8,1,2,3,3,0,2,125,48,25,27,0,1,6,1,1
2014-01-01,61,20,27,4,4,61,2,4,6,9,149,52,39,27,84,67,0,800,483,557,0,54,24,52,1,6,18,7,0,17,21,0,1,1,2,0,1,1,1,1,5,0,0,16,2,4,0,2,0,111,45,5,0,8,1,3,2,2,0,4,138,49,30,34,2,2,6,1,0
2014-02-01,58,12,29,3,3,56,1,2,7,9,119,41,23,24,80,76,0,750,471,507,0,51,21,47,2,5,14,8,0,15,18,1,1,3,2,0,1,0,2,1,5,0,1,22,1,3,0,2,0,100,37,5,0,7,1,3,3,4,0,4,125,44,23,32,1,2,9,1,1
2014-03-01,58,14,27,3,3,69,1,2,6,8,117,46,28,29,78,69,1,750,477,500,0,50,20,51,1,5,9,8,0,14,20,1,1,3,3,1,2,1,1,1,4,0,0,16,1,28,0,5,0,100,36,6,0,8,1,2,3,5,0,3,138,46,25,27,1,1,5,1,1
2014-04-01,58,14,22,4,3,69,2,4,7,10,147,48,26,29,76,63,1,759,442,519,0,49,21,49,1,5,12,6,1,24,42,1,1,2,2,1,2,1,2,1,5,0,1,25,2,4,0,3,0,100,40,6,0,8,1,2,3,4,0,4,144,53,25,32,1,2,4,2,1
2014-05-01,62,13,22,5,3,48,3,3,4,8,149,43,42,27,71,62,0,725,442,494,0,45,17,44,6,3,14,7,1,21,43,1,2,3,1,0,1,1,1,1,7,0,0,25,1,3,0,4,0,111,38,5,0,7,2,3,2,4,0,2,138,48,20,32,1,2,5,1,1
2014-06-01,53,15,23,3,4,46,2,3,7,7,138,41,36,31,70,66,1,742,436,507,0,51,20,43,2,5,19,9,1,17,21,1,1,3,2,1,1,1,1,1,6,0,0,22,1,4,0,4,1,100,31,5,0,10,1,3,2,4,1,3,125,55,18,31,1,2,6,1,1
2014-07-01,47,14,22,4,5,55,2,2,11,10,124,56,32,38,84,80,1,767,495,588,0,47,20,54,3,3,22,7,1,20,20,1,1,2,2,1,1,1,2,1,4,0,1,19,1,2,0,2,1,100,29,8,0,7,1,3,2,2,1,2,138,60,27,30,0,1,5,1,1
2014-08-01,48,16,21,3,2,61,2,3,8,9,142,54,26,37,84,75,1,834,512,607,0,121,21,56,2,6,18,8,1,20,18,0,1,2,1,1,2,0,1,1,5,0,1,31,0,2,0,5,0,114,35,5,0,8,1,6,4,5,0,2,144,60,21,36,0,2,4,1,1
2014-09-01,56,12,22,5,2,51,4,2,8,8,142,40,28,26,71,67,1,809,442,563,0,79,25,54,2,4,12,8,1,15,19,1,1,2,2,2,1,1,1,1,6,0,1,25,1,3,0,5,0,100,36,6,0,8,2,3,3,5,0,3,132,49,20,26,1,3,5,1,1
2014-10-01,59,13,19,4,4,54,3,3,8,10,124,39,36,25,72,67,1,767,436,532,0,55,22,52,2,4,9,6,1,15,15,1,1,1,1,2,1,1,1,1,6,0,0,22,1,3,0,4,0,93,40,7,0,7,2,3,4,4,0,3,119,50,21,28,1,2,6,2,1
2014-11-01,58,12,21,3,3,44,2,4,8,9,126,40,30,31,70,70,1,759,448,538,0,55,21,53,3,4,13,6,1,20,16,1,1,4,2,1,1,1,1,2,4,0,1,37,1,4,0,4,1,93,38,7,0,8,15,4,3,4,1,3,113,59,26,32,1,1,6,1,1
2014-12-01,56,13,24,3,3,51,3,3,7,9,138,40,39,38,74,66,0,725,483,569,0,51,20,57,2,6,19,5,1,21,20,1,1,3,1,2,1,1,1,2,5,0,1,46,0,5,0,3,1,95,31,6,0,7,6,3,3,3,1,2,119,64,27,27,1,2,4,1,2
2015-01-01,63,13,23,5,3,46,2,5,7,9,145,48,54,41,76,88,0,725,524,544,0,51,19,53,11,5,18,6,2,18,16,2,1,3,3,1,2,1,1,2,4,0,0,297,1,4,0,5,0,114,37,7,0,6,3,4,3,5,0,4,119,68,50,33,1,2,5,1,2
2015-02-01,61,14,25,4,1,37,2,3,6,8,131,36,35,35,70,70,1,684,459,507,0,54,21,46,8,4,13,5,1,20,17,2,1,2,2,1,2,1,2,1,3,0,0,28,1,4,0,3,1,85,34,9,0,3,4,2,2,4,1,4,113,54,19,31,0,2,5,1,1
2015-03-01,65,15,25,6,1,37,2,4,7,9,142,40,40,38,70,64,1,709,483,507,0,45,21,46,2,5,9,7,1,15,16,2,1,2,2,1,1,1,2,1,5,0,0,22,1,4,0,4,0,85,39,6,0,3,3,3,3,4,0,3,100,54,11,29,1,2,5,1,2
2015-04-01,63,14,22,4,1,36,3,3,7,10,154,38,35,44,66,63,1,700,483,494,0,41,19,44,4,6,13,6,1,17,25,2,1,3,2,0,1,1,2,1,5,0,0,22,1,4,0,4,2,90,39,5,0,4,5,2,3,4,2,4,107,51,14,28,0,1,4,0,1
2015-05-01,61,14,24,6,2,37,2,3,5,10,121,37,28,36,74,70,1,692,477,494,0,40,17,43,3,6,18,6,2,17,51,2,2,2,2,1,2,1,1,1,4,0,2,19,1,3,0,3,2,85,31,7,0,4,6,2,3,4,2,4,100,60,13,24,1,2,5,1,2
2015-06-01,55,11,23,4,2,37,2,3,6,10,119,44,35,38,75,100,1,725,524,513,0,40,20,46,3,5,24,8,1,19,35,2,1,3,1,1,1,1,1,2,6,0,1,19,1,2,0,4,6,79,42,5,0,3,10,2,4,4,6,4,100,65,13,28,1,2,6,1,1
2015-07-01,57,15,23,9,2,40,3,4,8,11,166,40,43,54,75,81,1,759,589,550,0,45,21,57,7,7,12,7,2,22,20,2,1,2,1,1,1,1,1,1,7,0,0,16,0,2,0,4,2,85,36,5,0,3,7,2,3,4,2,3,119,65,14,26,2,2,5,1,1
2015-08-01,65,14,24,4,1,48,3,5,9,10,170,38,45,52,82,64,1,800,565,557,0,47,25,54,2,5,10,4,2,15,22,2,1,2,2,2,2,1,1,1,6,0,0,16,1,3,0,4,1,90,38,7,0,3,3,2,3,4,1,3,113,65,15,27,1,2,5,1,1
2015-09-01,66,15,22,5,1,41,2,3,8,11,131,32,34,43,73,65,0,767,501,482,0,44,21,53,6,7,13,7,3,20,55,2,1,3,2,1,2,1,1,1,5,0,0,304,1,4,0,6,2,140,38,5,0,2,6,3,3,5,2,5,100,57,13,25,1,2,5,1,2
2015-10-01,61,10,18,5,2,34,3,3,6,9,114,30,28,40,70,76,1,700,459,450,0,44,22,48,3,6,13,6,3,18,47,2,1,3,2,1,1,1,1,1,3,0,1,40,1,3,0,7,2,82,37,6,0,2,4,1,3,7,2,4,100,55,11,22,1,2,5,1,1
2015-11-01,61,12,22,5,1,41,3,5,6,10,107,27,30,42,66,79,1,667,453,444,0,41,18,49,3,5,8,5,1,18,19,2,2,2,3,2,2,1,1,1,3,0,1,19,1,5,0,5,1,77,37,6,0,3,3,2,3,4,1,4,88,58,9,22,1,2,5,1,3
2015-12-01,61,15,22,4,1,39,3,4,5,13,121,36,35,46,73,69,1,725,483,513,0,49,22,48,6,4,10,6,2,20,17,2,1,2,3,2,1,1,1,1,4,0,1,19,1,3,0,5,1,69,35,5,0,3,4,2,3,4,1,3,100,67,13,26,1,1,6,1,3
2016-01-01,59,14,25,5,1,40,3,4,5,9,145,38,40,56,83,71,1,767,506,507,0,43,21,46,4,7,11,6,1,22,31,2,1,3,3,1,1,1,2,1,4,0,0,19,1,3,0,5,2,77,35,7,0,3,4,2,3,4,2,3,107,73,11,28,1,2,5,1,2
2016-02-01,64,12,24,5,1,41,3,3,7,11,145,34,36,46,72,54,1,725,442,444,0,43,18,44,4,6,15,6,2,21,48,2,1,4,2,1,2,1,2,2,3,0,1,16,0,5,0,5,1,69,37,5,0,2,5,2,3,4,1,4,100,67,13,23,1,1,6,1,1
2016-03-01,73,12,23,6,1,39,2,4,6,11,117,34,41,51,70,65,1,709,453,438,0,37,18,42,8,6,11,5,2,19,43,3,1,2,3,1,2,1,1,1,4,1,1,22,1,5,0,4,1,66,38,7,0,2,4,2,3,3,1,5,94,70,13,25,1,1,7,1,2
2016-04-01,66,9,22,8,1,40,2,3,4,11,112,31,42,46,71,69,1,709,442,432,0,39,17,40,10,7,8,5,3,20,20,3,2,3,3,0,1,1,5,1,4,0,9,22,2,3,0,5,1,69,37,8,0,1,6,2,2,4,1,5,94,68,14,27,1,2,7,1,26
2016-05-01,66,13,22,8,1,29,4,3,5,11,124,33,53,46,66,61,1,709,436,438,0,37,17,39,8,8,7,4,3,15,16,3,1,3,3,1,1,1,1,1,2,1,2,19,1,4,0,3,1,69,36,7,0,1,5,2,2,3,1,3,100,71,15,22,1,1,6,2,7
2016-06-01,61,14,21,6,1,31,3,3,4,10,177,41,50,58,70,65,1,759,530,450,0,49,19,44,12,8,10,8,3,26,36,2,3,3,2,1,1,1,2,0,2,0,2,131,1,6,0,4,2,90,36,8,0,1,5,2,2,4,2,3,107,84,14,32,1,1,6,1,5
2016-07-01,49,15,20,7,2,33,3,4,6,12,170,44,52,63,88,71,0,817,559,475,4,43,19,45,7,9,18,8,4,26,53,3,1,3,1,1,1,1,1,0,3,0,1,131,1,5,13,4,1,82,40,9,435,1,4,3,3,4,1,4,107,89,16,33,2,1,6,2,5
2016-08-01,61,13,22,6,3,39,3,4,6,12,135,37,46,53,86,69,0,809,518,488,1,44,21,46,7,7,9,5,3,26,26,3,1,3,2,2,1,1,2,1,2,0,1,28,0,4,4,3,1,64,38,8,200,2,5,3,2,3,1,3,107,84,16,28,1,1,5,1,4
2016-09-01,63,11,22,6,1,31,3,3,5,12,140,28,42,42,78,66,0,792,471,463,1,44,22,43,7,9,10,4,2,20,18,3,1,2,3,2,1,1,4,1,3,0,0,25,1,6,1,6,1,77,40,9,61,1,4,1,3,6,1,5,107,78,12,25,2,1,6,1,4
2016-10-01,65,14,23,8,2,26,4,3,6,11,133,29,47,52,77,57,1,767,436,444,0,41,18,43,7,6,10,4,2,21,19,2,1,4,3,1,1,1,1,2,1,0,1,161,1,5,1,3,2,77,37,9,22,2,4,2,3,4,2,4,107,75,14,21,1,1,6,1,3
2016-11-01,60,12,20,6,2,30,3,4,6,11,159,26,44,58,79,61,0,775,448,444,0,44,22,44,9,8,14,6,3,26,67,3,2,4,2,2,1,1,2,1,2,1,1,22,1,5,0,3,2,66,34,8,18,1,7,1,3,4,2,5,107,86,14,26,1,3,5,2,4
2016-12-01,57,12,22,8,1,33,2,3,5,10,138,34,46,61,84,63,1,817,453,494,0,44,18,44,5,7,16,4,3,24,28,3,2,3,3,2,1,1,2,1,1,1,1,19,1,4,1,4,4,61,33,9,18,1,10,1,4,4,4,4,100,75,16,25,1,2,5,2,3
2017-01-01,64,12,27,8,1,36,4,4,6,12,142,32,47,59,86,72,0,826,524,500,1,54,20,43,5,9,15,7,2,19,25,3,1,3,3,2,1,1,1,1,2,0,1,31,1,6,0,6,3,72,39,9,14,1,7,3,3,5,3,4,113,93,17,31,1,1,4,1,4
