date,how to delete a twitter account,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,government monitoring social media,how to delete gmail,how to delete twitter,how to delete youtube,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2012-04-01,51,16,21,0,1,26,2,1,9,7,161,55,0,7,44,1,434,377,500,0,64,13,33,0,2,1,8,0,3,37,0,1,4,2,1,1,1,1,1,0,0,39,1,1,0,4,0,153,34,1,0,6,0,78,6,4,4,0,3,607,12,0,35,0,2,8,1,1
2012-05-01,45,22,23,0,2,30,1,3,8,4,147,51,1,7,48,0,434,365,480,0,60,13,34,0,2,1,8,0,5,41,0,1,2,2,1,1,2,1,4,0,0,30,1,1,0,5,0,148,31,1,0,5,0,59,3,3,5,0,3,614,16,0,37,0,2,9,1,1
2012-06-01,63,19,21,0,1,32,1,2,6,6,169,59,1,11,52,1,492,400,527,0,59,15,36,0,2,1,10,0,8,43,0,1,1,1,0,2,1,1,1,1,0,39,1,1,0,4,0,150,27,1,0,6,0,52,2,2,4,0,2,667,19,0,42,1,0,9,1,0
2012-07-01,60,17,25,0,1,33,1,3,8,8,225,63,1,14,54,2,534,489,567,0,63,13,47,0,3,1,6,0,11,41,0,1,2,2,0,1,2,0,2,0,0,30,1,0,0,2,0,142,27,0,0,6,0,76,6,2,2,0,4,620,32,1,49,0,1,7,1,1
2012-08-01,74,32,26,0,2,34,1,2,6,5,222,61,2,16,66,0,567,471,560,0,63,16,44,1,3,2,5,0,9,31,0,1,2,1,1,1,1,1,1,1,0,17,1,1,0,3,1,183,26,0,0,4,1,63,2,2,3,1,5,594,33,1,40,1,1,6,1,0
2012-09-01,74,44,29,0,9,29,1,3,6,9,181,53,3,13,55,1,542,418,527,0,56,13,51,0,3,3,6,0,11,25,0,1,2,1,1,0,1,0,1,0,0,17,1,2,0,4,0,262,33,1,0,5,1,61,1,3,4,0,4,567,29,1,35,0,1,6,1,1
2012-10-01,59,44,23,0,10,36,1,2,7,7,149,44,5,12,45,1,476,412,527,0,54,13,46,0,3,1,7,0,9,42,0,1,2,2,1,1,1,1,1,1,0,30,1,1,0,3,0,253,28,2,0,5,1,74,4,3,3,0,4,587,36,1,41,0,1,7,1,1
2012-11-01,59,30,24,0,6,33,1,4,5,5,188,57,13,11,46,1,492,430,534,0,56,15,41,0,5,3,7,0,9,60,0,1,3,1,1,1,1,0,1,1,0,52,1,2,0,5,1,206,28,1,0,7,1,78,3,3,5,1,3,447,34,2,50,0,1,8,2,1
2012-12-01,62,27,30,0,7,34,3,4,7,7,203,52,15,21,51,1,567,506,614,0,59,16,44,1,7,2,11,0,12,21,1,1,3,2,1,1,1,1,1,1,0,42,1,45,0,3,0,215,34,1,0,6,0,73,3,2,3,0,2,300,49,7,39,0,1,7,1,1
2013-01-01,75,23,31,0,6,47,1,2,6,8,169,67,13,24,58,1,567,518,594,0,65,17,36,1,3,9,9,0,14,20,1,1,2,1,2,1,1,1,1,0,0,26,1,14,0,5,0,200,29,1,0,9,0,74,3,3,5,0,4,247,50,4,47,0,1,9,1,1
2013-02-01,73,25,32,0,4,53,2,3,7,8,161,58,6,25,64,1,567,483,587,0,60,14,44,0,6,6,6,0,16,18,0,1,3,1,1,1,2,1,1,1,0,33,1,4,0,5,0,212,39,1,0,6,0,74,5,4,5,0,3,240,52,6,40,0,1,8,2,2
2013-03-01,62,27,28,0,6,47,2,3,7,8,174,56,10,20,50,2,575,465,574,0,52,14,40,1,2,11,7,0,17,56,1,1,3,1,1,1,1,1,1,1,0,26,1,3,0,4,0,239,34,1,0,8,0,80,2,2,4,0,4,220,54,9,37,0,1,7,1,1
2013-04-01,54,17,28,0,4,44,2,2,8,9,181,59,15,25,64,1,600,436,580,0,59,15,40,1,3,17,8,0,18,20,1,1,3,1,1,1,1,1,1,0,0,23,1,4,0,6,1,150,32,2,0,8,0,63,3,2,6,1,2,200,49,12,36,0,2,6,1,1
2013-05-01,62,21,25,0,6,46,3,4,6,6,137,55,14,25,67,0,600,406,580,0,56,17,41,1,5,12,8,0,16,24,2,1,2,1,1,2,1,1,1,2,1,23,1,3,0,4,0,159,30,1,0,9,0,60,2,3,4,0,4,194,46,16,36,1,1,10,1,1
2013-06-01,67,23,25,0,5,63,3,4,7,10,142,59,22,33,71,3,650,453,614,0,56,19,49,2,5,6,7,0,15,22,3,2,1,5,1,1,1,1,1,3,1,20,1,2,0,3,0,150,38,1,0,11,1,53,1,3,3,0,3,180,47,23,33,1,3,10,1,1
2013-07-01,65,26,33,0,6,72,3,3,6,8,174,69,24,29,76,1,667,524,640,0,59,20,47,3,7,10,9,0,21,58,1,1,2,2,0,1,1,1,1,5,1,20,1,2,0,4,0,192,32,2,0,11,1,50,3,3,4,0,3,167,64,18,38,1,2,11,1,1
2013-08-01,59,22,34,0,6,57,3,5,6,10,174,81,19,33,80,0,684,512,667,0,58,22,47,2,6,15,5,0,18,33,1,1,4,2,1,1,1,1,1,4,1,17,2,4,0,3,1,150,78,3,0,11,0,46,2,5,3,1,2,167,60,17,35,1,2,6,1,1
2013-09-01,57,23,28,0,4,56,2,2,7,9,127,57,21,25,68,0,675,448,574,0,54,22,46,2,5,11,8,1,18,23,1,1,3,2,1,1,1,1,1,3,0,26,1,4,0,2,1,153,36,4,0,8,1,55,3,1,2,1,4,160,53,16,33,1,3,7,1,1
2013-10-01,60,23,28,2,2,50,2,3,5,9,140,48,20,22,76,2,667,400,520,0,51,19,49,2,6,6,8,0,10,19,0,1,2,2,0,1,0,1,1,5,1,94,1,5,0,3,0,212,49,4,0,5,1,65,3,4,3,0,4,147,40,16,37,1,1,7,2,1
2013-11-01,53,17,27,3,4,53,3,4,5,8,144,47,22,19,70,1,650,406,540,0,51,19,55,2,4,8,5,0,17,41,1,2,3,3,0,2,1,1,1,5,1,20,1,2,0,4,1,130,41,3,0,6,1,61,2,3,4,1,4,140,48,18,26,1,1,7,1,1
2013-12-01,58,18,31,4,4,61,3,3,5,9,176,56,29,29,83,1,759,453,574,0,50,20,58,2,5,12,6,0,21,55,1,2,2,2,1,1,1,1,1,4,1,23,2,8,0,4,1,124,36,4,0,7,1,63,3,4,4,1,3,134,48,27,27,1,1,6,1,1
2014-01-01,77,22,29,3,4,64,2,3,7,10,154,57,42,31,97,0,817,501,594,0,56,25,57,2,4,21,7,0,18,24,1,1,3,3,0,1,1,1,1,4,0,20,1,7,0,4,0,115,44,6,0,10,0,65,2,4,4,0,4,147,54,32,34,1,1,6,1,1
2014-02-01,72,13,27,3,4,55,2,4,6,10,118,52,24,27,95,1,767,471,527,0,50,18,51,2,5,13,8,1,16,19,1,1,3,3,1,2,1,2,1,5,1,23,1,2,0,4,1,103,38,5,0,9,0,59,2,2,4,1,5,134,46,21,35,2,2,7,2,1
2014-03-01,72,15,26,4,3,72,2,2,8,8,125,51,29,30,81,1,750,489,540,0,50,21,49,2,6,10,7,0,13,19,1,1,2,3,1,2,1,1,1,4,0,23,2,37,0,5,0,106,42,6,0,9,1,63,2,2,5,0,3,140,49,26,31,1,2,4,1,1
2014-04-01,62,13,27,5,2,73,2,5,6,8,144,47,29,27,80,1,767,465,554,0,49,21,52,1,6,14,8,0,21,48,1,1,3,1,1,2,1,1,2,5,0,23,1,2,0,4,0,109,40,7,0,9,1,67,2,3,4,0,3,140,63,25,33,1,3,5,1,1
2014-05-01,64,14,22,6,3,55,3,2,5,8,154,43,44,31,72,1,725,448,527,0,46,20,47,9,4,16,7,1,19,46,1,1,3,1,0,2,1,2,2,5,0,23,2,2,0,4,0,115,34,6,0,9,1,65,3,3,4,0,4,134,51,22,32,1,1,6,1,1
2014-06-01,69,14,21,3,4,49,1,2,8,6,137,44,34,32,72,1,750,459,540,0,52,19,45,2,6,24,9,1,17,24,1,1,3,2,1,1,2,1,1,4,0,23,1,3,0,3,2,100,36,6,0,11,1,56,4,2,3,2,2,134,50,21,36,1,2,6,1,1
2014-07-01,86,15,23,4,4,56,2,2,11,10,142,58,38,39,95,2,775,512,627,0,47,18,54,1,4,25,7,1,21,18,1,1,3,3,1,2,1,2,1,4,0,20,1,3,0,2,1,106,33,8,0,8,1,49,3,1,2,1,2,147,61,26,33,1,2,7,1,2
2014-08-01,75,18,22,4,3,61,2,3,9,9,147,59,30,33,90,1,826,512,647,0,130,23,59,2,6,19,8,1,22,21,1,1,1,2,3,2,1,1,1,6,1,30,1,4,0,4,1,118,34,5,0,9,3,52,5,2,4,1,3,147,61,23,40,1,2,4,1,2
2014-09-01,67,16,22,4,2,52,4,3,7,11,140,41,29,26,80,1,809,459,594,0,78,26,59,2,4,11,6,0,16,20,1,1,3,1,1,2,2,1,2,8,1,26,1,4,0,5,1,100,39,6,0,7,2,58,4,3,5,1,2,127,52,21,29,1,3,6,1,2
2014-10-01,72,17,20,4,5,52,3,3,8,12,127,42,38,27,76,1,759,448,554,0,60,25,53,2,4,8,7,1,18,16,1,0,2,2,2,1,1,1,1,7,0,23,1,3,0,4,1,95,41,6,0,6,2,65,3,3,4,1,3,120,54,21,31,1,1,6,2,2
2014-11-01,68,12,20,3,4,48,2,3,8,7,132,38,35,28,79,1,767,465,567,0,56,23,52,4,4,14,6,1,17,16,1,1,3,2,1,1,1,1,1,6,0,33,1,4,0,5,1,98,39,7,0,8,17,64,3,3,5,1,2,107,59,22,30,1,1,5,0,1
2014-12-01,78,10,24,3,3,53,4,4,8,10,142,38,44,43,79,1,700,495,620,0,51,22,56,2,7,19,5,1,22,17,1,2,2,1,2,2,1,0,1,5,1,52,1,5,0,3,1,109,35,5,0,7,6,61,3,3,3,1,3,120,65,32,27,1,2,4,1,1
2015-01-01,90,18,27,3,2,47,2,5,8,10,149,44,57,51,76,0,725,524,600,0,52,21,51,11,6,21,7,1,20,16,2,1,2,3,1,1,1,1,2,4,0,323,1,5,0,4,1,118,38,8,0,7,3,66,4,3,4,1,4,120,67,56,34,1,1,4,1,1
2015-02-01,78,14,25,4,2,36,1,3,5,8,147,38,35,36,73,0,675,489,540,0,54,21,52,6,5,11,4,1,18,17,2,1,3,2,2,2,1,1,1,5,0,30,1,5,0,4,1,89,37,9,0,4,5,65,3,2,4,1,5,114,57,18,32,1,2,5,1,1
2015-03-01,71,15,26,5,2,39,3,3,7,9,142,40,44,41,73,1,692,495,527,0,47,20,45,2,6,10,6,2,18,16,2,0,2,2,1,2,1,2,1,6,1,23,1,4,0,4,2,92,42,4,0,3,4,66,3,3,4,2,3,107,51,11,30,1,2,6,2,2
2015-04-01,67,12,23,6,2,39,3,2,6,12,169,38,35,42,66,1,700,506,554,0,45,19,48,3,7,15,6,1,21,27,2,1,2,3,1,1,0,2,1,6,0,23,1,3,0,4,1,92,37,5,0,3,6,67,2,3,4,1,3,100,54,15,30,1,2,5,3,1
2015-05-01,79,15,25,6,1,40,2,3,4,11,132,45,28,38,77,1,692,501,534,0,47,17,47,3,7,20,6,2,21,53,3,1,3,2,1,2,1,0,0,5,1,20,0,3,0,3,1,89,32,6,0,5,6,70,3,3,3,1,4,100,56,15,28,1,1,5,1,2
2015-06-01,100,14,21,5,2,40,3,3,5,8,122,45,34,44,80,1,734,542,560,0,45,25,48,1,5,21,6,3,19,36,3,1,2,1,1,1,1,1,1,4,1,17,1,2,0,4,5,89,43,6,0,4,10,65,2,4,4,5,3,114,71,12,31,1,2,6,2,2
2015-07-01,80,14,22,10,1,41,4,5,9,9,159,39,46,60,81,1,750,589,587,0,49,26,64,6,6,14,8,2,21,23,2,1,2,2,1,2,1,1,1,5,0,17,1,2,0,4,3,95,38,6,0,4,8,58,3,2,4,3,4,127,67,16,31,2,1,5,0,2
2015-08-01,67,14,25,5,1,42,4,7,8,9,171,43,48,57,89,0,800,577,594,0,52,24,60,3,7,11,5,2,16,24,1,1,2,2,2,2,1,1,1,6,0,20,1,2,0,3,1,89,34,6,0,3,4,65,3,3,3,1,3,114,62,17,30,1,2,5,1,1
2015-09-01,71,12,22,4,1,40,2,3,8,12,147,34,38,45,80,0,767,495,500,0,45,23,54,6,8,13,8,3,23,58,2,2,2,3,1,1,1,1,1,4,1,313,1,4,0,4,1,142,43,5,0,3,5,67,4,4,4,1,6,100,60,14,28,1,2,4,1,2
2015-10-01,77,10,19,4,2,35,3,3,8,10,113,32,32,46,80,1,709,453,494,0,47,21,50,3,6,13,6,3,18,45,3,1,3,2,1,2,1,1,1,2,1,46,1,3,0,5,1,92,38,5,0,2,4,72,2,3,5,1,5,100,54,11,21,1,1,5,1,2
2015-11-01,75,14,23,5,1,45,4,3,6,12,110,31,32,43,72,0,692,477,480,0,46,20,51,3,5,12,7,1,22,18,2,1,3,2,1,1,1,1,1,4,0,20,2,5,0,4,2,77,37,6,0,2,3,67,2,3,4,2,4,100,67,12,26,2,2,5,1,2
2015-12-01,74,14,24,4,1,42,4,3,4,13,125,40,38,51,85,2,734,501,554,0,51,19,50,4,5,12,7,1,21,17,2,1,3,3,2,1,1,1,1,5,1,20,1,3,0,5,1,74,39,5,0,3,1,65,2,2,5,1,4,107,69,12,26,2,2,5,1,3
2016-01-01,74,11,28,5,2,44,3,3,6,10,157,41,43,54,94,1,775,536,540,0,43,24,49,4,9,11,7,1,26,29,2,1,3,2,1,1,1,1,1,5,0,20,1,3,0,4,1,74,38,7,0,3,5,60,1,3,4,1,4,114,80,13,32,1,2,5,1,1
2016-02-01,55,13,21,5,2,42,2,3,6,13,144,33,37,49,79,1,734,459,480,0,47,24,44,4,6,16,5,3,23,50,2,2,3,3,1,2,1,1,2,3,0,17,1,6,0,4,1,71,40,3,0,2,3,65,2,3,4,1,4,107,72,13,27,1,2,6,1,1
2016-03-01,68,13,22,7,1,42,3,4,5,12,120,32,44,56,71,1,717,471,460,0,37,17,44,7,8,12,5,2,20,40,3,1,3,3,1,2,0,1,0,4,1,23,1,6,0,4,1,71,40,7,0,3,3,75,2,4,4,1,4,100,71,14,23,1,2,7,2,2
2016-04-01,72,11,25,8,1,38,3,4,4,13,130,31,45,49,74,1,709,448,454,0,42,18,41,11,9,9,5,2,21,18,3,1,3,3,0,1,1,7,1,4,10,23,0,4,0,4,1,74,36,9,0,1,5,71,2,3,4,1,4,100,75,15,26,1,2,8,1,26
2016-05-01,69,13,24,7,1,31,3,5,5,11,127,35,52,48,69,1,717,465,460,0,39,19,42,8,7,8,4,2,20,18,3,1,3,2,3,0,0,2,1,2,1,20,0,5,0,2,2,68,39,8,0,2,5,69,2,4,2,2,4,100,72,15,24,1,1,7,2,8
2016-06-01,71,15,22,7,1,31,3,4,6,12,169,37,53,63,75,0,759,536,474,0,49,20,45,12,8,12,8,4,23,36,3,2,2,3,1,1,1,3,1,2,3,133,1,7,0,5,2,92,36,7,0,1,7,65,2,2,5,2,3,100,84,17,34,1,1,6,1,6
2016-07-01,78,15,22,9,2,35,2,4,7,11,176,44,53,68,96,0,826,565,514,4,42,18,49,9,9,18,7,6,31,51,4,2,3,3,1,1,1,1,1,2,1,136,1,4,14,5,1,80,43,9,477,1,3,59,3,3,5,1,5,114,97,17,34,1,1,6,1,5
2016-08-01,71,16,24,7,3,37,3,3,5,11,140,37,46,58,93,0,809,524,514,2,46,23,44,7,7,11,5,3,28,30,4,2,3,3,2,1,1,2,1,2,1,23,1,5,5,4,1,71,40,9,215,2,4,60,4,3,4,1,4,107,93,17,28,1,1,7,1,4
2016-09-01,68,11,20,7,1,31,4,3,6,10,142,28,40,45,89,1,792,483,487,1,45,22,44,6,7,10,5,2,17,21,3,1,3,3,2,1,1,5,1,2,1,26,1,6,1,6,1,80,41,10,62,1,4,67,1,3,6,1,5,114,82,13,25,2,2,8,1,3
2016-10-01,65,12,23,7,2,29,3,2,6,11,137,33,40,51,85,1,767,459,460,0,42,21,45,8,8,11,6,2,21,22,2,1,3,3,2,2,1,3,2,2,1,165,0,6,1,4,3,83,41,9,29,2,6,67,2,3,4,3,5,100,79,16,24,1,1,7,1,4
2016-11-01,62,11,22,6,1,31,3,5,6,11,171,29,42,60,78,1,767,471,467,0,46,21,45,9,8,12,5,3,26,72,3,2,3,3,2,2,1,2,2,2,1,20,0,6,0,5,2,68,37,9,20,1,7,64,1,3,5,2,4,107,82,17,27,1,2,7,1,3
2016-12-01,67,12,23,7,1,34,3,5,6,11,152,38,53,69,97,1,834,471,514,0,46,19,49,5,8,17,4,4,23,29,3,1,3,3,1,1,1,2,1,2,2,20,1,5,1,4,2,68,35,11,20,1,11,58,2,3,4,2,5,107,86,16,25,1,2,5,3,4
2017-01-01,83,12,26,9,2,40,3,5,7,13,161,35,49,63,98,1,834,559,527,0,56,17,47,5,9,14,7,2,22,25,3,1,3,4,2,2,2,2,1,2,1,30,1,6,0,5,2,74,42,10,15,2,7,66,3,3,5,2,6,120,89,18,32,2,2,4,1,2
