date,twitter privacy policy,how to change facebook privacy settings,youtube private channel,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,government monitoring social media,how to delete pokemongo,how to uninstall youtube,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,skype privacy policy,gmail privacy issues,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,gmail privacy policy,instagram privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,google hangouts encryption,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2013-02-01,70,342,430,54,29,29,96,13,0,591,72,68,0,180,9,20,23,9,26,9,17,14,9,0,20,20,0,0,107,10,52,54,0,40,100,0,119,18,13
2013-03-01,57,353,430,91,26,46,65,19,0,537,50,150,0,240,13,36,26,13,8,8,21,9,0,0,8,18,0,12,134,0,28,47,0,60,116,0,119,13,13
2013-04-01,55,277,350,62,39,47,118,12,0,591,50,247,8,228,16,24,24,8,8,8,21,0,0,0,8,18,0,16,117,12,38,54,0,45,162,0,109,24,9
2013-05-01,31,283,335,73,23,33,100,13,0,582,82,147,0,204,10,20,31,8,15,11,8,42,0,8,15,13,0,8,117,7,45,54,0,45,277,0,140,12,13
2013-06-01,44,289,360,75,52,42,120,31,0,719,82,65,0,200,21,31,55,8,16,20,31,50,0,0,8,8,0,12,117,7,49,27,0,29,408,8,134,8,9
2013-07-01,56,371,450,73,46,33,80,23,0,746,56,122,0,280,19,54,51,15,21,0,15,75,0,8,38,31,0,26,155,7,47,34,0,38,277,8,136,15,17
2013-08-01,43,324,500,73,56,51,105,8,0,655,70,218,0,316,8,43,26,11,31,8,8,69,0,8,8,33,8,62,160,12,65,47,8,38,231,0,90,8,13
2013-09-01,48,271,435,63,28,35,105,23,0,728,71,190,0,244,15,35,25,7,8,11,15,56,0,8,26,15,8,46,135,17,30,67,8,96,293,7,119,15,13
2013-10-01,48,318,385,36,21,29,57,19,0,728,86,65,0,164,19,31,29,7,7,7,12,51,21,8,10,19,0,53,69,0,47,67,0,47,262,7,86,7,13
2013-11-01,61,271,345,38,41,46,55,19,0,801,56,97,0,248,18,34,29,7,39,7,17,49,7,8,17,12,11,53,97,7,63,34,11,45,300,15,103,15,9
2013-12-01,44,253,415,67,44,44,100,18,0,837,74,154,7,304,17,24,49,0,17,7,15,85,0,8,11,19,7,52,125,14,54,134,7,34,385,7,88,17,13
2014-01-01,34,295,415,68,27,54,88,7,0,837,86,275,7,276,14,23,34,0,23,14,14,77,7,0,20,27,7,79,124,17,34,54,7,56,470,24,86,10,9
2014-02-01,54,206,440,46,22,32,112,7,0,746,76,211,7,212,11,45,35,7,17,25,12,67,7,12,7,15,7,82,110,12,45,40,7,60,362,12,136,22,13
2014-03-01,71,218,405,49,22,38,92,10,0,801,84,136,7,208,13,40,44,15,29,18,18,64,0,8,13,20,7,98,124,17,45,427,7,52,393,13,75,10,13
2014-04-01,58,242,340,52,37,55,113,14,0,782,83,186,9,296,18,25,21,9,23,24,21,67,7,15,10,23,7,98,122,19,49,60,7,58,385,10,63,25,13
2014-05-01,58,212,340,47,51,39,55,7,0,710,48,211,16,296,25,49,16,7,14,21,12,84,7,8,21,14,7,82,109,31,30,40,7,38,316,10,78,14,13
2014-06-01,54,224,345,68,23,49,113,8,0,682,78,293,13,236,15,39,31,15,21,21,13,77,0,0,18,8,8,83,150,21,28,60,8,38,277,10,98,13,13
2014-07-01,25,236,330,70,35,37,162,15,0,855,50,336,15,300,20,37,35,11,10,37,15,60,7,15,10,15,8,118,102,10,36,40,8,36,408,8,84,17,25
2014-08-01,70,248,315,38,25,43,120,10,0,891,98,268,10,272,10,30,18,20,30,17,10,75,7,24,8,8,7,73,127,12,62,34,7,32,316,7,59,18,17
2014-09-01,70,183,335,34,65,36,118,14,0,855,66,179,11,236,10,31,27,29,22,14,14,99,0,12,12,14,0,99,120,33,45,47,0,40,308,11,75,22,21
2014-10-01,55,212,290,60,44,41,115,16,0,828,64,136,17,244,14,18,23,25,16,21,21,102,0,8,23,14,10,110,105,24,58,47,10,45,324,11,96,32,17
2014-11-01,66,200,315,50,30,68,115,18,0,837,59,193,12,260,19,56,26,21,21,16,28,73,7,22,14,14,18,109,117,233,41,67,18,49,393,16,96,9,17
2014-12-01,39,206,355,39,53,46,104,7,0,910,90,297,14,324,14,41,21,23,21,21,28,81,7,15,9,7,17,99,110,94,43,74,17,32,424,17,67,16,25
2015-01-01,72,224,345,52,30,74,110,6,0,846,72,275,24,268,13,39,41,15,24,16,24,59,0,8,15,9,19,116,84,42,47,60,19,58,770,13,73,11,21
2015-02-01,56,206,375,20,32,42,91,14,0,737,60,200,12,272,21,28,30,16,26,23,16,49,0,0,21,14,14,133,47,68,38,60,14,65,293,7,84,14,13
2015-03-01,57,212,385,21,32,59,112,19,0,728,79,143,22,240,15,25,30,19,19,32,17,68,6,6,13,17,13,88,42,54,49,60,13,54,177,19,84,21,30
2015-04-01,56,206,340,23,52,48,109,19,0,691,98,193,17,280,11,48,26,6,13,33,13,85,7,0,15,13,22,80,60,77,39,60,22,56,216,7,61,6,13
2015-05-01,55,200,360,26,32,49,81,15,0,691,88,275,32,268,25,34,32,11,35,13,8,70,0,27,13,13,23,108,60,98,43,47,23,60,200,9,75,13,25
2015-06-01,62,171,345,28,37,49,86,13,0,728,78,358,17,284,19,41,24,15,22,19,24,75,6,11,15,13,77,72,40,156,54,34,77,54,193,17,86,17,17
2015-07-01,58,218,345,25,47,68,123,13,0,910,104,175,30,312,16,36,17,22,19,19,22,79,6,6,21,6,34,83,54,110,43,27,34,38,216,26,78,16,21
2015-08-01,55,212,360,21,48,76,133,13,0,855,83,150,25,224,17,36,27,25,23,13,13,78,0,6,13,13,19,108,40,47,49,40,19,52,231,15,80,13,34
2015-09-01,73,224,330,15,37,39,118,6,0,837,102,204,41,292,21,50,43,12,25,17,8,75,6,6,23,17,23,82,30,91,47,67,23,83,200,15,71,19,30
2015-10-01,100,153,280,36,51,43,92,14,0,764,91,197,41,280,12,51,31,18,18,15,12,38,0,11,12,16,24,86,30,63,41,47,24,65,162,8,75,20,25
2015-11-01,66,195,330,15,50,74,94,8,0,773,71,125,16,268,24,32,38,26,28,20,14,57,0,9,12,18,22,92,42,52,41,80,22,56,147,14,75,16,34
2015-12-01,55,200,340,23,53,63,80,14,0,755,55,150,24,304,22,37,43,27,16,16,12,66,6,9,12,14,9,85,39,59,39,54,9,45,200,14,90,22,34
2016-01-01,66,218,380,13,45,56,80,12,0,737,108,172,19,344,15,39,47,19,20,25,18,76,0,6,17,20,29,102,45,70,45,54,29,49,170,19,73,19,21
2016-02-01,62,206,360,18,39,40,105,15,0,701,96,222,27,320,17,58,42,17,31,27,23,58,6,9,12,6,12,83,29,73,47,80,12,60,193,17,92,13,21
2016-03-01,52,183,340,18,38,59,91,11,0,664,91,161,36,292,18,38,50,20,29,18,18,52,11,9,11,13,7,106,27,54,49,80,7,69,208,18,103,21,38
2016-04-01,62,148,335,23,34,50,59,9,0,628,114,115,39,328,24,49,52,7,9,80,13,44,6,145,17,28,24,122,17,87,30,54,24,69,216,15,109,17,417
2016-05-01,45,183,330,20,54,49,75,14,0,610,119,111,52,236,20,50,32,22,11,16,13,33,11,24,19,11,22,105,20,75,38,54,22,54,224,16,90,25,109
2016-06-01,66,218,315,15,45,43,63,8,0,701,120,158,43,372,39,49,41,17,9,32,6,38,6,32,8,9,26,130,19,77,32,94,26,47,216,13,88,9,84
2016-07-01,62,212,295,30,41,58,86,8,64,719,134,268,64,380,23,51,28,13,19,17,6,55,6,19,15,14,19,142,12,63,39,80,19,63,254,24,94,34,71
2016-08-01,53,195,340,42,40,57,86,0,26,719,104,133,51,400,15,42,31,29,17,24,17,41,5,9,11,7,15,129,27,77,34,60,15,52,247,18,84,22,55
2016-09-01,90,183,335,17,48,40,81,5,11,682,134,147,35,296,20,26,42,24,20,62,16,39,0,6,14,16,16,142,20,63,50,94,16,83,185,37,100,16,59
2016-10-01,63,206,355,38,54,43,97,16,5,673,99,158,29,296,16,54,38,16,17,23,26,23,5,9,21,14,29,143,32,68,45,74,29,60,224,12,90,23,46
2016-11-01,59,206,305,26,38,54,86,7,5,701,116,208,42,384,28,58,31,31,18,28,21,30,10,16,14,16,30,128,22,105,43,80,30,78,216,17,80,28,55
2016-12-01,64,183,335,20,38,52,80,13,5,710,106,240,45,356,24,54,41,24,21,31,9,27,8,21,18,9,55,139,10,159,56,67,55,54,247,16,75,33,46
2017-01-01,82,183,415,21,54,59,96,5,10,682,132,233,33,300,23,52,44,25,10,20,8,29,7,14,8,10,43,143,20,110,49,94,43,60,254,10,61,15,59
