date,how to change instagram privacy settings,how to change facebook privacy settings,private twitter account,most private browser,best anonymous browser,how to delete a youtube account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on instagram,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,whatsapp security settings,delete hangout history,google hangouts privacy,how to encrypt whatsapp messages,skype privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,uber privacy policy,Gmail privacy,How to make tweets private,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,how to unfollow on Instagram,remove snapchat friends,google hangouts encryption,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-11-01,0,217,431,8,11,500,20,560,370,15,0,650,163,382,11,8,50,9,0,15,11,0,0,0,0,17,7,10,0,0,293,23,834,15,30,25,10,0,0,65,11,8
2011-12-01,0,226,285,15,17,493,14,480,400,15,0,838,179,369,10,13,104,15,0,17,15,0,0,0,0,15,7,10,0,0,308,35,734,10,30,37,19,0,0,53,12,8
2012-01-01,7,171,216,32,36,462,20,590,430,14,0,713,130,407,7,15,114,6,0,34,17,0,0,7,0,9,32,0,0,0,447,32,956,14,82,30,37,0,0,81,7,0
2012-02-01,0,213,193,21,32,416,27,410,380,16,0,763,103,319,19,10,127,6,0,14,14,7,0,0,0,14,14,5,0,0,677,61,1112,28,164,49,37,0,0,92,7,0
2012-03-01,0,205,193,31,29,370,20,440,420,7,0,700,111,394,30,13,71,29,0,13,20,7,0,7,0,27,18,10,0,0,547,43,934,23,114,40,37,6,7,62,7,0
2012-04-01,10,184,285,17,16,539,74,480,460,7,0,650,125,319,28,15,98,40,0,33,19,7,0,0,0,9,12,15,0,0,293,37,778,61,30,14,137,0,7,82,14,0
2012-05-01,13,188,316,15,22,508,80,450,440,6,0,575,95,344,28,10,70,49,7,22,17,6,0,0,0,19,10,10,0,0,316,61,534,24,27,43,155,0,0,77,0,6
2012-06-01,10,213,262,27,13,608,94,490,540,7,0,575,152,388,45,8,79,75,9,18,17,7,0,7,7,9,20,29,0,0,262,65,545,25,12,29,246,0,7,79,9,8
2012-07-01,7,159,331,20,24,685,120,530,570,13,0,650,128,469,33,13,45,66,13,22,30,0,0,0,0,11,9,15,0,0,247,69,712,40,19,31,337,0,0,70,11,6
2012-08-01,23,292,331,15,18,662,154,670,730,7,0,600,146,432,37,20,66,86,7,22,9,7,7,7,0,16,13,20,0,0,247,57,623,31,27,35,282,6,0,79,13,6
2012-09-01,100,417,285,11,13,470,120,550,610,7,0,600,119,482,24,13,59,78,10,20,13,10,0,0,0,15,20,15,0,0,339,61,612,24,32,37,355,11,0,57,10,11
2012-10-01,85,417,339,16,16,439,114,480,570,8,0,538,165,419,24,10,65,109,6,18,15,12,0,9,0,6,12,15,0,0,239,68,734,38,20,26,291,0,0,46,14,8
2012-11-01,72,271,293,9,30,562,107,520,520,6,0,625,155,457,34,18,74,86,9,20,14,0,0,6,0,6,12,10,0,6,262,60,756,36,40,38,291,16,0,86,15,11
2012-12-01,62,292,377,28,24,547,187,620,590,0,0,588,157,463,66,15,94,109,12,22,24,6,6,6,6,0,12,477,0,0,339,74,778,26,25,42,455,69,0,57,6,6
2013-01-01,65,251,470,16,24,608,260,610,710,14,0,713,171,375,34,59,80,169,14,31,13,5,5,5,0,13,19,134,0,0,293,91,745,31,12,36,501,48,0,84,9,6
2013-02-01,42,255,547,18,28,585,267,600,790,9,0,538,125,457,50,54,66,152,6,30,20,12,6,6,6,14,15,53,0,0,354,69,789,38,35,50,446,64,0,100,18,14
2013-03-01,50,209,462,14,30,508,200,570,510,11,0,500,157,375,28,113,83,140,14,14,16,5,11,5,0,18,14,43,0,0,316,77,745,25,20,44,482,90,0,65,5,11
2013-04-01,18,180,424,18,38,570,260,590,530,7,0,550,163,419,41,166,59,183,14,22,11,5,5,8,0,11,13,39,0,5,316,82,656,22,30,38,501,137,0,70,9,6
2013-05-01,51,192,424,27,35,547,247,720,590,12,0,563,176,388,58,93,78,132,9,18,19,5,18,21,0,11,9,29,0,0,293,94,578,30,17,21,437,174,8,103,5,11
2013-06-01,38,221,577,22,22,577,314,730,660,20,0,538,200,488,47,66,68,152,13,22,40,9,33,24,0,5,5,20,0,0,377,87,567,20,25,43,464,269,8,102,19,6
2013-07-01,57,226,685,25,27,670,280,760,640,13,0,563,206,500,66,88,80,195,11,23,29,8,48,12,0,29,21,20,0,0,362,132,500,32,35,30,619,174,5,100,8,8
2013-08-01,58,192,539,39,30,770,307,800,600,11,0,600,211,488,67,154,63,232,9,35,16,8,32,12,6,9,16,39,0,0,770,99,523,23,45,18,555,169,5,53,5,11
2013-09-01,42,188,570,21,30,570,220,710,550,0,0,550,230,500,57,144,68,180,7,24,23,10,49,5,6,18,12,29,0,5,385,95,556,12,12,30,491,164,5,67,7,11
2013-10-01,25,226,508,16,28,408,234,760,600,13,0,425,171,488,61,47,64,129,10,29,13,5,29,11,5,7,13,48,0,0,462,54,645,26,38,23,382,169,7,77,7,6
2013-11-01,27,171,554,25,39,431,180,790,530,18,0,513,200,557,60,74,65,140,8,18,18,7,40,17,6,12,13,24,0,5,439,57,667,23,37,35,419,195,10,77,10,8
2013-12-01,38,180,577,38,30,516,287,870,550,10,0,513,217,544,65,118,68,200,25,13,15,8,52,15,5,5,12,96,0,5,377,69,589,20,33,30,519,216,12,74,10,8
2014-01-01,41,209,624,20,39,577,307,940,750,9,0,550,257,600,53,159,78,180,8,22,28,6,42,11,5,14,13,67,0,5,439,90,600,20,33,35,491,337,12,55,7,14
2014-02-01,31,146,547,22,37,485,234,860,800,15,0,538,200,569,66,169,106,169,5,22,32,10,51,17,6,7,13,29,0,5,416,83,589,26,22,41,446,232,5,75,17,11
2014-03-01,35,150,708,24,20,462,287,860,640,5,0,513,238,519,77,91,82,155,11,23,32,6,44,9,0,8,11,281,0,0,393,87,612,31,27,49,473,232,5,47,14,16
2014-04-01,33,180,770,25,35,500,307,860,680,5,0,488,192,513,63,127,69,223,19,27,16,7,43,24,5,5,13,34,0,5,393,74,623,13,28,41,582,258,0,43,13,11
2014-05-01,37,146,547,27,40,431,287,840,650,10,0,450,206,482,39,154,63,209,21,27,16,16,43,13,10,14,14,34,0,7,347,91,600,29,27,37,546,243,10,60,12,11
2014-06-01,50,155,516,23,27,439,300,760,760,16,0,500,171,457,55,203,84,163,11,27,21,13,44,11,6,16,5,39,0,11,331,93,556,45,23,43,510,211,8,67,11,11
2014-07-01,40,155,570,24,24,600,394,930,790,5,0,525,222,600,43,218,71,198,21,28,19,16,47,10,6,5,7,24,0,10,324,77,523,50,25,35,628,300,5,68,12,14
2014-08-01,36,180,624,26,36,562,347,920,710,5,0,1250,192,600,52,200,79,198,14,17,24,9,45,26,13,8,5,24,0,13,354,78,567,62,35,33,573,232,0,53,12,16
2014-09-01,35,126,531,43,35,408,254,800,670,8,0,838,233,575,38,110,59,195,15,30,28,7,61,25,10,8,7,43,0,20,354,86,623,42,20,55,501,216,10,55,12,16
2014-10-01,44,163,524,25,19,400,247,790,740,28,0,600,225,607,41,98,59,178,9,16,20,17,61,14,9,9,9,29,0,9,408,75,667,36,32,33,546,195,13,48,14,14
2014-11-01,32,134,500,19,40,385,340,790,690,10,0,613,211,544,48,154,82,158,8,44,21,13,66,10,5,6,7,53,0,17,408,82,667,24,22,49,555,274,8,46,8,14
2014-12-01,38,142,493,36,30,431,414,770,710,9,0,513,211,613,60,205,60,212,17,28,16,12,51,19,10,7,6,58,0,10,316,74,645,27,27,38,655,300,12,43,14,11
2015-01-01,31,146,554,22,52,500,467,820,840,11,0,513,225,575,48,193,52,200,9,24,21,6,45,12,5,10,6,53,0,13,362,47,678,33,25,40,619,527,10,47,9,11
2015-02-01,18,134,385,24,27,370,354,780,700,12,0,513,219,544,63,132,42,186,8,19,26,5,48,21,5,12,7,48,0,6,354,35,623,26,32,55,510,195,13,54,13,8
2015-03-01,23,150,385,22,38,377,380,730,640,7,0,438,219,494,48,113,69,180,12,13,18,23,47,13,7,9,9,43,0,4,424,25,667,23,25,41,510,100,13,57,18,19
2015-04-01,21,150,408,29,35,400,447,720,650,6,0,450,206,525,77,142,63,186,12,27,24,12,71,11,9,7,7,34,0,11,370,33,678,23,25,42,528,116,8,58,12,8
2015-05-01,12,126,385,20,29,400,407,720,790,12,0,413,209,469,58,166,78,178,31,23,19,6,38,13,9,7,6,34,0,13,300,50,656,32,30,34,546,137,9,57,12,22
2015-06-01,18,150,393,31,34,408,440,800,1000,4,0,450,228,488,49,244,76,203,15,24,12,15,48,15,5,13,7,15,0,48,377,35,612,21,30,42,610,143,16,41,13,14
2015-07-01,16,150,416,38,46,408,594,870,770,7,0,488,255,594,53,122,75,198,7,31,15,16,57,6,5,15,6,24,0,26,377,35,612,29,33,47,664,143,15,55,11,19
2015-08-01,13,146,477,30,43,408,547,880,660,0,0,500,271,625,67,81,50,149,13,27,22,13,61,12,5,11,4,15,0,15,354,24,745,30,28,41,619,148,19,37,9,22
2015-09-01,17,150,462,23,31,308,454,790,670,4,0,500,222,532,71,149,75,220,23,26,27,19,61,13,5,17,9,34,0,13,385,19,656,34,35,37,573,137,6,47,16,27
2015-10-01,19,130,362,32,38,308,407,790,750,9,0,463,203,538,59,149,55,178,6,30,19,12,31,18,8,8,11,48,0,15,377,19,734,27,22,46,519,122,8,54,9,16
2015-11-01,15,146,470,43,50,293,387,750,760,6,0,425,179,494,39,96,78,198,19,17,18,11,40,17,6,10,15,43,0,15,339,27,700,25,32,50,573,100,12,64,17,27
2015-12-01,18,113,454,29,31,377,447,750,750,8,0,438,219,500,55,91,57,223,11,25,25,13,50,10,5,6,7,39,0,15,339,20,634,23,22,44,682,137,14,48,10,24
2016-01-01,17,146,454,29,45,393,554,890,750,5,0,450,238,488,92,108,79,215,11,33,20,15,58,14,5,9,12,34,0,16,393,29,667,15,32,33,737,127,13,64,15,16
2016-02-01,13,121,447,22,30,339,507,750,580,4,0,463,219,475,79,171,57,215,19,36,30,13,34,7,5,16,11,62,0,13,408,16,678,20,35,52,673,122,12,72,9,8
2016-03-01,17,109,431,41,34,354,587,780,660,6,0,400,184,482,85,122,49,200,12,34,32,16,31,16,9,6,5,43,0,6,408,33,756,15,32,40,682,137,12,82,11,19
2016-04-01,18,126,408,27,43,331,440,750,680,6,0,400,171,438,85,88,55,212,12,30,31,70,35,8,112,17,6,48,0,14,385,16,734,14,19,43,791,158,15,67,9,264
2016-05-01,9,121,354,36,33,324,507,760,670,5,0,400,168,400,79,74,42,203,19,35,26,19,26,7,15,7,4,39,0,15,370,18,634,26,28,37,646,137,16,67,15,66
2016-06-01,14,146,339,24,36,400,614,790,680,10,0,500,203,482,69,118,63,266,19,31,26,18,29,12,19,8,4,77,0,14,300,14,634,15,28,42,810,153,5,75,19,53
2016-07-01,21,138,362,34,40,416,667,1000,710,4,62,488,214,475,97,181,73,286,21,26,25,18,26,10,20,4,10,62,141,9,447,10,556,27,33,53,873,174,14,67,13,53
2016-08-01,23,142,370,28,43,354,560,990,670,8,14,475,225,488,69,118,55,255,11,28,29,20,15,17,10,9,8,43,43,15,400,20,600,28,28,42,855,164,6,62,14,48
2016-09-01,9,121,316,26,34,285,440,840,660,10,6,438,222,450,78,88,47,220,16,19,34,46,13,11,8,8,15,53,12,15,431,16,645,20,33,54,737,122,19,85,5,40
2016-10-01,16,134,262,35,21,339,534,900,640,7,4,425,200,475,69,93,59,209,11,36,17,20,20,15,7,11,8,62,13,18,362,19,700,14,35,31,755,148,5,71,13,35
2016-11-01,18,150,331,28,31,277,587,780,620,7,4,425,206,500,88,152,50,235,18,34,35,24,29,10,14,12,7,58,0,25,385,12,623,14,35,47,728,158,14,67,11,37
2016-12-01,11,121,362,17,41,393,654,1000,620,6,0,463,209,475,73,176,42,209,12,30,28,16,26,13,17,8,10,53,6,25,331,11,623,12,33,36,819,169,8,55,22,40
2017-01-01,22,117,385,43,37,377,620,920,780,14,3,538,195,482,77,144,79,209,11,29,36,19,22,7,10,7,5,67,8,20,393,18,645,34,46,49,910,179,7,46,12,37
