date,how to delete twitter,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete youtube,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to encrypt emails,encrypted phone calls,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,skype encryption,how to encrypt whatsapp
2012-08-01,81,5,4,0,0,6,0,0,1,1,37,10,0,2,10,12,636,96,90,2,30,0,10,3,7,0,1,0,1,0,1,5,0,0,0,0,0,0,0,3,0,0,1,0,31,4,0,0,1,0,10,0,0,1,0,1,99,6,0,7,1,0
2012-09-01,69,7,5,0,2,5,0,0,1,1,30,9,0,2,8,12,629,92,85,2,30,0,10,2,8,0,0,0,1,0,2,4,0,0,0,0,0,0,0,3,0,0,1,0,43,6,0,0,1,0,10,0,1,1,0,1,95,5,0,6,1,0
2012-10-01,70,7,4,0,2,6,0,0,1,1,25,7,1,2,7,9,550,81,85,4,32,0,9,2,8,0,0,0,1,0,1,7,0,0,0,0,0,0,0,5,0,0,0,0,42,4,0,0,1,0,12,1,0,0,0,1,98,6,0,7,1,0
2012-11-01,75,5,4,0,1,5,0,0,1,1,31,9,2,2,8,10,515,84,86,10,35,0,10,2,7,0,1,0,1,0,1,10,0,1,0,0,0,0,0,9,0,0,1,0,35,4,0,0,1,0,13,1,0,1,0,0,75,6,0,8,1,0
2012-12-01,86,4,5,0,1,6,1,0,1,1,33,9,3,3,9,11,558,96,98,16,62,0,10,3,7,0,1,0,2,0,2,3,0,1,0,0,0,0,0,7,7,0,0,0,36,5,0,0,1,0,12,1,0,0,0,0,52,7,1,6,1,0
2013-01-01,90,4,5,0,1,8,0,0,1,1,28,11,2,4,10,13,543,96,95,12,73,0,11,3,6,0,0,1,1,0,2,3,0,0,0,0,0,0,0,4,2,0,1,0,34,5,0,0,1,0,12,1,0,1,0,0,43,8,1,8,2,0
2013-02-01,81,4,5,0,1,9,0,0,1,1,27,10,1,4,10,12,500,96,94,10,75,0,10,2,7,0,1,1,1,0,3,3,0,1,0,0,0,0,0,5,1,0,1,0,36,7,0,0,1,0,12,1,1,1,0,1,42,8,1,7,1,0
2013-03-01,80,4,5,0,1,8,0,0,1,1,29,9,2,3,9,10,472,98,92,14,47,0,8,2,7,0,0,2,1,0,3,9,0,1,0,0,0,0,0,4,1,0,1,0,40,6,0,0,1,0,13,0,0,1,0,1,36,8,1,6,1,0
2013-04-01,73,3,5,0,1,7,0,0,1,1,30,10,3,4,10,9,450,102,93,22,47,0,10,3,7,0,1,3,1,0,3,3,0,1,0,0,0,0,0,4,1,0,1,0,25,5,0,0,1,0,10,0,0,1,0,0,35,8,2,6,1,0
2013-05-01,68,3,4,0,1,8,0,1,1,1,23,9,2,4,11,10,429,102,93,27,54,0,9,3,7,0,1,2,1,0,3,4,0,0,0,0,0,0,0,4,0,0,1,0,27,5,0,0,1,0,10,0,0,1,0,1,33,8,3,6,2,0
2013-06-01,77,4,4,0,1,10,1,1,1,2,23,10,3,5,11,12,436,110,98,37,79,0,9,3,8,0,1,1,1,0,3,4,0,0,1,0,0,1,0,3,0,0,1,0,25,6,0,0,2,0,9,0,1,1,0,0,32,8,4,5,2,0
2013-07-01,91,4,5,0,1,12,0,1,1,1,29,11,4,5,12,11,436,113,103,35,54,0,10,3,8,1,1,2,1,0,3,10,0,0,0,0,0,1,0,3,0,0,1,0,32,5,0,0,2,0,8,0,1,1,0,0,28,10,3,6,1,0
2013-08-01,88,4,6,0,1,9,1,1,1,2,29,13,3,5,13,10,436,116,107,33,54,0,9,4,8,0,1,2,1,0,3,5,0,0,0,0,0,1,0,3,1,0,0,0,24,13,1,0,2,0,8,0,1,0,0,0,28,10,3,6,1,0
2013-09-01,74,4,5,0,1,9,0,1,1,1,21,9,3,4,11,10,408,115,92,29,49,0,8,4,8,0,1,2,1,0,3,4,0,0,0,0,0,0,0,4,1,0,0,0,26,6,1,0,1,0,9,0,0,0,0,0,28,8,3,5,1,0
2013-10-01,69,3,5,0,0,8,0,1,1,1,23,8,3,4,12,10,393,113,83,62,52,0,8,3,8,0,1,1,1,0,2,3,0,0,0,0,0,1,0,16,1,0,1,0,35,8,1,0,1,0,11,0,1,1,0,1,25,6,3,6,1,0
2013-11-01,69,3,4,0,1,9,0,1,1,1,24,8,4,3,12,9,379,110,87,54,45,0,9,3,9,0,1,1,1,0,3,7,0,0,0,0,0,1,0,3,0,0,1,0,21,7,1,0,1,0,10,0,1,1,0,1,24,8,3,4,1,0
2013-12-01,77,3,5,1,1,10,0,1,1,1,29,9,4,5,14,10,400,129,92,68,47,0,8,3,10,0,1,2,1,0,3,9,0,0,0,0,0,1,0,4,1,0,1,0,20,6,1,0,1,0,10,0,1,1,0,1,23,8,4,4,1,0
2014-01-01,85,3,5,1,1,11,0,1,1,2,26,9,7,5,15,13,415,139,95,95,62,0,10,4,9,0,1,3,1,0,3,4,0,0,0,0,0,1,0,3,1,0,1,0,18,7,1,0,2,0,11,0,1,1,0,1,24,9,5,6,1,0
2014-02-01,81,2,4,1,1,9,0,1,1,2,20,9,4,4,15,12,379,130,85,66,75,0,8,3,8,0,1,2,1,0,3,3,0,1,0,0,0,1,0,4,0,0,1,0,17,6,1,0,1,0,10,0,0,1,0,1,23,8,4,6,1,0
2014-03-01,83,2,4,1,1,12,0,0,1,1,20,8,5,5,14,11,372,127,87,72,60,0,9,3,8,0,1,2,1,0,2,3,0,0,1,0,0,1,0,4,5,0,1,0,18,7,1,0,1,0,10,0,0,1,0,1,24,8,4,5,1,0
2014-04-01,79,3,4,1,0,12,0,1,1,1,24,8,5,4,13,10,372,130,89,75,56,0,9,3,9,0,1,2,1,0,3,8,0,0,0,0,0,1,0,4,0,0,1,0,18,6,1,0,2,0,11,0,1,1,0,1,23,10,4,5,1,0
2014-05-01,75,2,4,1,1,9,1,0,1,1,26,7,7,5,12,11,365,123,85,193,56,0,7,3,8,2,1,2,1,0,3,8,0,1,0,0,0,1,0,4,0,0,1,0,19,6,1,0,1,0,11,0,0,1,0,1,24,8,4,5,1,0
2014-06-01,77,2,3,0,1,8,0,0,1,1,23,7,6,5,13,12,393,127,87,100,86,0,8,3,7,0,1,4,1,0,3,4,0,0,0,0,0,1,0,4,1,0,0,0,16,6,1,0,2,0,9,1,0,0,0,0,24,9,4,6,1,0
2014-07-01,86,3,4,1,1,9,0,0,2,2,23,9,6,6,15,14,408,131,100,87,92,0,8,3,9,0,1,4,1,0,3,3,0,0,0,0,0,1,0,3,0,0,0,0,18,6,1,0,1,0,8,1,0,0,0,0,25,11,4,5,1,0
2014-08-01,86,3,4,1,1,10,0,0,1,2,24,10,5,6,14,13,436,140,104,81,69,0,21,4,10,0,1,3,1,0,4,4,0,0,0,0,0,1,0,5,1,0,1,0,19,6,1,0,2,0,8,1,0,1,0,1,26,10,4,7,1,0
2014-09-01,77,3,4,1,0,9,1,1,1,2,23,7,5,4,13,11,386,137,95,87,54,0,13,4,10,0,1,2,1,0,3,3,0,1,0,0,0,1,0,4,1,0,1,0,16,6,1,0,1,0,9,1,0,1,0,0,22,9,3,5,1,0
2014-10-01,74,3,3,1,1,9,1,0,1,2,21,7,6,5,12,12,372,129,89,89,54,0,10,4,9,0,1,2,1,0,3,3,0,0,0,0,0,1,0,4,1,0,1,0,15,7,1,0,1,0,11,1,0,1,0,1,20,9,3,5,1,0
2014-11-01,78,2,3,0,1,8,0,1,1,1,22,6,6,5,13,11,358,130,91,99,73,0,9,4,9,1,1,2,1,0,3,3,0,0,0,0,0,1,0,5,1,0,1,0,16,7,1,0,1,3,10,1,0,1,0,0,18,9,4,5,1,0
2014-12-01,85,2,4,1,0,9,1,0,1,2,24,6,7,8,13,13,372,119,99,108,86,0,8,4,9,0,1,3,1,0,4,3,0,0,0,0,0,1,0,8,1,0,1,0,18,6,1,0,1,1,10,0,0,1,0,0,20,11,5,4,1,0
2015-01-01,88,3,4,1,0,8,0,1,1,2,25,7,9,9,12,15,379,123,96,127,86,0,8,3,8,2,1,3,1,0,3,3,0,0,0,0,0,1,0,54,1,0,1,0,19,6,1,0,1,1,11,1,0,1,0,1,19,11,9,6,1,0
2015-02-01,83,2,4,1,0,6,0,0,1,1,25,6,6,6,12,13,358,115,87,114,73,0,9,4,9,1,1,2,1,0,3,3,0,0,0,0,0,1,0,5,1,0,1,0,16,6,2,0,1,1,11,0,0,1,0,1,18,9,3,5,1,0
2015-03-01,85,3,4,1,0,6,0,0,1,1,23,7,7,7,12,11,336,117,85,99,73,0,8,3,7,0,1,2,1,0,3,3,0,0,0,0,0,1,0,4,1,0,1,0,16,7,1,0,1,1,11,0,1,1,0,0,18,8,2,5,1,0
2015-04-01,87,2,4,1,0,6,1,1,1,2,28,6,6,7,11,12,343,119,89,102,79,0,7,3,8,1,1,2,1,0,4,4,0,0,0,0,0,1,0,4,0,0,1,0,15,6,1,0,1,1,11,0,1,1,0,0,18,9,2,5,1,0
2015-05-01,85,2,4,1,0,7,0,0,1,2,22,7,5,6,12,13,350,117,86,102,88,0,7,3,8,0,1,3,1,0,3,9,0,0,0,0,0,1,0,3,1,0,1,0,15,5,1,0,1,1,11,0,0,1,0,1,17,9,2,5,1,0
2015-06-01,92,2,3,1,0,7,1,1,1,1,20,7,5,7,13,16,386,124,90,112,94,0,8,4,8,0,1,4,1,0,3,6,0,0,0,0,0,1,0,3,0,0,1,1,15,7,1,0,1,2,11,0,1,1,1,0,18,11,2,5,1,0
2015-07-01,100,2,4,2,0,7,1,1,1,1,26,6,7,10,14,13,400,127,94,125,118,0,8,4,10,1,1,2,1,0,3,4,0,0,0,0,0,1,0,3,0,0,1,1,16,6,1,0,1,1,10,0,0,1,1,0,23,11,3,5,1,0
2015-08-01,99,2,4,1,0,7,1,1,1,2,28,7,8,9,14,11,386,136,95,102,130,0,8,4,10,1,1,2,1,0,3,4,0,0,0,0,0,1,0,3,0,0,1,0,15,6,1,0,1,1,11,0,1,1,0,1,20,10,3,5,1,0
2015-09-01,84,2,4,1,0,7,0,1,1,2,24,6,7,8,13,12,358,130,80,97,128,0,6,4,9,1,1,2,1,0,4,10,0,0,0,0,0,1,0,52,1,0,1,0,24,7,1,0,0,1,11,0,1,1,0,1,17,9,2,5,1,0
2015-10-01,75,2,3,1,0,6,1,1,1,2,18,5,5,8,12,13,343,120,79,79,113,0,8,3,8,1,1,2,1,0,3,7,0,0,0,0,0,0,0,7,0,0,1,0,15,7,1,0,0,1,12,0,0,1,0,1,18,9,2,3,1,0
2015-11-01,80,2,4,1,0,7,1,1,1,2,18,5,5,8,12,13,336,117,77,79,107,0,8,3,8,0,1,2,1,0,4,3,0,1,0,0,0,1,0,3,1,0,1,0,13,6,1,0,0,1,11,0,1,1,0,1,17,11,2,4,1,0
2015-12-01,86,2,4,1,0,7,1,0,1,2,21,7,6,8,13,12,365,124,89,85,120,0,8,3,8,1,1,2,1,0,3,3,0,0,0,0,0,1,0,3,1,0,1,0,13,7,1,0,0,0,11,0,0,1,0,1,18,12,2,4,1,1
2016-01-01,91,2,5,1,0,7,1,1,1,2,26,7,7,9,15,12,372,131,87,95,141,0,7,4,8,1,1,2,1,0,4,5,0,0,0,0,0,1,0,3,1,0,1,0,12,6,1,0,0,1,10,0,0,1,0,1,19,13,2,5,1,0
2016-02-01,78,2,3,1,0,7,0,1,1,2,24,6,6,9,13,10,343,124,77,89,160,0,8,4,7,1,1,3,1,1,4,8,0,1,0,0,0,1,0,3,1,0,1,0,11,7,1,0,0,1,11,0,0,1,0,1,18,12,2,4,1,0
2016-03-01,80,2,4,1,0,7,0,1,1,2,20,5,8,10,12,11,350,122,74,102,139,0,6,3,7,1,1,2,1,0,3,7,0,0,0,0,0,1,0,4,1,0,1,0,11,6,1,0,1,0,12,0,1,1,0,1,17,12,2,4,1,0
2016-04-01,77,2,4,1,0,6,0,1,1,2,21,5,8,8,12,12,365,120,73,112,126,0,7,3,7,2,1,1,1,0,3,3,0,0,1,1,0,1,2,4,1,0,1,0,12,6,1,0,0,1,12,0,0,1,0,1,17,12,3,4,1,5
2016-05-01,79,2,4,1,0,5,1,1,1,2,21,6,9,8,12,11,365,122,74,114,139,0,7,3,7,1,1,1,1,0,3,3,0,0,0,0,0,0,0,3,1,0,0,0,12,6,1,0,0,1,11,0,1,0,0,1,17,12,2,4,1,2
2016-06-01,92,2,4,1,0,5,1,1,1,2,28,6,8,10,12,12,386,129,76,125,196,0,8,3,7,2,1,2,1,1,4,6,1,0,0,0,0,0,0,22,1,0,1,0,15,6,1,0,0,1,11,0,0,1,0,0,17,14,3,6,1,1
2016-07-01,95,2,4,1,0,6,0,1,1,2,29,7,9,12,16,13,400,140,82,139,207,1,7,3,8,1,2,3,1,1,5,8,1,1,1,0,0,0,0,22,1,2,1,0,13,7,1,78,0,1,10,0,0,1,0,1,19,16,3,6,1,1
2016-08-01,90,3,4,1,0,6,0,1,1,2,23,6,8,9,15,12,386,137,82,125,156,0,7,4,7,1,1,2,1,0,5,5,1,1,0,0,0,0,0,4,1,1,1,0,12,7,1,35,0,1,10,1,0,1,0,1,18,15,3,5,1,1
2016-09-01,82,2,3,1,0,5,1,0,1,2,24,5,6,7,14,11,386,134,78,110,156,0,7,4,7,1,1,2,1,0,3,3,0,0,1,1,0,0,0,4,1,0,1,0,13,7,2,10,0,1,11,0,1,1,0,1,19,13,2,4,1,0
2016-10-01,78,2,4,1,0,5,0,0,1,2,23,5,7,9,14,11,372,130,74,114,188,0,7,4,7,1,1,2,1,0,4,4,0,0,0,0,0,0,0,27,1,0,1,0,14,7,1,4,0,1,11,0,1,1,0,1,17,13,3,4,1,1
2016-11-01,80,2,4,1,0,5,0,1,1,2,28,5,7,10,13,10,386,130,75,110,213,0,8,4,7,2,1,2,1,0,4,12,0,1,0,0,0,0,0,3,1,0,1,0,11,6,1,3,0,1,11,0,1,1,0,1,18,12,3,4,1,1
2016-12-01,80,2,4,1,0,6,0,1,1,2,25,6,9,11,15,11,365,141,82,125,192,0,7,3,8,1,1,3,1,1,4,5,0,0,0,0,0,0,0,3,1,0,1,0,12,6,2,3,0,2,9,0,1,1,0,1,18,14,3,4,1,1
2017-01-01,97,2,4,2,0,7,1,1,1,2,27,6,8,10,16,15,400,141,85,129,196,0,10,3,8,1,1,3,1,0,4,4,1,1,1,0,0,0,0,5,1,0,1,0,13,7,2,2,0,1,11,0,1,1,0,1,19,16,3,5,1,0
