date,instagram privacy policy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-12-01,0,47,55,0,0,59,2,2,8,11,460,122,0,4,123,80,2,0,185,31,83,0,2,2,18,0,3,60,0,0,4,3,0,0,3,0,3,0,0,0,34,2,0,7,0,394,64,0,0,8,2,164,3,4,7,0,5,4,0,70,0,2,17,2,0
2012-01-01,3,42,55,0,2,42,5,8,12,14,470,100,0,7,120,92,2,0,164,28,81,0,1,3,23,0,3,75,0,0,5,2,0,0,3,0,1,0,0,0,54,3,0,9,0,407,90,0,0,9,0,198,3,16,9,0,24,6,0,84,0,3,22,2,2
2012-02-01,1,55,56,0,0,36,7,6,15,18,500,92,0,9,105,83,2,0,129,20,63,0,4,2,21,0,2,68,0,0,5,2,0,0,2,0,1,0,0,0,80,4,0,13,0,387,132,0,0,12,1,213,2,36,13,0,31,10,0,82,1,3,15,2,0
2012-03-01,1,44,57,0,0,41,7,6,12,10,460,92,0,5,103,85,3,0,153,29,83,0,4,4,17,0,4,63,0,0,5,3,3,1,6,3,2,0,0,0,74,4,0,10,0,300,118,0,0,8,0,179,4,21,10,0,28,14,2,65,0,3,18,1,2
2012-04-01,4,43,51,0,5,47,4,3,14,12,340,117,0,21,98,98,1,0,137,26,78,0,5,2,16,0,5,71,0,0,6,2,1,0,2,0,2,0,0,0,87,1,0,7,0,360,61,1,0,13,1,160,12,8,7,0,13,28,0,72,1,5,13,2,0
2012-05-01,2,46,42,0,3,60,5,3,12,14,310,114,2,15,100,92,1,0,119,18,65,0,7,3,13,0,8,83,0,2,3,4,0,0,1,1,5,0,0,0,60,3,0,10,0,354,64,1,0,10,0,115,6,3,10,0,5,40,0,78,0,4,14,2,0
2012-06-01,1,49,50,0,2,55,3,3,12,17,340,139,2,18,109,116,2,0,119,34,71,0,10,2,19,0,17,94,0,2,4,3,0,2,2,1,3,0,0,0,74,6,0,7,0,334,57,0,0,8,1,98,4,4,7,0,7,58,0,94,1,3,16,4,0
2012-07-01,1,32,46,0,1,75,3,4,17,20,460,142,5,28,118,127,1,0,140,32,93,0,4,2,11,0,21,99,0,3,7,5,0,1,4,0,0,0,0,0,60,2,0,5,0,314,54,0,0,11,0,139,9,6,5,0,6,70,0,94,0,3,20,1,2
2012-08-01,3,61,57,0,4,71,5,5,14,16,460,150,4,34,149,154,1,0,124,31,89,1,9,3,11,0,18,52,0,0,5,6,1,3,6,1,2,0,0,0,40,2,0,8,0,414,50,0,0,11,1,132,5,4,8,0,5,58,2,96,0,5,13,1,3
2012-09-01,3,104,63,0,27,67,3,4,14,16,375,110,4,28,125,134,1,0,116,26,103,1,5,4,12,0,25,54,0,4,5,4,1,0,3,1,3,0,0,0,40,3,0,7,0,587,73,1,0,13,1,118,5,5,7,0,5,66,0,78,0,3,7,3,3
2012-10-01,4,83,47,0,18,73,3,5,12,16,315,97,8,20,103,105,2,0,114,34,93,0,7,2,16,0,19,82,0,1,6,2,1,2,0,2,5,1,0,0,60,4,0,5,0,574,59,4,0,17,1,156,8,6,5,0,7,72,2,96,0,3,14,2,3
2012-11-01,2,70,49,0,12,70,0,5,13,13,400,115,32,28,105,114,2,0,127,28,105,0,9,4,19,0,18,129,0,2,4,1,2,1,3,1,2,1,0,0,100,2,0,6,1,507,66,2,0,14,2,145,7,5,6,1,6,64,5,99,0,2,18,3,1
2012-12-01,100,61,57,0,16,88,4,7,12,16,420,129,33,44,134,125,3,0,124,37,88,4,10,3,17,0,21,41,2,1,6,3,2,1,0,1,3,1,0,0,87,1,0,9,0,514,73,2,0,18,0,162,8,6,9,0,5,86,13,88,0,2,19,2,1
2013-01-01,30,51,59,0,18,94,2,6,15,15,370,132,29,62,138,156,2,0,140,35,83,2,6,16,17,0,35,43,2,2,3,2,3,1,2,1,2,0,0,0,54,3,0,8,0,454,63,2,0,24,0,147,6,6,8,0,7,100,8,100,1,3,23,3,1
2013-02-01,9,58,65,0,12,105,6,5,12,15,325,142,14,63,136,167,2,0,127,29,86,1,9,12,11,0,31,35,1,1,5,4,0,1,3,2,2,1,2,1,67,4,0,12,0,480,78,1,0,14,1,156,7,5,12,0,5,102,13,79,0,2,20,5,3
2013-03-01,10,50,55,0,12,104,4,6,15,17,360,130,25,49,118,120,2,0,116,35,75,2,7,22,14,0,32,121,1,3,4,2,1,1,3,1,2,3,0,0,54,3,0,10,0,547,73,2,0,18,0,149,6,5,10,0,8,114,16,73,0,5,20,3,1
2013-04-01,7,42,55,0,9,84,5,8,14,18,370,120,29,49,129,112,1,0,124,31,83,2,5,32,17,1,35,55,3,3,5,2,2,2,1,1,2,0,0,1,60,2,0,10,0,340,69,2,0,20,2,132,6,6,10,0,4,96,25,65,0,2,15,3,1
2013-05-01,4,53,43,0,10,110,3,7,15,13,295,132,34,62,145,132,2,0,122,35,81,2,10,22,16,0,27,54,6,4,5,3,1,4,2,2,1,3,0,1,47,3,0,6,0,360,68,1,0,19,1,124,6,6,6,0,5,90,38,67,0,3,23,2,1
2013-06-01,3,45,60,0,10,128,5,7,13,20,305,125,44,78,143,132,3,0,108,37,97,3,11,12,12,0,32,46,6,3,5,9,1,3,2,2,2,7,0,1,47,2,0,7,0,334,69,3,0,25,0,107,3,6,7,0,6,96,52,61,1,8,26,2,2
2013-07-01,6,55,68,0,15,150,4,6,10,22,360,145,53,63,165,127,2,0,108,45,104,4,11,17,13,0,43,116,3,4,4,6,4,3,6,1,2,11,0,0,47,4,0,7,0,420,68,5,0,23,1,107,4,4,7,0,6,128,41,77,1,3,19,1,2
2013-08-01,6,53,76,0,7,131,5,7,15,23,365,167,43,62,180,125,2,0,114,44,99,4,13,35,13,0,40,63,2,1,7,4,1,3,4,2,1,8,1,1,40,4,0,5,1,334,173,6,0,22,1,111,4,9,5,1,5,124,32,76,1,3,16,1,2
2013-09-01,9,50,67,0,14,118,3,8,14,20,250,139,43,57,152,132,2,0,106,41,109,4,12,25,15,2,30,52,1,1,5,5,1,1,3,2,3,10,0,0,54,2,0,8,1,354,78,8,0,19,2,124,4,4,8,1,9,102,38,63,1,4,16,1,1
2013-10-01,7,51,58,5,8,107,3,6,11,17,270,99,43,46,169,118,1,0,100,39,92,4,12,11,15,0,28,40,1,1,4,4,2,0,1,2,1,9,0,1,200,4,0,8,0,487,106,5,0,10,1,128,5,6,8,0,6,88,37,68,1,2,14,2,2
2013-11-01,5,41,45,5,5,113,5,7,9,20,290,107,43,42,149,112,3,0,119,40,109,4,11,15,12,0,34,94,2,2,6,7,1,2,3,1,3,6,3,1,54,3,0,7,1,294,92,9,0,14,2,135,4,7,7,1,6,98,36,49,1,3,12,2,2
2013-12-01,13,33,63,6,7,120,6,5,15,21,350,124,61,59,183,120,3,0,114,48,121,5,15,22,14,2,45,121,3,3,2,5,1,4,2,2,3,10,0,1,47,3,0,7,1,254,78,9,0,18,2,130,3,6,7,1,8,108,52,65,1,4,11,2,3
2014-01-01,11,46,61,7,8,136,4,8,14,20,325,147,85,71,203,154,1,0,119,53,109,5,9,39,17,1,35,40,2,1,6,5,1,4,0,2,2,8,1,1,40,2,0,6,0,254,97,13,0,24,2,126,4,6,6,0,9,108,71,73,2,2,11,1,0
2014-02-01,6,29,66,7,8,118,2,6,17,17,260,100,49,47,209,163,2,0,116,49,108,4,10,31,21,1,34,40,2,2,3,5,1,4,2,3,3,9,0,1,47,3,0,9,1,234,92,11,0,18,2,128,6,6,9,1,9,96,48,65,1,5,19,2,2
2014-03-01,58,30,54,6,7,162,4,6,13,16,250,115,72,67,185,152,2,0,100,45,118,2,14,20,18,0,34,47,1,1,7,7,2,4,2,2,3,9,1,1,47,2,0,10,1,240,88,12,0,21,1,132,3,5,10,1,4,108,55,62,1,4,11,1,2
2014-04-01,7,35,60,9,9,155,4,8,18,15,315,105,69,65,192,134,2,0,106,49,105,3,10,21,14,1,42,102,1,1,6,5,3,4,1,2,2,9,1,2,47,3,0,10,0,234,82,16,0,18,2,130,4,7,10,0,5,120,52,67,2,3,11,3,2
2014-05-01,7,28,48,11,6,115,6,5,12,16,325,100,94,75,172,132,2,0,103,43,96,16,10,29,15,3,39,96,3,4,5,3,1,3,2,4,3,12,0,3,47,3,0,6,1,234,80,17,0,19,4,139,7,8,6,1,6,110,47,69,2,3,15,2,2
2014-06-01,8,43,45,6,7,99,5,4,17,17,290,102,76,88,165,143,2,0,106,41,91,7,13,43,19,2,36,46,3,2,5,4,2,3,1,3,2,11,1,1,47,1,0,7,4,247,71,12,0,23,3,122,8,6,7,4,4,106,49,71,1,3,13,3,2
2014-07-01,6,37,51,10,12,113,8,5,22,24,305,120,72,86,223,178,2,0,106,42,123,5,8,47,18,1,44,40,2,4,3,4,3,3,4,4,2,12,0,2,40,3,0,6,1,260,73,17,0,24,1,105,8,4,6,1,5,146,53,72,1,4,14,1,2
2014-08-01,6,42,55,8,7,133,6,7,14,20,315,110,65,88,187,160,2,0,264,49,117,4,14,34,18,2,42,43,1,3,3,4,4,3,2,1,1,9,0,2,67,1,0,8,2,274,75,10,0,23,2,111,13,5,8,2,6,136,52,80,1,2,7,3,6
2014-09-01,10,38,45,10,7,118,6,7,13,18,295,89,66,65,187,132,2,0,164,55,119,4,8,18,14,1,41,36,2,2,5,4,2,3,2,2,2,12,0,2,54,2,0,11,5,234,85,16,0,18,4,122,9,5,11,5,5,118,42,55,2,6,15,3,5
2014-10-01,6,46,40,9,10,121,9,7,17,24,270,85,81,59,174,149,1,0,132,46,115,6,9,19,10,1,35,35,3,3,5,3,3,3,3,3,2,11,0,1,47,2,0,9,2,214,83,16,0,15,6,139,6,5,9,2,6,126,42,59,2,4,12,3,1
2014-11-01,9,32,45,7,7,104,6,6,13,19,270,85,74,88,174,143,2,0,119,49,117,6,9,29,15,2,43,32,4,2,6,6,4,2,3,4,2,13,0,1,74,2,0,13,5,200,90,15,0,20,42,137,7,8,13,5,6,118,42,64,3,4,12,1,4
2014-12-01,8,25,54,7,5,112,8,7,14,19,290,87,93,97,174,152,2,0,111,41,123,4,12,42,13,2,46,36,2,2,4,3,2,3,2,2,1,10,1,1,107,1,0,7,2,234,78,14,0,14,14,132,6,6,7,2,7,136,71,68,2,3,12,2,3
2015-01-01,11,35,45,8,8,105,6,10,17,23,300,104,107,112,180,189,1,0,106,44,115,20,10,43,14,2,43,38,4,1,6,5,2,4,3,1,3,8,0,0,660,2,0,6,2,254,71,15,0,12,8,139,7,6,6,2,9,126,122,61,2,2,13,2,3
2015-02-01,7,33,57,8,4,78,5,4,12,22,300,82,75,96,167,154,2,0,114,48,104,12,14,25,11,4,40,40,5,1,5,5,3,3,1,3,3,10,0,3,67,2,0,8,1,200,83,18,0,9,9,130,6,6,8,1,7,118,46,63,2,2,11,3,2
2015-03-01,8,30,56,12,3,80,5,8,14,19,300,94,97,91,163,134,2,0,93,44,104,6,11,25,11,3,36,38,3,2,2,5,2,1,2,5,3,11,0,1,47,2,0,11,2,207,87,10,0,9,7,137,7,5,11,2,7,114,24,59,2,5,14,2,3
2015-04-01,7,28,49,13,6,88,5,7,17,21,330,92,77,105,160,138,1,0,90,42,97,11,13,30,10,3,40,50,4,2,5,5,1,2,2,3,2,13,1,2,54,1,0,8,3,207,82,13,0,7,13,149,7,7,8,3,6,118,35,54,1,3,14,1,3
2015-05-01,8,31,51,11,2,80,5,6,13,19,280,100,65,84,172,156,3,0,79,37,94,5,15,36,14,4,41,116,5,2,6,5,2,4,1,3,2,14,0,2,34,1,0,8,3,194,71,14,0,9,9,139,4,6,8,3,8,112,30,61,2,3,9,2,4
2015-06-01,5,37,48,11,3,88,5,7,8,26,265,84,75,94,185,223,1,0,90,40,100,5,11,46,11,3,39,77,4,3,4,4,3,3,5,2,2,9,1,0,40,1,0,8,8,194,82,11,0,7,21,128,5,8,8,8,9,134,33,65,2,3,12,4,3
2015-07-01,5,32,46,28,3,96,7,9,14,24,335,95,93,142,172,165,2,0,93,51,124,10,12,30,15,3,42,46,5,2,6,3,3,3,3,3,3,9,0,0,40,1,0,9,5,200,85,15,0,7,14,122,5,5,9,5,7,140,33,59,2,3,12,4,3
2015-08-01,7,25,55,10,4,99,7,10,21,19,355,94,103,117,192,140,1,0,106,57,123,5,14,22,11,4,40,50,4,3,4,2,2,3,3,3,2,13,0,1,40,1,0,8,1,227,83,14,0,3,7,149,5,5,8,1,6,136,31,63,3,5,10,1,6
2015-09-01,9,27,45,9,6,92,5,7,16,24,280,74,76,105,187,143,1,0,103,47,109,11,14,29,13,4,48,115,5,2,5,5,2,3,3,3,3,9,1,2,667,2,1,8,4,327,88,12,0,5,11,147,6,5,8,4,10,124,27,58,1,3,10,2,3
2015-10-01,7,26,44,9,2,81,6,8,16,24,245,74,66,99,169,180,1,0,98,41,110,7,14,26,11,3,38,94,5,1,7,3,3,3,1,3,3,5,0,2,87,2,0,10,4,194,82,8,0,5,9,149,5,5,10,4,10,118,25,48,1,7,13,3,6
2015-11-01,12,28,46,10,3,94,10,8,11,24,245,65,63,105,158,160,1,0,85,42,96,5,9,18,13,1,43,38,4,3,5,5,3,3,2,2,3,7,0,2,34,3,0,9,3,174,80,12,0,5,7,137,3,5,9,3,10,126,26,54,4,3,9,1,5
2015-12-01,9,37,49,10,3,89,6,9,11,30,275,94,77,100,180,158,1,0,98,43,98,11,10,21,14,4,43,41,4,3,6,6,4,3,1,3,4,9,1,1,40,3,0,10,4,167,73,12,0,3,7,130,4,5,10,4,6,146,29,58,2,4,15,3,5
2016-01-01,6,30,51,10,5,94,7,9,11,22,330,89,90,134,207,158,1,0,87,45,96,9,16,23,14,2,51,57,6,2,7,4,2,2,3,2,2,10,0,1,40,2,0,6,4,160,75,13,0,7,10,137,3,3,6,4,8,154,27,68,2,4,14,3,5
2016-02-01,8,29,42,8,2,89,6,7,15,24,305,79,75,112,178,114,2,0,93,45,100,10,14,31,10,5,48,107,4,3,9,6,1,5,2,4,3,7,1,1,40,1,0,11,2,160,85,9,0,6,9,139,3,4,11,2,10,156,25,57,3,3,11,2,3
2016-03-01,10,25,48,12,3,94,5,9,15,26,250,87,92,139,167,136,1,0,77,35,91,12,16,25,11,6,45,91,6,3,7,5,3,5,3,2,1,6,1,1,47,1,0,7,2,174,85,13,0,5,8,154,5,7,7,2,7,144,30,50,3,3,19,3,6
2016-04-01,10,29,47,16,3,81,6,9,9,23,260,77,92,110,169,149,1,0,85,34,89,19,16,20,10,9,39,46,5,3,5,7,2,2,2,12,1,9,1,24,47,2,0,8,3,160,83,18,0,4,11,139,4,4,8,3,10,162,30,63,2,5,20,2,66
2016-05-01,7,27,46,14,3,75,6,9,7,21,265,75,106,110,172,138,2,0,90,37,88,17,18,15,9,6,41,38,6,4,5,5,5,1,3,4,2,6,1,4,40,1,0,5,4,160,78,17,0,4,10,132,6,8,5,4,11,144,30,53,3,3,15,4,17
2016-06-01,14,36,47,14,3,70,8,9,11,25,365,87,108,131,165,140,2,0,98,40,92,24,17,19,15,7,51,75,8,4,5,6,3,2,2,4,1,4,1,3,274,2,0,7,3,214,75,16,0,3,13,137,3,7,7,3,9,178,31,71,2,2,17,2,13
2016-07-01,11,33,46,13,7,78,7,7,14,22,360,92,113,162,218,147,1,11,90,44,100,15,18,34,11,9,63,116,7,4,5,6,2,2,3,3,1,7,2,4,287,2,29,9,3,187,92,18,910,3,7,109,6,5,9,3,12,194,37,67,3,2,15,2,11
2016-08-01,9,30,51,15,5,86,6,7,11,27,295,89,99,121,198,152,0,3,85,48,102,17,19,26,10,5,52,61,6,3,6,6,5,3,2,3,2,7,1,2,54,1,10,11,3,160,82,18,419,4,11,132,5,7,11,3,9,180,35,61,2,3,14,3,10
2016-09-01,14,29,49,17,2,63,6,9,10,22,280,64,93,92,209,140,1,1,87,45,96,14,15,20,10,5,41,43,4,5,6,8,3,3,2,10,1,4,0,2,60,2,3,13,3,187,85,19,128,4,12,141,4,7,13,3,12,168,25,50,3,3,19,3,7
2016-10-01,12,25,46,13,2,59,7,7,11,23,290,70,89,121,189,132,1,0,87,41,97,18,14,16,9,5,36,44,5,3,7,4,3,3,2,3,3,4,1,3,347,1,2,10,4,174,88,17,55,5,10,139,4,6,10,4,9,170,36,51,1,3,17,3,11
2016-11-01,12,29,44,13,2,60,7,6,14,22,350,55,90,139,183,132,2,1,95,42,107,19,19,33,10,4,52,157,7,3,8,5,4,2,3,5,3,4,1,1,47,2,2,10,5,160,78,19,37,4,15,115,5,5,10,5,10,162,35,57,2,4,16,4,7
2016-12-01,10,29,44,16,2,68,6,6,15,25,300,80,102,147,205,138,2,0,90,41,107,15,15,34,7,6,47,69,6,2,6,6,3,3,1,3,2,5,1,4,40,1,1,7,6,160,69,25,37,2,20,120,3,6,7,6,7,166,37,55,2,3,10,4,10
2017-01-01,13,25,60,20,5,86,7,9,13,27,335,75,106,147,198,156,1,1,111,40,97,11,17,33,18,3,43,47,7,2,6,6,4,2,2,2,1,5,1,2,67,1,1,9,4,160,90,20,28,4,15,130,8,8,9,4,9,200,38,64,1,4,10,3,6
