date,Twitter privacy policy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,best anonymous browser,how to browse anonymously,how to delete a snapchat account,government monitoring social media,how to uninstall gmail,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,uber privacy policy,How to make tweets private,Uber privacy,facebook app privacy policy,instagram privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption
2012-06-01,50,334,389,0,25,92,9,14,257,0,80,18,142,0,129,0,16,32,0,16,16,11,21,0,0,43,0,0,80,10,32,8,0,50,0,724,11,21,138
2012-07-01,39,287,359,0,31,127,34,10,244,0,32,15,82,0,158,0,21,53,0,11,21,0,0,0,0,17,0,0,89,0,67,8,0,46,0,724,0,21,131
2012-08-01,59,447,442,0,35,105,25,10,235,12,71,22,83,0,139,0,0,35,10,21,42,10,14,0,0,16,0,0,85,10,35,24,0,39,10,747,0,42,103
2012-09-01,55,667,483,0,28,107,25,10,196,12,42,29,94,0,191,0,31,35,10,0,17,10,21,0,0,26,0,0,91,10,38,24,0,36,0,600,0,21,77
2012-10-01,34,594,359,0,37,91,59,16,261,0,53,18,119,0,143,0,9,44,9,19,19,12,37,0,0,28,0,0,95,10,62,31,0,50,10,739,0,25,91
2012-11-01,47,480,377,0,41,100,234,13,214,0,71,29,145,0,139,0,19,28,14,9,19,9,16,0,0,19,0,10,99,20,54,16,10,46,37,762,0,19,131
2012-12-01,67,434,436,0,51,89,242,19,283,28,74,22,133,0,158,19,9,44,19,10,0,9,24,0,0,9,0,0,116,0,60,770,0,41,91,677,0,19,110
2013-01-01,60,374,453,0,43,112,209,17,266,17,50,122,128,0,267,14,17,23,26,9,11,9,13,0,0,20,0,0,172,0,43,231,0,58,55,770,9,26,166
2013-02-01,92,420,501,0,38,89,100,14,222,10,66,93,82,0,234,9,9,38,0,9,16,14,19,19,10,28,0,0,114,10,57,70,0,39,91,608,0,13,145
2013-03-01,73,340,418,0,45,114,184,17,266,13,51,168,104,0,243,8,25,34,8,8,20,8,17,0,0,20,0,0,134,0,45,77,0,62,119,562,0,38,142
2013-04-01,77,294,424,0,60,105,209,11,240,17,41,247,132,9,262,20,26,40,17,17,9,9,14,0,10,14,0,0,121,17,43,54,0,34,182,500,0,17,119
2013-05-01,42,347,330,0,56,112,251,17,270,15,80,168,123,0,205,47,29,36,8,31,11,14,8,0,10,21,0,0,133,10,45,31,0,43,282,524,0,25,159
2013-06-01,52,314,465,0,51,100,325,20,287,23,87,93,92,0,239,49,26,40,9,20,14,17,17,0,10,13,0,0,153,0,23,24,0,48,382,470,9,57,184
2013-07-01,53,367,524,0,48,76,392,17,348,34,86,125,100,0,324,22,31,34,34,22,25,8,17,0,0,29,0,0,182,10,31,47,0,46,300,593,8,25,156
2013-08-01,39,340,589,0,50,115,317,17,340,28,99,268,100,0,300,14,8,56,8,22,22,13,8,8,10,28,0,8,144,10,33,47,8,43,237,585,8,25,105
2013-09-01,61,327,512,0,60,107,317,16,309,30,92,190,118,16,224,8,11,41,8,8,16,14,21,0,0,16,0,8,144,13,30,70,8,67,282,485,8,27,117
2013-10-01,57,347,448,40,47,81,317,10,296,32,95,83,114,0,215,8,10,29,12,0,8,16,8,0,8,31,0,0,70,7,36,54,0,50,273,524,8,18,103
2013-11-01,53,294,348,37,55,69,317,21,305,36,83,115,90,0,253,16,12,45,8,18,21,11,21,24,8,24,0,8,108,13,32,39,8,46,264,377,11,21,91
2013-12-01,56,234,483,48,37,114,451,20,366,38,115,165,104,16,334,24,21,19,8,32,21,12,27,0,8,24,0,8,123,17,21,100,8,60,382,500,8,29,89
2014-01-01,45,334,471,57,62,109,625,11,400,39,72,300,133,8,262,12,7,42,7,27,30,17,15,7,8,12,0,0,174,17,30,85,0,72,528,562,15,15,80
2014-02-01,68,240,506,55,43,130,359,14,379,30,80,233,157,8,258,16,16,24,8,27,16,22,24,0,8,20,0,8,136,13,43,47,8,72,355,508,8,41,142
2014-03-01,73,227,418,44,46,102,534,15,340,17,108,154,142,0,253,10,10,56,15,29,15,15,22,7,8,15,0,7,159,7,24,447,7,34,410,477,11,32,91
2014-04-01,73,280,465,70,57,138,509,12,374,23,81,165,106,11,320,11,10,43,22,30,7,15,17,7,15,20,0,0,116,17,27,54,0,39,382,516,15,25,73
2014-05-01,43,220,371,83,40,91,692,13,331,123,77,225,116,23,291,23,33,38,8,25,15,30,25,0,22,23,0,8,142,30,50,54,8,46,346,531,13,27,100
2014-06-01,53,280,348,48,31,132,559,13,314,54,99,333,145,14,267,25,17,36,14,25,11,20,17,8,10,8,0,34,189,26,62,62,34,34,364,547,11,22,100
2014-07-01,47,254,395,74,36,164,534,12,322,41,63,358,137,8,329,12,29,22,22,22,25,29,12,0,13,22,0,8,144,10,63,47,8,41,391,554,8,29,105
2014-08-01,61,327,418,59,52,110,476,12,370,30,105,261,140,16,315,8,20,25,30,19,12,8,8,0,17,8,0,14,155,17,99,47,14,50,382,616,8,16,63
2014-09-01,87,254,348,77,50,100,484,13,418,32,63,140,106,8,310,16,16,39,16,26,16,12,12,0,17,12,0,39,131,36,71,77,39,41,310,424,16,45,98
2014-10-01,70,307,306,68,52,127,600,10,357,43,71,147,78,8,262,20,22,35,25,25,22,20,15,0,10,15,0,15,93,42,45,47,15,43,310,454,17,32,82
2014-11-01,100,234,342,57,46,97,542,18,374,49,68,218,116,13,324,28,15,49,28,13,15,27,18,0,8,15,0,34,140,323,54,70,34,48,310,500,23,28,89
2014-12-01,50,207,412,55,55,110,684,19,309,34,92,322,95,13,343,15,15,30,15,25,13,15,11,8,11,8,0,18,91,107,45,62,18,50,528,524,18,25,82
2015-01-01,45,254,342,61,80,127,792,11,335,156,81,325,111,19,320,31,7,47,19,31,16,9,25,0,0,14,0,14,72,65,56,85,14,70,910,477,19,12,91
2015-02-01,59,247,436,64,31,94,550,13,366,93,108,190,82,31,300,41,10,36,23,25,8,20,20,0,24,12,0,10,63,68,46,54,10,53,337,485,15,15,82
2015-03-01,81,220,430,92,58,104,717,14,335,49,84,193,82,26,277,23,12,19,17,10,17,37,21,0,11,18,0,14,70,52,53,62,14,55,173,454,16,35,98
2015-04-01,60,207,371,100,50,127,567,10,322,84,96,229,75,24,305,29,12,41,7,14,14,24,14,7,15,7,0,24,51,97,50,54,24,46,255,416,10,24,100
2015-05-01,60,227,395,87,46,97,476,21,287,39,114,275,107,28,305,39,16,44,14,32,9,24,17,0,15,9,0,23,59,71,32,62,23,58,219,477,17,23,73
2015-06-01,59,267,371,85,54,64,550,7,300,36,83,354,87,26,291,33,21,33,26,21,26,18,16,7,0,7,0,64,36,162,35,39,64,67,246,500,14,21,77
2015-07-01,65,234,359,218,70,105,684,12,392,80,95,233,114,26,320,35,16,42,21,26,21,26,21,0,0,7,0,37,51,110,37,39,37,53,246,454,16,26,91
2015-08-01,58,207,424,74,76,163,759,10,435,39,111,172,83,32,300,28,21,28,11,23,16,21,11,0,8,10,0,9,34,55,41,54,9,46,228,485,23,35,94
2015-09-01,59,194,348,70,56,122,559,10,357,86,105,225,97,34,362,41,16,38,18,20,25,25,20,7,13,14,7,32,42,84,47,70,32,79,201,447,7,23,54
2015-10-01,74,200,342,72,58,119,484,9,314,50,105,200,85,26,286,34,9,56,24,24,11,19,26,0,13,16,0,30,31,71,39,54,30,79,182,370,10,52,94
2015-11-01,70,214,353,79,59,87,467,11,322,39,69,136,97,11,320,28,22,37,24,20,15,13,20,0,15,23,0,22,36,55,24,93,22,79,191,416,33,26,63
2015-12-01,76,240,377,74,71,81,567,10,327,86,80,165,106,27,320,31,22,49,27,20,7,20,30,7,10,20,0,27,33,55,30,70,27,50,210,447,16,30,91
2016-01-01,49,227,389,77,65,86,667,10,344,67,123,179,107,19,381,46,17,57,16,15,17,19,13,0,10,19,0,28,53,75,23,47,28,65,201,524,15,34,98
2016-02-01,82,234,324,64,56,114,550,17,348,80,108,240,80,40,362,33,21,71,9,38,15,33,25,6,10,10,0,15,34,71,23,62,15,77,182,439,22,23,91
2016-03-01,55,180,371,92,66,114,675,8,266,89,124,190,87,45,339,47,21,51,23,35,18,14,10,6,8,10,0,16,42,59,35,77,16,58,219,385,21,22,112
2016-04-01,61,194,365,120,69,66,675,10,261,147,123,150,76,65,296,39,20,39,15,12,18,94,10,6,182,15,0,20,21,88,31,77,20,79,219,485,16,41,128
2016-05-01,41,200,353,105,67,55,784,18,283,128,138,115,69,43,305,43,31,39,37,8,18,29,12,6,30,6,0,29,27,75,43,54,29,81,219,408,20,24,96
2016-06-01,53,240,365,105,65,86,800,12,305,186,129,147,113,53,381,63,30,41,26,16,10,32,9,6,24,12,0,20,16,104,24,108,20,65,228,547,15,12,114
2016-07-01,65,227,353,98,57,109,834,8,340,113,138,261,87,65,477,55,33,37,12,18,14,22,6,12,31,14,218,24,19,52,49,85,24,89,273,524,24,12,100
2016-08-01,85,227,395,118,56,82,734,0,366,130,150,200,75,40,396,48,22,44,36,21,12,24,15,6,15,9,77,20,33,84,38,70,20,72,255,470,14,22,94
2016-09-01,96,214,377,129,66,81,684,6,340,106,115,158,78,40,310,32,36,42,24,26,16,80,6,0,19,15,24,22,27,94,28,108,22,91,182,385,26,26,124
2016-10-01,74,187,353,100,51,86,659,11,309,138,108,125,73,36,272,40,26,51,23,24,21,26,21,6,22,9,14,34,29,81,32,93,34,70,264,400,9,26,112
2016-11-01,75,214,336,103,46,104,667,11,322,145,142,250,76,31,396,52,25,63,27,15,19,38,21,9,8,15,11,36,25,117,38,93,36,79,255,439,17,33,114
2016-12-01,55,194,342,124,49,117,750,15,314,117,117,261,56,44,353,48,19,48,27,25,11,23,15,6,30,9,11,46,14,155,21,77,46,55,273,424,13,21,68
2017-01-01,72,180,459,150,68,100,784,11,300,84,133,254,137,22,320,54,14,43,29,14,13,16,11,9,19,11,5,27,27,117,57,100,27,72,282,493,7,34,77
