date,google hangouts privacy,who can see my snapchat story,most private browser,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy youtube,how to encrypt emails,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2015-01-01,81,165,112,213,335,465,28,0,856,420,216,291,51,82,19,44,25,66,170,0,0,38,0,119,300,190,167,150,129,119,182,124,50,32,244,44,45
2015-02-01,68,171,108,81,248,442,34,0,934,250,288,214,83,109,27,21,55,54,198,0,62,31,0,156,350,165,175,124,122,156,138,94,41,41,219,61,45
2015-03-01,28,248,110,154,274,389,37,0,856,130,224,214,69,62,31,47,100,55,228,0,29,49,0,214,205,185,134,143,108,214,144,50,43,93,263,37,78
2015-04-01,38,271,100,135,335,412,25,0,823,225,256,196,65,77,32,39,63,39,273,19,39,20,0,158,260,135,251,135,136,158,119,107,25,64,269,25,56
2015-05-01,86,236,110,124,257,371,55,0,734,105,304,282,76,105,43,25,65,47,278,0,39,26,0,158,275,155,184,87,129,158,150,116,46,63,194,37,89
2015-06-01,56,230,100,145,170,506,19,0,767,95,220,228,71,87,56,69,48,44,175,19,0,20,0,156,220,95,417,95,150,156,175,87,38,57,207,75,45
2015-07-01,68,589,142,186,279,489,31,0,1000,215,252,300,69,94,43,56,68,57,181,0,0,19,0,172,295,135,284,100,100,172,138,111,43,69,244,74,45
2015-08-01,61,200,134,203,431,371,27,0,1112,105,296,219,86,74,55,43,55,31,256,0,20,28,0,153,280,90,142,111,100,153,119,72,61,91,250,27,112
2015-09-01,54,189,95,149,322,483,27,0,912,230,280,255,92,107,42,66,65,54,175,18,34,37,18,156,240,110,217,127,108,156,207,103,18,60,144,48,89
2015-10-01,63,195,120,156,314,471,23,0,800,135,280,223,71,92,23,29,53,70,103,0,34,44,0,195,170,80,184,103,108,195,207,148,26,138,250,51,100
2015-11-01,52,212,197,158,231,477,29,0,823,105,184,255,30,75,58,41,35,53,134,0,39,62,0,185,245,95,142,64,93,185,207,98,88,70,169,29,89
2015-12-01,53,200,112,192,214,589,27,0,834,230,212,278,72,84,60,18,55,81,184,18,24,54,0,200,240,85,142,82,93,200,132,131,42,81,244,53,89
2016-01-01,39,206,150,173,227,430,28,0,878,180,328,282,51,122,45,45,50,35,203,0,24,51,0,129,260,140,192,61,65,129,169,150,39,90,263,67,78
2016-02-01,100,171,116,152,300,477,45,0,889,215,288,210,108,89,56,40,90,68,134,17,24,28,0,216,175,90,184,61,86,216,200,187,58,61,244,33,45
2016-03-01,94,248,108,177,300,512,21,0,678,240,332,228,122,125,57,48,38,27,131,16,20,27,0,145,265,110,150,95,136,145,150,135,57,58,300,70,100
2016-04-01,32,324,130,186,174,453,27,0,667,395,328,201,176,102,54,49,250,28,173,16,477,41,0,161,350,55,226,82,86,161,207,103,43,108,344,38,1112
2016-05-01,21,283,114,177,144,418,47,0,723,345,368,182,116,115,84,48,78,32,120,16,77,16,0,108,330,70,192,116,158,108,213,105,52,63,257,83,312
2016-06-01,43,283,155,173,227,489,33,0,778,500,344,296,143,167,81,27,88,25,75,16,62,32,0,140,310,40,267,66,136,140,169,107,41,32,307,38,223
2016-07-01,49,265,140,152,287,442,22,228,867,305,368,228,176,145,87,39,60,17,137,32,81,38,589,172,355,50,134,132,100,172,232,98,65,32,269,49,223
2016-08-01,56,318,122,149,218,542,0,69,934,350,400,196,109,129,59,32,65,41,139,16,39,24,206,224,365,85,217,103,136,224,188,118,37,60,250,64,156
2016-09-01,69,348,116,175,214,436,16,16,867,285,308,205,108,85,96,43,213,16,81,0,48,40,65,253,370,70,242,74,143,253,238,111,69,69,332,58,134
2016-10-01,65,271,134,137,227,459,30,0,789,370,288,191,97,105,70,56,70,55,81,15,58,26,36,195,335,75,209,85,122,195,182,135,25,70,300,60,167
2016-11-01,41,277,132,122,274,436,31,16,823,390,380,201,83,137,66,51,103,57,75,23,20,41,30,198,370,65,300,103,93,198,207,168,46,87,307,76,145
2016-12-01,66,336,132,132,309,506,41,0,800,315,312,146,118,127,51,31,60,41,98,15,77,23,30,145,500,35,400,56,122,145,144,127,35,57,182,81,156
2017-01-01,38,406,148,181,266,542,29,21,767,225,356,360,58,142,38,34,43,29,112,24,48,29,12,190,405,70,300,153,165,190,188,114,19,91,207,57,112
