date,how to browse anonymously,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to delete a youtube account,how to delete a instagram account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,google hangouts privacy,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,how to unfollow on Instagram,how to unfollow on twitter,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2014-08-01,83,210,39,31,554,18,24,562,320,682,5,0,223,548,16,174,73,5,206,200,5,10,13,16,27,8,6,7,60,5,19,12,5,31,0,36,7,308,88,20,47,23,36,591,381,15,41,10,18
2014-09-01,64,207,42,23,480,36,34,385,254,610,9,0,250,548,21,105,60,5,153,187,9,5,28,14,14,19,6,16,75,0,17,10,6,40,0,48,14,358,63,19,36,25,48,501,281,25,54,8,15
2014-10-01,75,184,37,46,474,31,31,393,267,655,13,0,238,489,18,87,68,7,168,154,9,5,22,16,15,7,9,13,65,0,12,5,9,31,0,35,7,379,61,24,27,26,35,546,296,12,55,15,15
2014-11-01,77,191,26,33,440,21,30,362,274,619,8,0,215,483,41,137,60,11,159,154,8,12,29,17,12,7,11,6,56,5,14,5,8,48,0,48,14,365,73,154,24,25,48,555,291,12,52,7,10
2014-12-01,72,223,33,28,480,42,29,362,414,710,9,0,210,518,22,179,47,7,206,160,10,16,22,12,15,9,4,7,43,4,16,7,9,48,0,31,10,315,65,53,27,26,31,628,258,18,43,13,13
2015-01-01,74,255,29,22,434,20,47,424,494,819,4,0,198,477,104,183,63,13,192,154,17,6,20,25,11,10,8,21,39,0,14,0,6,48,0,38,7,350,65,36,40,28,38,628,329,10,36,6,13
2015-02-01,48,233,35,17,327,14,26,362,347,710,5,0,203,483,57,114,40,13,168,154,18,11,26,21,19,9,9,8,50,0,20,10,7,44,0,42,12,336,35,48,24,23,42,519,310,15,47,14,13
2015-03-01,70,242,45,19,354,25,25,377,400,646,10,0,188,418,23,100,61,19,168,154,19,4,15,19,11,5,23,8,53,4,15,7,6,44,0,41,15,386,31,31,26,30,41,491,286,19,60,15,15
2015-04-01,58,220,52,15,354,30,26,362,407,610,7,0,180,442,30,142,60,14,203,247,17,10,21,24,7,4,20,8,56,0,13,5,7,27,0,38,13,343,31,45,17,31,38,519,286,14,47,26,8
2015-05-01,38,239,59,12,367,18,28,424,367,719,14,0,160,430,27,179,59,20,195,494,25,12,29,19,8,11,4,4,48,0,15,7,4,31,0,30,14,293,47,50,26,25,30,528,272,12,47,10,20
2015-06-01,49,197,49,17,360,32,29,424,427,910,8,0,235,448,14,218,59,27,183,340,24,13,20,14,10,11,13,11,41,0,10,7,11,18,0,34,43,393,34,100,21,39,34,646,296,15,54,14,20
2015-07-01,81,210,91,12,367,36,37,370,580,728,8,0,243,589,56,127,75,21,195,214,22,10,22,15,12,11,14,10,44,4,17,5,7,18,0,34,29,350,35,79,26,17,34,655,296,13,44,8,15
2015-08-01,78,233,45,10,380,37,51,400,554,610,10,0,233,553,30,98,49,22,150,227,12,14,16,18,18,8,8,7,56,0,19,5,8,22,0,30,6,315,32,30,29,33,30,582,291,18,49,8,8
2015-09-01,71,204,35,9,367,23,31,316,434,646,4,0,220,501,54,137,71,25,215,540,21,16,19,27,12,9,11,13,34,0,11,8,8,40,4,39,14,393,27,48,35,40,39,546,272,17,38,11,20
2015-10-01,80,178,34,16,314,32,34,300,447,701,10,0,203,465,31,124,56,24,168,414,25,8,29,16,11,10,8,10,20,0,19,8,10,31,0,44,13,350,20,30,23,26,44,528,205,14,49,9,18
2015-11-01,55,217,44,12,407,38,30,293,420,682,12,0,188,471,26,100,65,13,203,167,14,14,27,22,6,6,14,12,40,4,12,9,16,53,0,42,19,336,21,33,18,33,42,619,248,18,49,12,22
2015-12-01,41,226,39,11,380,33,29,377,494,673,12,0,180,465,41,98,69,12,198,154,16,11,28,25,15,6,9,10,43,4,5,7,10,44,0,43,8,358,27,17,16,17,43,682,248,20,43,7,25
2016-01-01,55,265,52,15,400,30,35,393,520,673,6,0,230,453,40,105,65,11,242,274,16,11,27,23,14,6,13,9,50,0,14,5,8,35,0,35,6,350,33,50,11,26,35,737,305,15,49,9,15
2016-02-01,53,200,48,22,380,17,35,316,480,501,9,0,228,406,39,148,51,27,212,467,15,17,30,26,14,11,14,19,32,0,17,5,6,53,0,39,11,365,19,31,19,24,39,691,258,15,55,9,13
2016-03-01,48,213,62,10,380,26,33,300,540,619,7,0,163,406,69,107,51,21,186,374,26,12,26,28,13,3,11,5,39,3,23,6,7,53,0,41,9,372,30,25,19,35,41,673,220,20,66,11,25
2016-04-01,37,236,72,10,347,24,36,300,467,655,11,0,175,383,102,85,51,23,195,167,26,8,29,32,4,6,63,11,35,0,13,103,4,44,0,40,13,329,10,51,14,26,40,719,253,14,75,7,244
2016-05-01,43,226,62,14,287,29,39,331,460,628,6,0,178,389,71,79,35,21,186,160,26,13,30,19,26,5,15,5,19,3,3,14,3,40,0,17,16,358,16,47,20,34,17,682,229,11,66,15,76
2016-06-01,57,207,63,12,280,33,36,347,607,646,4,0,190,418,113,107,76,34,218,334,32,22,23,27,11,6,25,5,22,4,7,25,5,66,0,43,19,336,12,53,23,23,43,837,329,6,60,8,54
2016-07-01,64,207,80,21,320,23,39,424,660,710,4,46,173,448,83,155,71,54,295,474,35,17,24,32,11,9,9,7,18,4,10,16,10,40,132,46,13,393,8,37,31,29,46,910,324,12,61,9,44
2016-08-01,47,223,64,26,334,25,26,354,554,646,4,20,218,406,70,107,47,27,262,274,33,14,25,29,17,12,15,5,19,4,11,10,5,48,47,40,12,365,15,42,38,26,40,891,272,12,66,9,42
2016-09-01,57,191,65,12,280,34,30,262,427,619,9,5,210,406,54,92,46,18,162,194,26,13,25,31,18,8,43,8,22,0,7,7,12,66,14,60,13,372,15,45,12,33,60,737,243,23,72,8,30
2016-10-01,55,217,65,17,260,27,23,316,494,591,10,3,203,418,76,94,55,23,203,200,22,9,30,26,17,10,24,17,20,3,17,9,3,53,7,42,25,372,18,51,19,31,42,746,229,12,69,13,35
2016-11-01,59,207,54,14,280,24,42,277,580,564,7,7,203,418,89,137,46,27,242,667,24,15,32,24,20,11,16,16,18,8,19,8,5,48,4,46,16,343,13,57,14,31,46,728,258,16,63,17,35
2016-12-01,54,220,63,10,314,27,42,354,667,610,8,3,175,453,50,161,42,38,215,274,24,12,26,27,14,8,18,7,21,3,10,15,8,53,12,34,23,322,14,102,16,33,34,782,243,20,49,24,40
2017-01-01,63,246,87,19,360,30,39,331,607,755,7,3,165,436,50,146,69,23,209,227,32,13,32,39,17,17,17,7,21,5,15,7,7,57,3,45,23,386,20,64,29,31,45,910,310,20,41,12,25
