date,how to delete a youtube account,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete twitter,how to delete youtube,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-11-01,61,29,22,0,0,46,0,2,4,6,304,0,2,68,49,3,347,524,0,82,20,41,0,1,1,7,0,1,21,0,0,3,2,1,1,2,0,2,0,0,0,28,1,0,0,3,0,226,33,1,2,1,87,1,3,3,0,5,3,0,38,0,1,8,1,0
2011-12-01,62,23,32,0,0,31,2,2,5,8,282,0,2,72,47,1,393,693,0,105,17,47,0,3,2,12,0,2,33,0,1,2,1,0,0,2,0,2,0,0,0,20,2,1,0,3,0,212,35,0,3,0,93,1,2,3,0,4,4,0,48,0,2,7,1,1
2012-01-01,60,23,29,0,1,26,4,3,8,8,297,0,3,64,55,1,424,654,0,99,17,46,0,1,2,14,0,1,41,0,0,4,2,0,0,2,0,0,0,0,0,28,3,0,0,4,0,223,58,0,4,0,117,2,10,4,0,15,4,0,49,0,3,9,1,1
2012-02-01,50,21,29,0,0,26,4,3,11,8,297,0,4,56,50,1,416,585,0,82,14,35,0,2,1,17,0,1,45,0,0,2,1,0,0,2,1,2,0,0,0,44,3,1,0,8,1,208,80,0,7,1,127,3,16,8,1,16,5,0,50,0,1,8,1,0
2012-03-01,46,23,35,0,0,25,4,4,8,8,282,0,3,50,52,1,416,577,0,93,16,51,0,3,2,9,0,2,38,0,0,3,3,1,0,2,1,2,0,0,0,48,3,1,0,6,0,167,72,0,3,1,122,3,12,6,0,16,8,1,42,0,1,9,1,1
2012-04-01,67,24,26,0,2,32,3,1,9,8,200,0,8,56,63,1,493,577,0,75,16,40,0,2,1,10,0,3,45,0,1,5,2,1,0,1,2,1,0,0,0,48,1,2,0,7,0,186,42,1,7,0,97,8,5,5,0,4,15,0,43,0,3,11,1,0
2012-05-01,62,23,28,0,2,37,2,3,10,5,182,1,8,58,56,0,477,554,0,77,16,42,0,3,1,10,0,6,50,0,2,2,2,1,0,2,1,5,0,0,0,36,2,1,0,8,0,193,38,1,6,0,73,3,4,6,0,4,18,0,45,0,2,12,1,1
2012-06-01,72,24,26,0,1,40,1,3,10,7,210,1,14,63,78,1,524,608,0,72,19,45,0,3,1,12,0,12,53,0,1,1,1,0,2,2,1,1,1,0,0,48,1,1,0,5,0,193,33,1,8,0,64,2,3,5,0,2,28,0,52,1,0,11,1,0
2012-07-01,77,25,30,0,1,40,2,4,7,10,279,2,17,66,75,2,639,654,0,79,16,58,0,4,2,8,0,13,51,0,1,2,2,0,1,2,0,2,0,0,0,36,1,0,0,2,0,175,33,0,7,0,94,7,2,2,0,5,37,1,60,0,1,7,1,1
2012-08-01,75,36,32,0,3,42,2,2,7,6,276,2,19,79,92,0,616,647,0,75,19,54,1,4,3,7,0,10,38,0,1,2,1,1,1,1,1,1,1,0,0,20,1,2,0,4,1,238,32,0,6,1,78,2,3,4,1,6,43,1,49,1,1,6,1,0
2012-09-01,65,51,36,0,11,36,2,2,8,11,225,3,16,64,92,1,547,608,0,71,17,63,0,3,3,7,0,14,31,0,1,2,2,1,0,2,0,2,0,0,0,20,1,2,0,5,0,323,40,0,6,1,75,2,4,5,0,5,39,1,43,0,2,6,1,1
2012-10-01,54,51,29,0,12,44,1,2,8,9,185,6,14,56,73,1,539,608,0,65,16,57,0,4,1,8,0,12,52,0,1,3,2,1,0,1,1,1,1,0,0,36,1,1,0,4,0,319,34,3,7,1,92,4,3,4,0,4,43,1,51,0,1,9,1,1
2012-11-01,70,36,29,0,7,41,1,4,8,6,234,16,14,58,73,1,562,616,0,74,18,51,0,6,3,9,0,11,74,0,1,4,1,1,1,1,0,1,1,0,1,64,1,2,0,6,1,263,34,1,7,1,97,4,3,6,1,3,44,3,61,0,2,8,1,1
2012-12-01,64,32,37,0,8,42,4,4,8,8,252,18,26,66,77,1,662,708,0,72,19,54,1,8,2,13,0,17,25,1,1,3,2,1,1,1,1,1,1,0,0,52,1,55,0,2,0,271,42,1,8,0,90,4,2,3,0,3,57,8,48,0,1,8,1,1
2013-01-01,83,28,38,0,8,58,2,3,8,9,210,16,30,72,93,1,677,685,0,80,21,44,1,3,9,10,0,18,24,1,1,2,2,2,1,2,1,1,0,0,0,32,2,17,0,6,0,252,36,1,10,0,92,4,3,6,0,5,59,5,58,0,1,11,1,1
2013-02-01,71,30,40,0,5,66,2,3,8,9,200,8,30,73,91,1,631,677,0,77,17,55,0,7,7,8,0,17,22,0,1,4,2,1,1,2,1,1,1,0,0,40,1,4,0,6,0,275,48,1,8,1,92,6,5,6,0,3,63,7,49,0,1,14,2,2
2013-03-01,69,29,35,0,7,58,3,3,7,10,216,12,25,68,77,2,608,662,0,61,18,49,1,3,13,8,0,22,69,2,2,4,1,1,0,1,1,1,1,0,1,32,1,4,0,4,0,304,42,1,9,0,99,3,3,5,0,5,59,11,45,0,2,9,1,1
2013-04-01,73,25,35,0,5,54,2,2,9,11,225,19,31,78,67,1,570,670,0,72,19,49,1,4,21,10,0,23,25,1,1,4,2,1,1,1,1,1,0,0,0,28,1,4,0,7,1,193,40,2,11,1,78,3,3,7,0,2,59,14,44,0,2,6,2,1
2013-05-01,68,24,31,0,7,57,3,5,9,7,170,17,31,82,77,0,531,670,0,68,21,51,2,6,12,10,0,21,29,3,1,3,2,1,3,1,1,1,3,0,1,28,1,4,0,5,0,200,37,1,10,0,74,3,3,4,0,5,57,20,44,1,1,13,1,1
2013-06-01,73,27,31,0,6,77,4,4,9,13,176,27,40,86,83,4,593,708,0,71,23,61,2,6,7,8,0,20,27,4,2,2,6,1,2,1,1,1,4,0,1,24,1,2,0,5,0,193,47,1,13,1,65,2,4,4,0,3,59,29,40,1,3,12,2,1
2013-07-01,85,30,41,0,7,89,3,4,7,10,216,30,35,92,81,1,685,739,0,74,25,58,4,8,12,11,0,25,71,2,2,3,3,0,2,1,1,1,6,0,1,24,1,3,0,4,0,241,39,3,12,1,63,4,4,5,0,3,78,22,47,1,3,15,1,1
2013-08-01,100,27,42,0,7,70,4,5,6,12,216,23,40,97,73,0,670,770,0,68,27,58,2,8,18,6,0,22,41,1,2,5,3,1,2,1,1,1,4,0,1,20,2,5,0,4,1,186,96,4,14,3,57,3,6,4,0,3,72,20,42,1,2,8,1,2
2013-09-01,70,28,34,0,5,69,3,4,8,11,158,26,31,82,71,0,585,662,0,63,27,57,2,6,15,10,1,23,28,1,2,4,3,1,1,1,2,1,3,0,0,32,1,5,0,3,1,197,44,5,9,1,68,3,2,3,1,4,62,20,41,1,3,9,1,1
2013-10-01,59,26,35,3,3,62,2,4,5,11,173,25,27,90,75,2,524,600,0,60,24,60,3,7,6,9,1,14,23,1,1,2,3,1,1,1,1,2,6,2,1,116,1,6,0,3,0,267,61,6,7,1,80,4,4,4,0,5,49,19,46,2,2,8,1,1
2013-11-01,58,20,33,2,5,65,3,4,7,10,179,27,23,88,66,2,531,624,0,66,24,68,2,5,8,6,0,21,51,1,2,4,3,1,3,1,1,1,6,2,1,24,2,2,0,5,1,160,51,5,7,1,75,3,4,5,1,4,58,22,31,1,2,8,1,2
2013-12-01,69,21,38,6,5,75,3,4,7,11,219,36,36,105,72,1,593,662,0,57,25,72,2,6,14,7,0,27,68,1,2,3,2,1,1,1,1,2,5,0,1,28,2,10,0,4,1,152,44,5,9,1,78,4,4,5,1,4,60,33,33,1,1,6,2,1
2014-01-01,70,26,36,2,5,79,3,4,7,12,191,52,38,111,96,1,654,685,0,71,30,70,2,5,24,8,1,22,29,1,1,3,3,1,1,1,1,1,5,1,0,24,1,9,0,4,1,138,54,7,12,1,80,3,5,4,1,4,68,39,42,1,2,6,1,0
2014-02-01,64,16,33,4,5,68,2,4,9,12,146,29,33,111,89,1,616,608,0,60,23,62,2,6,18,10,1,19,24,1,1,3,3,1,1,1,3,1,6,1,1,28,1,3,0,5,1,126,47,7,11,1,73,3,3,5,1,7,58,26,42,2,2,8,1,1
2014-03-01,63,17,32,5,4,89,3,3,9,9,155,36,37,105,89,1,639,624,0,63,26,60,2,8,12,9,0,16,23,1,1,3,4,1,3,1,1,1,5,0,1,28,2,45,0,6,0,141,51,8,10,1,78,3,2,6,0,4,60,31,38,2,2,6,1,1
2014-04-01,58,19,33,5,3,90,2,5,7,10,179,36,33,99,77,1,608,639,0,63,26,64,1,7,15,10,1,28,59,1,1,3,2,1,2,1,1,3,7,1,1,28,1,3,0,6,1,134,49,9,11,1,83,2,4,5,1,4,76,31,40,1,3,6,2,1
2014-05-01,53,18,27,7,4,68,4,3,6,10,191,54,38,93,80,1,585,608,0,55,24,58,12,5,18,8,1,26,56,1,2,3,2,1,3,1,3,2,6,1,1,28,2,3,0,5,0,145,41,8,10,1,80,3,4,5,0,5,64,27,39,1,1,8,1,1
2014-06-01,54,19,26,4,5,60,2,3,11,8,170,42,40,96,86,1,600,624,0,63,23,55,3,8,28,11,1,21,29,1,1,4,3,1,2,3,1,1,5,1,1,28,1,4,0,4,2,123,45,9,14,1,69,5,3,3,2,2,66,26,44,1,2,8,1,2
2014-07-01,71,19,29,5,5,68,3,3,15,12,176,47,48,110,107,2,670,724,0,57,22,66,2,5,28,9,1,24,22,1,1,3,3,1,2,1,2,2,5,0,0,24,1,4,0,3,1,138,40,8,9,1,61,4,2,3,0,3,82,32,41,1,2,7,2,2
2014-08-01,73,24,28,5,4,75,2,3,11,11,182,37,41,109,93,1,670,747,0,157,29,73,2,7,23,9,1,30,26,1,1,2,2,3,2,1,1,1,8,1,1,36,1,5,0,5,1,145,42,6,13,3,64,6,3,5,1,3,77,28,49,1,2,5,1,2
2014-09-01,50,20,27,4,3,65,5,5,5,13,173,36,32,97,83,1,600,685,0,97,32,73,3,5,14,8,0,19,24,1,1,4,2,2,3,2,1,2,10,0,1,32,1,5,0,7,2,123,48,6,8,2,71,5,3,6,2,3,65,26,36,1,3,6,1,2
2014-10-01,51,21,24,4,6,64,4,4,9,15,158,47,34,93,89,2,585,639,0,72,31,65,2,5,11,9,1,19,20,1,1,3,2,2,1,1,1,2,9,0,1,28,1,4,0,5,1,115,51,8,7,3,80,4,3,5,1,4,71,25,38,1,2,8,2,1
2014-11-01,47,16,25,4,4,59,3,4,10,9,164,43,35,94,84,1,608,654,0,69,28,64,5,4,18,8,1,22,20,1,2,4,2,2,1,1,1,1,7,1,1,40,1,5,0,5,2,123,48,7,11,20,79,3,3,6,2,3,72,28,37,1,2,7,1,1
2014-12-01,47,14,29,4,4,65,5,4,9,12,176,54,53,94,97,1,647,716,0,60,27,69,3,8,23,6,1,28,21,1,2,3,2,2,2,1,1,1,6,1,1,64,1,6,0,6,1,134,43,7,8,7,75,4,3,4,1,3,82,39,33,1,2,5,2,1
2015-01-01,55,22,33,4,3,58,3,6,9,13,185,70,63,93,112,1,685,693,0,60,26,63,14,7,24,8,2,26,20,2,1,3,3,1,2,1,1,3,5,0,0,400,1,6,0,6,1,145,47,12,10,5,82,5,3,5,1,5,82,69,42,1,1,5,1,2
2015-02-01,47,16,30,5,2,44,2,3,7,10,182,44,45,87,97,1,639,624,0,68,26,64,7,7,15,5,1,23,21,2,1,3,3,3,2,1,1,1,7,0,1,36,1,6,0,4,2,119,45,11,5,6,80,3,3,5,2,6,68,22,40,1,2,5,2,1
2015-03-01,49,19,32,6,3,48,3,3,11,11,176,54,51,92,88,1,647,608,0,58,24,56,3,8,13,8,2,22,20,3,1,2,3,1,2,1,3,1,7,1,1,28,1,5,0,5,2,119,52,3,4,4,82,3,4,5,2,4,64,13,37,1,3,9,2,2
2015-04-01,47,17,29,7,2,47,4,3,8,14,210,43,52,85,83,1,662,639,0,55,23,59,4,8,18,8,2,24,33,2,1,3,3,1,1,1,3,1,7,0,1,28,1,4,0,5,2,112,46,6,4,6,83,2,4,5,2,4,68,19,37,1,2,5,3,1
2015-05-01,55,17,31,9,2,50,2,4,6,14,164,35,47,91,98,1,654,616,0,55,21,57,4,9,23,8,3,26,65,3,2,4,3,1,2,1,1,1,6,0,1,24,1,4,0,5,2,112,39,8,7,6,87,3,3,4,2,5,69,18,35,1,2,5,1,2
2015-06-01,55,15,26,5,2,49,4,4,6,10,152,42,54,96,124,1,708,647,0,58,30,60,2,6,28,8,3,24,45,3,2,3,2,1,1,1,2,1,5,0,1,20,1,2,0,5,6,115,53,7,4,13,80,3,5,4,5,4,84,15,38,1,2,7,2,2
2015-07-01,48,16,27,11,2,50,5,5,12,11,197,56,74,102,99,1,770,677,0,58,32,78,7,8,17,10,2,23,28,3,1,3,2,2,2,1,2,1,6,1,1,20,1,3,0,4,4,119,47,8,4,10,71,3,2,4,3,5,85,20,38,2,2,6,1,2
2015-08-01,52,18,31,6,1,52,5,7,9,11,213,60,71,108,83,1,754,685,0,58,30,74,4,9,13,6,3,21,30,2,2,2,2,2,2,1,1,1,7,0,1,24,1,2,0,4,1,115,42,8,4,4,80,4,4,4,1,4,76,21,37,1,2,6,1,1
2015-09-01,41,15,27,5,1,49,3,4,11,14,182,46,56,97,88,1,647,577,0,49,28,66,7,10,18,9,2,26,71,3,2,2,4,2,1,1,1,2,4,0,1,388,1,5,1,6,2,178,53,5,4,6,83,5,5,5,2,7,71,17,35,1,2,5,1,2
2015-10-01,39,14,23,5,2,43,4,5,11,12,140,39,57,93,96,1,593,570,0,58,26,62,4,7,16,7,2,22,55,3,1,4,2,1,2,1,1,1,3,0,1,56,1,4,0,5,2,115,47,6,2,4,89,3,3,6,2,6,69,14,26,1,2,8,1,2
2015-11-01,38,17,28,6,2,55,5,4,7,15,137,40,53,87,93,0,624,554,0,57,24,63,3,6,13,8,1,27,22,2,2,4,3,1,2,1,2,2,5,1,1,24,2,6,0,6,3,97,45,7,3,4,83,2,4,5,2,5,80,14,32,2,2,7,2,3
2015-12-01,49,16,29,6,1,52,4,4,5,16,155,47,63,99,92,2,654,639,0,58,23,62,5,6,13,9,1,24,20,2,1,4,3,2,1,1,1,1,6,1,1,24,1,4,0,6,1,93,48,7,3,2,80,2,2,6,1,5,89,15,32,2,3,6,1,4
2016-01-01,51,16,34,6,2,54,4,5,7,12,194,52,66,116,92,1,700,624,0,50,30,60,5,11,14,8,2,30,36,2,1,3,3,2,1,1,2,1,7,0,0,24,1,3,0,5,1,93,46,8,4,6,74,2,3,5,1,5,96,16,39,2,2,8,1,2
2016-02-01,41,16,26,6,3,52,2,5,5,16,179,46,61,97,68,1,600,554,0,57,29,54,5,7,19,7,4,28,62,2,2,4,3,2,2,1,2,2,4,0,0,20,1,7,0,6,1,86,49,4,3,4,80,2,3,5,2,5,90,15,33,2,2,7,1,2
2016-03-01,39,15,28,8,1,51,3,4,6,15,149,55,69,90,84,1,616,531,0,44,21,54,9,9,14,7,2,25,49,3,2,3,4,2,3,0,1,1,5,0,1,28,1,7,0,5,1,86,50,8,4,3,93,2,5,5,1,5,88,17,28,1,3,7,1,3
2016-04-01,39,14,31,10,1,47,3,5,5,16,161,56,60,90,89,1,585,524,0,54,23,51,13,11,11,7,3,26,22,3,1,4,4,0,2,1,8,1,5,0,13,28,0,5,0,5,2,89,45,10,1,7,88,2,3,5,2,5,93,19,32,2,2,11,1,35
2016-05-01,43,14,30,8,2,39,4,5,6,13,158,63,59,91,86,1,608,531,0,50,23,51,9,9,10,4,2,23,22,3,2,4,3,3,0,1,2,1,2,0,2,24,0,6,0,1,2,89,48,11,2,6,85,3,4,2,2,5,89,18,29,2,1,7,2,11
2016-06-01,45,18,27,8,2,38,4,5,9,15,210,66,77,93,88,0,700,547,0,57,25,56,15,10,14,10,5,27,44,4,3,3,3,1,1,1,3,1,3,0,3,164,1,8,0,6,3,115,45,9,2,7,80,3,3,6,2,4,109,21,42,1,1,7,1,8
2016-07-01,55,16,27,9,3,43,3,5,9,14,219,65,84,121,97,0,739,593,6,52,22,60,11,12,20,9,7,37,63,5,2,3,4,1,2,1,1,1,2,0,2,168,1,4,17,7,2,100,53,11,1,5,73,4,4,6,2,6,118,21,42,1,2,9,1,5
2016-08-01,46,19,29,9,3,45,3,3,6,14,173,57,71,114,88,0,685,593,3,55,28,54,9,9,14,6,3,33,37,4,2,3,4,2,2,2,2,1,2,0,1,28,1,6,7,5,2,89,49,10,1,5,74,5,3,5,1,4,116,21,35,1,2,8,1,7
2016-09-01,34,14,25,8,2,38,4,4,8,12,176,49,55,108,84,1,631,562,1,54,27,54,7,8,12,6,3,21,26,3,2,3,4,2,1,1,6,1,3,0,1,32,2,8,2,7,2,100,50,13,2,6,83,2,4,8,1,7,96,16,31,2,3,9,1,3
2016-10-01,41,15,28,7,2,35,4,3,7,14,170,49,63,104,81,1,600,531,0,52,26,55,10,9,12,7,3,28,27,3,1,4,3,2,2,1,3,2,3,0,1,204,0,7,1,6,3,104,50,12,3,7,83,3,4,5,3,6,97,19,29,1,2,9,2,5
2016-11-01,36,15,27,8,2,38,3,6,6,13,213,52,74,94,77,1,616,539,1,57,26,56,12,10,18,6,3,33,88,3,2,4,3,3,1,1,2,2,2,1,1,24,1,7,0,5,2,86,46,10,2,7,79,2,4,6,3,5,95,20,33,2,2,9,2,4
2016-12-01,46,14,29,9,1,42,4,5,8,13,188,65,85,116,83,2,616,593,0,54,23,60,6,10,21,5,6,28,36,3,2,3,4,2,2,1,2,1,3,0,2,24,1,6,2,5,3,89,43,14,2,13,71,2,4,4,4,6,102,20,31,1,3,6,3,6
2017-01-01,43,15,32,9,2,49,4,5,8,17,200,61,78,120,103,1,731,608,0,71,21,58,6,11,19,9,2,25,30,4,2,4,5,2,2,2,2,1,3,1,1,36,1,7,0,6,3,97,52,13,2,8,82,4,4,6,3,7,118,23,40,2,3,5,2,3
