date,how to encrypt whatsapp,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages
2012-12-01,4,98,99,0,29,152,10,13,26,18,759,200,57,79,184,212,0,0,241,57,156,5,20,7,34,0,37,80,3,2,4,6,2,2,0,2,4,2,0,2,5,162,0,13,0,119,2,20,0,262,10,8,13,0,10,147,19,141,0,2,28,4
2013-01-01,2,86,114,0,28,157,6,7,20,24,625,215,40,84,224,254,3,0,241,61,135,4,12,24,39,0,57,53,5,6,6,3,8,2,4,0,2,2,0,0,3,41,0,15,0,117,2,41,0,274,8,7,15,0,10,170,21,141,0,4,30,3
2013-02-01,3,82,107,0,13,177,6,7,20,28,542,252,18,86,197,281,3,0,201,49,139,2,15,17,28,0,44,70,2,2,5,6,2,6,5,2,4,3,2,0,5,13,0,17,0,133,0,26,2,297,12,13,17,0,10,170,21,134,0,4,30,4
2013-03-01,3,85,107,0,25,162,8,11,18,25,592,223,48,65,180,235,5,0,178,60,126,4,11,36,23,0,59,205,3,3,9,6,3,2,2,2,5,2,0,0,4,12,0,14,0,119,3,33,0,243,5,7,14,0,14,194,33,133,0,6,30,3
2013-04-01,2,67,87,0,18,134,7,12,32,34,609,200,65,72,214,185,3,0,219,59,139,2,16,60,25,2,56,98,5,4,6,6,2,2,2,2,5,0,0,0,4,13,0,13,0,117,4,29,3,274,10,9,13,0,11,184,36,117,0,5,24,6
2013-05-01,3,68,83,0,19,172,6,8,24,20,492,209,50,77,240,220,3,0,210,62,137,3,22,36,28,0,50,85,9,2,5,7,2,4,4,3,2,10,0,2,3,13,0,7,0,111,2,29,2,224,7,11,7,0,11,160,72,125,0,4,32,3
2013-06-01,2,70,89,0,22,208,10,10,31,41,484,229,83,117,247,254,8,0,187,80,169,4,22,16,27,0,49,78,8,7,8,13,2,4,2,5,8,12,0,0,2,7,0,11,0,125,3,29,2,200,6,11,11,0,7,167,100,113,2,13,32,2
2013-07-01,4,89,112,0,14,247,12,8,19,33,617,232,81,110,267,227,6,0,191,66,175,8,14,29,29,0,69,203,4,5,13,13,4,5,9,0,4,18,0,2,8,9,0,14,0,128,6,38,2,177,13,11,14,0,9,204,70,133,2,6,29,4
2013-08-01,3,78,124,0,16,188,12,12,23,34,609,286,81,112,280,231,2,0,196,64,154,6,20,54,25,0,78,108,5,2,11,6,3,7,2,2,2,17,0,2,8,12,0,11,2,271,15,39,3,181,9,16,11,2,9,200,59,134,0,4,22,2
2013-09-01,3,65,108,0,15,195,9,9,25,30,417,209,63,84,234,193,5,0,191,75,171,5,16,47,31,0,60,90,4,4,9,6,2,2,6,3,4,13,0,2,4,17,0,12,2,133,11,33,4,224,7,7,12,2,23,170,76,118,2,7,32,4
2013-10-01,3,77,96,6,10,177,7,7,15,27,467,169,73,86,264,216,5,0,169,65,171,9,18,16,27,0,40,68,2,4,8,7,2,2,2,2,3,12,5,2,5,17,0,12,0,171,13,17,0,239,7,11,12,0,12,154,61,107,2,5,26,2
2013-11-01,2,65,86,12,7,190,10,11,14,27,492,178,79,67,254,177,5,0,173,65,188,6,16,24,23,0,61,138,3,7,8,7,2,9,4,2,4,12,2,2,3,9,0,15,3,163,13,24,2,250,5,15,15,3,11,157,70,81,2,4,23,4
2013-12-01,3,61,103,16,18,221,10,11,25,27,592,186,104,110,314,204,4,0,182,73,196,8,19,37,17,2,75,205,4,5,6,12,0,4,3,2,4,21,0,2,5,33,0,11,2,141,12,31,4,220,8,13,11,2,8,177,91,102,2,4,17,4
2014-01-01,2,71,103,9,18,224,7,13,22,30,534,212,144,103,317,266,2,0,201,90,196,8,22,68,27,2,68,78,2,2,5,8,0,6,5,3,3,19,2,0,7,13,0,8,2,168,19,30,4,239,9,8,8,2,14,180,117,125,6,7,22,2
2014-02-01,3,50,109,11,8,206,7,8,26,36,417,155,85,93,304,277,2,0,191,77,175,8,18,52,31,2,52,68,5,3,11,8,2,4,2,6,3,16,2,3,4,10,0,13,2,138,20,27,3,239,10,11,13,2,14,167,93,118,3,6,33,5
2014-03-01,3,53,100,15,13,257,5,9,26,28,442,183,106,110,294,247,2,0,187,74,188,4,23,33,30,2,52,75,3,0,10,11,4,7,3,4,4,16,0,2,5,104,0,17,2,133,24,30,4,231,6,11,17,2,12,170,104,102,3,3,20,2
2014-04-01,3,58,84,14,15,254,10,13,28,34,509,186,99,110,290,224,3,0,182,79,183,3,25,45,23,2,73,158,3,5,6,5,2,6,3,6,5,16,2,3,6,15,0,14,2,149,23,30,4,224,7,12,14,2,14,194,91,118,3,8,16,6
2014-05-01,3,51,84,22,12,177,11,10,13,33,542,163,148,103,267,227,2,0,169,64,166,24,12,52,27,4,73,158,3,7,12,4,2,3,5,5,3,20,0,2,3,10,0,14,2,144,20,27,7,235,11,7,14,2,9,184,82,118,2,6,22,3
2014-06-01,3,54,86,10,18,172,6,12,24,25,484,169,138,117,264,239,2,0,191,76,160,12,22,72,33,3,58,78,2,4,9,8,4,5,4,5,3,19,0,0,2,15,0,13,2,117,20,37,5,220,11,7,13,2,9,190,68,113,3,7,21,3
2014-07-01,6,57,82,15,18,203,8,9,35,35,434,218,116,143,317,274,4,0,178,76,200,7,13,82,28,4,74,75,4,7,9,8,3,2,2,9,4,15,0,4,4,10,0,6,2,109,28,25,2,181,12,8,6,2,8,234,97,113,2,5,23,4
2014-08-01,4,60,78,11,9,224,7,10,27,33,517,203,102,139,320,293,2,0,455,80,209,5,28,65,30,2,67,68,2,2,7,4,5,7,2,4,2,18,2,5,2,9,0,17,2,130,18,31,3,189,22,15,17,2,7,217,82,133,2,7,15,4
2014-09-01,5,44,83,16,10,188,18,9,26,35,509,160,102,100,270,250,4,0,296,91,200,8,15,44,29,3,58,70,3,3,8,6,7,5,3,4,4,24,0,3,4,12,0,17,0,133,24,29,8,250,13,11,17,0,10,184,78,96,4,9,20,5
2014-10-01,4,51,72,12,15,201,11,10,26,37,467,155,134,96,270,262,4,0,205,83,194,7,17,34,22,4,60,58,4,3,4,6,6,4,6,5,5,25,0,2,3,12,0,13,3,149,27,26,6,231,12,14,13,3,11,184,76,104,3,7,23,8
2014-11-01,4,48,78,14,13,162,9,17,25,35,459,155,114,120,267,258,4,0,205,77,196,9,18,48,21,3,64,60,5,6,14,6,5,5,3,4,7,18,0,5,3,17,0,16,4,144,26,29,56,216,13,10,16,4,12,204,102,120,4,5,23,2
2014-12-01,6,50,88,12,10,190,12,11,24,34,501,146,159,146,280,262,2,0,191,75,213,8,25,73,17,3,80,75,2,3,10,5,6,5,2,5,7,20,0,3,2,18,0,10,4,114,24,27,22,212,11,10,10,4,7,237,104,102,4,7,17,4
2015-01-01,5,54,86,20,14,170,9,18,29,30,542,186,197,155,287,343,2,0,191,71,198,41,17,68,22,6,67,58,6,4,10,10,4,6,4,4,6,14,0,2,2,15,0,17,5,138,28,21,10,243,15,11,17,5,14,247,189,121,3,6,15,3
2015-02-01,3,50,93,17,6,136,8,10,21,34,492,140,124,134,264,266,3,0,201,80,173,24,17,49,19,3,67,63,6,6,7,7,4,6,5,6,4,12,0,0,3,15,0,14,3,128,32,11,16,235,7,9,14,3,16,190,70,115,2,6,21,3
2015-03-01,7,51,96,21,5,139,8,14,25,36,509,163,157,143,267,227,5,0,169,77,171,10,21,35,28,5,59,60,6,3,6,7,5,5,3,8,4,17,2,2,4,15,0,14,3,146,21,10,13,243,10,12,14,3,13,200,44,105,6,9,22,5
2015-04-01,3,50,84,17,5,134,11,12,26,42,550,149,126,167,250,239,5,0,155,70,162,16,26,47,23,4,69,93,8,2,12,6,2,3,4,8,3,21,2,0,3,15,0,14,5,144,20,15,19,235,8,10,14,5,14,187,53,102,0,5,16,2
2015-05-01,6,48,89,21,5,136,10,12,17,39,442,143,104,134,280,258,4,0,150,65,162,10,23,68,22,8,66,190,9,4,8,8,3,8,3,3,2,17,0,6,3,12,0,13,6,114,26,15,24,239,6,10,13,6,14,204,50,91,2,6,16,3
2015-06-01,4,41,86,12,8,136,8,12,22,35,442,166,126,143,284,385,3,0,150,76,171,10,23,88,29,4,71,130,8,3,10,6,4,5,4,5,6,18,2,2,3,9,0,15,19,157,17,10,38,212,9,13,15,19,13,234,51,105,3,7,24,4
2015-07-01,5,53,86,36,6,147,12,17,30,41,592,166,153,205,284,297,3,0,169,80,213,23,23,43,28,7,77,73,6,4,9,4,5,5,5,5,5,19,0,2,2,7,0,14,8,136,20,13,26,224,8,10,14,8,9,240,55,96,11,8,18,4
2015-08-01,8,51,89,16,7,175,11,18,31,41,617,149,161,196,314,247,3,0,178,92,200,8,13,37,17,6,55,83,7,3,9,7,6,6,3,3,3,19,0,2,3,10,0,13,5,144,26,10,11,243,9,12,13,5,12,224,53,102,4,9,14,3
2015-09-01,7,54,82,19,4,152,8,10,28,38,467,123,134,162,277,258,2,0,164,79,196,19,26,50,28,10,72,203,8,6,12,11,3,6,6,4,2,18,2,2,4,17,2,18,6,144,20,8,22,250,13,11,18,6,20,204,55,94,4,8,19,5
2015-10-01,6,37,70,22,9,126,12,10,25,36,400,115,114,153,264,289,3,0,164,80,179,11,27,48,21,10,69,173,7,3,12,8,4,4,3,4,3,9,0,2,4,12,0,24,6,138,21,7,15,235,5,10,24,6,16,197,40,81,1,8,18,5
2015-11-01,8,47,82,19,3,149,13,18,23,36,392,100,112,158,247,281,2,0,155,69,181,9,20,31,21,4,67,73,8,8,8,9,6,7,3,5,3,14,0,2,4,20,0,16,5,138,22,10,12,224,7,10,16,5,14,210,34,83,5,7,20,4
2015-12-01,8,48,84,16,5,142,13,15,16,45,442,140,128,174,277,266,3,0,182,83,177,23,15,37,22,6,75,65,9,6,9,10,6,4,3,4,3,16,2,2,3,13,0,13,2,133,20,9,14,243,7,9,13,2,11,257,53,96,3,5,23,5
2016-01-01,5,53,94,17,4,149,9,14,20,37,534,149,142,212,314,270,3,0,160,77,173,17,29,42,21,5,85,113,7,4,9,11,5,5,4,6,4,18,0,1,5,13,0,16,7,133,25,11,17,235,6,11,16,7,12,260,42,102,5,7,17,5
2016-02-01,5,50,89,19,4,152,7,10,29,42,509,126,134,174,274,200,4,0,160,68,164,15,21,54,23,7,79,180,6,5,14,10,4,8,3,7,6,14,1,2,1,20,0,15,3,138,20,7,17,247,8,11,15,3,15,247,53,84,3,4,20,3
2016-03-01,9,44,84,20,3,144,10,14,21,42,417,129,151,193,267,247,3,0,137,66,156,24,22,39,18,9,72,160,10,5,9,12,5,7,3,4,4,13,0,2,3,20,0,13,2,144,26,7,13,304,6,12,13,2,17,260,57,92,5,5,30,5
2016-04-01,100,36,83,29,5,147,8,12,12,39,417,123,151,174,270,239,2,0,146,62,147,34,32,28,20,10,81,73,10,5,12,13,2,2,4,20,3,10,1,35,7,13,0,15,6,141,30,4,21,262,6,7,15,6,17,254,55,102,4,8,30,4
2016-05-01,26,44,82,29,7,108,12,12,19,36,451,132,185,172,250,239,3,0,137,62,143,25,24,27,15,13,58,60,10,5,12,8,5,3,5,4,3,8,0,6,3,13,0,11,5,136,25,5,18,262,9,9,11,5,13,254,61,83,5,5,26,6
2016-06-01,20,53,78,23,4,113,11,10,18,35,617,149,183,217,264,247,2,0,182,72,164,42,32,39,29,10,92,133,9,8,12,10,4,2,2,8,1,9,1,8,2,23,0,16,6,133,31,5,18,247,7,8,16,6,11,310,50,118,4,4,20,2
2016-07-01,17,51,73,25,8,121,10,14,23,44,609,172,183,239,334,258,2,16,160,71,169,26,31,66,30,16,94,198,13,6,12,7,3,5,4,4,1,13,1,5,3,20,49,15,5,149,34,3,15,204,11,10,15,5,15,330,72,123,5,5,23,8
2016-08-01,13,47,84,28,10,144,7,14,20,41,492,152,171,200,327,239,0,6,164,78,169,23,24,33,20,12,99,98,12,4,10,8,7,4,3,6,4,10,1,2,2,15,15,13,4,144,31,7,18,231,10,8,13,4,13,307,65,104,6,5,22,5
2016-09-01,14,44,83,19,5,116,13,10,18,41,509,112,155,158,297,231,1,3,164,84,160,29,34,36,17,8,73,68,11,6,6,10,6,5,3,15,4,9,0,1,4,23,4,22,4,149,34,5,15,258,4,12,22,4,20,280,44,91,9,5,22,4
2016-10-01,11,50,88,27,7,98,13,11,23,40,484,115,167,196,290,220,4,1,155,69,158,26,24,38,15,7,74,70,9,5,13,9,4,4,5,5,6,5,0,2,3,18,2,15,7,138,35,8,17,254,9,11,15,7,14,274,53,78,4,5,26,5
2016-11-01,13,50,76,22,5,111,9,13,21,38,575,100,153,217,300,231,2,1,164,81,164,33,28,51,22,10,95,250,12,8,14,8,8,4,3,7,5,7,3,4,4,20,1,14,7,125,31,5,25,239,6,10,14,7,19,287,55,96,5,11,15,7
2016-12-01,11,44,83,32,6,124,9,13,21,40,509,129,175,231,317,227,3,1,164,66,166,21,23,59,17,11,88,103,11,7,13,10,6,5,4,8,2,6,2,5,2,17,3,16,13,125,34,3,38,224,5,13,16,13,13,274,57,92,4,9,16,8
2017-01-01,14,44,103,24,4,134,14,14,23,40,525,126,179,222,324,289,1,2,201,74,160,19,38,57,28,8,74,93,10,6,13,11,6,2,2,5,2,7,2,3,2,23,2,20,10,144,35,5,26,243,12,12,20,10,14,334,67,117,3,5,13,4
