date,how to delete snapchat,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete twitter,how to delete youtube,delete account instagram,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on instagram,how to unfriend someone on facebook,whatsapp security settings,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,skype encryption,how to encrypt whatsapp
2013-06-01,19,2,2,0,0,5,0,1,1,12,5,2,3,6,6,218,56,39,49,42,4,2,4,0,0,0,1,1,2,0,0,0,1,0,0,0,13,3,0,0,1,0,4,0,0,0,0,15,4,2,3,1,0
2013-07-01,18,2,3,0,1,6,0,1,1,15,6,2,2,6,5,222,56,44,51,25,5,2,4,0,0,1,1,2,5,0,0,0,1,0,0,0,15,3,0,0,1,0,4,0,0,0,0,14,5,1,3,1,0
2013-08-01,17,2,3,0,1,5,0,1,1,15,7,2,3,7,6,222,58,43,54,28,5,2,4,0,1,1,1,2,2,0,0,0,1,0,0,0,13,7,0,0,1,0,4,0,0,0,0,14,5,1,3,1,0
2013-09-01,15,2,2,0,0,5,0,0,1,11,5,2,2,6,5,208,57,36,46,27,5,2,4,0,0,1,0,1,2,0,0,0,3,0,0,0,13,3,0,0,1,0,5,0,0,0,0,14,4,2,3,1,0
2013-10-01,32,2,2,0,0,4,0,0,1,12,4,2,2,6,5,197,55,34,43,28,4,2,4,0,1,0,1,1,2,0,0,0,8,0,0,0,18,4,0,0,1,0,5,0,0,0,0,12,3,1,3,0,0
2013-11-01,28,1,2,0,0,5,0,0,1,13,4,2,2,6,5,190,55,33,44,22,4,2,4,0,0,1,1,1,3,0,0,0,2,0,0,0,10,4,0,0,1,0,6,0,0,0,0,11,4,2,2,1,0
2013-12-01,35,1,3,0,0,5,0,1,1,15,5,3,3,7,5,200,65,38,46,22,4,2,4,0,1,1,1,2,4,0,0,0,2,1,0,0,10,3,0,0,1,0,5,0,0,0,0,11,4,2,2,0,0
2014-01-01,49,2,3,0,0,6,0,1,1,14,5,4,3,8,7,211,70,44,48,31,5,2,5,0,0,1,1,1,2,0,0,0,2,0,0,0,10,3,0,0,1,0,5,0,0,0,0,12,4,3,3,0,0
2014-02-01,34,1,2,0,0,5,0,1,1,10,5,2,2,8,6,197,66,40,44,37,4,2,4,0,1,1,1,1,1,0,0,0,2,0,0,0,9,3,0,0,1,0,5,0,0,0,0,11,4,2,3,1,0
2014-03-01,37,1,2,0,0,6,0,1,1,11,4,3,3,7,6,190,64,41,45,33,4,2,5,0,0,1,1,1,2,0,0,0,1,3,0,0,10,3,1,0,1,0,5,0,0,0,0,11,4,2,3,0,0
2014-04-01,39,1,2,0,0,6,0,1,1,12,4,3,2,7,5,186,64,40,44,29,4,2,4,0,1,1,0,2,4,0,0,0,2,0,0,0,9,3,1,0,1,0,5,0,0,0,0,11,5,2,2,0,0
2014-05-01,100,1,2,1,0,5,0,0,1,13,4,4,3,6,5,190,64,39,43,29,4,2,4,1,0,1,0,2,4,0,0,0,2,0,0,0,9,3,0,0,1,0,6,0,0,0,0,12,5,2,3,0,0
2014-06-01,52,1,2,0,0,4,0,1,1,12,4,3,3,6,6,204,64,39,44,43,4,2,4,0,1,1,1,1,2,0,0,0,2,0,0,0,9,3,1,0,1,0,5,0,0,0,0,11,5,2,3,0,0
2014-07-01,45,1,2,0,0,5,0,1,1,13,5,3,3,8,7,208,68,43,51,45,4,2,5,0,0,2,1,2,2,0,0,0,2,0,0,0,9,3,1,0,1,0,4,0,0,0,0,12,5,2,3,0,0
2014-08-01,42,2,2,0,0,5,0,1,1,13,5,3,3,8,6,225,73,44,53,36,10,2,5,0,1,2,0,2,2,0,0,0,3,0,0,0,10,3,0,0,1,0,4,1,0,0,0,12,6,2,3,0,0
2014-09-01,45,1,2,0,0,5,0,1,1,12,4,3,2,7,6,197,69,40,48,28,7,2,5,0,0,1,0,1,2,0,1,0,2,0,0,0,9,3,1,0,1,0,5,0,0,0,0,11,4,2,2,1,0
2014-10-01,46,1,2,0,0,5,0,1,1,12,4,3,2,6,6,190,67,38,45,28,5,2,5,0,0,1,0,2,1,0,1,0,2,0,0,0,8,3,1,0,1,0,6,0,0,0,0,11,5,2,2,0,0
2014-11-01,51,1,2,0,0,4,0,1,1,11,3,3,2,7,6,179,65,41,45,37,5,2,5,0,0,1,1,2,1,0,0,0,3,0,0,0,8,3,1,0,1,1,5,0,0,0,0,10,5,2,3,0,0
2014-12-01,56,1,2,0,0,5,0,1,1,12,3,4,4,7,7,186,63,42,48,43,4,2,4,0,1,1,1,2,1,0,0,0,4,0,0,0,8,3,1,0,1,1,5,0,0,0,0,10,6,3,3,0,0
2015-01-01,66,2,2,0,0,4,0,1,1,13,4,5,4,6,8,193,62,46,48,45,4,2,5,1,1,2,1,2,1,0,0,0,27,0,0,0,10,3,1,0,0,0,6,0,0,0,0,10,5,5,3,0,0
2015-02-01,59,1,2,0,0,3,0,1,1,13,3,3,3,6,7,183,60,41,43,36,4,2,4,1,1,1,1,2,1,0,0,0,2,0,0,0,7,3,1,0,0,0,5,0,0,0,0,9,4,2,2,0,0
2015-03-01,51,1,2,0,0,3,0,1,1,12,3,4,4,6,6,175,59,43,43,37,4,2,4,0,0,1,0,1,2,0,0,0,2,0,0,0,7,3,0,0,0,0,5,0,0,0,0,9,5,1,3,0,0
2015-04-01,53,1,2,1,0,3,0,1,1,14,3,3,4,6,6,175,60,44,43,41,4,2,4,0,1,1,1,2,2,0,0,0,2,0,0,0,7,3,0,0,0,0,5,0,0,0,0,8,5,1,2,1,0
2015-05-01,53,1,2,1,0,3,0,0,1,12,4,2,3,7,7,179,59,43,43,44,4,2,4,0,1,1,0,1,4,0,0,0,1,0,0,0,7,3,1,0,0,0,6,0,0,0,0,8,4,1,3,0,0
2015-06-01,58,1,2,0,0,3,0,1,1,11,4,3,4,7,8,193,62,45,44,47,4,2,4,0,0,2,1,2,3,0,0,0,1,0,0,0,7,3,1,0,0,1,5,0,0,0,0,9,5,1,3,0,0
2015-07-01,65,1,2,1,0,4,0,1,1,14,3,4,5,7,7,204,65,51,48,60,4,2,5,1,0,1,1,2,2,0,0,0,2,0,0,0,8,3,1,0,0,1,5,0,0,0,0,11,6,1,2,0,0
2015-08-01,53,1,2,0,0,4,1,1,1,15,4,4,5,8,6,197,69,49,48,67,4,2,5,0,1,1,0,1,2,0,0,0,2,0,0,0,8,3,1,0,0,0,6,0,0,0,0,10,5,1,2,0,0
2015-09-01,50,1,2,0,0,3,0,1,1,12,3,3,4,7,6,179,66,44,41,64,4,2,4,1,1,1,1,2,5,0,0,0,27,0,0,0,12,3,1,0,0,1,5,0,0,0,0,9,5,1,2,0,0
2015-10-01,41,1,2,0,0,3,0,1,1,10,3,3,4,7,7,175,61,40,39,56,4,2,4,0,1,1,1,1,3,0,0,0,4,0,0,0,7,3,0,0,0,0,6,0,0,0,0,9,5,1,2,0,0
2015-11-01,41,1,2,0,0,4,0,0,1,10,3,3,4,6,7,175,59,41,38,55,3,2,4,0,0,1,0,2,2,0,0,0,2,0,0,0,6,3,1,0,0,0,6,0,0,0,0,8,5,1,2,0,0
2015-12-01,44,1,2,0,0,4,0,0,1,11,3,3,4,7,7,183,62,41,43,59,4,2,4,0,0,1,1,2,1,0,0,0,1,0,0,0,6,3,0,0,0,0,6,0,0,0,0,8,6,1,2,0,0
2016-01-01,49,1,2,0,0,4,0,0,1,14,4,4,5,8,6,190,67,46,44,70,4,2,4,0,1,1,1,2,3,0,0,0,1,0,0,0,7,3,1,0,0,0,5,0,0,0,0,9,6,1,2,1,0
2016-02-01,46,1,2,0,0,4,0,0,1,12,3,3,4,7,5,172,63,39,38,83,4,2,4,0,1,1,0,2,4,0,0,0,2,0,0,0,6,3,0,0,0,0,5,0,0,0,0,9,6,1,2,0,0
2016-03-01,53,1,2,1,0,4,0,0,1,10,3,4,5,6,6,175,62,40,38,71,3,2,4,1,1,1,0,2,4,0,0,0,2,0,0,0,6,3,1,0,0,0,6,0,0,0,1,8,5,1,2,1,0
2016-04-01,58,1,2,1,0,3,0,0,1,11,3,4,4,6,6,186,60,39,38,66,4,1,3,1,1,1,0,2,2,1,0,1,2,0,0,0,6,3,1,0,0,0,6,0,0,0,0,9,6,1,3,1,2
2016-05-01,59,1,2,1,0,3,0,0,1,11,3,4,4,6,6,183,61,40,38,70,3,2,3,1,1,1,0,2,2,0,0,0,2,0,0,0,6,3,1,0,0,0,6,0,0,0,0,9,6,1,2,1,1
2016-06-01,65,1,2,1,0,3,0,0,1,15,3,5,5,6,6,193,66,45,39,99,4,2,4,1,1,1,1,2,3,0,0,0,11,1,0,0,8,3,1,0,0,0,5,0,0,0,0,9,7,1,3,1,1
2016-07-01,72,1,2,1,0,3,0,1,1,15,4,5,6,8,7,204,68,48,43,106,4,2,4,1,1,1,1,2,5,0,0,0,12,0,1,0,7,4,1,38,0,0,5,0,0,0,0,9,8,1,3,0,0
2016-08-01,65,1,2,1,0,3,0,0,1,12,3,4,5,8,6,193,68,45,41,81,3,2,4,1,1,1,0,2,2,0,0,0,2,0,0,0,6,3,1,17,0,0,5,0,0,0,0,9,8,1,2,1,0
2016-09-01,57,1,2,1,0,3,0,1,1,12,2,3,4,8,6,193,69,40,40,77,4,2,4,0,1,1,0,2,2,0,0,0,2,0,0,1,7,3,1,5,0,0,5,0,0,1,1,10,7,1,2,1,0
2016-10-01,59,1,2,1,0,2,0,1,1,12,3,3,4,7,5,190,65,39,38,96,4,2,4,1,1,1,0,2,2,0,0,0,14,0,0,0,7,3,1,2,0,0,6,0,0,0,0,9,7,1,2,1,0
2016-11-01,57,1,2,1,0,3,0,0,1,15,3,4,5,7,5,193,65,40,39,109,4,2,4,1,1,1,0,2,6,0,0,0,2,0,0,0,6,3,1,2,0,1,5,0,0,0,0,10,7,1,2,0,0
2016-12-01,65,1,2,1,0,3,0,0,1,13,3,5,6,8,6,186,72,40,42,99,4,2,4,1,1,1,0,2,3,0,0,0,2,0,0,0,6,3,1,1,0,1,5,0,0,0,0,9,7,1,2,0,0
2017-01-01,67,1,2,1,0,3,0,1,1,14,3,4,5,8,7,200,72,48,43,97,5,2,4,0,1,1,1,2,2,0,0,0,2,1,0,0,6,3,1,1,0,1,6,0,0,0,0,10,8,2,3,0,0
