date,how to unfollow on twitter,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,search without history,how to delete a facebook account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,best private messaging app,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,gmail privacy issues,Twitter privacy policy,uber privacy policy,Gmail privacy,private instagram posts,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,instagram privacy policy,twitter privacy policy,privacy policy uber,how to unfollow on Instagram,remove snapchat friends,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages
2013-02-01,83,50,65,0,8,110,4,4,17,343,11,53,118,162,2,0,123,30,86,1,11,10,15,0,27,44,1,1,3,1,3,1,3,2,0,3,10,0,82,0,1,160,7,8,8,10,0,107,15,0,3,18,3
2013-03-01,82,52,65,0,13,100,4,7,15,358,29,40,108,139,3,0,109,37,78,2,7,22,15,0,36,127,2,2,5,2,1,1,3,1,0,3,8,0,74,2,0,155,3,4,7,8,0,121,18,0,4,18,2
2013-04-01,72,41,53,0,9,83,6,7,21,364,40,44,128,112,2,0,134,37,86,1,7,37,18,1,35,60,3,2,4,1,1,1,3,0,0,3,8,0,72,2,2,153,6,6,7,8,0,115,25,0,3,16,4
2013-05-01,77,41,51,0,11,107,3,5,12,306,31,47,144,130,2,0,128,38,85,2,12,22,16,0,31,53,6,2,3,1,2,2,1,6,1,2,5,0,69,1,1,128,5,7,8,5,0,100,42,0,2,21,2
2013-06-01,70,42,55,0,11,129,8,6,25,306,51,72,148,144,5,0,114,49,104,2,12,10,15,0,30,48,5,3,5,1,1,3,5,7,0,1,7,0,77,2,1,114,4,7,4,7,0,105,61,1,8,20,1
2013-07-01,82,55,68,0,11,153,7,5,20,390,50,67,160,130,3,0,117,41,108,5,8,18,17,0,43,125,3,3,8,2,6,0,2,11,1,5,8,0,79,4,1,98,8,7,5,8,0,128,42,1,4,20,2
2013-08-01,83,47,76,0,11,116,8,8,21,379,50,69,168,137,1,0,120,39,95,4,10,33,16,0,48,67,3,1,7,2,1,1,1,10,1,5,7,1,167,9,2,110,5,10,7,7,1,126,35,2,3,13,1
2013-09-01,73,40,66,0,9,121,4,5,18,264,39,51,140,128,3,0,117,46,106,3,11,29,15,0,37,56,2,2,5,1,4,2,2,8,1,2,7,1,82,7,2,132,4,5,10,7,1,107,44,1,4,18,2
2013-10-01,66,46,58,4,5,110,3,4,16,290,45,53,158,132,3,0,103,40,106,6,13,10,15,0,25,42,1,3,5,1,1,1,2,8,1,3,7,0,105,8,0,139,4,7,10,7,0,96,40,1,3,13,1
2013-11-01,50,40,52,9,5,118,6,7,17,311,49,41,152,112,3,0,106,40,116,4,8,15,13,0,38,85,2,3,5,1,3,1,3,7,1,2,9,2,100,8,1,150,3,9,5,9,2,98,45,1,2,15,2
2013-12-01,63,38,63,9,10,137,7,7,16,385,64,67,188,132,3,0,112,45,122,5,11,23,13,1,46,127,3,3,4,0,2,1,2,13,1,3,7,1,87,8,2,130,5,8,20,7,1,111,58,1,3,13,3
2014-01-01,77,44,63,8,10,139,4,8,19,343,88,63,190,153,1,0,123,56,122,5,13,42,18,1,42,48,1,2,3,0,3,2,2,11,0,4,5,1,104,12,2,139,6,5,8,5,1,113,71,4,4,13,2
2014-02-01,73,30,66,7,7,127,3,5,22,258,52,57,182,173,1,0,117,47,108,5,11,32,19,1,32,42,3,2,7,1,1,4,2,10,2,2,8,1,85,12,2,132,6,7,6,8,1,105,55,3,4,20,3
2014-03-01,63,32,61,8,7,159,3,6,17,264,66,67,176,157,1,0,114,46,116,3,13,20,16,1,32,47,2,2,6,2,2,3,3,10,1,3,11,1,82,15,2,132,4,7,64,11,1,107,59,2,2,11,1
2014-04-01,73,35,51,9,8,158,6,8,21,322,61,67,174,144,2,0,112,49,114,2,12,28,13,1,45,97,2,3,4,1,2,4,3,10,2,3,9,1,92,14,3,132,4,7,9,9,1,121,58,2,5,9,4
2014-05-01,73,32,51,13,7,110,8,6,20,332,91,63,160,141,1,0,103,39,103,15,7,32,14,2,45,97,2,4,7,1,3,3,2,12,1,2,9,1,89,12,5,141,7,5,6,9,1,115,48,2,3,11,2
2014-06-01,70,33,52,7,10,107,3,7,15,300,85,72,158,150,1,0,117,46,99,7,12,44,22,2,36,48,1,2,6,2,3,3,2,12,0,1,8,1,72,12,3,121,7,4,9,8,1,119,42,2,5,15,2
2014-07-01,70,35,50,9,10,126,5,6,22,279,72,87,190,182,2,0,109,47,124,4,7,51,16,2,46,47,2,3,6,2,1,6,2,9,2,2,4,1,67,18,1,107,7,5,6,4,1,146,61,1,3,12,3
2014-08-01,82,36,48,7,6,139,4,6,20,316,63,85,192,171,2,0,278,49,129,3,15,40,15,2,41,42,1,2,5,3,1,3,2,11,3,1,11,1,80,11,2,110,14,9,5,11,1,136,48,1,4,9,3
2014-09-01,59,27,51,10,5,116,10,5,22,316,63,61,162,153,2,0,181,56,124,5,10,27,16,2,36,44,2,1,5,4,2,2,2,15,2,2,10,0,82,15,5,128,8,6,7,10,0,115,46,3,6,11,3
2014-10-01,64,31,44,9,9,124,7,6,23,285,82,58,162,153,2,0,125,51,120,4,10,21,13,3,37,36,2,2,3,4,3,3,3,15,1,2,8,2,92,16,3,135,8,9,7,8,2,115,49,2,4,14,5
2014-11-01,74,30,48,8,7,100,5,10,22,290,70,73,160,160,3,0,125,48,122,6,9,29,14,2,39,37,3,3,8,3,2,2,4,11,3,2,10,3,89,16,34,132,8,6,10,10,3,128,59,2,3,14,1
2014-12-01,63,31,54,7,6,118,8,7,21,311,98,89,168,150,1,0,117,46,132,5,13,45,11,2,49,47,1,2,6,3,1,3,4,12,2,1,6,3,70,15,14,128,7,6,11,6,3,148,64,2,4,10,2
2015-01-01,75,33,52,11,8,105,5,11,18,332,121,95,172,201,1,0,117,44,123,25,11,42,15,4,41,36,4,2,6,2,2,2,4,9,1,1,11,3,85,17,6,144,9,7,9,11,3,155,115,2,4,11,2
2015-02-01,71,31,56,10,3,85,5,6,21,300,76,82,158,160,2,0,123,49,107,15,9,30,12,2,41,39,4,3,4,2,3,3,2,7,0,2,8,2,79,20,10,139,5,6,9,8,2,119,44,1,4,13,2
2015-03-01,65,31,58,13,3,86,5,9,22,327,97,87,160,146,3,0,103,48,106,6,12,22,18,3,37,37,4,2,4,3,2,5,3,10,1,3,9,2,90,13,8,148,6,7,9,9,2,126,27,3,5,12,3
2015-04-01,63,30,51,9,3,83,8,7,26,337,78,102,150,144,3,0,95,43,100,10,15,29,13,3,42,57,5,2,7,1,2,5,2,13,0,2,8,3,89,12,11,144,5,6,9,8,3,117,33,3,3,9,1
2015-05-01,56,30,54,13,4,85,5,7,24,269,64,82,168,160,2,0,92,40,100,6,13,42,15,5,41,117,5,4,5,2,2,2,1,10,4,2,8,3,70,16,15,139,4,6,7,8,3,128,30,1,3,11,2
2015-06-01,65,25,52,10,4,85,5,7,21,264,78,87,170,228,2,0,92,47,106,6,12,54,17,3,43,80,5,3,6,2,2,3,4,11,1,2,9,12,97,11,23,126,5,8,5,9,12,146,29,2,4,13,3
2015-07-01,59,32,52,22,4,91,7,10,26,364,94,125,170,185,2,0,103,49,132,14,16,27,20,4,47,45,4,2,5,3,3,3,3,12,1,1,9,5,84,12,16,130,5,6,4,9,5,150,33,7,5,12,2
2015-08-01,63,31,54,10,3,108,7,11,25,379,99,119,188,146,2,0,109,56,124,5,12,23,11,4,34,51,4,3,5,4,2,2,2,12,1,2,8,3,89,16,7,148,5,7,6,8,3,140,35,3,5,12,2
2015-09-01,58,33,50,12,2,94,6,6,24,285,82,99,166,148,1,0,100,49,122,11,15,31,15,6,44,125,5,3,7,2,3,2,1,11,1,2,11,3,89,12,13,150,8,7,10,11,3,128,30,2,5,11,3
2015-10-01,50,22,42,12,5,78,8,6,22,253,70,93,158,173,2,0,100,50,111,7,14,29,14,6,42,107,4,2,8,3,2,2,2,6,1,2,15,4,85,13,9,139,3,6,7,15,4,123,25,1,5,11,3
2015-11-01,51,29,50,11,2,93,8,11,22,243,69,96,148,180,1,0,95,42,112,6,11,19,15,2,41,45,5,4,5,4,2,3,2,8,1,3,10,3,85,14,8,139,5,6,11,10,3,132,22,2,5,11,2
2015-12-01,59,30,51,10,3,88,8,9,28,279,79,106,166,157,2,0,112,51,110,14,8,23,13,4,46,40,6,3,6,4,2,2,2,10,1,2,8,1,82,13,9,139,4,6,8,8,1,161,30,2,3,13,3
2016-01-01,63,32,58,11,2,93,7,8,23,332,87,129,188,162,2,0,98,47,107,11,16,26,13,3,52,70,4,2,6,3,3,4,3,11,1,3,10,4,82,15,10,135,3,7,8,10,4,163,26,2,4,11,3
2016-02-01,52,30,54,11,3,94,6,6,26,322,82,106,164,123,2,0,98,42,102,10,14,33,13,4,48,111,4,3,9,3,2,4,3,9,1,1,9,2,85,12,11,146,5,7,12,9,2,155,29,3,3,14,2
2016-03-01,57,27,52,13,3,89,6,9,26,269,93,118,160,148,2,0,84,41,97,15,14,24,13,5,44,99,6,3,6,3,2,3,3,8,1,2,8,1,89,16,8,166,4,7,12,8,1,163,32,3,3,15,3
2016-04-01,63,21,51,17,3,91,5,8,24,269,93,106,162,157,1,0,89,38,91,21,17,17,10,6,50,45,6,4,7,1,3,12,2,6,22,4,9,4,87,18,13,150,4,4,8,9,4,159,33,2,5,16,3
2016-05-01,51,27,50,18,3,67,8,7,22,279,114,105,150,139,2,0,84,38,89,15,18,17,10,8,36,37,6,3,8,3,3,2,2,5,4,2,7,3,84,16,11,150,5,5,8,7,3,159,34,3,3,14,4
2016-06-01,73,32,47,13,2,70,7,6,22,385,113,132,158,148,1,0,112,45,102,26,18,24,17,6,57,82,6,6,7,3,1,5,1,6,5,1,10,4,82,19,11,139,4,5,13,10,4,194,33,2,3,13,1
2016-07-01,76,31,45,16,4,75,6,9,27,379,113,145,200,162,1,10,98,44,104,16,20,41,16,10,58,122,8,3,8,2,2,3,1,8,3,2,9,3,92,21,9,112,6,6,12,9,3,207,38,3,3,14,5
2016-08-01,64,29,52,14,6,89,6,9,25,311,105,122,196,157,0,4,100,48,104,14,16,20,12,8,61,60,7,2,6,4,2,4,2,6,1,1,8,2,89,19,11,139,6,5,9,8,2,192,37,3,3,12,3
2016-09-01,56,27,50,13,2,72,7,6,25,306,96,96,178,150,1,2,100,51,99,18,20,22,10,5,45,42,7,3,4,4,2,9,2,6,1,2,13,2,92,21,9,144,2,7,14,13,2,175,28,4,3,15,2
2016-10-01,48,30,53,18,5,61,8,7,25,300,103,119,174,130,2,1,95,42,98,16,15,23,10,4,45,44,6,2,8,2,3,3,4,3,1,2,9,4,85,21,10,148,6,7,11,9,4,171,34,2,3,14,3
2016-11-01,59,30,46,14,4,69,6,8,23,364,94,132,180,139,1,1,100,50,102,20,18,31,15,6,58,154,7,4,9,5,2,4,3,4,2,2,9,4,77,19,15,137,3,6,12,9,4,180,33,2,7,12,4
2016-12-01,57,27,51,17,3,77,6,8,25,311,108,141,190,144,2,1,100,41,103,13,16,36,9,7,54,64,6,4,8,4,3,5,1,4,3,1,10,8,77,21,23,130,3,8,10,10,8,171,37,2,6,11,5
2017-01-01,72,27,63,18,3,83,8,9,25,332,110,135,194,164,1,1,123,45,99,12,20,35,17,5,46,57,6,3,8,4,1,3,1,4,2,1,12,6,89,21,16,146,8,7,14,12,6,209,38,1,3,9,2
