date,encrypted phone calls,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to uninstall gmail,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,best private messaging app,google hangouts privacy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,skype privacy policy,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to encrypt emails,google hangouts encryption,Encrypt phone calls,how to encrypt text messages,how to encrypt whatsapp
2011-12-01,30,655,0,0,25,95,132,18,360,0,19,17,0,0,18,0,0,36,0,0,27,18,0,78,0,0,106,20,30,78,0,54,48,0,27,18,0
2012-01-01,27,655,0,18,99,138,159,25,327,0,16,34,0,0,0,0,0,16,0,0,33,33,0,105,0,0,95,0,38,105,0,275,60,0,32,22,19
2012-02-01,25,673,0,0,69,175,211,22,240,0,44,28,0,0,0,0,0,17,0,0,17,45,0,147,0,0,129,15,29,147,0,358,59,17,34,22,0
2012-03-01,37,673,0,0,75,140,118,32,347,0,44,50,0,0,32,16,33,27,0,0,64,48,0,113,0,0,103,0,48,113,0,318,54,0,32,16,19
2012-04-01,28,610,0,33,35,168,135,17,307,0,57,28,0,0,0,0,0,28,0,0,28,17,0,79,0,18,129,15,133,79,0,150,67,17,61,25,0
2012-05-01,42,501,0,33,37,143,159,16,214,0,80,34,0,23,0,0,16,63,0,0,16,31,0,110,0,15,106,0,68,110,0,54,32,0,47,23,0
2012-06-01,38,600,0,18,38,140,197,22,394,0,121,28,0,24,0,24,16,32,0,0,24,65,0,76,0,0,120,15,48,76,0,75,49,16,32,49,0
2012-07-01,56,555,0,15,48,193,232,16,374,0,48,23,0,32,0,16,0,0,0,0,32,27,0,60,0,0,135,0,100,60,0,68,80,0,32,16,25
2012-08-01,64,682,0,42,54,160,180,16,360,17,107,34,0,0,16,32,16,21,0,0,63,24,0,90,0,0,129,15,53,90,0,58,53,0,63,16,32
2012-09-01,47,746,0,295,42,163,183,16,300,17,64,45,0,47,16,0,16,31,0,0,26,39,0,84,0,15,138,15,57,84,0,54,53,0,31,31,25
2012-10-01,24,555,0,203,58,138,187,24,400,0,80,28,0,14,14,28,19,57,15,0,28,43,0,52,0,45,143,15,95,52,0,75,67,0,38,19,19
2012-11-01,14,582,0,145,63,153,156,19,327,0,107,45,0,29,22,14,15,24,15,16,29,29,0,72,14,30,149,30,81,72,14,68,43,0,29,36,32
2012-12-01,39,673,0,165,77,135,183,29,434,42,112,34,29,14,36,15,15,36,15,0,0,14,0,102,0,21,175,0,92,102,0,61,68,0,29,24,13
2013-01-01,20,701,0,165,66,170,176,26,407,25,75,189,22,26,52,13,13,20,0,0,17,30,0,91,0,21,260,0,65,91,0,86,35,13,39,30,13
2013-02-01,43,773,0,130,58,135,173,21,340,14,101,145,14,14,0,14,22,29,15,16,24,43,0,140,0,15,172,15,86,140,0,58,58,0,19,57,19
2013-03-01,26,646,0,115,69,173,194,26,407,20,78,262,13,38,26,13,13,26,31,13,30,30,0,111,0,27,203,0,69,111,0,93,52,0,58,30,13
2013-04-01,26,655,0,89,92,160,214,17,367,25,62,384,30,39,26,26,13,22,0,0,13,22,0,117,0,21,183,25,65,117,0,50,60,0,26,39,13
2013-05-01,30,510,0,103,86,170,152,25,414,23,121,262,72,44,13,46,22,13,39,13,17,32,0,64,0,12,200,15,68,64,0,65,55,0,38,19,13
2013-06-01,100,719,0,92,79,153,232,30,440,34,132,145,74,39,13,30,26,26,78,13,22,20,0,79,0,33,232,0,35,79,0,72,62,13,87,26,19
2013-07-01,64,810,0,130,74,115,263,25,534,50,130,195,34,47,51,34,13,25,124,0,38,45,0,81,0,59,275,15,47,81,0,68,52,13,38,13,19
2013-08-01,47,910,0,80,77,175,273,25,520,42,150,417,21,13,13,34,19,13,89,13,34,42,0,60,13,68,218,15,51,60,13,65,85,13,38,13,25
2013-09-01,58,791,0,130,92,163,232,25,474,45,139,295,13,17,12,12,22,31,113,0,25,25,0,93,12,89,218,20,47,93,12,100,63,13,42,17,13
2013-10-01,47,691,60,77,71,123,197,16,454,48,144,128,12,16,18,0,25,12,99,13,12,47,0,87,0,65,106,10,56,87,0,75,44,12,28,18,19
2013-11-01,84,537,57,68,85,105,228,32,467,53,126,178,24,18,12,28,16,32,69,13,32,36,0,81,12,100,163,20,48,81,12,68,68,16,32,24,19
2013-12-01,61,746,74,68,57,173,238,30,560,56,176,256,36,32,12,48,19,40,121,13,32,36,0,85,12,109,186,25,32,85,12,90,29,12,44,28,32
2014-01-01,60,728,87,86,94,165,232,17,614,59,110,467,19,11,11,41,26,23,94,11,45,19,0,69,0,148,263,25,45,69,0,108,64,22,23,17,32
2014-02-01,58,782,84,80,66,198,200,21,580,45,121,362,25,25,12,41,33,37,108,16,25,31,0,104,12,130,206,20,66,104,12,108,38,12,62,25,19
2014-03-01,78,646,67,89,71,155,183,22,520,25,164,239,15,15,18,44,23,33,104,11,22,22,0,111,11,139,240,10,38,111,11,50,85,17,48,15,25
2014-04-01,53,719,107,80,88,210,173,19,574,34,123,256,17,15,23,45,23,27,104,11,11,30,0,111,0,189,175,25,42,111,0,58,65,23,38,34,19
2014-05-01,31,573,127,74,61,138,180,19,507,184,116,350,34,50,11,38,46,38,135,29,23,34,0,66,11,195,215,45,77,66,11,68,58,19,40,19,25
2014-06-01,43,537,74,74,48,200,200,19,480,81,150,517,38,26,26,38,30,25,124,13,17,13,0,81,51,142,286,40,93,81,51,50,55,17,34,30,25
2014-07-01,50,610,114,109,55,250,283,19,494,62,96,556,19,44,42,33,45,19,139,18,37,33,0,72,12,192,218,15,96,72,12,61,34,12,44,17,32
2014-08-01,46,646,90,83,80,168,235,19,567,45,160,406,13,31,37,29,13,12,108,21,19,12,0,93,21,121,235,25,150,93,21,75,38,13,25,31,50
2014-09-01,44,537,117,77,76,153,214,20,640,48,96,217,24,24,28,40,19,18,145,18,24,18,0,132,60,180,198,55,108,132,60,61,60,24,68,32,50
2014-10-01,34,473,104,106,80,193,283,15,547,64,107,228,30,34,30,38,30,23,129,16,34,23,0,107,23,186,140,65,68,107,23,65,53,26,49,34,19
2014-11-01,70,528,87,71,71,148,228,27,574,73,103,339,43,23,35,19,42,27,148,11,23,23,0,152,52,180,212,500,81,152,52,72,74,35,43,12,38
2014-12-01,34,637,84,50,85,168,228,29,474,50,139,500,23,23,27,38,23,17,115,18,19,11,0,76,27,165,138,165,69,76,27,75,47,27,38,23,32
2015-01-01,54,528,94,68,122,193,273,16,514,234,123,506,46,11,29,46,15,38,97,0,25,21,0,69,21,177,109,100,86,69,21,104,72,29,18,25,25
2015-02-01,58,673,97,36,47,143,259,19,560,139,164,295,62,16,39,39,32,31,113,11,12,17,0,90,16,206,95,105,71,90,16,79,54,23,23,35,25
2015-03-01,53,664,140,39,88,158,228,21,514,73,128,300,35,18,26,16,58,32,131,16,26,28,0,123,21,121,106,80,81,123,21,83,29,25,53,21,44
2015-04-01,62,573,154,65,77,193,242,14,494,125,146,356,43,18,18,22,36,22,156,11,22,11,0,91,36,153,78,150,77,91,36,68,62,14,36,14,32
2015-05-01,60,610,134,48,71,148,218,32,440,59,173,428,60,25,21,49,38,26,159,11,14,14,0,91,35,162,89,110,50,91,35,86,67,26,35,21,50
2015-06-01,48,573,130,30,83,98,297,11,460,53,126,550,50,32,43,32,28,25,100,0,39,11,0,90,97,130,55,250,54,90,97,100,50,21,32,43,25
2015-07-01,35,555,334,33,107,160,287,18,600,120,144,362,53,25,32,39,39,32,104,0,32,11,0,99,57,174,78,170,57,99,57,79,64,25,39,42,25
2015-08-01,24,655,114,33,116,248,218,16,667,59,169,267,42,31,21,35,32,17,147,21,24,16,0,88,14,165,52,85,63,88,14,68,42,35,52,16,63
2015-09-01,62,537,107,53,86,185,283,15,547,128,160,350,62,24,17,31,38,31,100,18,38,21,10,90,48,142,63,130,72,90,48,118,59,10,34,27,50
2015-10-01,33,528,110,39,90,180,276,13,480,75,160,312,52,13,49,36,30,39,59,16,16,24,0,113,46,100,46,110,59,113,46,118,85,15,79,29,57
2015-11-01,63,546,120,36,91,133,280,17,494,59,105,212,43,33,33,30,20,30,77,21,23,35,0,107,33,145,55,85,36,107,33,118,57,50,40,17,50
2015-12-01,72,582,114,39,110,123,345,15,500,128,121,256,48,34,44,30,32,46,105,13,10,31,0,116,41,142,49,85,47,116,41,75,75,24,46,31,50
2016-01-01,51,600,117,42,99,130,252,16,527,100,187,278,70,26,29,22,29,19,116,13,25,29,0,75,43,153,80,115,35,75,43,97,87,22,51,38,44
2016-02-01,64,501,97,30,87,173,280,25,534,120,164,373,51,32,19,57,52,38,77,11,22,16,0,125,22,103,52,110,35,125,22,115,108,33,35,19,25
2016-03-01,57,573,140,39,102,173,300,12,407,134,189,295,71,33,44,53,22,15,75,13,27,15,0,84,24,156,63,90,54,84,24,86,78,33,33,40,57
2016-04-01,81,564,184,45,107,100,266,15,400,220,187,234,59,31,19,18,143,15,99,257,28,23,0,93,31,206,32,135,47,93,31,118,59,25,62,22,625
2016-05-01,57,546,160,39,102,83,245,27,434,192,210,178,66,48,57,12,45,18,69,47,27,9,0,63,45,195,40,115,66,63,45,122,60,30,36,48,175
2016-06-01,65,564,160,33,99,130,287,19,467,278,196,228,96,46,28,25,50,14,43,34,15,18,0,81,31,183,23,160,38,81,31,97,62,23,19,22,125
2016-07-01,74,546,150,74,87,165,259,12,520,170,210,406,84,49,19,28,35,9,78,36,22,22,334,99,37,209,29,80,75,99,37,133,57,37,19,28,125
2016-08-01,73,610,180,65,86,125,318,0,560,195,228,312,73,33,52,32,38,23,80,24,18,14,117,129,30,215,49,130,59,129,30,108,68,21,34,37,88
2016-09-01,91,582,197,18,100,123,256,9,520,159,176,245,48,55,27,39,122,9,47,29,24,23,37,146,33,218,40,145,42,146,33,136,64,39,39,33,75
2016-10-01,52,546,154,36,79,130,269,17,474,206,164,195,60,40,34,37,40,31,47,34,31,14,20,113,52,198,43,125,48,113,52,104,78,14,40,34,94
2016-11-01,55,519,157,27,70,158,256,17,494,217,216,389,78,38,49,23,59,32,43,8,29,23,17,114,55,218,38,180,59,114,55,118,97,26,49,43,82
2016-12-01,70,528,190,36,76,178,297,23,480,175,178,406,72,29,44,38,35,23,56,44,17,13,17,84,69,295,20,240,32,84,69,83,73,20,32,46,88
2017-01-01,71,710,230,53,104,153,318,16,460,125,203,395,82,22,44,22,25,16,64,21,19,16,7,110,41,239,40,180,87,110,41,108,65,11,52,33,63
