date,Facebook privacy policy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-11-01,7,7,7,0,0,12,0,0,1,1,77,14,0,0,16,12,159,88,131,0,9,0,20,6,11,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,57,10,0,0,1,0,23,1,1,1,0,1,145,0,0,9,0,0,2,0,0
2011-12-01,5,7,9,0,0,9,0,0,1,2,71,16,0,0,17,12,170,98,196,0,9,0,28,5,13,0,0,0,3,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,58,10,0,0,1,0,25,0,1,1,0,1,181,1,0,11,0,0,2,0,0
2012-01-01,8,6,8,0,0,6,1,1,2,2,72,14,0,1,18,14,170,104,174,0,13,0,24,4,12,0,0,1,3,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,58,13,0,0,1,0,30,1,2,1,0,4,205,1,0,13,0,0,3,0,0
2012-02-01,12,7,8,0,0,5,1,1,2,3,77,13,0,1,14,13,137,104,152,0,13,0,20,2,10,0,1,0,3,0,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,55,20,0,0,2,0,33,0,5,2,0,5,173,1,0,12,0,1,2,0,0
2012-03-01,11,6,8,0,0,6,1,1,2,2,71,12,0,1,14,13,139,100,145,0,17,0,23,5,13,0,1,1,3,0,1,10,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,43,18,0,0,1,0,27,1,3,1,0,4,175,2,0,10,0,1,3,0,0
2012-04-01,13,7,7,0,0,7,1,0,2,2,52,18,0,2,14,15,148,120,154,0,55,0,19,5,12,0,1,0,2,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,50,9,0,0,2,0,25,2,1,1,0,2,198,4,0,11,0,1,2,0,0
2012-05-01,9,6,7,0,0,9,1,0,2,2,48,16,0,2,14,14,142,118,145,0,46,0,18,3,10,0,1,0,2,0,1,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,49,10,0,0,1,0,18,1,0,1,0,1,194,6,0,12,0,1,2,0,0
2012-06-01,11,7,8,0,0,8,0,0,2,3,53,19,0,3,16,18,153,140,162,0,55,0,18,5,11,0,2,0,3,0,3,14,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,48,9,0,0,2,0,15,1,1,1,0,1,213,9,0,14,0,0,3,1,0
2012-07-01,9,6,7,0,0,11,0,1,3,3,71,20,1,4,17,20,170,162,178,0,63,0,23,5,14,0,1,0,2,0,3,15,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,45,8,0,0,2,0,21,1,1,1,0,1,196,11,0,14,0,0,3,0,0
2012-08-01,6,9,8,0,1,11,1,1,2,2,71,22,1,5,21,24,184,154,174,0,55,0,18,5,14,0,1,1,2,0,3,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,59,8,0,0,2,0,20,1,1,1,0,1,196,9,0,15,0,1,2,0,0
2012-09-01,6,13,9,0,4,10,0,1,2,2,57,15,0,4,18,21,175,136,162,4,63,0,17,3,16,0,1,1,2,0,4,8,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,84,11,0,0,2,0,18,1,1,1,0,1,186,10,0,12,0,0,2,0,0
2012-10-01,9,12,7,0,3,11,0,1,2,2,49,14,1,3,15,16,156,138,156,4,67,0,18,5,14,0,1,0,2,0,3,12,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,81,9,1,0,2,0,24,1,1,1,0,1,188,11,0,15,0,0,2,0,0
2012-11-01,15,9,7,0,2,11,0,1,2,2,61,16,5,4,15,17,164,144,162,16,63,0,19,4,16,0,1,1,3,0,3,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,70,10,0,0,2,0,22,1,1,1,0,1,152,10,1,15,0,0,3,0,0
2012-12-01,13,8,9,0,2,13,1,1,2,2,65,17,5,7,18,19,195,166,200,31,121,0,18,6,13,1,1,1,3,0,3,6,0,0,1,1,0,0,0,0,1,0,0,0,15,0,1,0,70,11,0,0,2,0,25,1,1,1,0,1,98,13,2,13,0,0,2,0,0
2013-01-01,8,7,9,0,2,14,0,1,2,2,57,19,4,8,19,24,189,170,192,24,138,0,22,5,13,0,1,3,3,0,5,6,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,63,9,0,0,3,0,22,1,1,1,0,1,86,15,1,15,0,0,3,0,0
2013-02-01,10,8,10,0,2,16,1,1,2,2,50,19,2,8,20,26,184,154,180,20,146,0,19,4,13,0,1,2,2,0,5,5,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,0,67,12,0,0,2,0,24,1,1,2,0,1,77,15,2,12,0,0,3,1,0
2013-03-01,8,7,8,0,2,16,1,1,2,3,55,18,4,7,17,18,187,158,176,24,92,0,17,6,11,0,1,3,2,0,5,18,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,77,11,0,0,3,0,23,1,1,1,0,1,71,17,3,11,0,1,3,0,0
2013-04-01,9,6,7,0,1,13,1,1,2,3,57,17,4,7,18,17,195,142,176,43,88,0,19,5,13,0,1,5,3,0,5,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,49,10,0,0,2,0,20,1,1,2,0,1,64,15,4,10,0,0,2,1,0
2013-05-01,7,7,7,0,1,17,1,1,2,2,46,18,5,8,20,20,200,136,176,54,105,0,17,5,12,0,2,4,2,0,4,8,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,50,10,0,0,3,0,19,1,1,1,0,1,60,14,6,10,0,0,3,0,0
2013-06-01,7,6,9,0,1,19,1,1,2,3,47,18,7,10,21,20,212,148,182,70,155,0,17,6,15,0,2,2,2,0,5,7,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,49,10,0,0,3,0,16,0,1,1,0,1,56,15,8,9,0,1,4,0,0
2013-07-01,7,7,11,0,2,23,1,1,2,3,56,23,8,9,24,19,220,172,192,66,100,0,17,7,16,1,2,2,2,0,7,18,0,1,1,1,1,0,1,0,0,2,0,1,1,0,1,0,60,10,1,0,4,0,16,1,1,1,0,1,54,20,6,12,0,1,3,0,0
2013-08-01,6,7,12,0,1,20,1,1,2,4,56,24,7,9,25,19,223,166,205,62,105,0,16,7,15,1,2,5,2,0,6,10,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,47,26,1,0,3,0,17,1,1,1,0,1,54,19,4,12,0,0,2,0,0
2013-09-01,8,6,10,0,2,18,0,1,2,3,39,19,6,8,22,20,220,142,178,54,100,0,16,7,17,1,2,3,2,0,5,8,0,0,1,1,0,0,0,0,0,2,0,0,1,0,1,0,50,12,1,0,3,0,19,1,1,1,0,1,49,15,5,10,0,1,2,0,0
2013-10-01,30,7,9,1,1,16,1,1,2,3,41,14,7,7,23,18,217,130,162,120,105,0,14,6,14,1,2,2,2,0,4,6,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,67,16,1,0,1,0,20,1,1,1,0,1,49,13,6,10,0,0,2,0,0
2013-11-01,8,6,7,1,1,17,1,1,1,3,45,14,7,6,22,17,209,126,162,108,84,0,19,6,17,1,2,2,2,0,5,14,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,41,14,1,0,2,0,20,1,1,1,0,1,43,15,6,8,0,1,2,0,0
2013-12-01,7,5,9,1,1,18,1,1,2,3,54,18,9,8,26,19,245,148,182,131,84,0,16,8,18,1,2,3,2,0,7,18,0,0,0,1,0,1,0,0,1,1,0,0,2,0,1,0,35,12,1,0,2,0,20,0,1,1,0,1,45,17,8,10,0,0,2,0,0
2014-01-01,6,6,9,1,1,21,1,1,2,3,50,19,13,10,27,23,259,168,186,185,113,0,17,8,17,1,1,6,3,0,5,6,0,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,36,15,2,0,3,0,19,1,1,1,0,1,47,16,11,11,0,0,2,0,0
2014-02-01,7,5,11,1,1,18,0,1,3,3,40,15,7,7,27,25,259,160,162,135,146,0,18,7,16,1,2,4,3,0,5,6,0,0,0,1,0,1,0,0,1,2,0,0,1,0,1,0,34,14,2,0,3,0,20,1,1,1,0,1,45,15,7,10,0,1,3,0,0
2014-03-01,7,4,9,1,1,25,1,1,2,2,38,16,11,10,26,23,259,160,176,143,121,0,15,6,18,0,2,3,3,0,5,7,0,0,1,1,0,1,0,0,1,1,0,0,9,0,1,0,34,13,2,0,3,0,20,0,1,1,0,1,47,16,8,9,0,1,2,0,0
2014-04-01,7,5,10,2,1,24,1,1,3,2,48,16,11,9,26,21,250,154,168,147,105,0,16,7,16,0,2,3,2,0,6,16,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,33,12,2,0,2,0,20,1,1,1,0,1,45,18,7,10,0,0,1,0,0
2014-05-01,7,4,7,1,1,17,1,1,2,2,50,15,14,10,26,20,239,148,166,385,109,0,15,7,15,2,2,5,2,0,6,14,0,1,1,0,0,1,0,1,1,2,0,0,1,0,1,0,36,12,3,0,3,1,21,1,1,1,0,1,45,17,8,11,0,1,2,0,0
2014-06-01,7,5,6,1,1,15,1,1,3,3,44,14,12,11,24,22,245,148,166,197,163,0,15,7,14,1,2,7,3,0,5,7,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,34,11,2,0,4,1,19,1,1,1,1,1,43,16,7,11,0,0,2,0,0
2014-07-01,6,5,9,1,1,17,1,1,3,4,47,18,11,12,28,27,253,168,203,170,171,0,16,6,19,1,1,7,3,0,7,6,0,1,0,1,0,0,0,1,0,2,0,0,1,0,1,0,36,11,3,0,3,0,16,1,1,1,0,1,49,22,8,11,0,0,2,0,0
2014-08-01,10,6,8,1,1,20,1,1,2,3,48,17,10,12,26,25,278,174,203,158,134,0,40,7,18,1,2,6,3,0,6,6,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,39,11,2,0,3,0,17,2,1,1,0,1,47,21,9,12,0,0,1,0,1
2014-09-01,8,5,7,2,1,18,1,1,2,3,46,13,10,9,26,20,267,154,184,166,96,0,25,8,18,1,1,3,2,0,6,5,0,0,1,1,0,1,0,0,0,2,0,0,2,0,2,1,33,13,2,0,3,1,18,1,1,2,1,1,41,18,6,8,0,1,2,0,1
2014-10-01,7,6,7,2,1,18,1,1,3,4,41,12,12,8,25,23,250,146,176,170,105,0,20,6,18,1,1,3,2,0,5,5,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,31,13,2,0,2,1,21,1,1,1,0,1,39,19,6,9,0,1,2,0,0
2014-11-01,11,5,7,1,1,16,1,1,2,3,42,13,11,11,24,22,253,156,178,185,138,0,18,7,18,1,1,4,2,0,7,5,1,0,1,1,1,0,0,1,0,2,0,0,1,0,2,1,31,14,2,0,3,7,21,1,1,2,1,1,37,18,6,10,0,1,2,0,1
2014-12-01,16,4,9,1,1,17,1,1,2,3,45,13,14,13,25,23,237,164,180,204,167,0,17,6,19,1,2,6,2,0,7,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,34,12,2,0,2,2,20,1,1,1,0,1,39,21,12,10,0,0,2,0,0
2015-01-01,99,5,7,1,1,16,1,2,3,4,46,15,16,14,25,29,239,178,180,247,163,0,16,6,18,3,2,7,2,0,7,6,1,0,1,1,0,1,0,0,0,2,0,0,2,0,1,0,36,11,2,0,1,1,21,1,1,1,0,1,41,19,19,9,0,0,2,0,0
2015-02-01,10,5,8,1,0,12,1,1,2,3,46,12,11,12,23,24,225,158,166,227,138,0,18,7,16,2,2,3,2,1,6,6,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,27,12,3,0,1,1,20,1,1,1,0,1,37,18,7,10,0,0,2,0,0
2015-03-01,7,4,8,2,1,12,1,1,2,3,46,14,15,12,23,20,231,164,160,193,138,0,13,6,16,1,2,4,2,1,6,6,0,0,0,1,0,0,0,1,0,2,0,0,1,0,2,0,29,13,2,0,1,1,21,1,1,2,0,1,30,17,4,9,0,1,2,0,1
2015-04-01,8,4,6,2,1,13,1,1,3,3,51,12,12,15,23,21,228,170,160,193,155,0,13,6,15,2,2,5,1,0,6,8,1,0,1,1,0,0,0,0,0,2,0,0,1,0,1,0,30,12,2,0,1,2,23,1,1,1,0,1,37,18,5,8,0,0,2,0,0
2015-05-01,5,4,7,2,1,12,1,1,2,3,43,13,10,12,24,24,228,166,162,200,163,0,11,6,14,1,2,5,2,1,6,17,1,0,1,1,0,1,0,0,1,3,0,0,1,0,1,0,27,11,2,0,1,2,21,1,1,1,0,1,32,17,5,9,0,1,1,0,1
2015-06-01,6,5,7,2,0,13,1,1,1,4,41,12,11,13,26,34,245,172,166,220,180,0,14,6,15,1,2,7,2,1,6,12,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,27,12,2,0,1,3,19,1,1,1,1,1,35,21,5,10,0,0,2,1,0
2015-07-01,6,4,6,4,0,14,1,1,2,4,51,13,14,19,26,25,248,200,184,247,226,0,15,7,19,2,2,4,2,1,6,7,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,29,13,2,0,1,2,19,1,1,1,1,1,39,21,6,9,0,1,2,1,0
2015-08-01,6,4,8,2,0,15,1,2,3,3,54,13,16,17,27,21,264,192,182,200,246,0,15,9,19,1,2,4,2,1,6,8,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,30,13,2,0,1,1,23,1,1,1,0,1,39,21,5,10,0,1,2,0,1
2015-09-01,100,4,7,2,1,14,1,1,2,4,43,10,11,14,26,22,253,170,156,189,246,0,15,8,17,2,2,4,2,1,7,17,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,47,13,2,0,1,2,22,1,1,1,1,2,35,19,4,9,0,0,1,0,1
2015-10-01,13,4,7,2,1,12,1,1,2,4,37,10,10,14,24,28,234,154,156,158,217,0,15,6,17,1,2,4,2,1,6,14,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,28,12,1,0,1,1,23,1,1,1,1,2,32,18,4,7,0,1,2,0,1
2015-11-01,5,4,7,2,0,14,1,1,2,4,37,10,10,14,24,24,228,156,149,158,205,0,13,7,15,1,1,3,2,0,7,6,1,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,25,12,2,0,1,1,21,0,1,1,0,2,30,19,4,8,1,1,1,0,1
2015-12-01,6,5,8,2,0,14,1,1,2,5,42,13,12,15,25,24,245,164,170,170,226,0,14,7,15,2,2,3,2,1,7,6,1,0,1,1,1,0,0,0,0,2,0,0,1,0,2,1,23,11,2,0,1,1,20,1,1,2,1,1,32,22,4,9,0,1,2,0,1
2016-01-01,6,4,8,2,1,14,1,1,2,3,50,12,14,18,29,24,253,172,168,177,263,0,13,6,14,1,2,3,2,0,8,9,1,0,1,1,0,0,0,0,0,2,0,0,1,0,1,1,23,11,2,0,1,1,21,0,1,1,1,1,37,23,4,10,0,1,2,1,1
2016-02-01,6,5,6,2,0,13,1,1,2,4,47,12,11,15,24,18,242,154,141,181,309,0,15,7,15,2,2,5,2,1,7,16,1,0,1,1,0,1,0,1,1,1,0,0,1,0,2,0,23,13,1,0,1,1,21,0,1,2,0,2,35,24,4,9,0,0,2,0,0
2016-03-01,7,3,8,2,1,14,1,1,2,4,38,12,14,18,24,21,237,152,145,200,267,0,12,5,14,2,2,4,2,1,7,14,1,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,24,13,2,0,1,1,23,1,1,1,0,1,30,22,4,8,0,0,2,1,1
2016-04-01,7,4,7,2,1,12,1,1,1,4,40,10,14,15,23,23,228,150,145,220,246,0,14,5,14,3,2,3,2,1,6,7,1,0,1,1,0,0,0,2,0,2,4,0,1,0,1,0,23,12,3,0,0,2,21,1,1,1,0,2,30,25,4,10,0,1,3,0,8
2016-05-01,6,4,7,2,1,11,1,1,1,3,41,10,16,16,24,21,234,150,145,224,271,0,14,6,13,3,3,2,1,1,6,6,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,23,12,3,0,1,2,20,1,1,1,1,2,32,22,4,8,0,1,2,1,2
2016-06-01,41,5,7,2,0,11,1,1,2,4,56,12,17,19,24,22,250,174,143,250,371,0,15,6,14,4,3,3,2,1,8,11,1,0,1,1,1,0,0,1,0,1,0,0,2,0,1,0,29,11,2,0,0,2,21,0,1,1,0,1,35,27,5,11,0,0,2,0,2
2016-07-01,43,4,7,2,1,12,1,1,2,3,55,13,17,22,31,23,267,184,158,277,396,2,15,7,15,2,3,5,2,1,10,18,1,1,1,1,0,0,0,0,0,1,1,0,2,4,1,0,26,14,3,145,0,1,17,1,1,1,0,2,37,30,5,10,0,0,2,0,2
2016-08-01,8,4,8,2,1,13,1,1,2,4,46,12,15,18,28,23,270,172,160,247,305,1,13,7,15,3,3,4,1,1,8,9,1,1,1,1,1,0,0,0,0,1,0,0,1,2,2,0,22,12,3,67,1,2,20,1,1,2,0,1,37,27,5,9,0,0,2,0,1
2016-09-01,9,4,8,2,0,10,1,1,2,3,43,9,14,14,28,21,262,154,154,216,288,0,14,6,15,2,2,3,2,1,6,7,1,1,1,1,0,1,0,2,0,1,0,0,2,0,2,0,26,13,3,21,1,2,21,1,1,2,0,2,35,26,4,8,1,1,2,0,1
2016-10-01,52,4,8,2,0,9,1,1,2,4,44,10,14,18,27,20,250,152,145,220,359,0,14,6,15,3,2,2,1,1,5,7,1,1,1,1,0,0,0,1,0,1,0,0,2,0,1,1,25,13,3,9,1,2,21,1,1,1,1,1,35,26,6,8,0,1,2,0,1
2016-11-01,7,4,7,2,0,9,1,1,2,3,54,8,14,20,25,20,250,152,147,212,417,0,14,7,16,3,3,4,2,1,8,24,1,1,1,1,1,0,0,1,0,1,0,0,2,0,2,1,23,12,3,6,0,2,18,1,1,2,1,2,37,25,5,9,0,1,2,1,1
2016-12-01,6,4,7,3,0,10,1,1,2,4,46,11,15,21,30,21,273,156,164,254,375,0,13,6,16,2,2,5,1,1,7,11,1,1,1,1,1,0,0,0,0,1,1,0,2,0,1,1,22,10,4,6,0,3,18,0,1,1,1,1,35,25,6,8,0,0,1,1,1
2017-01-01,10,4,9,3,1,13,1,1,2,4,51,11,16,22,28,24,278,184,162,250,380,0,18,6,15,2,3,5,3,0,7,7,1,0,1,1,1,0,0,0,0,1,0,0,2,0,1,1,24,14,3,5,1,2,20,1,1,1,1,1,39,31,6,10,0,1,2,0,1
