date,delete hangout history,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a instagram account,government monitoring social media,how to delete pokemongo,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,encrypted phone calls,best private messaging app,skype privacy policy,whatsapp security settings,how to protect against phishing,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,how to unfollow on twitter,how to encrypt emails,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2014-11-01,93,323,55,45,44,94,144,600,500,17,0,855,47,65,211,112,12,310,223,27,15,44,27,15,26,17,0,8,15,65,0,96,33,650,113,133,313,52,96,33,46,310,465,47,27,85,7,24
2014-12-01,72,389,53,32,53,107,144,634,600,18,0,901,33,88,311,92,12,328,256,14,14,22,14,12,14,11,7,11,7,58,0,48,17,563,104,86,104,43,48,17,48,528,486,29,24,78,14,20
2015-01-01,61,323,59,43,77,123,172,723,660,10,0,846,150,78,314,107,18,305,267,29,7,34,18,16,9,24,0,0,13,79,0,43,14,513,112,68,63,54,43,14,66,910,443,45,11,87,16,16
2015-02-01,71,412,61,23,29,91,164,556,570,12,0,764,90,103,183,79,29,287,278,39,10,37,22,7,20,20,0,23,11,50,0,57,10,600,130,59,66,44,57,10,51,337,450,34,15,78,22,16
2015-03-01,82,406,88,25,55,100,144,645,560,13,0,764,47,80,187,79,24,264,267,22,11,33,17,17,36,20,0,11,18,58,0,78,13,625,76,67,50,51,78,13,53,173,422,18,33,94,13,28
2015-04-01,98,350,96,41,48,123,153,589,680,9,0,710,81,92,221,72,23,291,356,27,11,39,7,14,23,14,7,15,7,50,0,57,23,588,97,49,94,48,57,23,44,255,386,39,23,96,9,20
2015-05-01,100,373,84,30,44,94,137,623,540,20,0,691,38,109,266,104,27,291,823,38,16,38,13,9,23,17,0,15,9,58,0,58,22,513,102,56,69,31,58,22,55,219,443,42,22,69,13,32
2015-06-01,63,350,82,19,52,62,187,578,580,7,0,737,34,79,342,84,25,278,545,32,20,30,25,25,17,16,7,0,7,36,0,57,61,588,82,34,157,34,57,61,64,246,465,32,20,74,27,16
2015-07-01,65,339,209,21,67,102,181,623,870,11,0,910,77,90,225,110,25,305,323,34,16,22,20,20,25,20,0,0,7,36,0,63,36,613,110,49,107,36,63,36,51,246,422,40,25,87,27,16
2015-08-01,92,400,71,21,73,158,137,634,780,10,0,901,38,106,166,80,31,287,356,26,20,15,11,15,20,11,0,8,10,50,0,55,9,600,104,33,54,40,55,9,44,228,450,26,33,89,10,40
2015-09-01,63,328,67,34,54,118,179,489,660,10,0,801,83,100,218,94,33,346,812,39,15,39,17,24,24,19,6,13,13,65,7,56,30,638,89,40,82,45,56,30,75,201,415,37,22,52,17,32
2015-10-01,37,323,69,25,56,115,174,467,630,8,0,810,49,100,194,82,25,273,667,33,8,21,23,10,19,25,0,13,15,50,0,71,29,588,63,29,69,37,71,29,75,182,343,54,50,89,19,36
2015-11-01,48,334,75,23,57,85,177,467,640,10,0,701,38,66,132,94,11,305,267,27,21,40,23,15,13,19,0,15,22,86,0,67,21,575,91,34,54,23,67,21,75,191,386,36,25,60,10,32
2015-12-01,66,356,71,25,69,78,218,589,670,10,0,719,83,76,159,102,26,305,289,30,21,45,26,6,19,29,6,9,19,65,0,73,26,525,89,31,54,29,73,26,48,210,415,47,29,87,19,32
2016-01-01,73,367,73,26,62,83,159,578,840,10,0,701,65,118,173,104,18,364,400,44,16,32,15,16,18,12,0,9,18,43,0,47,27,538,97,50,72,22,47,27,62,201,486,55,32,94,24,28
2016-02-01,48,306,61,19,54,110,177,556,710,16,0,737,77,103,232,77,38,346,756,32,20,40,9,14,32,24,6,9,10,58,0,79,14,613,65,33,69,22,79,14,73,182,408,68,22,87,12,16
2016-03-01,47,350,88,25,64,110,190,567,840,7,0,664,86,119,183,84,43,323,645,45,21,36,22,17,13,9,6,8,9,72,0,53,15,613,99,40,57,34,53,15,55,219,358,49,21,107,25,36
2016-04-01,62,345,115,28,66,64,168,478,700,10,0,655,142,118,145,74,63,282,323,37,20,51,15,18,90,10,6,176,15,72,0,59,20,600,130,20,85,29,59,20,75,219,450,37,39,123,14,400
2016-05-01,43,334,100,25,64,53,155,489,720,17,0,646,124,132,111,67,42,291,267,41,30,36,36,17,28,11,6,29,6,50,0,40,28,563,123,25,72,41,40,28,78,219,379,38,23,92,30,112
2016-06-01,27,345,100,21,62,83,181,589,890,12,0,673,179,123,142,109,51,364,534,60,29,41,25,10,31,9,6,23,12,100,0,51,19,538,115,15,100,23,51,19,62,228,508,39,12,109,14,80
2016-07-01,49,334,94,47,55,105,164,623,990,8,82,737,109,132,252,84,63,455,823,53,31,47,12,14,22,6,12,30,14,79,209,63,23,663,132,18,50,47,63,23,85,273,486,35,12,96,18,80
2016-08-01,50,373,113,41,54,80,200,567,840,0,25,746,125,143,194,72,39,378,434,46,21,46,35,12,23,14,6,15,9,65,73,81,19,588,136,31,82,37,81,19,69,255,436,42,21,89,23,56
2016-09-01,29,356,123,12,63,78,161,445,640,6,6,701,102,110,152,75,38,296,300,31,34,58,23,15,77,6,0,18,14,100,23,92,21,613,138,25,91,27,92,21,87,182,358,40,25,118,21,48
2016-10-01,29,334,96,23,49,83,170,467,820,11,0,710,133,103,121,70,34,260,312,38,25,33,22,20,25,20,5,22,9,86,13,71,33,638,125,27,79,31,71,33,66,264,372,49,25,107,22,60
2016-11-01,27,317,98,17,44,100,161,389,910,11,5,782,140,136,242,74,29,378,1112,50,24,35,26,18,37,20,8,8,15,86,11,72,35,563,138,24,113,37,72,35,75,255,408,61,31,109,27,52
2016-12-01,35,323,119,23,47,113,187,534,950,15,0,782,113,112,252,54,42,337,489,46,18,44,26,11,22,15,5,29,8,72,11,53,44,500,186,13,150,20,53,44,53,273,393,46,20,65,29,56
2017-01-01,40,434,144,34,65,97,200,523,1000,10,8,710,81,128,245,132,21,305,334,52,14,45,28,12,15,10,9,18,10,93,5,69,26,650,150,25,113,55,69,26,69,282,458,41,33,74,21,40
