date,how to encrypt emails,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on instagram,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on twitter,google hangouts encryption,skype encryption,how to encrypt whatsapp
2012-03-01,39,634,0,27,61,31,149,13,0,265,0,59,144,0,0,35,13,26,39,13,13,0,0,0,59,0,0,96,128,0,62,228,96,0,291,673,0,139,12
2012-04-01,100,447,0,20,34,28,114,14,0,220,0,45,192,0,14,20,27,14,27,14,14,0,0,0,18,28,0,64,78,13,154,78,64,0,119,682,0,139,12
2012-05-01,38,420,0,14,25,34,137,0,0,225,0,34,153,0,13,38,0,0,32,25,89,0,13,0,25,19,0,82,89,13,64,38,82,0,79,782,0,114,12
2012-06-01,31,427,0,20,20,53,137,13,0,255,0,65,203,0,20,35,0,13,26,13,13,14,13,0,13,37,0,40,89,0,39,28,40,0,58,873,0,156,0
2012-07-01,52,447,0,27,35,57,158,26,0,300,0,52,128,0,39,46,0,0,26,0,26,0,0,14,22,10,0,48,105,0,48,43,48,0,58,873,0,159,17
2012-08-01,34,574,0,35,39,47,112,13,0,295,14,77,90,0,13,13,13,0,19,13,19,13,0,0,21,19,0,87,98,13,51,55,87,0,88,855,13,145,12
2012-09-01,38,587,0,218,21,26,124,13,0,260,12,50,119,0,25,25,19,0,38,13,13,0,0,14,25,37,0,86,137,13,34,50,86,0,49,773,0,84,28
2012-10-01,43,414,0,194,39,46,118,23,0,285,0,50,153,0,23,27,29,12,35,12,41,11,0,0,17,37,0,59,78,13,54,50,59,0,76,810,0,109,23
2012-11-01,35,440,0,118,18,43,83,16,0,260,0,97,144,0,12,19,18,0,18,12,18,0,0,12,23,19,0,71,137,16,54,43,71,12,70,910,12,159,12
2012-12-01,19,534,0,148,47,74,145,0,0,310,31,104,165,0,12,35,12,12,0,12,23,13,0,12,29,910,0,75,110,0,54,48,75,0,55,791,0,131,23
2013-01-01,35,614,0,150,28,37,110,14,0,335,21,56,188,0,28,18,42,11,21,0,11,11,0,0,16,228,0,82,228,0,42,40,82,0,55,791,11,148,12
2013-02-01,27,574,0,72,39,39,114,17,0,265,12,97,138,0,12,31,12,35,27,12,24,18,12,0,27,73,0,95,146,13,67,70,95,0,55,755,0,159,17
2013-03-01,49,574,0,122,35,63,102,26,0,325,21,67,140,0,17,35,17,10,10,11,28,11,0,0,24,64,0,78,182,0,28,38,78,0,82,746,0,159,17
2013-04-01,32,467,0,83,53,64,177,16,0,325,12,67,163,11,21,32,11,11,11,11,28,0,0,0,25,73,0,75,160,16,57,50,75,0,61,655,0,145,12
2013-05-01,28,447,0,98,31,45,133,17,0,340,17,109,142,0,14,42,10,21,21,16,10,57,0,10,17,73,0,42,160,10,42,60,42,0,61,701,0,187,17
2013-06-01,42,480,0,100,71,57,174,42,0,435,21,109,132,0,28,74,11,21,10,26,42,68,0,0,11,37,0,60,160,10,33,65,60,0,40,637,11,178,12
2013-07-01,73,600,0,98,62,45,104,31,0,360,42,75,153,0,26,69,21,28,52,0,21,102,0,10,42,46,0,76,212,10,70,63,76,0,52,746,10,181,23
2013-08-01,59,667,0,98,76,69,129,10,0,350,35,93,146,0,10,34,16,41,10,11,10,94,0,10,45,64,0,59,219,16,48,88,59,11,52,755,21,120,17
2013-09-01,47,580,0,85,37,47,139,30,0,410,31,95,140,0,20,34,10,10,35,16,21,76,0,10,20,91,0,65,185,22,37,40,65,11,131,664,10,159,17
2013-10-01,42,514,40,48,29,39,85,26,0,355,52,115,140,0,26,39,10,10,13,10,16,69,29,10,26,91,0,65,94,0,39,63,65,0,64,600,10,114,17
2013-11-01,46,460,79,50,56,63,75,26,0,355,35,75,115,0,25,39,10,52,23,10,23,66,10,10,16,46,0,83,132,10,30,85,83,15,61,455,10,137,12
2013-12-01,33,554,79,90,59,60,143,25,0,400,47,99,119,10,23,66,0,23,15,10,20,116,0,10,26,182,0,60,171,19,47,73,60,10,46,573,10,117,17
2014-01-01,30,554,73,92,37,73,124,9,0,495,42,115,159,9,18,46,0,31,27,19,18,105,9,0,37,73,0,46,169,22,53,45,46,10,76,701,32,114,12
2014-02-01,60,587,63,61,30,43,145,10,0,420,45,102,171,10,15,47,10,23,10,34,17,91,10,16,20,55,0,73,150,16,54,60,73,11,82,664,23,181,17
2014-03-01,54,540,73,66,30,50,145,13,0,405,24,113,144,9,18,60,21,39,18,24,24,87,0,10,27,582,0,96,169,22,36,60,96,10,70,573,18,100,17
2014-04-01,34,454,85,70,50,75,156,19,0,430,19,111,121,12,25,28,12,31,14,33,28,91,9,20,31,82,0,79,166,25,40,65,79,10,79,664,14,84,17
2014-05-01,66,454,114,64,69,54,74,9,0,345,135,65,126,22,34,22,9,19,28,28,16,114,9,10,19,55,0,79,148,41,59,40,79,10,52,664,14,103,17
2014-06-01,52,460,59,92,31,66,133,10,0,410,68,104,198,17,21,42,21,28,24,28,17,105,0,0,10,82,0,73,205,29,62,38,73,11,52,637,16,131,17
2014-07-01,50,440,85,94,47,50,193,20,0,415,40,67,144,20,27,47,15,13,13,51,20,81,10,20,20,55,0,34,139,13,67,48,34,11,49,637,10,112,34
2014-08-01,41,420,65,50,34,58,152,14,0,435,31,131,136,14,14,24,27,41,10,24,14,102,10,32,10,46,0,95,173,16,122,83,95,11,43,746,10,78,23
2014-09-01,42,447,95,46,88,49,147,20,0,500,42,88,140,15,13,36,39,29,16,20,20,135,0,16,20,64,0,95,164,44,71,60,95,0,55,537,24,100,28
2014-10-01,25,387,81,81,59,56,143,22,0,455,38,86,121,23,19,31,34,22,31,28,28,137,0,10,19,64,0,75,144,32,68,78,75,14,61,582,19,128,23
2014-11-01,76,420,71,68,41,92,141,24,0,420,52,79,123,16,25,35,28,29,19,22,38,99,10,30,19,91,0,90,160,313,73,55,90,24,67,673,19,128,23
2014-12-01,56,474,63,53,72,63,131,9,0,410,45,120,96,19,19,28,31,28,12,28,38,110,9,20,9,101,0,53,150,125,62,58,53,23,43,573,19,89,34
2015-01-01,53,460,102,70,41,99,162,9,0,390,226,97,132,32,18,56,20,32,20,22,32,80,0,10,12,82,0,98,114,57,85,63,98,27,79,682,18,98,28
2015-02-01,38,500,91,27,44,57,118,19,0,435,133,81,105,16,28,41,22,35,28,32,22,66,0,0,19,82,0,76,64,91,40,50,76,19,88,646,9,112,17
2015-03-01,34,514,118,29,43,80,141,26,0,420,59,106,161,30,20,40,26,26,17,44,23,92,9,8,23,82,0,78,57,72,54,65,78,17,73,591,26,112,39
2015-04-01,64,454,85,31,70,65,145,26,0,380,89,131,115,23,15,35,9,18,20,45,18,116,9,0,18,82,0,76,82,104,44,53,76,30,76,573,26,81,17
2015-05-01,46,480,114,35,43,66,95,20,0,350,59,118,134,43,34,43,14,47,17,18,11,95,0,36,17,64,0,75,82,132,34,58,75,32,82,510,11,100,34
2015-06-01,55,460,91,37,49,67,124,17,0,415,56,104,155,23,26,32,20,29,20,26,32,102,9,14,17,46,0,84,55,210,50,73,84,105,73,591,15,114,23
2015-07-01,49,460,197,33,63,92,168,17,0,435,126,140,175,40,22,23,30,26,29,26,30,107,9,8,9,37,0,79,73,147,44,58,79,46,52,537,61,103,28
2015-08-01,48,480,93,29,65,103,172,17,0,500,42,111,100,34,23,37,34,31,17,18,17,106,0,8,17,55,0,75,55,63,48,65,75,27,70,573,23,106,45
2015-09-01,67,440,106,20,50,54,154,8,0,435,103,136,132,56,28,59,17,34,31,23,11,102,8,8,22,91,9,99,41,122,70,63,99,31,113,528,20,95,39
2015-10-01,69,374,108,48,69,59,139,19,0,440,63,122,121,55,16,42,24,24,16,20,16,51,0,14,21,64,0,136,41,85,27,55,136,32,88,455,13,100,34
2015-11-01,43,440,99,20,68,100,125,11,0,375,52,95,134,22,33,52,35,38,16,27,19,77,0,12,24,110,0,90,57,69,40,55,90,31,76,464,19,100,45
2015-12-01,50,454,89,31,72,85,91,19,0,450,131,74,119,33,30,58,36,22,16,22,17,90,8,12,19,73,0,75,53,79,39,53,75,13,61,537,14,120,45
2016-01-01,52,507,99,18,60,76,110,16,0,420,98,145,121,26,21,63,26,28,23,34,24,103,0,8,28,73,0,90,62,94,31,60,90,40,67,573,21,98,28
2016-02-01,78,480,100,24,52,55,162,21,0,370,87,129,117,36,23,57,23,42,16,37,31,79,8,12,8,110,0,84,39,97,45,63,84,16,82,473,23,123,28
2016-03-01,51,454,122,24,51,80,120,15,0,360,135,122,117,48,24,68,27,39,14,24,24,70,15,12,17,110,0,71,37,72,34,65,71,10,94,519,29,137,50
2016-04-01,66,447,157,31,45,68,70,13,0,335,189,152,86,53,33,71,10,13,23,108,18,59,8,197,38,73,0,84,23,116,36,40,84,33,94,573,20,145,556
2016-05-01,68,440,159,27,73,66,106,18,0,335,140,159,90,70,27,44,29,15,26,22,18,44,15,32,15,73,0,61,28,100,48,50,61,30,73,464,27,120,145
2016-06-01,66,420,120,20,61,59,102,11,0,395,233,161,150,58,53,56,23,13,11,44,8,51,8,44,13,128,0,90,26,104,40,43,90,36,64,664,20,117,112
2016-07-01,68,394,144,40,56,79,129,10,86,390,142,179,142,86,30,38,18,25,20,23,8,74,8,26,19,110,271,84,16,85,59,53,84,25,85,691,25,125,95
2016-08-01,57,454,130,57,54,77,112,0,35,425,128,140,105,69,20,42,40,22,15,33,22,55,7,12,10,82,82,72,37,104,57,45,72,20,70,582,25,112,73
2016-09-01,35,447,122,22,64,55,100,7,15,455,159,179,94,47,27,57,32,27,18,84,22,53,0,8,22,128,25,122,28,85,20,68,122,22,113,510,40,134,78
2016-10-01,73,474,163,50,73,59,129,21,7,375,145,133,90,40,21,52,21,23,28,31,35,31,7,12,19,101,11,86,44,91,51,60,86,40,82,437,16,120,62
2016-11-01,78,407,130,35,52,73,116,9,7,440,182,156,140,56,38,42,42,24,19,38,28,40,14,22,21,110,9,80,30,141,31,58,80,40,107,537,19,106,73
2016-12-01,72,447,157,27,51,70,116,18,7,360,114,142,82,61,33,56,33,28,24,42,12,36,10,28,12,91,17,87,14,213,27,75,87,74,73,519,19,100,62
2017-01-01,71,554,165,29,73,80,129,7,13,400,105,177,150,44,31,60,33,13,11,26,11,39,10,18,13,128,9,111,28,147,68,65,111,58,82,655,13,81,78
