date,facebook delete friends,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to encrypt emails,encrypted phone calls,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,Encrypt phone calls,skype encryption,how to encrypt whatsapp
2011-11-01,71,4,3,0,0,6,0,0,0,1,37,7,0,0,9,5,600,76,41,70,0,3,0,10,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,28,5,0,0,0,0,12,0,1,0,0,0,0,0,4,0,1,0
2011-12-01,86,3,4,0,0,4,0,0,1,1,34,8,0,0,8,6,667,82,45,98,0,5,0,13,2,6,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,26,5,0,0,0,0,13,0,0,0,0,0,0,0,6,0,1,0
2012-01-01,98,3,3,0,0,3,0,0,1,1,37,8,0,0,10,7,660,86,51,83,0,7,0,12,2,5,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,27,8,0,0,1,0,15,0,1,1,0,2,0,0,6,0,2,0
2012-02-01,85,3,4,0,0,3,0,0,1,1,37,7,0,0,7,6,654,68,49,75,0,7,0,10,2,5,0,0,0,1,0,0,5,0,1,0,0,0,0,0,5,0,0,1,0,25,10,0,0,1,0,16,0,2,1,0,2,1,0,6,0,1,0
2012-03-01,86,3,5,0,0,4,0,0,1,1,38,7,0,0,6,6,660,67,48,74,0,9,0,10,2,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,1,0,21,9,0,0,1,0,14,1,2,1,0,2,1,0,6,0,1,0
2012-04-01,94,3,4,0,0,4,0,0,1,1,26,8,0,1,7,7,600,72,57,76,0,25,0,10,2,6,0,0,0,1,0,0,6,0,1,0,0,0,0,0,5,0,0,1,0,23,5,0,0,1,0,12,1,1,1,0,1,2,0,5,0,1,0
2012-05-01,93,3,3,0,0,4,0,0,1,1,25,8,0,2,7,7,567,72,57,76,0,23,0,9,2,5,0,0,0,1,0,1,6,0,0,0,0,1,0,0,4,0,0,1,0,24,5,0,0,1,0,8,1,0,1,0,1,3,0,6,0,1,0
2012-06-01,100,3,3,0,0,4,0,0,1,1,25,9,0,2,7,9,567,76,66,79,0,27,0,9,2,6,0,1,0,2,0,1,7,0,0,0,0,0,0,0,6,0,0,0,0,23,5,0,0,1,0,8,0,0,0,0,0,3,0,8,0,1,0
2012-07-01,98,3,4,0,0,5,0,0,1,1,35,9,0,2,8,9,560,84,79,87,0,31,0,8,2,7,0,0,0,1,0,2,7,0,0,0,0,0,0,0,4,0,0,0,0,22,4,0,0,1,0,11,1,0,0,0,0,5,0,7,0,1,0
2012-08-01,94,5,5,0,0,5,0,0,1,1,32,10,0,2,9,11,600,90,73,84,0,29,0,10,2,6,0,1,0,1,0,1,4,0,0,0,0,0,0,0,3,0,0,1,0,28,4,0,0,1,0,9,0,0,1,0,1,5,0,7,0,1,0
2012-09-01,89,6,5,0,2,4,0,0,1,1,28,8,0,2,8,10,587,86,67,80,2,29,0,9,2,8,0,0,0,1,0,1,4,0,0,0,0,0,0,0,2,0,0,1,0,40,5,0,0,1,0,9,0,0,1,0,0,5,0,6,0,0,0
2012-10-01,89,6,3,0,2,6,0,0,1,1,22,7,0,2,7,8,520,78,65,77,2,31,0,8,2,7,0,0,0,1,0,2,7,0,0,0,0,0,0,0,5,0,0,0,0,36,4,0,0,1,0,11,1,0,0,0,1,5,0,6,0,1,0
2012-11-01,71,4,4,0,1,5,0,0,1,1,31,8,2,2,7,9,480,80,68,80,8,31,0,10,2,6,0,1,0,1,0,1,9,0,0,0,0,0,0,0,8,0,0,1,0,33,5,0,0,1,0,14,0,0,1,0,1,5,0,7,0,1,0
2012-12-01,47,4,4,0,1,7,0,1,1,1,34,9,2,3,8,9,534,91,78,96,13,60,0,10,2,7,0,1,0,2,0,2,4,0,0,0,0,0,0,0,7,7,0,1,0,36,5,0,0,1,0,11,0,0,1,0,0,6,1,6,0,1,0
2013-01-01,40,4,5,0,1,7,0,1,1,1,28,9,2,4,10,12,520,91,82,93,11,68,0,10,3,6,0,0,1,1,0,3,2,0,0,0,0,0,0,0,4,2,0,1,0,31,5,0,0,2,0,11,0,0,1,0,0,8,1,6,0,1,0
2013-02-01,38,4,5,0,1,8,0,0,1,1,24,10,1,4,9,12,467,90,77,96,10,68,0,9,2,6,0,1,1,1,0,2,3,0,0,0,0,0,0,0,5,1,0,1,0,32,6,0,0,1,0,12,1,1,1,0,0,7,1,6,0,1,0
2013-03-01,34,4,5,0,1,7,0,1,1,1,26,9,2,3,8,10,440,88,76,86,11,43,0,8,3,5,0,1,2,1,0,3,9,0,0,0,0,0,0,0,5,1,0,1,0,37,5,0,0,1,0,10,0,0,1,0,1,9,1,6,0,1,0
2013-04-01,32,3,4,0,1,6,0,1,1,1,27,9,3,3,9,8,434,95,70,90,22,43,0,9,3,6,0,1,3,1,0,2,4,0,0,0,0,0,0,0,4,1,0,1,0,25,5,0,0,1,0,11,0,0,1,0,0,8,2,5,0,1,0
2013-05-01,29,3,4,0,1,8,0,0,1,1,22,9,2,3,10,9,407,96,66,87,26,49,0,9,3,6,0,1,2,1,0,2,4,0,0,0,0,0,0,0,3,1,0,0,0,24,5,0,0,1,0,9,0,0,0,0,0,7,3,5,0,1,0
2013-06-01,27,3,4,0,1,9,1,1,1,2,22,9,4,5,11,10,407,103,71,92,33,74,0,8,3,7,0,1,1,1,0,2,3,0,0,1,0,0,1,0,3,0,0,0,0,23,5,0,0,1,0,8,0,0,0,0,0,7,4,5,1,1,0
2013-07-01,26,4,5,0,1,11,0,0,1,1,27,10,4,5,11,9,407,104,80,93,33,49,0,8,3,8,0,1,1,1,0,3,9,0,1,1,0,0,1,0,4,0,0,1,0,29,6,0,0,2,0,7,1,0,1,0,0,9,3,6,0,1,0
2013-08-01,25,3,5,0,1,8,1,1,1,1,28,12,4,5,12,10,414,110,80,99,28,52,0,8,3,7,0,1,2,1,0,3,5,0,0,0,0,0,1,0,2,0,0,0,0,23,12,1,0,2,0,8,0,1,0,0,0,9,2,6,0,1,0
2013-09-01,25,3,5,0,1,9,0,0,1,1,19,8,3,4,10,9,387,107,69,88,28,47,0,8,3,7,0,1,2,1,0,3,4,0,0,0,0,0,1,0,4,1,0,1,0,24,6,0,0,1,0,9,0,0,1,0,1,7,3,5,0,1,0
2013-10-01,25,3,4,0,0,8,0,0,1,1,21,7,3,4,11,10,367,104,62,79,57,49,0,7,3,8,0,1,1,1,0,2,3,0,0,0,0,0,1,0,15,1,0,1,0,34,7,1,0,1,0,10,0,0,1,0,1,7,3,5,0,1,0
2013-11-01,19,3,4,1,0,8,0,0,1,1,22,7,3,3,11,8,360,106,64,80,51,41,0,7,3,8,0,1,1,1,0,3,6,0,0,0,0,0,1,0,3,0,0,1,0,20,7,1,0,1,0,10,0,1,1,0,0,7,3,4,0,1,0
2013-12-01,20,3,4,1,1,10,0,1,1,1,27,8,5,5,13,9,374,122,74,86,62,41,0,8,3,9,0,1,2,1,0,3,9,0,0,1,0,0,1,0,3,1,0,0,0,17,6,1,0,1,0,9,0,1,0,0,0,8,4,4,0,1,0
2014-01-01,22,3,4,1,1,10,0,1,1,1,24,8,6,4,14,11,394,128,80,92,90,56,0,9,4,9,0,1,3,1,0,3,3,0,0,0,0,0,1,0,3,1,0,0,0,18,7,1,0,1,0,10,0,0,0,0,1,8,5,6,0,1,0
2014-02-01,20,2,5,1,0,9,0,0,1,2,19,7,4,4,13,12,367,120,76,80,62,68,0,8,3,8,0,1,2,1,0,2,3,0,1,0,0,0,1,0,4,0,0,1,0,16,6,1,0,1,0,10,0,0,1,0,1,7,4,5,0,1,0
2014-03-01,22,2,4,1,1,11,0,0,1,1,19,8,5,5,13,11,354,120,77,81,66,60,0,8,3,8,0,1,1,1,0,2,3,0,0,0,0,0,1,0,3,5,0,1,0,16,6,1,0,1,0,10,0,0,1,0,1,7,4,5,0,1,0
2014-04-01,23,2,4,1,1,11,0,1,1,1,24,8,4,5,12,10,354,122,73,84,71,54,0,8,3,8,0,1,2,1,0,3,7,0,0,0,0,0,1,0,4,1,0,1,0,17,7,1,0,1,0,9,0,1,1,0,1,9,4,5,0,1,0
2014-05-01,22,2,4,1,0,8,1,0,1,1,24,7,6,4,12,10,354,116,73,80,182,54,0,7,3,7,1,1,2,1,0,3,7,0,1,0,0,0,1,0,4,0,0,1,0,18,6,1,0,1,0,10,1,0,1,0,0,8,3,5,0,1,0
2014-06-01,20,2,4,0,1,8,0,1,1,1,22,7,6,5,11,11,374,119,73,83,93,82,0,8,3,7,1,1,3,2,0,3,3,0,0,0,0,0,1,0,3,1,0,1,0,16,5,1,0,2,0,9,1,0,1,0,0,8,3,5,0,1,0
2014-07-01,22,2,4,1,1,9,0,0,2,2,20,9,5,6,14,13,387,123,81,96,82,84,0,8,3,9,0,1,4,1,0,3,3,0,0,0,0,0,1,0,3,0,0,0,0,17,5,1,0,1,0,8,0,0,0,0,0,10,4,5,0,1,0
2014-08-01,23,3,3,1,0,10,0,0,1,1,23,9,4,6,14,12,414,134,84,96,77,66,0,20,3,9,0,1,3,1,0,3,3,0,0,0,0,0,1,0,5,0,0,1,0,18,6,1,0,1,0,8,1,1,1,0,0,10,3,6,0,1,0
2014-09-01,21,2,4,1,0,8,1,0,1,2,23,7,4,4,12,11,367,130,73,90,77,49,0,13,4,9,0,1,2,1,0,3,3,0,0,0,0,0,1,0,4,1,0,1,0,16,6,1,0,1,0,10,1,0,1,0,0,8,3,4,0,1,0
2014-10-01,19,2,3,1,1,9,0,1,1,2,20,6,6,4,12,11,347,123,72,86,80,52,0,9,4,8,0,1,1,1,0,3,2,0,0,0,0,0,1,0,4,0,0,1,0,15,7,1,0,1,0,10,1,1,1,0,0,8,3,5,0,1,0
2014-11-01,18,2,3,1,1,7,0,1,1,2,21,7,5,5,11,11,334,122,73,87,88,70,0,9,3,9,0,1,2,1,0,3,3,0,1,0,0,0,1,0,6,1,0,1,0,15,6,1,0,1,3,9,1,0,1,0,1,9,4,5,0,1,0
2014-12-01,19,2,4,0,0,8,1,1,1,1,23,7,7,6,12,11,347,116,78,91,99,80,0,8,3,9,0,1,3,1,0,3,3,0,0,0,0,0,1,0,7,1,0,0,0,15,5,1,0,1,1,9,0,0,0,0,0,10,4,5,0,1,0
2015-01-01,19,2,4,1,1,7,0,1,1,1,23,8,9,7,12,14,360,116,86,87,117,84,0,8,3,9,2,1,3,1,0,3,3,0,0,0,0,0,1,0,48,1,0,1,0,19,6,1,0,1,0,10,1,0,1,0,1,11,8,5,0,1,0
2015-02-01,18,2,4,1,0,6,0,0,1,1,21,6,5,6,11,11,340,110,77,80,104,68,0,9,3,8,1,1,2,1,0,3,3,0,0,0,0,0,1,0,5,1,0,1,0,14,6,1,0,0,1,10,0,0,1,0,1,8,3,5,0,1,0
2015-03-01,16,2,4,1,0,6,0,1,1,2,23,7,7,6,11,10,327,114,79,80,93,70,0,7,3,7,0,1,2,1,0,3,3,0,0,0,0,0,1,0,4,1,0,1,0,14,6,1,0,0,1,10,1,1,1,0,1,9,2,5,0,1,0
2015-04-01,17,2,4,1,0,6,1,0,1,2,25,6,5,7,11,10,320,112,80,80,95,74,0,7,3,7,1,1,2,1,0,3,4,0,0,0,0,0,1,0,3,1,0,1,0,14,6,1,0,1,1,10,0,0,1,0,1,8,2,4,0,1,0
2015-05-01,16,2,4,1,0,6,0,1,1,2,20,6,5,6,12,11,334,111,78,78,93,82,0,6,3,7,0,1,3,1,0,3,8,0,0,0,0,0,1,0,3,0,0,1,0,14,5,1,0,1,1,10,0,0,1,0,1,9,2,4,0,1,0
2015-06-01,16,2,4,1,0,6,0,1,1,2,19,7,5,6,12,16,354,116,85,81,104,88,0,7,3,7,0,1,4,1,0,3,6,0,0,0,0,0,1,0,3,0,0,1,1,13,7,1,0,0,2,9,0,1,1,1,1,10,2,5,0,1,0
2015-07-01,19,2,4,2,0,6,0,1,1,2,27,7,7,9,12,13,374,122,95,88,115,109,0,7,3,9,1,1,2,1,0,3,3,0,0,0,0,0,1,0,3,0,0,1,0,14,6,1,0,1,1,9,0,0,1,0,0,11,2,4,0,1,0
2015-08-01,18,2,4,1,0,8,1,1,1,2,28,6,7,8,13,10,360,128,95,91,95,123,0,8,4,9,0,1,2,1,0,2,4,0,0,0,0,0,1,0,3,0,0,1,0,15,6,1,0,0,1,10,0,1,1,0,1,10,2,5,0,1,0
2015-09-01,16,2,4,1,0,7,0,0,1,2,21,5,6,7,12,11,334,123,82,77,90,121,0,7,3,9,1,1,2,1,0,3,9,0,1,0,0,0,1,0,49,1,0,1,0,23,6,1,0,0,1,11,1,0,1,0,1,9,2,4,0,1,0
2015-10-01,16,2,3,1,0,6,1,1,1,2,19,5,5,7,11,12,327,112,74,76,77,107,0,7,4,8,0,1,2,1,0,3,8,0,1,0,0,0,0,0,6,1,0,1,0,13,6,1,0,0,1,10,0,0,1,0,1,9,2,4,0,1,0
2015-11-01,14,2,4,1,0,7,1,1,1,2,17,4,5,7,11,13,320,107,76,71,73,100,0,7,3,8,0,1,1,1,0,3,3,0,0,0,0,0,1,0,3,1,0,1,0,12,6,1,0,0,0,9,0,0,1,0,1,9,2,4,0,1,0
2015-12-01,16,2,4,1,0,6,1,1,1,2,20,6,6,8,12,11,340,116,79,81,79,111,0,8,4,8,1,1,2,1,0,3,3,0,0,0,0,0,1,0,3,1,0,1,0,11,6,1,0,0,1,10,0,0,1,0,0,11,2,4,0,1,0
2016-01-01,17,2,4,1,0,7,0,1,1,2,23,6,6,9,13,11,354,123,84,81,86,129,0,7,3,8,1,1,2,1,0,4,5,0,0,0,0,0,1,0,3,1,0,1,0,13,6,1,0,0,1,10,0,0,1,0,1,11,2,5,0,1,0
2016-02-01,16,2,4,1,0,7,0,0,1,2,23,5,6,7,12,9,320,116,73,70,84,152,0,7,3,7,1,1,2,1,0,3,8,0,1,0,0,0,1,0,3,1,0,1,0,11,6,1,0,0,1,10,0,0,1,0,1,11,2,4,0,1,0
2016-03-01,15,2,4,1,0,6,0,1,1,2,19,6,7,8,11,11,327,114,75,71,93,129,0,6,3,7,1,1,2,1,0,3,7,0,0,1,0,0,1,0,3,1,0,1,0,11,6,1,0,0,1,13,0,1,1,0,1,12,2,4,0,1,0
2016-04-01,15,2,4,1,0,6,0,1,1,2,18,5,7,8,12,11,340,114,73,69,104,121,0,6,3,6,1,1,1,1,0,4,3,0,0,1,1,0,0,2,4,1,0,1,0,11,6,1,0,0,1,11,0,0,1,0,1,11,2,5,0,1,4
2016-05-01,16,2,4,1,0,5,1,1,1,2,20,5,8,7,11,10,340,114,74,70,106,131,0,6,3,6,1,1,1,1,1,3,3,0,0,0,0,0,0,0,3,1,0,0,0,11,6,1,0,0,1,11,0,0,0,0,1,11,2,3,0,1,1
2016-06-01,17,2,3,1,0,5,0,1,1,2,29,7,8,9,11,11,360,122,87,71,120,184,0,8,3,7,2,1,2,1,0,4,6,0,1,0,0,0,0,0,21,1,0,1,0,15,6,1,0,0,1,10,0,0,1,0,0,14,2,6,0,1,1
2016-07-01,17,2,3,1,0,5,0,1,1,2,28,7,8,10,14,12,380,131,90,76,133,200,1,7,3,7,1,1,3,1,1,4,9,1,1,0,0,0,1,0,21,1,2,1,0,13,6,1,72,0,1,8,0,0,1,0,1,15,3,6,0,1,1
2016-08-01,17,2,4,1,0,6,0,1,1,2,22,6,7,9,14,11,360,130,85,79,115,149,0,7,3,7,1,1,1,1,1,4,4,1,0,0,0,0,0,0,4,1,1,1,0,10,6,1,32,0,1,10,0,0,1,0,1,13,3,5,0,1,1
2016-09-01,17,2,4,1,0,5,1,0,1,2,23,5,7,7,13,11,360,127,76,74,99,143,0,7,4,7,1,1,2,1,0,3,3,0,0,0,1,0,0,0,4,1,0,1,0,12,6,1,10,0,1,11,0,1,1,0,1,12,2,4,0,1,1
2016-10-01,17,2,4,1,0,4,1,0,1,2,22,5,7,8,12,9,354,123,71,70,104,176,0,7,3,7,1,1,2,1,0,3,3,0,1,0,0,0,0,0,26,1,0,1,0,13,6,2,4,0,1,11,0,0,1,0,1,12,2,3,0,1,0
2016-11-01,17,2,3,1,0,5,0,1,1,2,26,4,7,9,13,10,360,124,74,74,102,205,0,7,4,7,1,1,2,1,0,4,11,1,1,0,0,0,0,0,4,1,0,1,0,11,5,1,3,0,1,10,0,0,1,0,1,13,2,4,0,1,1
2016-12-01,16,2,4,1,0,5,0,1,1,2,22,6,8,10,14,10,340,131,73,79,119,178,0,7,3,7,1,1,3,1,0,4,5,0,1,0,0,0,0,0,3,1,0,1,1,10,5,1,3,0,2,9,0,1,1,1,1,12,3,4,0,1,0
2017-01-01,18,2,4,1,0,6,1,1,1,2,23,5,8,10,14,12,374,132,88,80,119,184,0,9,3,7,1,1,2,1,0,3,4,0,1,0,0,0,0,0,5,1,0,1,0,12,6,2,2,0,1,10,0,1,1,0,1,15,3,5,0,1,1
