date,how to unfriend someone on facebook,how to change facebook privacy settings,private twitter account,most private browser,how to browse anonymously,how to delete a facebook account,how to delete a snapchat account,how to delete a google account,how to delete pokemongo,how to uninstall facebook,how to protect against phishing,delete hangout history,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,how to encrypt emails,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2013-11-01,60,25,73,3,5,187,30,94,0,84,1,4,37,3,0,5,1,174,65,6,9,1,88,3,5,5,1,5,65,23,32,4,1,2,8,1,1
2013-12-01,80,20,78,5,10,234,39,112,0,74,2,6,28,9,0,5,1,150,55,6,11,1,85,2,4,4,1,5,72,31,42,2,1,2,8,2,2
2014-01-01,29,28,88,3,10,220,55,115,0,77,2,6,28,7,0,4,0,154,64,8,15,1,82,3,4,3,0,6,72,50,48,4,1,1,7,1,0
2014-02-01,30,18,77,1,11,184,33,118,0,79,3,6,28,4,0,6,1,143,65,7,12,1,84,4,4,5,1,6,64,33,43,2,1,3,12,1,1
2014-03-01,30,18,105,3,9,157,46,114,0,67,3,5,32,38,0,6,1,143,56,8,14,1,87,2,3,7,1,3,72,35,40,5,1,3,8,1,1
2014-04-01,65,21,100,3,13,210,45,115,0,74,2,5,28,5,0,6,0,143,53,11,10,1,85,2,5,5,0,3,79,35,44,4,1,2,6,2,1
2014-05-01,73,17,74,5,8,220,65,103,0,68,2,9,32,5,0,4,1,150,54,11,12,3,91,4,5,4,1,3,73,33,45,3,1,2,8,1,1
2014-06-01,30,26,64,3,12,200,52,103,0,68,1,7,32,5,0,5,3,147,52,8,16,2,80,5,4,4,3,3,70,33,46,3,1,1,8,2,1
2014-07-01,27,22,73,6,15,210,46,126,0,74,1,8,28,4,0,4,1,150,49,11,12,1,69,5,3,4,1,3,97,37,47,2,1,2,9,1,1
2014-08-01,28,25,86,3,9,210,44,112,0,179,1,7,46,4,0,5,1,166,49,7,13,1,73,9,3,5,1,5,90,34,52,2,1,1,5,2,4
2014-09-01,29,23,77,4,8,200,46,108,0,111,1,8,41,7,0,7,3,139,57,10,11,3,80,6,3,9,3,5,78,29,36,3,1,3,8,2,3
2014-10-01,25,28,79,5,11,184,55,102,0,88,1,8,32,4,0,6,1,131,57,11,8,4,91,4,3,6,1,4,83,28,39,3,1,3,7,2,1
2014-11-01,24,20,67,3,9,184,48,100,0,79,2,6,51,6,0,9,3,131,58,10,12,28,89,5,5,9,3,3,78,27,42,4,2,3,7,1,2
2014-12-01,27,15,72,6,11,190,61,103,0,77,1,6,69,5,0,4,2,143,56,9,8,9,87,4,4,5,2,5,90,49,44,3,2,2,7,1,2
2015-01-01,22,21,68,3,11,194,70,106,0,70,2,5,441,7,0,4,1,150,49,10,6,5,91,5,4,5,1,7,83,79,40,4,2,1,8,1,2
2015-02-01,26,21,50,4,9,200,53,100,0,77,2,7,46,5,0,5,1,116,55,12,5,6,85,4,4,5,1,4,78,30,41,3,1,1,7,2,1
2015-03-01,25,19,52,3,9,210,62,96,0,59,2,8,32,5,0,7,1,120,58,7,6,4,89,5,4,8,1,5,75,15,39,2,1,3,8,1,2
2015-04-01,35,17,57,4,12,227,55,96,0,59,1,9,37,5,0,5,2,127,52,9,4,8,98,4,5,6,2,4,78,21,36,3,1,2,8,1,2
2015-05-01,72,19,52,4,8,187,45,100,0,49,2,10,19,5,0,5,2,116,45,9,5,6,91,3,4,6,2,6,74,19,40,4,1,2,6,1,2
2015-06-01,53,22,57,2,6,184,50,107,0,61,1,7,23,3,0,5,5,116,55,7,3,14,84,3,5,5,5,5,89,20,43,3,1,2,6,2,2
2015-07-01,30,20,62,4,10,224,62,103,0,65,2,7,28,3,0,6,3,124,56,10,4,9,80,3,3,6,3,4,93,20,39,4,1,3,8,2,2
2015-08-01,33,15,64,4,15,237,71,116,0,68,1,9,28,4,0,5,1,127,56,9,3,5,98,4,3,7,1,5,90,19,41,2,2,3,8,1,4
2015-09-01,86,16,60,4,12,194,54,110,0,67,2,6,455,6,0,5,3,197,60,8,3,7,96,4,3,5,3,7,82,18,38,3,1,2,5,2,2
2015-10-01,64,16,53,5,11,167,44,100,0,68,3,4,60,5,0,6,3,120,58,6,3,6,98,3,4,7,3,6,78,18,31,5,1,5,8,2,3
2015-11-01,26,17,61,7,8,160,47,96,0,59,1,4,23,8,0,6,2,108,57,8,3,5,89,2,3,7,2,8,83,16,36,3,3,3,5,1,3
2015-12-01,26,22,58,4,7,180,53,104,0,63,1,6,28,6,0,7,2,97,47,8,3,5,85,3,3,7,2,4,97,20,38,4,1,3,8,2,3
2016-01-01,40,18,61,4,7,220,59,124,0,58,1,6,23,4,0,4,2,97,52,9,5,7,89,2,2,5,2,5,102,19,44,5,1,3,8,2,3
2016-02-01,75,17,58,4,10,207,49,102,0,68,3,4,28,5,0,7,1,97,57,6,3,6,91,2,3,9,1,6,103,18,37,6,2,2,8,1,2
2016-03-01,58,15,61,4,9,164,62,100,0,52,1,5,32,7,0,5,1,100,58,9,4,5,100,3,5,6,1,7,95,21,33,4,2,1,10,2,4
2016-04-01,27,17,53,4,6,170,63,100,0,61,1,6,32,6,0,5,2,97,59,12,2,7,91,3,3,6,2,6,107,21,41,3,1,5,11,1,40
2016-05-01,25,16,48,3,5,177,81,102,0,63,1,5,28,5,0,4,3,97,54,11,2,6,87,4,5,3,3,8,95,20,34,3,2,3,8,3,11
2016-06-01,51,22,45,6,8,247,69,100,0,65,1,2,187,9,0,5,2,124,45,10,1,9,89,2,4,5,2,6,118,20,46,4,1,1,10,1,8
2016-07-01,78,20,50,5,10,244,75,134,7,65,1,5,196,7,20,6,2,112,62,12,2,4,71,4,3,7,2,8,128,27,44,3,2,1,9,2,7
2016-08-01,38,19,56,4,7,197,69,120,2,56,1,5,37,6,5,7,2,93,54,12,3,7,87,3,4,9,2,6,119,22,40,4,1,2,8,2,6
2016-09-01,27,17,41,4,7,194,61,118,1,61,1,3,37,9,2,8,2,112,55,12,2,8,92,2,5,8,2,9,111,16,33,4,2,3,10,2,5
2016-10-01,30,15,38,5,7,197,61,112,0,61,1,2,241,8,1,6,3,108,60,11,2,7,91,3,4,7,3,5,112,20,34,4,1,2,10,2,6
2016-11-01,100,18,39,4,8,240,61,108,0,65,2,3,37,8,0,6,3,97,53,12,2,10,75,3,3,5,3,7,107,23,37,5,1,3,10,2,4
2016-12-01,41,18,44,4,10,204,67,119,0,58,1,3,28,7,1,5,4,93,49,17,1,13,78,2,4,6,4,6,110,22,36,4,1,2,6,3,6
2017-01-01,31,15,56,5,8,227,66,118,1,79,1,4,46,9,0,6,2,100,60,13,2,10,85,5,5,6,2,5,132,27,42,4,1,4,6,2,4
