date,google hangouts privacy,who can see my snapchat story,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete pokemongo,how to uninstall gmail,how to uninstall snapchat,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,how to encrypt text messages
2014-03-01,77,118,83,124,270,312,0,867,45,391,373,0,25,26,148,137,39,40,59,181,19,19,0,193,19,235,420,17,66,93,193,19,88,29,26
2014-04-01,80,189,87,154,366,295,0,956,60,419,278,30,30,27,114,93,21,40,47,181,20,19,0,193,0,320,305,42,74,136,193,0,100,40,60
2014-05-01,67,224,120,107,240,306,0,845,330,573,305,62,60,87,100,55,41,80,68,237,0,51,0,114,21,330,375,75,135,150,114,21,119,34,33
2014-06-01,67,130,97,83,348,342,0,800,145,846,382,37,67,45,96,76,30,53,46,217,22,23,0,140,90,240,500,67,164,108,140,90,88,30,52
2014-07-01,58,200,167,96,435,483,0,823,110,910,360,23,34,77,59,88,66,78,33,242,0,32,0,124,23,325,380,25,169,79,124,23,107,22,29
2014-08-01,51,159,124,139,292,400,0,945,80,664,369,44,22,55,66,81,33,23,22,189,0,37,0,161,38,205,410,42,264,100,161,38,132,22,54
2014-09-01,70,206,126,132,266,365,0,1067,85,355,278,22,42,42,105,78,42,33,32,253,0,32,0,229,106,305,345,92,190,93,229,106,107,42,56
2014-10-01,66,183,177,139,335,483,0,912,115,373,205,22,54,60,92,60,60,53,40,225,0,28,0,185,39,315,245,109,119,108,185,39,113,46,59
2014-11-01,34,153,114,124,257,389,0,956,130,555,305,36,75,41,129,123,41,73,48,259,0,19,0,264,92,305,370,834,143,158,264,92,125,61,20
2014-12-01,67,148,159,147,292,389,0,789,90,819,251,34,40,40,81,60,34,40,30,200,20,32,0,132,48,280,240,275,122,115,132,48,132,47,40
2015-01-01,81,165,112,213,335,465,0,856,420,828,291,51,82,19,124,95,44,25,66,170,0,0,0,119,38,300,190,167,150,129,119,38,182,50,44
2015-02-01,68,171,108,81,248,442,0,934,250,482,214,83,109,27,94,102,21,55,54,198,0,19,0,156,28,350,165,175,124,122,156,28,138,41,61
2015-03-01,28,248,110,154,274,389,0,856,130,491,214,69,62,31,50,93,47,100,55,228,0,28,0,214,38,205,185,134,143,108,214,38,144,43,37
2015-04-01,38,271,100,135,335,412,0,823,225,582,196,65,77,32,107,109,39,63,39,273,19,19,0,158,65,260,135,251,135,136,158,65,119,25,25
2015-05-01,86,236,110,124,257,371,0,734,105,701,282,76,105,43,116,106,25,65,47,278,0,19,0,158,62,275,155,184,87,129,158,62,150,46,37
2015-06-01,56,230,100,145,170,506,0,767,95,901,228,71,87,56,87,85,69,48,44,175,19,0,0,156,170,220,95,417,95,150,156,170,175,38,75
2015-07-01,68,589,142,186,279,489,0,1000,215,591,300,69,94,43,111,62,56,68,57,181,0,0,0,172,100,295,135,284,100,100,172,100,138,43,74
2015-08-01,61,200,134,203,431,371,0,1112,105,437,219,86,74,55,72,43,43,55,31,256,0,37,0,153,24,280,90,142,111,100,153,24,119,61,27
2015-09-01,54,189,95,149,322,483,0,912,230,573,255,92,107,42,103,109,66,65,54,175,18,32,18,156,85,240,110,217,127,108,156,85,207,18,48
2015-10-01,63,195,120,156,314,471,0,800,135,510,223,71,92,23,148,58,29,53,70,103,0,28,0,195,80,170,80,184,103,108,195,80,207,26,51
2015-11-01,52,212,197,158,231,477,0,823,105,346,255,30,75,58,98,111,41,35,53,134,0,37,0,185,58,245,95,142,64,93,185,58,207,88,29
2015-12-01,53,200,112,192,214,589,0,834,230,419,278,72,84,60,131,127,18,55,81,184,18,23,0,200,72,240,85,142,82,93,200,72,132,42,53
2016-01-01,39,206,150,173,227,430,0,878,180,455,282,51,122,45,150,90,45,50,35,203,0,23,0,129,77,260,140,192,61,65,129,77,169,39,67
2016-02-01,100,171,116,152,300,477,0,889,215,610,210,108,89,56,187,113,40,90,68,134,17,19,0,216,39,175,90,184,61,86,216,39,200,58,33
2016-03-01,94,248,108,177,300,512,0,678,240,482,228,122,125,57,135,100,48,38,27,131,16,23,0,145,43,265,110,150,95,136,145,43,150,57,70
2016-04-01,32,324,130,186,174,453,0,667,395,382,201,176,102,54,103,143,49,250,28,173,16,455,0,161,55,350,55,226,82,86,161,55,207,43,38
2016-05-01,21,283,114,177,144,418,0,723,345,291,182,116,115,84,105,100,48,78,32,120,16,82,0,108,78,330,70,192,116,158,108,78,213,52,83
2016-06-01,43,283,155,173,227,489,0,778,500,373,296,143,167,81,107,115,27,88,25,75,16,60,0,140,55,310,40,267,66,136,140,55,169,41,38
2016-07-01,49,265,140,152,287,442,228,867,305,664,228,176,145,87,98,130,39,60,17,137,32,64,589,172,65,355,50,134,132,100,172,65,232,65,49
2016-08-01,56,318,122,149,218,542,69,934,350,510,196,109,129,59,118,129,32,65,41,139,16,41,206,224,55,365,85,217,103,136,224,55,188,37,64
2016-09-01,69,348,116,175,214,436,16,867,285,401,205,108,85,96,111,160,43,213,16,81,0,51,65,253,60,370,70,242,74,143,253,60,238,69,58
2016-10-01,65,271,134,137,227,459,0,789,370,319,191,97,105,70,135,92,56,70,55,81,15,60,36,195,90,335,75,209,85,122,195,90,182,25,60
2016-11-01,41,277,132,122,274,436,16,823,390,637,201,83,137,66,168,97,51,103,57,75,23,14,30,198,97,370,65,300,103,93,198,97,207,46,76
2016-12-01,66,336,132,132,309,506,0,800,315,664,146,118,127,51,127,123,31,60,41,98,15,78,30,145,123,500,35,400,56,122,145,123,144,35,81
2017-01-01,38,406,148,181,266,542,21,767,225,646,360,58,142,38,114,125,34,43,29,112,24,37,12,190,72,405,70,300,153,165,190,72,188,19,57
