date,youtube private channel,how to change instagram privacy settings,private twitter account,search without history,how to delete a facebook account,how to delete pokemongo,how to uninstall facebook,how to uninstall youtube,how to unfollow someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,google hangouts privacy,Facebook privacy policy,gmail privacy issues,Uber privacy,Youtube Privacy,privacy policy uber
2014-07-01,52,10,154,24,363,0,142,167,60,4,5,3,50,2,3,152,0
2014-08-01,62,12,162,25,369,0,345,157,59,1,3,7,84,1,5,146,4
2014-09-01,62,9,135,28,388,0,235,149,28,2,5,7,75,3,3,179,5
2014-10-01,58,12,129,35,344,0,166,159,25,2,2,4,59,1,2,182,2
2014-11-01,59,8,127,21,332,0,166,144,43,4,2,1,100,1,49,167,4
2014-12-01,66,11,133,28,388,0,142,152,56,2,4,4,126,1,19,167,3
2015-01-01,68,8,143,29,394,0,132,144,49,4,4,4,834,2,10,173,3
2015-02-01,61,5,100,23,375,0,145,144,31,5,2,6,67,3,15,164,2
2015-03-01,61,7,96,24,394,0,121,132,30,2,3,3,67,2,10,164,1
2015-04-01,63,5,103,26,438,0,128,135,36,5,3,2,67,2,16,164,3
2015-05-01,65,3,100,28,344,0,104,120,41,8,8,4,59,1,14,176,5
2015-06-01,63,5,103,28,319,0,121,125,62,8,4,3,42,1,28,155,12
2015-07-01,59,5,109,33,438,0,138,152,34,5,2,2,42,1,20,161,6
2015-08-01,60,5,129,26,444,0,132,157,20,4,2,3,42,1,10,204,5
2015-09-01,52,5,115,25,357,0,128,139,38,7,9,4,826,2,22,167,3
2015-10-01,53,4,100,27,294,0,132,135,38,6,2,3,117,3,13,188,4
2015-11-01,63,4,125,28,288,0,111,122,29,8,7,4,50,3,10,185,3
2015-12-01,56,6,121,34,300,0,121,129,22,4,4,2,42,2,11,167,3
2016-01-01,66,5,127,28,419,0,121,125,28,4,2,2,42,3,14,185,5
2016-02-01,54,4,111,33,388,0,128,124,46,3,4,2,42,2,8,191,4
2016-03-01,64,4,113,30,313,0,107,129,35,7,3,5,67,1,10,200,2
2016-04-01,61,5,107,35,313,0,107,110,23,5,4,3,59,2,14,197,4
2016-05-01,60,3,92,25,344,0,100,105,18,6,6,2,50,1,15,179,4
2016-06-01,60,3,84,33,463,0,132,117,37,8,5,3,350,0,13,176,5
2016-07-01,65,7,98,28,450,16,145,120,52,11,6,3,350,4,11,152,3
2016-08-01,67,6,98,30,350,3,125,129,33,9,3,4,67,2,15,152,3
2016-09-01,55,2,84,27,350,2,128,119,24,7,3,2,59,3,12,170,2
2016-10-01,58,3,72,35,357,1,121,130,22,6,4,5,442,2,11,185,3
2016-11-01,66,3,90,34,457,0,121,134,34,10,5,1,67,1,20,164,7
2016-12-01,65,2,100,34,388,0,125,124,48,6,3,3,59,3,24,179,5
2017-01-01,67,4,105,32,407,1,152,127,39,8,4,2,84,1,20,170,5
