date,how to unfollow someone on instagram,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2013-06-01,50,64,96,0,12,203,8,11,21,31,188,68,107,207,208,4,0,171,59,147,4,18,19,18,0,61,10,5,8,14,2,4,4,4,4,10,0,2,3,6,0,11,0,491,103,5,31,0,164,5,9,11,0,10,150,81,96,2,12,38,0,3
2013-07-01,68,78,108,0,17,239,7,10,16,34,235,84,89,242,204,3,0,175,71,162,7,17,26,18,0,193,5,6,5,9,7,5,9,2,3,17,0,0,6,9,0,12,0,600,100,9,37,2,170,6,8,12,0,10,200,64,121,2,6,32,2,3
2013-08-01,63,75,121,0,11,208,9,10,24,39,244,68,92,259,200,3,0,180,70,158,4,20,55,20,0,105,3,2,7,6,2,5,5,3,2,9,2,2,6,10,0,10,2,464,250,6,29,2,167,7,13,10,2,7,194,50,119,2,4,21,2,3
2013-09-01,47,71,107,0,18,188,7,12,22,33,193,68,78,213,211,3,0,167,64,170,4,19,39,24,3,76,2,2,7,8,2,2,4,3,4,15,0,0,3,18,0,13,2,491,120,14,30,3,184,6,8,13,2,11,160,60,99,2,7,24,3,2
2013-10-01,45,73,92,9,10,170,6,10,17,27,147,68,67,236,193,2,0,159,61,137,6,19,17,25,0,66,2,2,6,6,2,0,2,3,2,10,0,2,6,13,0,9,0,673,150,9,14,2,197,8,11,9,0,13,138,58,107,2,5,21,3,2
2013-11-01,53,58,72,7,9,180,8,11,14,33,142,68,67,226,179,4,0,188,62,176,8,17,24,20,0,140,3,2,10,11,2,4,5,2,4,10,5,2,5,9,0,11,2,410,148,16,22,2,217,7,14,11,2,11,154,56,77,2,6,18,0,3
2013-12-01,70,46,99,14,9,190,11,8,23,32,183,97,87,268,193,4,0,180,75,190,8,23,34,18,3,183,5,4,4,8,2,7,3,2,5,15,0,2,5,20,0,10,2,355,125,16,25,3,204,4,9,10,0,11,169,81,102,2,5,18,2,4
2014-01-01,55,65,97,9,12,216,8,13,22,31,200,134,103,278,247,2,0,188,83,166,5,15,62,26,2,71,3,2,10,8,2,6,0,4,3,14,2,2,3,16,0,8,0,364,145,20,36,3,200,6,11,8,0,13,169,112,115,3,2,16,2,0
2014-02-01,54,42,104,13,11,188,3,9,27,18,159,77,74,284,261,3,0,184,78,160,7,16,48,31,2,69,3,3,7,8,2,6,3,4,5,15,0,2,4,8,0,13,2,337,148,17,28,3,214,9,12,13,2,15,150,75,104,2,8,29,4,3
2014-03-01,53,43,86,10,12,257,7,9,21,24,164,113,98,271,243,3,0,159,70,178,4,22,32,31,0,74,2,2,12,11,3,6,2,3,5,11,1,2,3,100,0,17,2,337,128,20,33,1,210,5,10,17,1,7,169,87,97,2,6,19,2,2
