date,how to encrypt emails,how to change facebook privacy settings,who can see my snapchat story,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall snapchat,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,gmail privacy issues,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,how to encrypt text messages
2012-06-01,39,385,0,14,26,30,112,159,17,0,311,0,22,171,0,159,30,0,19,19,13,26,0,0,52,0,0,96,12,40,61,0,60,13,39
2012-07-01,64,331,0,12,25,38,154,187,13,0,295,0,18,98,0,195,45,0,13,25,0,0,0,0,21,0,0,107,0,57,48,0,55,0,13
2012-08-01,42,516,0,33,42,42,128,145,13,0,285,14,27,100,0,171,51,13,25,50,13,17,0,0,19,0,0,103,12,34,72,0,46,0,13
2012-09-01,42,770,0,233,29,33,130,148,13,0,237,14,35,113,0,236,38,13,0,21,13,25,0,0,31,0,12,110,12,47,68,0,43,0,25
2012-10-01,53,685,0,161,26,45,110,150,19,0,316,0,22,144,0,177,19,11,23,23,15,45,12,0,34,0,35,114,12,54,42,0,60,0,15
2012-11-01,34,554,0,114,0,50,122,125,15,0,258,0,35,175,0,171,11,17,11,23,12,19,12,13,23,12,24,119,24,44,58,12,55,0,29
2012-12-01,54,500,0,131,35,61,108,148,23,0,343,35,27,161,0,195,31,29,12,0,12,29,12,0,12,0,17,139,0,57,82,0,49,0,19
2013-01-01,28,431,0,131,21,52,136,142,21,0,322,21,148,155,0,330,16,42,10,14,11,16,0,0,24,0,17,207,0,54,74,0,69,10,24
2013-02-01,46,485,0,103,57,46,108,139,17,0,269,12,114,98,0,289,35,0,11,19,18,23,12,13,34,0,12,137,12,50,113,0,46,0,46
2013-03-01,41,393,0,91,41,55,138,156,20,0,322,16,205,126,0,300,21,21,10,24,11,21,25,11,24,0,21,162,0,47,90,0,75,0,24
2013-04-01,48,339,0,70,45,73,128,173,14,0,290,21,300,159,11,324,21,21,21,10,11,17,0,0,17,0,17,146,20,60,94,0,40,0,31
2013-05-01,44,400,0,82,30,68,136,123,20,0,327,19,205,148,0,253,24,10,37,14,18,10,31,11,25,0,10,160,12,54,52,0,52,0,15
2013-06-01,49,362,0,73,45,62,122,187,24,0,348,28,114,111,0,295,80,10,24,17,21,21,63,11,16,0,26,185,0,54,64,0,58,10,21
2013-07-01,41,424,0,103,41,58,92,212,20,0,422,41,153,121,0,400,51,41,27,31,11,20,99,0,36,0,47,219,12,37,65,0,55,10,10
2013-08-01,68,393,0,63,44,61,140,220,20,0,411,35,327,121,0,371,37,10,27,27,15,10,71,11,34,10,54,173,12,80,48,10,52,10,10
2013-09-01,50,377,0,103,30,73,130,187,20,0,374,37,231,142,20,277,47,10,10,20,18,25,90,0,20,10,70,173,16,34,75,10,80,10,13
2013-10-01,35,400,48,61,31,57,98,159,13,0,358,39,100,138,0,265,38,14,0,9,20,9,79,11,38,0,52,85,8,57,70,0,60,10,14
2013-11-01,54,339,45,54,45,67,84,184,25,0,369,44,140,109,0,312,67,10,22,26,13,26,55,11,29,10,80,130,16,67,65,10,55,13,19
2013-12-01,23,270,58,54,55,45,138,192,24,0,443,46,200,126,19,412,48,10,39,26,15,32,97,11,29,10,87,148,20,54,69,10,72,10,23
2014-01-01,51,385,69,68,39,75,132,187,13,0,485,48,366,161,9,324,48,9,33,36,21,18,75,9,15,0,117,210,20,60,55,0,86,18,13
2014-02-01,30,277,66,63,23,53,158,162,16,0,458,37,283,190,10,318,46,10,33,20,27,30,87,13,25,10,103,164,16,60,83,10,86,10,20
2014-03-01,68,262,53,70,38,56,124,148,18,0,411,21,187,171,0,312,62,15,35,18,19,27,83,9,18,9,110,191,8,44,90,9,40,13,12
2014-04-01,52,324,85,63,39,70,168,139,15,0,453,28,200,128,14,395,43,18,36,9,19,21,83,9,24,0,149,139,20,64,90,0,46,18,27
2014-05-01,46,254,100,59,55,49,110,145,15,0,400,150,274,140,28,359,25,9,31,18,37,31,108,23,28,9,154,171,35,70,53,9,55,15,15
2014-06-01,44,324,58,59,44,37,160,162,15,0,379,66,405,175,17,330,34,20,31,14,24,20,99,11,10,41,112,228,31,50,65,41,40,14,24
2014-07-01,27,293,90,87,76,43,200,228,15,0,390,51,435,165,10,406,40,33,27,30,36,15,111,15,27,10,152,173,12,37,58,10,49,10,13
2014-08-01,30,377,72,66,57,63,134,189,15,0,448,37,318,169,20,389,37,30,23,15,11,10,87,17,10,17,96,187,20,47,75,17,60,10,25
2014-09-01,48,293,93,61,57,61,122,173,16,0,506,39,170,128,10,383,35,22,32,19,15,14,116,15,14,48,142,157,43,44,107,48,49,19,26
2014-10-01,42,354,82,84,82,63,154,228,12,0,432,53,179,94,9,324,27,24,30,27,24,18,103,13,18,18,147,112,50,50,86,18,52,21,27
2014-11-01,59,270,69,56,53,56,118,184,22,0,453,60,266,140,16,400,56,28,15,19,33,22,118,9,19,42,142,169,385,74,122,42,58,28,9
2014-12-01,37,239,66,40,73,67,134,184,23,0,374,41,392,115,15,424,28,21,30,15,19,14,92,15,9,21,131,110,127,54,61,21,60,21,18
2015-01-01,57,293,74,54,51,97,154,220,13,0,406,191,396,134,23,395,43,23,37,20,12,30,78,0,17,17,140,87,77,60,55,17,83,23,20
2015-02-01,43,285,77,28,50,37,114,209,15,0,443,114,231,98,37,371,47,31,31,9,26,25,90,9,14,12,163,75,81,57,72,12,63,19,28
2015-03-01,23,254,111,31,51,70,126,184,17,0,406,60,235,98,31,342,42,21,13,21,46,25,104,13,22,17,96,85,62,50,99,17,66,20,17
2015-04-01,49,239,122,52,46,61,154,195,12,0,390,103,279,90,29,377,49,15,17,17,29,17,125,9,9,29,121,62,116,64,74,29,55,12,12
2015-05-01,53,262,106,38,51,56,118,175,25,0,348,48,335,130,34,377,48,17,39,11,30,21,127,9,11,28,128,71,85,60,74,28,69,21,17
2015-06-01,40,308,103,24,46,66,78,239,9,0,364,44,431,105,32,359,39,34,26,31,22,20,80,0,9,77,103,44,193,70,72,77,80,17,34
2015-07-01,51,270,264,26,65,85,128,231,14,0,474,98,283,138,31,395,28,25,31,25,31,25,83,0,8,45,138,62,131,47,80,45,63,20,34
2015-08-01,33,239,90,26,61,92,198,175,13,0,527,48,209,100,39,371,20,17,28,19,26,14,117,17,13,11,131,41,66,47,71,11,55,28,13
2015-09-01,47,224,85,42,44,68,148,228,12,0,432,105,274,117,41,448,49,14,25,30,30,25,80,15,16,38,112,51,100,50,72,38,95,8,22
2015-10-01,68,231,87,31,55,71,144,223,10,0,379,62,244,103,32,353,26,39,29,13,24,31,47,13,20,37,80,37,85,50,91,37,95,12,24
2015-11-01,45,247,95,28,90,72,106,225,13,0,390,48,166,117,13,395,51,27,24,19,16,24,61,17,28,27,114,44,66,44,86,27,95,40,13
2015-12-01,60,277,90,31,52,87,98,278,12,0,395,105,200,128,33,395,57,35,24,8,26,37,84,11,24,33,112,39,66,44,93,33,60,19,24
2016-01-01,69,262,93,33,69,79,104,203,13,0,416,82,218,130,23,471,41,23,18,20,23,15,93,11,23,34,121,64,89,30,60,34,78,18,31
2016-02-01,86,270,77,24,53,69,138,225,20,0,422,98,292,96,48,448,51,15,46,18,41,30,61,9,13,18,82,41,85,40,100,18,92,27,15
2016-03-01,62,208,111,31,50,81,138,242,9,0,322,110,231,105,55,418,45,36,43,21,18,12,60,11,12,19,124,51,70,64,68,19,69,26,32
2016-04-01,47,224,145,35,59,84,80,214,12,0,316,180,183,92,79,365,64,15,15,22,114,12,79,209,19,25,163,26,104,40,75,25,95,20,17
2016-05-01,48,231,127,31,52,81,66,198,21,0,343,157,140,84,53,377,45,45,10,21,36,14,55,38,7,36,154,32,89,74,50,36,98,24,38
2016-06-01,49,277,127,26,71,79,104,231,15,0,369,228,179,136,64,471,52,22,20,12,40,11,35,28,15,25,145,19,124,64,65,25,78,19,17
2016-07-01,45,262,119,59,64,69,132,209,10,105,411,139,318,105,79,589,60,15,22,17,28,7,63,30,17,30,166,23,62,47,80,30,106,30,22
2016-08-01,54,262,143,52,56,68,100,256,0,32,443,160,244,90,49,489,59,41,26,15,30,18,64,19,11,24,170,39,100,64,104,24,86,17,29
2016-09-01,51,247,156,14,53,80,98,206,7,8,411,130,192,94,49,383,73,22,31,19,97,7,37,23,18,27,173,32,112,67,118,27,109,31,27
2016-10-01,62,216,122,28,62,62,104,217,14,0,374,169,153,88,44,336,41,27,30,25,32,25,37,28,11,41,156,35,97,57,91,41,83,11,27
2016-11-01,77,247,124,21,60,56,126,206,14,8,390,178,305,92,37,489,44,39,19,23,47,26,35,7,19,44,173,30,139,44,92,44,95,21,35
2016-12-01,58,224,150,28,60,60,142,239,18,0,379,144,318,67,53,436,56,35,30,14,28,19,45,36,10,56,233,16,185,57,68,56,66,16,37
2017-01-01,52,208,182,42,67,83,122,256,13,10,364,103,309,165,26,395,57,35,17,15,20,13,51,17,13,33,189,32,139,77,88,33,86,9,26
