date,who can see my snapchat story,how to change facebook privacy settings,youtube private channel,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a twitter account,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Youtube Privacy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,skype encryption,how to encrypt whatsapp
2012-07-01,0,147,218,6,308,18,22,56,52,636,11,95,519,0,578,115,417,0,30,41,0,61,380,0,12,20,27,0,0,12,0,6,0,0,8,14,0,28,229,0,62,640,17,28,0,26,309,0,392,0,63,5
2012-08-01,0,270,245,21,308,14,16,54,50,615,16,153,664,0,534,132,384,0,34,60,0,79,327,0,6,20,8,6,6,15,6,10,0,0,12,18,0,32,229,0,52,560,24,32,0,30,259,5,435,0,71,5
2012-09-01,0,385,276,91,265,10,12,57,73,436,16,124,555,0,534,108,428,0,22,53,0,72,227,0,9,18,12,12,0,10,9,12,0,0,18,14,0,34,315,0,55,550,29,34,0,20,325,10,370,0,51,10
2012-10-01,0,385,190,77,315,14,14,63,81,408,32,100,519,0,478,149,373,0,22,59,0,100,394,0,5,16,13,8,8,0,11,9,0,0,11,14,0,23,222,11,61,660,18,23,0,19,267,0,400,0,41,8
2012-11-01,0,250,228,65,272,8,27,51,69,522,143,71,473,0,556,140,406,0,31,67,0,79,520,5,8,18,13,5,5,0,0,5,5,0,11,9,0,34,243,11,54,680,36,34,5,28,267,15,383,0,78,10
2012-12-01,0,270,235,56,350,25,22,54,56,508,153,183,537,0,523,142,412,17,60,86,0,100,200,5,11,20,22,8,5,0,5,11,0,6,11,435,0,38,315,0,67,700,23,38,0,15,417,62,353,0,51,5
2013-01-01,0,231,280,59,436,15,21,53,58,565,116,242,646,0,634,154,334,10,31,73,0,156,174,7,13,28,12,17,5,11,5,5,0,0,17,122,0,33,272,7,83,670,11,33,0,24,459,43,400,0,75,5
2013-02-01,0,235,269,38,508,16,25,49,75,543,58,230,719,0,478,113,406,0,45,60,0,140,147,5,5,27,18,6,5,16,11,14,0,6,14,48,0,45,329,0,62,710,32,45,0,25,409,58,322,0,90,13
2013-03-01,0,193,266,45,429,13,27,48,67,472,95,195,464,0,445,142,334,5,26,75,0,129,520,10,13,13,14,5,5,13,5,14,0,0,13,40,0,40,293,8,70,670,18,40,0,41,442,81,335,0,59,10
2013-04-01,0,166,259,16,393,16,34,71,84,529,153,242,482,0,489,147,373,5,38,53,0,169,227,7,13,20,10,5,7,12,5,10,0,0,11,35,0,34,293,10,74,590,27,34,5,24,459,124,340,0,63,5
2013-05-01,0,177,207,46,393,24,32,48,62,508,153,224,537,0,500,159,345,8,53,71,0,122,220,29,8,16,18,5,19,10,5,5,0,0,8,27,0,19,272,5,85,520,15,19,0,26,400,158,314,7,93,10
2013-06-01,0,204,235,34,536,20,20,67,82,536,190,289,600,0,478,181,434,8,43,61,0,140,194,23,11,20,36,0,21,5,8,10,0,0,5,18,0,39,350,7,79,510,23,39,0,32,426,243,287,7,92,5
2013-07-01,0,208,273,52,636,23,24,49,82,622,222,265,582,0,500,186,445,17,60,73,0,179,534,16,10,21,26,12,11,19,7,10,0,0,19,18,0,28,336,23,120,450,32,28,0,26,567,158,300,5,90,8
2013-08-01,0,177,345,53,500,35,27,53,97,715,206,277,546,0,534,191,434,15,61,57,0,214,234,10,8,32,14,5,11,8,7,5,5,6,14,35,0,16,715,34,90,470,41,16,0,28,509,153,348,5,47,10
2013-09-01,0,174,273,38,529,19,27,46,81,529,185,200,501,0,489,208,445,22,52,61,9,166,207,5,6,22,21,5,5,13,9,5,0,6,11,27,0,27,358,44,86,500,11,27,5,33,451,148,309,5,60,10
2013-10-01,22,208,242,22,472,15,25,37,74,379,185,212,546,0,378,154,434,22,55,58,4,119,180,4,9,27,12,7,10,7,4,13,0,5,12,44,0,21,429,39,49,580,35,21,0,34,350,153,322,7,69,5
2013-11-01,24,158,228,24,515,23,35,52,87,400,190,183,482,0,456,181,495,24,55,59,0,129,380,6,7,17,16,5,15,8,6,12,9,6,12,22,0,32,408,38,52,600,33,32,5,26,384,177,244,9,69,8
2013-12-01,33,166,276,35,536,35,27,56,79,479,295,259,501,0,456,196,484,14,59,61,5,185,467,11,23,12,14,5,14,7,7,11,0,5,11,87,0,27,350,42,62,530,30,27,5,30,476,196,292,11,66,8
2014-01-01,33,193,263,37,579,18,36,64,87,536,400,283,682,0,489,232,534,24,48,71,4,166,214,4,7,20,26,4,10,10,6,11,4,5,11,61,0,31,408,48,81,540,30,31,4,39,451,305,322,11,50,13
2014-02-01,34,135,287,28,508,20,34,68,87,450,232,206,728,0,478,181,506,19,60,96,5,156,167,12,5,20,29,5,15,6,9,11,5,6,12,27,0,37,386,45,75,530,20,37,5,37,409,210,327,5,68,10
2014-03-01,22,139,221,32,658,22,18,64,72,429,264,283,582,0,456,215,462,18,69,74,4,143,167,6,10,21,29,7,8,8,6,10,4,0,10,257,0,44,365,64,79,550,24,44,0,32,434,210,287,4,42,15
2014-04-01,32,166,238,30,715,23,32,62,84,465,264,295,619,0,434,174,456,18,57,63,4,206,387,9,17,24,14,11,22,7,6,14,4,5,11,31,0,37,365,56,67,560,26,37,4,24,534,234,300,0,38,10
2014-05-01,47,135,207,33,508,25,36,44,73,400,395,259,591,0,400,186,428,83,35,57,9,193,427,7,19,25,15,4,12,13,15,9,4,10,13,31,0,34,322,70,83,540,24,34,7,34,501,220,279,9,54,10
2014-06-01,34,143,211,45,479,21,24,61,73,408,343,295,691,0,445,154,406,23,50,76,8,150,187,8,10,24,19,6,10,15,12,8,0,6,5,35,0,39,308,68,84,500,21,39,10,16,467,191,287,7,60,10
2014-07-01,41,143,187,36,529,22,22,96,78,558,322,353,719,0,467,200,534,18,39,65,14,182,160,14,19,26,17,13,9,5,14,14,0,6,6,22,0,31,300,74,70,470,23,31,9,34,575,272,279,5,61,13
2014-08-01,20,166,207,33,579,23,33,63,81,522,264,295,646,0,1112,174,534,17,47,72,5,182,187,5,12,16,22,14,23,7,8,6,5,12,5,22,0,30,329,52,71,510,32,30,12,30,525,210,335,0,47,15
2014-09-01,42,116,194,32,493,39,32,53,90,379,269,242,610,0,745,210,512,18,35,53,5,179,174,7,14,27,26,9,23,11,6,9,0,10,7,40,0,50,329,69,78,560,18,50,18,26,459,196,270,9,50,15
2014-10-01,33,150,187,40,486,23,17,61,110,372,358,230,673,0,534,203,539,16,37,53,11,164,174,6,9,14,19,7,13,9,16,11,0,9,9,27,0,30,379,75,68,600,29,30,9,28,501,177,270,11,44,13
2014-11-01,34,124,197,29,465,18,37,66,80,358,353,312,628,0,545,191,484,25,44,74,7,145,154,13,7,40,19,18,9,7,12,9,0,5,7,48,0,44,379,75,74,600,20,44,15,37,509,248,296,7,41,13
2014-12-01,30,131,221,34,458,33,27,70,104,400,437,371,646,0,456,191,545,24,55,55,7,195,160,9,15,26,14,16,17,7,11,6,0,10,6,53,0,35,293,55,67,580,24,35,9,34,600,272,287,11,38,10
2015-01-01,38,135,225,28,515,20,47,80,105,465,501,400,764,0,456,203,512,105,43,48,11,185,140,12,8,22,19,9,11,12,5,19,0,5,5,48,0,37,336,64,42,610,23,37,12,38,567,477,296,9,42,10
2015-02-01,40,124,200,16,358,22,25,50,81,343,348,295,637,0,456,198,484,47,57,38,13,172,147,16,7,18,23,13,19,11,4,10,0,5,7,44,0,50,329,83,31,560,29,50,6,36,467,177,270,12,49,8
2015-03-01,52,139,232,21,358,20,35,65,90,350,395,336,582,0,389,198,439,20,44,63,13,166,174,13,11,12,16,9,12,8,21,9,4,7,8,40,0,37,393,47,23,600,23,37,4,37,467,91,270,12,51,18
2015-04-01,52,139,232,19,379,26,31,67,88,372,332,406,591,0,400,186,467,43,70,57,14,172,227,18,11,25,22,8,10,5,11,8,4,9,6,31,0,38,343,40,30,610,23,38,10,36,484,105,222,7,52,8
2015-05-01,49,116,225,11,358,19,27,55,90,372,279,377,719,0,367,188,417,15,53,71,19,164,474,24,28,21,17,9,12,12,5,4,0,9,5,31,0,31,279,49,46,590,27,31,12,28,501,124,279,8,51,20
2015-06-01,41,139,221,16,365,28,31,64,91,379,322,400,910,0,400,205,434,30,45,69,11,187,347,26,14,22,11,9,14,12,14,14,4,5,6,14,0,38,350,53,31,550,27,38,43,46,559,129,309,14,37,13
2015-07-01,100,139,214,15,386,35,41,68,105,379,406,559,701,0,434,230,528,59,48,68,25,182,207,19,7,28,13,9,5,12,15,9,0,5,5,22,0,43,350,61,31,550,30,43,24,26,609,129,274,13,50,18
2015-08-01,38,135,218,12,443,28,39,79,93,379,474,489,600,0,445,244,556,22,60,45,18,137,220,17,12,25,20,9,11,8,12,6,0,5,4,14,0,37,329,55,22,670,26,37,14,28,567,134,261,17,33,20
2015-09-01,44,139,180,16,429,21,28,69,101,286,369,430,610,0,445,200,473,45,65,68,18,203,534,19,21,23,25,8,12,14,17,13,4,5,8,31,0,34,358,43,17,590,32,34,12,59,525,124,253,5,42,25
2015-10-01,38,120,183,17,336,29,34,76,93,286,316,389,682,0,412,183,478,32,54,50,27,164,380,18,5,27,17,16,16,4,11,10,0,8,10,44,0,42,350,53,17,660,20,42,13,47,476,110,209,7,49,15
2015-11-01,42,135,218,13,436,39,45,62,102,272,300,353,691,0,378,161,439,30,35,71,10,182,187,23,18,15,16,10,15,8,10,9,0,6,14,40,0,45,315,55,24,630,29,45,14,41,525,91,214,11,57,25
2015-12-01,34,104,190,17,422,27,28,45,114,350,364,389,682,0,389,198,445,52,50,52,10,206,154,20,10,23,23,25,9,4,11,8,4,5,6,35,0,40,315,50,18,570,20,40,13,29,625,124,235,13,44,22
2016-01-01,52,135,245,16,422,27,41,46,97,365,374,512,682,0,400,215,434,38,83,72,17,198,254,16,10,30,18,10,13,7,13,10,0,5,11,31,0,30,365,60,27,600,29,30,14,33,675,115,292,12,57,15
2016-02-01,43,112,183,12,415,20,28,65,117,315,337,453,528,0,412,198,423,37,72,52,19,198,460,13,17,32,28,13,6,14,12,14,4,5,10,57,0,47,379,42,15,610,32,47,12,37,617,110,200,11,65,8
2016-03-01,59,100,225,15,400,37,30,53,105,329,411,524,600,0,356,166,428,62,77,44,30,185,360,23,11,30,29,9,15,5,15,7,3,9,5,40,0,36,379,59,30,680,29,36,5,38,625,124,209,11,74,18
2016-04-01,70,116,211,16,379,25,39,47,121,308,416,395,619,0,356,154,389,80,77,50,33,195,187,18,11,27,28,5,7,12,63,6,0,102,6,44,0,39,358,90,15,660,17,39,13,38,725,143,266,14,60,244
2016-05-01,60,112,200,8,329,32,30,38,86,300,453,465,610,0,356,152,356,66,72,38,27,187,160,25,17,31,23,18,7,6,17,7,3,14,3,35,0,34,343,72,16,570,26,34,13,41,592,124,222,15,60,61
2016-06-01,58,135,221,13,315,22,33,58,107,372,485,565,619,0,445,183,428,112,63,57,35,245,334,31,17,28,23,14,10,6,16,5,4,18,4,70,0,39,279,72,12,570,26,39,13,37,742,139,283,5,68,49
2016-07-01,55,127,200,19,336,31,36,61,91,386,527,583,646,56,434,193,423,78,88,66,47,264,507,39,19,23,22,9,9,4,16,11,0,19,9,57,127,48,415,82,9,500,30,48,8,43,800,158,327,13,60,49
2016-08-01,59,131,218,21,343,25,39,42,102,329,437,518,610,13,423,203,434,78,63,50,30,235,260,34,10,25,26,19,15,7,18,19,3,10,7,40,38,38,372,85,18,540,26,38,14,29,784,148,257,6,56,44
2016-09-01,65,112,187,8,293,24,31,54,87,265,411,442,600,6,389,200,400,66,70,43,20,203,187,25,15,17,31,13,10,7,42,7,0,8,14,48,11,49,400,80,15,580,30,49,14,49,675,110,244,17,76,37
2016-10-01,65,124,204,14,243,31,19,65,109,315,374,465,582,3,378,181,423,82,63,53,26,193,214,19,10,32,15,11,14,9,18,12,3,7,8,57,12,28,336,89,17,630,32,28,16,41,692,134,222,4,64,32
2016-11-01,60,139,211,16,308,25,28,54,117,258,390,542,564,3,378,186,445,56,80,45,20,216,667,32,16,31,32,20,9,11,22,21,7,13,7,53,0,43,358,79,11,560,32,43,23,50,667,143,266,13,60,35
2016-12-01,75,112,207,10,336,15,37,58,109,365,427,589,564,0,412,188,423,58,66,38,24,193,274,24,11,27,25,11,12,8,14,4,3,16,9,48,6,33,308,84,10,560,30,33,23,42,750,153,227,8,50,37
2017-01-01,84,108,225,20,358,39,34,56,110,350,495,565,710,3,478,176,428,49,70,72,21,193,234,25,10,27,33,14,6,8,18,4,4,10,5,61,7,44,365,80,16,580,42,44,19,41,834,162,266,6,41,35
