date,delete account instagram,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on instagram,how to unfriend someone on facebook,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,skype encryption,how to encrypt whatsapp
2014-06-01,39,1,2,0,0,4,1,1,10,4,3,2,6,5,184,59,36,41,46,4,2,3,0,0,1,1,1,2,0,0,2,0,0,0,8,3,0,0,1,0,4,0,0,0,0,10,4,2,3,0,0
2014-07-01,41,1,2,0,0,4,1,1,10,4,3,3,7,6,188,62,40,47,39,4,2,4,0,0,2,0,1,1,0,0,1,0,0,0,8,2,1,0,1,0,4,0,0,0,0,11,5,2,3,0,0
2014-08-01,33,1,2,0,0,5,1,1,11,4,2,3,7,6,204,67,41,48,38,10,2,5,0,0,2,0,2,1,0,0,2,0,0,0,10,3,0,0,1,0,4,1,0,0,0,11,5,2,3,0,0
2014-09-01,25,1,2,0,0,4,0,1,12,3,2,2,6,5,178,63,36,44,39,6,2,5,0,0,1,1,1,2,1,0,2,0,0,0,8,3,0,0,1,0,5,0,0,0,0,10,4,2,2,0,0
2014-10-01,26,1,2,0,0,4,1,1,10,3,3,2,6,6,171,61,35,41,40,5,2,4,0,0,1,0,1,1,0,0,2,0,0,0,8,3,0,0,1,0,5,0,0,0,0,10,5,2,2,0,0
2014-11-01,33,1,2,0,0,4,1,1,10,3,3,3,6,6,162,60,37,42,43,5,2,4,0,0,1,0,2,1,1,0,3,0,0,0,8,3,1,0,1,1,5,0,0,0,0,9,4,2,2,0,0
2014-12-01,39,1,2,0,0,4,1,1,11,3,3,3,6,6,168,58,39,44,49,4,2,4,0,0,1,0,2,1,0,0,4,0,0,0,8,3,1,0,1,0,4,0,0,0,0,9,5,3,2,0,0
2015-01-01,41,1,2,0,0,4,1,1,11,4,4,4,6,7,175,57,42,44,57,4,2,4,1,0,2,0,2,1,0,0,24,0,0,0,9,3,1,0,0,0,5,0,0,0,0,9,5,4,2,0,0
2015-02-01,34,1,2,0,0,3,1,1,12,3,3,3,6,5,165,55,38,40,53,4,2,4,0,0,1,0,2,1,0,0,2,0,0,0,6,3,1,0,0,0,5,0,0,0,0,9,4,2,2,0,0
2015-03-01,35,1,2,0,0,3,0,1,11,3,3,3,5,5,159,54,40,39,45,4,2,4,0,0,1,0,1,1,0,0,2,0,0,0,7,3,0,0,0,0,5,0,0,0,0,8,4,1,2,0,0
2015-04-01,37,1,2,0,0,3,1,1,12,3,3,4,5,5,159,55,40,40,46,3,2,4,0,0,1,0,1,2,0,0,2,0,0,0,7,3,1,0,0,0,5,0,0,0,0,8,4,1,2,0,0
2015-05-01,41,1,2,0,0,3,0,1,9,3,2,3,5,6,162,54,39,39,46,3,2,4,0,0,2,0,1,4,0,0,2,0,0,0,6,2,1,0,0,0,5,0,0,0,0,8,4,1,2,0,0
2015-06-01,43,1,2,0,0,3,1,1,10,3,3,3,6,8,175,57,41,41,52,4,2,4,0,0,2,1,2,3,0,0,1,0,0,0,6,3,0,0,0,1,5,0,0,0,0,8,5,1,2,0,0
2015-07-01,55,1,2,1,0,3,1,1,12,3,3,5,6,6,184,60,47,44,57,3,2,5,0,0,1,1,2,2,0,0,1,0,0,0,7,3,1,0,0,1,4,0,0,0,0,10,5,1,2,0,0
2015-08-01,60,1,2,0,0,3,1,1,14,3,4,4,6,5,178,63,45,44,47,4,2,5,0,1,1,0,1,2,0,0,1,0,0,0,7,3,0,0,0,0,5,0,0,0,0,10,5,1,2,0,0
2015-09-01,58,1,2,0,0,3,1,1,11,2,3,3,6,5,162,60,41,38,45,3,2,4,1,1,1,0,2,4,0,0,24,0,0,0,11,3,1,0,0,0,5,0,0,0,0,8,4,1,2,0,0
2015-10-01,51,1,1,0,0,3,1,1,9,3,2,3,6,6,159,56,36,36,37,4,2,4,0,0,1,1,1,3,0,0,3,0,0,0,7,3,0,0,0,0,5,0,0,0,0,8,4,1,2,0,0
2015-11-01,50,1,2,0,0,3,0,1,9,2,2,3,5,6,159,54,37,35,37,3,1,4,0,0,1,0,1,1,0,0,1,0,0,0,6,3,0,0,0,0,5,0,0,0,0,8,5,1,2,0,0
2015-12-01,54,1,2,0,0,3,0,1,10,3,3,3,6,6,165,57,38,40,39,3,2,4,0,0,1,1,2,1,0,0,1,0,0,0,5,3,0,0,0,0,5,0,0,0,0,8,5,1,2,0,0
2016-01-01,65,1,2,0,0,3,0,1,12,3,3,4,7,6,171,61,42,41,43,3,2,4,0,1,1,1,2,2,0,0,1,0,0,0,6,3,0,0,0,0,5,0,0,0,0,9,6,1,2,0,0
2016-02-01,75,1,2,0,0,3,0,1,12,3,3,4,6,4,155,58,36,35,41,3,1,4,0,1,1,0,2,4,0,0,2,0,0,0,6,3,0,0,0,0,5,0,0,0,0,8,5,1,2,0,0
2016-03-01,64,1,2,1,0,3,0,1,9,3,3,4,6,5,159,57,36,35,47,3,2,3,1,1,1,0,1,3,0,0,2,0,0,0,5,3,0,0,0,0,5,0,0,0,0,7,5,1,2,1,0
2016-04-01,59,1,2,1,0,3,0,1,9,2,3,4,6,6,168,55,36,35,52,3,1,3,1,1,1,0,2,1,0,1,2,0,0,0,6,3,0,0,0,0,5,0,0,0,0,8,6,1,2,1,2
2016-05-01,64,1,2,1,0,3,0,1,10,3,4,4,6,5,165,56,36,35,52,3,1,3,1,1,0,0,2,2,0,0,1,0,0,0,5,3,1,0,0,0,5,0,0,0,0,8,5,1,2,0,1
2016-06-01,91,1,2,0,0,2,0,1,14,3,4,5,6,5,175,61,41,35,58,4,1,3,1,1,1,0,2,3,0,0,10,1,0,0,7,3,1,0,0,0,5,0,0,0,0,8,6,1,3,1,0
2016-07-01,96,1,2,1,0,3,1,1,14,3,4,5,7,6,184,63,44,39,64,4,1,4,1,1,1,1,2,4,0,0,11,0,1,0,7,3,1,35,0,0,4,0,0,0,0,9,7,1,3,0,0
2016-08-01,73,1,2,1,0,3,0,1,11,3,3,4,7,6,175,62,41,38,58,3,2,4,1,1,1,0,2,2,0,0,2,0,0,0,5,3,1,16,0,0,5,0,0,0,0,8,7,1,2,0,0
2016-09-01,70,1,2,1,0,2,0,1,10,2,3,3,6,5,175,63,37,36,49,3,2,3,0,1,1,0,2,2,0,0,2,0,0,1,6,3,1,5,0,0,5,0,0,1,0,9,6,1,2,1,0
2016-10-01,87,1,2,1,0,2,0,1,11,2,3,4,7,4,171,59,36,35,52,3,2,3,1,1,1,0,2,2,0,0,13,0,0,0,6,3,1,2,0,0,5,0,0,0,0,8,6,1,2,1,0
2016-11-01,100,1,2,1,0,2,0,1,13,2,3,5,6,5,175,60,37,36,50,4,2,4,1,1,1,0,2,6,0,0,2,0,0,0,5,3,1,1,0,1,5,0,0,0,0,9,6,1,2,1,0
2016-12-01,91,1,2,1,0,3,1,1,11,3,4,5,7,5,168,66,37,39,60,3,2,4,0,1,1,0,2,2,0,0,2,0,0,0,5,3,1,1,0,1,5,0,0,0,0,8,6,1,2,0,0
2017-01-01,91,1,2,1,0,3,0,1,12,3,4,5,7,6,181,66,44,39,61,4,2,3,0,1,1,1,2,2,0,0,2,1,0,0,5,3,1,1,0,0,5,0,0,0,0,9,7,1,2,0,0
