date,can someone read my text messages from their phone,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on instagram,how to encrypt emails,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,google hangouts encryption,Encrypt phone calls,how to encrypt text messages
2013-08-01,36,2500,0,226,154,210,500,790,71,0,1560,2667,413,1072,0,1260,35,235,36,94,95,52,0,244,39,200,0,163,36,192,43,142,267,163,36,180,867,35,108,35
2013-09-01,0,2175,0,367,104,250,465,670,70,0,1420,2934,382,758,70,940,47,173,34,35,70,60,86,309,0,300,0,255,36,251,58,130,112,255,36,280,1034,35,118,47
2013-10-01,0,1900,164,217,110,194,350,570,44,0,1360,2467,394,329,0,900,44,121,66,0,33,68,34,270,31,234,0,238,0,184,29,155,189,238,0,210,1001,34,79,50
2013-11-01,100,1475,155,192,154,230,300,660,89,0,1400,2934,344,458,0,1060,50,187,34,78,90,44,34,187,31,167,0,221,33,284,58,134,223,221,33,190,967,45,91,67
2013-12-01,0,2050,201,192,191,154,493,690,84,0,1680,3267,482,658,67,1400,90,80,34,135,90,52,118,331,31,434,0,234,36,309,72,88,178,234,36,250,1400,34,125,78
2014-01-01,32,2000,237,242,135,257,472,670,48,0,1840,2934,300,1200,31,1100,32,176,32,115,127,72,78,257,31,367,0,188,0,417,72,126,200,188,0,300,1934,63,64,47
2014-02-01,0,2150,228,226,82,180,565,580,58,0,1740,2900,332,929,34,1080,69,104,34,115,68,92,120,296,31,200,0,284,36,367,58,184,200,284,36,300,1300,35,174,69
2014-03-01,31,1775,182,251,132,194,443,530,62,0,1560,3167,450,615,0,1060,41,235,30,123,61,64,123,283,31,1934,0,305,30,392,29,105,145,305,30,140,1500,46,135,42
2014-04-01,32,1975,291,226,138,240,600,500,53,0,1720,2834,338,658,48,1340,43,180,96,127,33,64,79,283,62,234,0,305,0,534,72,117,212,305,0,160,1400,63,108,96
2014-05-01,0,1575,346,209,191,167,393,520,54,0,1520,2567,319,900,98,1220,138,159,32,107,65,128,111,370,93,234,0,180,33,550,129,213,234,180,33,190,1267,53,113,53
2014-06-01,36,1475,201,209,154,130,572,580,54,0,1440,2434,413,1329,59,1120,72,152,36,107,47,84,36,340,39,267,0,221,144,400,115,259,167,221,144,140,1334,48,96,83
2014-07-01,0,1675,310,309,266,150,715,820,53,0,1480,3301,263,1429,37,1380,122,94,52,93,104,124,36,379,54,200,0,196,36,542,43,267,123,196,36,170,1434,35,122,47
2014-08-01,0,1775,246,234,197,217,479,680,53,0,1700,3134,438,1043,70,1320,87,104,156,81,52,36,36,296,70,200,0,255,60,342,72,417,156,255,60,210,1400,35,71,86
2014-09-01,0,1475,319,217,200,207,436,620,56,0,1920,3200,263,558,34,1300,67,166,66,112,67,52,34,396,70,334,0,363,168,509,158,300,145,363,168,170,1134,67,191,89
2014-10-01,0,1300,282,300,282,217,550,820,43,0,1640,3100,294,586,34,1100,94,145,110,105,95,84,32,353,39,200,0,292,63,525,186,188,167,292,63,180,1134,74,140,94
2014-11-01,0,1450,237,200,182,194,422,660,76,0,1720,3134,282,872,56,1360,66,204,98,54,65,116,97,405,31,300,0,417,146,509,1429,226,245,417,146,200,1134,98,120,32
2014-12-01,32,1750,228,142,254,230,479,660,80,0,1420,3301,382,1286,53,1440,64,128,80,107,54,64,48,314,47,267,0,209,76,467,472,192,178,209,76,210,1934,74,108,64
2015-01-01,0,1450,255,192,179,334,550,790,45,0,1540,3100,338,1300,81,1340,31,197,74,129,70,40,90,266,0,367,0,188,60,501,286,238,200,188,60,290,3334,80,52,70
2015-02-01,0,1850,264,100,172,127,408,750,55,0,1680,2800,450,758,131,1260,43,149,130,108,33,88,97,309,100,234,0,246,44,584,300,196,189,246,44,220,1234,66,66,97
2015-03-01,0,1825,382,109,175,240,450,660,59,0,1540,2800,350,772,109,1160,49,80,74,45,74,160,88,357,47,267,0,338,60,342,229,226,167,338,60,230,634,69,149,59
2015-04-01,30,1575,419,184,160,210,550,700,41,0,1480,2600,400,915,103,1280,50,169,30,61,61,100,60,427,62,234,0,251,103,434,429,213,212,251,103,190,934,41,103,40
2015-05-01,0,1675,364,134,175,194,422,630,88,0,1320,2534,475,1100,120,1280,69,183,58,137,40,104,116,435,62,267,0,251,98,459,315,138,200,251,98,240,800,74,100,59
2015-06-01,30,1575,355,84,160,227,279,860,31,0,1380,2700,344,1415,112,1220,90,138,134,89,109,76,60,274,0,167,0,246,271,367,715,150,234,246,271,280,901,60,91,120
2015-07-01,0,1525,910,92,225,290,458,830,50,0,1800,3334,394,929,109,1340,69,176,60,108,88,108,74,283,0,167,0,271,160,492,486,159,156,271,160,220,901,69,110,118
2015-08-01,0,1800,310,92,213,317,708,630,44,0,2000,3301,463,686,137,1260,88,114,58,97,68,88,58,400,31,234,0,242,38,467,243,175,156,242,38,190,834,98,147,43
2015-09-01,28,1475,291,150,150,234,529,820,44,0,1640,2934,438,900,145,1520,67,163,72,86,104,104,86,274,54,300,28,246,136,400,372,200,167,246,136,330,734,30,96,77
2015-10-01,0,1450,300,109,191,244,515,800,37,0,1440,2967,438,800,112,1200,37,235,68,100,45,84,136,161,54,234,0,309,128,284,315,163,167,309,128,330,667,42,222,81
2015-11-01,0,1500,328,100,313,247,379,810,47,0,1480,2567,288,543,48,1340,93,156,140,83,65,56,69,209,62,400,0,292,92,409,243,100,145,292,92,330,700,139,113,47
2015-12-01,28,1600,310,109,179,300,350,1000,43,0,1500,2634,332,658,114,1340,94,207,128,85,29,88,57,287,39,300,0,317,114,400,243,130,145,317,114,210,767,67,130,85
2016-01-01,0,1650,319,117,238,270,372,730,45,0,1580,2567,513,715,81,1600,72,238,66,62,72,80,41,318,39,200,0,205,122,434,329,96,100,205,122,270,734,63,144,107
2016-02-01,26,1375,264,84,185,237,493,810,71,0,1600,2700,450,958,170,1520,88,297,40,159,63,144,146,209,39,267,0,342,63,292,315,96,134,342,63,320,667,92,98,53
2016-03-01,25,1575,382,109,172,277,493,870,34,0,1220,2434,519,758,192,1420,91,214,112,150,75,60,37,205,31,334,0,230,68,442,258,150,212,230,68,240,800,91,93,112
2016-04-01,26,1550,501,126,207,290,286,770,44,0,1200,2400,513,600,278,1240,87,163,102,51,77,400,39,270,770,334,0,255,87,584,386,130,134,255,87,330,800,69,174,61
2016-05-01,25,1500,437,109,182,277,236,710,75,0,1300,2367,575,458,184,1280,132,166,200,34,75,124,50,187,124,234,0,171,125,550,329,184,245,171,125,340,800,84,100,132
2016-06-01,26,1550,437,92,247,270,372,830,52,0,1400,2467,538,586,225,1600,129,169,116,69,43,140,39,118,100,467,0,221,87,517,458,105,212,221,87,270,834,64,52,61
2016-07-01,51,1500,410,209,222,237,472,750,35,358,1560,2700,575,1043,278,2000,138,156,78,78,61,96,27,214,131,367,910,271,103,592,229,209,156,271,103,370,1001,103,52,78
2016-08-01,25,1675,491,184,194,234,358,920,0,108,1680,2734,625,800,173,1660,93,187,152,89,50,104,51,218,62,300,319,355,87,609,372,163,212,355,87,300,934,60,96,102
2016-09-01,0,1600,537,50,185,274,350,740,26,25,1560,2567,482,629,170,1300,152,176,128,110,68,340,25,127,77,467,101,400,95,617,415,117,223,400,95,380,667,110,110,93
2016-10-01,24,1500,419,100,213,214,372,780,48,0,1420,2600,450,500,153,1140,111,214,84,104,88,112,60,127,93,400,55,309,144,559,358,134,189,309,144,290,967,41,113,96
2016-11-01,36,1425,428,75,210,190,450,740,49,25,1480,2867,594,1000,131,1660,105,266,122,66,81,164,72,118,31,400,46,313,155,617,515,163,145,313,155,330,934,73,140,121
2016-12-01,24,1450,519,100,210,207,508,860,65,0,1440,2867,488,1043,187,1480,81,200,60,105,49,96,60,153,124,334,46,230,195,834,686,88,189,230,195,230,1001,56,91,129
2017-01-01,38,1950,628,150,235,284,436,920,46,33,1380,2600,557,1015,92,1340,61,180,114,61,54,68,57,174,77,434,19,300,114,675,515,242,256,300,114,300,1034,31,147,91
