date,instagram privacy policy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-11-01,0,59,42,0,0,92,2,4,5,10,511,102,0,2,125,70,3,0,134,42,77,0,2,2,10,0,3,36,0,0,4,4,0,2,2,0,2,0,0,0,50,2,0,4,0,413,64,2,0,3,2,184,3,8,4,0,7,3,0,61,0,2,15,2,2
2011-12-01,2,47,62,0,0,46,4,4,10,14,469,113,0,3,115,89,0,0,159,35,89,0,2,2,23,0,0,53,0,2,3,3,0,0,3,0,3,0,0,0,29,2,0,3,0,375,65,0,0,5,0,182,5,4,3,0,6,5,0,86,0,2,15,2,2
2012-01-01,3,40,48,0,1,39,6,7,21,14,516,108,0,5,137,96,1,0,181,28,77,0,1,2,19,0,2,70,0,0,4,3,0,0,3,0,2,0,0,0,50,6,0,9,0,394,107,0,0,9,0,219,1,19,9,0,22,7,0,79,0,4,22,1,0
2012-02-01,2,45,59,0,0,38,5,5,16,16,506,99,0,8,94,84,2,0,139,28,66,0,3,3,23,0,3,71,0,0,6,3,2,0,3,2,2,0,0,0,79,5,0,9,2,350,145,0,0,9,2,233,4,28,9,2,33,7,0,91,0,4,15,3,0
2012-03-01,0,40,72,0,3,55,7,4,16,12,527,93,0,5,88,87,1,0,145,30,82,0,7,1,16,0,3,71,0,0,4,4,1,3,4,0,1,0,0,0,79,7,0,11,0,300,132,0,0,14,0,198,7,25,11,0,32,15,0,80,0,3,16,0,1
2012-04-01,3,37,51,0,3,51,4,3,14,14,364,115,0,19,94,103,2,0,142,25,79,0,5,4,21,0,5,90,0,2,11,2,3,2,3,2,2,0,0,0,72,2,0,7,0,344,74,2,0,9,2,168,16,9,7,0,13,28,0,69,0,3,16,2,2
2012-05-01,2,49,48,0,1,63,3,4,17,15,348,116,3,22,98,98,0,0,128,25,75,0,4,3,17,0,10,87,0,1,4,4,0,0,4,3,10,0,1,0,58,3,0,9,0,357,69,1,0,10,1,121,9,4,9,0,9,38,0,87,0,2,13,1,1
2012-06-01,4,42,49,0,2,58,2,4,16,17,353,125,2,24,107,135,1,0,134,29,85,0,7,1,22,0,21,100,0,2,3,4,0,1,3,0,1,1,1,0,86,1,0,4,0,344,67,0,0,10,0,112,4,3,4,0,6,46,0,107,0,4,18,2,0
2012-07-01,1,34,51,0,1,77,4,7,18,15,485,134,3,22,113,131,4,0,120,34,99,0,6,4,14,0,25,96,0,4,6,5,0,0,3,0,3,0,0,1,65,2,0,5,0,313,62,1,0,12,0,161,7,5,5,0,6,75,0,104,0,2,18,2,2
2012-08-01,2,67,66,0,3,78,4,6,13,12,443,148,7,28,135,156,0,0,148,33,90,1,9,4,10,0,16,60,0,1,4,1,1,0,2,0,2,1,0,0,43,2,0,10,0,400,55,0,0,11,1,138,6,6,10,0,10,67,2,96,1,3,16,2,1
2012-09-01,4,89,67,0,27,65,2,4,13,19,385,109,4,29,119,145,1,0,137,30,107,1,6,2,13,0,21,53,0,3,4,3,2,0,4,1,1,0,0,1,36,3,0,9,0,563,67,0,0,15,1,131,4,6,9,0,5,73,2,89,0,2,9,2,3
2012-10-01,4,84,47,0,19,87,4,5,12,20,311,104,9,27,100,121,3,0,117,32,100,0,6,1,17,0,22,99,0,3,5,3,3,1,4,1,5,1,0,0,72,2,0,6,0,507,59,4,0,9,1,152,7,6,6,0,8,73,0,88,0,3,12,3,3
2012-11-01,2,60,50,0,14,68,2,6,10,15,432,118,29,24,105,133,2,0,150,29,85,0,11,4,16,0,16,127,1,1,4,2,2,0,2,1,2,0,0,1,115,3,0,8,1,482,69,1,0,15,2,182,6,5,8,1,8,75,6,94,1,1,18,2,1
2012-12-01,100,59,61,0,18,100,5,7,16,12,469,127,40,48,113,128,0,0,137,35,97,3,12,4,18,0,25,50,2,1,2,4,1,1,0,1,3,1,0,1,108,3,0,8,0,532,74,1,0,12,0,168,7,5,8,0,6,92,12,79,0,1,15,2,2
2013-01-01,25,52,70,0,17,95,3,7,12,15,395,129,28,51,137,177,2,0,148,38,83,2,6,15,21,0,37,33,3,3,4,2,5,1,2,0,1,1,0,0,58,2,0,9,0,463,72,1,0,25,0,168,4,4,9,0,6,107,11,92,0,2,17,2,1
2013-02-01,8,52,66,0,8,112,4,5,14,17,332,139,15,53,121,166,1,0,131,30,86,1,11,10,15,0,26,44,1,1,3,3,1,4,3,0,3,2,1,0,65,3,0,10,0,469,82,0,0,16,1,163,9,8,10,0,6,107,15,87,0,3,18,3,2
2013-03-01,7,55,65,0,15,106,4,8,10,14,364,127,30,40,111,142,3,0,103,37,78,2,7,23,16,0,38,127,2,2,5,4,2,1,1,1,3,1,0,0,65,3,0,9,0,532,74,2,0,20,0,159,3,4,9,0,9,121,18,83,0,4,18,2,2
2013-04-01,8,41,53,0,11,78,6,7,18,23,369,125,41,44,131,114,1,0,134,37,86,1,7,37,18,1,32,60,3,2,4,4,1,1,1,1,3,0,0,0,58,3,0,8,0,369,72,2,0,18,2,156,5,6,8,0,7,115,25,68,0,3,16,4,1
2013-05-01,8,43,51,0,12,104,3,5,15,12,306,122,31,47,147,133,2,0,117,38,85,2,12,22,16,0,34,53,6,2,3,5,1,2,2,2,1,6,0,1,50,2,0,5,0,350,69,1,0,18,1,131,3,7,5,0,7,100,42,76,0,2,21,2,2
2013-06-01,4,43,55,0,13,128,8,7,18,26,306,136,45,72,152,147,5,0,123,49,104,2,12,10,15,0,32,48,5,3,5,8,1,2,1,2,5,7,0,0,50,1,0,7,0,325,77,2,0,18,1,117,4,7,7,0,4,105,61,74,1,8,20,1,1
2013-07-01,5,58,68,0,9,151,7,3,12,22,379,148,52,67,164,133,5,0,120,41,108,5,8,18,17,0,44,125,3,3,8,8,2,3,6,0,2,11,0,1,50,5,0,8,0,413,79,4,0,24,1,100,8,7,8,0,6,128,42,86,1,4,20,2,2
2013-08-01,7,49,76,0,10,112,8,7,16,23,390,176,50,69,172,140,0,0,117,39,95,4,10,33,16,0,47,67,3,1,7,4,2,5,1,0,1,10,0,1,36,5,0,7,0,338,167,9,0,24,2,112,6,10,7,1,6,126,35,86,0,3,13,1,2
2013-09-01,10,39,66,0,9,116,4,3,16,18,264,118,41,51,143,131,0,0,123,47,106,3,11,29,15,0,40,56,2,2,5,4,1,1,4,2,2,8,0,1,58,2,0,7,1,357,82,7,0,20,2,135,5,5,7,1,14,107,44,68,1,4,18,2,2
2013-10-01,10,48,58,4,6,109,3,5,9,17,295,104,49,53,162,135,3,0,92,40,106,6,13,10,15,0,26,42,1,3,5,4,1,1,1,1,2,8,3,1,215,3,0,7,0,482,105,8,0,10,0,142,5,7,7,0,7,96,40,66,1,3,13,1,2
2013-11-01,5,40,52,9,4,117,6,5,8,18,306,106,46,41,156,114,4,0,112,40,116,4,8,15,13,0,36,85,2,3,5,4,1,6,3,1,3,7,1,1,43,2,0,9,2,294,100,8,0,15,1,154,3,9,9,2,7,98,45,55,1,2,15,2,1
2013-12-01,20,37,63,9,11,141,7,7,15,16,379,115,63,67,192,135,3,0,112,45,122,5,11,23,13,1,46,127,3,3,4,7,0,3,2,1,2,13,0,1,43,3,0,7,1,250,87,8,0,19,2,133,4,8,7,1,5,111,58,60,1,3,13,3,2
2014-01-01,8,45,63,8,11,133,4,8,13,21,337,120,92,63,194,156,1,0,128,56,122,5,13,42,18,1,40,48,1,2,3,5,0,3,3,2,2,12,1,0,36,4,0,5,0,257,104,12,0,19,2,142,6,5,5,1,8,113,71,80,4,4,13,2,1
2014-02-01,6,26,67,7,5,131,3,5,17,21,269,95,51,57,186,177,1,0,109,47,108,5,12,32,19,1,34,42,3,2,7,5,1,3,1,4,2,10,1,2,50,2,0,8,1,232,85,12,0,17,2,135,4,7,8,1,9,105,55,75,2,4,20,3,2
2014-03-01,64,31,62,8,8,170,3,6,14,19,264,108,65,67,180,161,1,0,117,46,116,3,13,20,16,1,31,47,2,2,6,7,2,4,2,2,3,10,0,1,36,3,0,11,1,244,82,15,0,19,2,135,3,7,11,1,8,107,59,65,2,2,11,1,2
2014-04-01,9,33,52,9,9,162,6,10,17,22,332,113,65,67,178,147,2,0,112,49,114,2,12,28,14,1,54,97,2,3,4,3,1,3,2,4,3,10,1,2,58,3,0,9,1,232,92,15,0,18,3,135,4,7,9,1,9,121,58,74,2,5,9,4,2
2014-05-01,6,29,51,13,7,107,8,2,8,20,337,100,94,63,164,145,1,0,98,39,103,15,7,32,14,2,47,97,2,4,7,2,1,2,3,4,2,13,1,1,58,2,0,9,0,250,89,12,0,16,5,145,8,5,9,1,6,115,48,73,1,3,12,2,2
2014-06-01,9,33,52,7,11,111,3,9,17,16,311,95,82,72,162,154,0,0,114,47,99,8,12,44,22,2,38,48,1,2,6,5,2,3,3,3,2,12,0,0,50,1,0,8,1,244,72,12,0,23,3,124,8,4,8,1,6,119,42,75,2,5,15,2,2
2014-07-01,6,32,50,9,11,129,5,5,24,24,279,129,75,87,194,187,2,0,109,47,124,4,7,51,16,2,46,47,2,3,6,5,2,2,1,6,2,9,1,2,43,2,0,4,1,250,67,18,0,15,1,110,7,5,4,1,5,146,61,77,1,3,12,3,4
2014-08-01,5,37,48,7,6,134,4,7,18,21,322,125,66,85,196,175,1,0,278,49,129,3,15,40,15,2,44,42,1,2,5,3,3,5,1,2,2,11,1,3,72,1,0,11,1,263,80,11,0,19,2,112,14,9,11,1,5,136,48,85,1,5,9,3,3
2014-09-01,7,28,51,11,6,117,10,3,18,19,322,93,66,61,166,156,1,0,181,56,124,5,10,27,16,2,33,44,2,1,5,4,4,3,2,2,2,15,0,2,58,2,0,11,0,232,82,15,0,18,5,131,9,7,11,0,6,115,46,61,2,6,11,3,3
2014-10-01,7,30,44,9,9,123,7,7,17,23,279,90,82,58,166,156,3,0,131,51,120,4,10,21,13,3,34,36,2,2,3,3,4,2,3,3,3,15,0,1,50,2,0,8,1,219,92,17,0,16,3,138,9,9,8,2,7,115,49,69,2,4,15,5,2
2014-11-01,10,26,48,8,8,99,5,11,17,21,285,93,75,73,164,163,1,0,125,48,122,6,9,29,14,2,45,37,3,3,8,4,3,3,2,2,4,11,1,3,86,2,0,10,3,213,89,16,0,18,35,135,9,6,10,3,7,128,59,70,2,3,14,1,2
2014-12-01,11,29,54,7,6,119,8,8,16,21,311,93,96,89,172,154,1,0,123,46,132,5,14,45,11,2,48,47,1,2,6,3,3,3,1,3,4,12,1,2,108,1,0,6,2,219,70,15,0,17,14,131,5,6,6,3,5,148,64,64,3,4,10,2,4
2015-01-01,9,30,52,11,8,102,5,7,17,20,327,111,124,95,176,205,0,0,125,44,123,25,11,42,15,4,41,36,4,2,6,6,2,4,2,3,4,9,0,1,700,1,0,11,1,269,85,17,0,13,6,147,11,7,11,3,9,155,115,75,2,4,11,2,3
2015-02-01,9,31,57,10,4,87,5,6,14,20,295,83,83,82,162,163,3,0,128,49,107,15,9,30,12,2,46,39,4,3,4,5,2,4,3,3,2,7,0,0,65,2,0,8,2,207,79,20,0,7,10,142,5,6,8,2,10,119,44,70,1,4,13,2,2
2015-03-01,9,33,58,13,3,84,5,9,17,21,322,93,99,87,164,149,3,0,109,48,106,6,12,22,18,3,33,37,4,2,4,4,3,3,2,4,3,10,1,1,50,3,0,9,1,200,90,13,0,6,8,152,8,7,9,2,8,126,27,68,3,5,12,3,4
2015-04-01,9,31,51,9,3,77,8,5,16,22,348,88,80,102,154,147,1,0,92,43,100,10,15,29,13,3,38,57,5,2,7,4,1,2,2,5,2,13,1,0,50,2,0,8,4,207,89,12,0,9,11,147,5,6,8,3,8,117,33,63,0,3,9,1,2
2015-05-01,7,31,54,13,3,80,5,8,12,24,274,85,63,82,172,163,2,0,84,40,100,6,13,42,15,5,38,117,5,4,5,5,2,5,2,2,1,10,0,4,43,2,0,8,5,207,70,16,0,9,15,142,3,6,8,3,9,128,30,58,1,3,11,2,4
2015-06-01,5,24,52,10,5,87,5,8,13,23,269,100,78,87,174,233,1,0,92,47,106,6,12,54,17,3,44,80,5,3,6,4,2,3,2,3,4,11,1,1,43,2,0,9,13,188,97,11,0,6,23,128,7,8,9,12,8,146,29,71,2,4,13,3,2
2015-07-01,4,34,52,22,4,92,7,12,19,25,374,93,100,125,174,189,2,0,103,49,132,14,16,27,20,4,50,45,4,2,5,3,3,3,3,3,3,12,1,1,36,1,0,9,4,200,84,12,0,8,16,133,3,6,9,5,6,150,33,54,7,5,12,2,3
2015-08-01,6,31,55,10,4,109,7,13,20,24,385,88,98,119,192,149,1,0,100,57,124,5,12,23,11,4,34,51,4,3,5,4,4,3,2,2,2,12,0,1,36,2,0,8,3,219,89,16,0,6,7,152,7,7,8,3,8,140,35,64,2,5,12,2,5
2015-09-01,10,34,50,12,2,94,6,6,18,24,295,76,82,99,170,152,1,0,89,49,122,12,15,31,15,6,44,125,5,3,7,7,2,4,3,2,1,11,1,1,715,2,1,11,4,350,89,12,0,5,13,154,8,7,11,3,12,128,30,63,2,5,11,3,4
2015-10-01,7,23,43,12,5,82,8,7,14,21,258,71,68,93,162,177,2,0,103,50,111,7,14,30,14,6,41,107,4,2,8,5,3,3,2,2,2,6,0,1,93,2,0,15,4,188,85,13,0,4,9,142,2,6,15,4,10,123,25,53,1,5,11,3,4
2015-11-01,12,27,50,11,2,99,8,13,14,23,243,64,68,96,152,184,1,0,98,43,112,6,11,19,15,2,42,45,5,4,5,6,4,4,2,3,2,8,0,1,43,3,0,10,2,169,85,14,0,6,8,142,5,6,10,3,8,132,22,50,3,5,11,2,5
2015-12-01,8,33,52,10,3,87,8,9,12,29,274,83,81,106,170,161,2,0,112,51,110,14,8,23,13,4,46,40,6,3,6,6,4,2,2,2,2,10,1,1,43,2,0,8,2,169,82,13,0,6,9,142,4,6,8,1,7,161,30,60,2,3,14,3,5
2016-01-01,8,32,58,11,2,87,7,7,12,21,327,88,93,129,192,166,2,0,95,47,107,11,16,26,13,3,49,70,4,2,6,7,3,3,3,3,3,11,0,1,43,3,0,10,5,182,82,15,0,7,10,138,4,7,10,4,7,163,26,71,3,4,11,3,3
2016-02-01,12,28,55,11,3,92,6,4,16,26,327,78,86,106,168,126,3,0,100,42,102,10,14,33,13,4,47,111,4,3,9,6,3,5,2,4,3,9,1,1,36,1,0,9,2,163,85,12,0,4,11,149,5,7,9,2,9,155,29,53,2,3,14,2,3
2016-03-01,12,27,52,13,2,87,6,8,14,25,264,79,87,118,164,152,2,0,84,41,97,15,14,24,13,5,43,99,6,3,6,8,3,4,2,3,3,8,2,1,50,2,0,8,1,157,89,16,0,4,8,170,4,7,8,1,11,163,32,59,3,3,15,3,6
2016-04-01,8,20,51,17,3,94,5,8,9,26,253,72,98,106,166,161,2,0,92,38,91,21,17,17,10,6,46,45,6,4,7,8,1,1,3,11,2,6,1,22,50,4,0,9,3,157,87,18,0,3,13,154,4,4,9,4,10,159,33,68,3,5,16,3,62
2016-05-01,8,29,50,18,4,63,8,8,11,25,279,78,113,105,154,142,2,0,84,38,89,15,18,17,10,8,35,37,6,3,8,5,3,2,3,2,2,5,2,4,43,2,0,7,3,163,84,16,0,3,11,154,4,5,7,3,8,159,34,49,3,3,14,4,16
2016-06-01,14,31,47,13,2,63,7,8,10,23,400,93,118,132,162,152,1,0,109,45,102,26,18,24,17,6,58,82,6,6,7,6,3,1,1,3,1,6,1,5,308,1,0,10,4,207,82,19,0,3,11,142,4,5,10,4,7,194,33,78,3,3,13,1,12
2016-07-01,12,34,45,16,5,75,6,9,13,28,385,102,109,145,205,166,1,10,106,44,104,16,20,41,16,10,59,122,8,3,8,4,2,3,2,2,1,8,1,3,308,2,30,9,3,200,92,21,1000,2,9,114,6,6,9,3,9,207,38,86,3,3,14,5,10
2016-08-01,9,29,52,14,6,89,6,11,13,27,306,85,102,122,200,161,0,4,106,48,104,14,16,20,12,8,59,60,7,2,6,5,4,2,2,2,2,6,1,1,65,1,9,8,2,157,89,19,450,4,11,142,6,5,8,2,8,192,37,65,3,3,12,3,8
2016-09-01,14,26,50,14,3,70,7,5,12,27,316,65,97,96,182,154,0,2,103,52,99,18,20,22,10,5,45,42,7,3,4,6,4,3,2,9,2,6,0,1,58,2,3,14,3,188,92,21,140,3,9,147,2,7,14,2,12,175,28,54,5,3,15,2,9
2016-10-01,11,32,54,18,4,63,8,7,15,24,300,67,100,119,178,133,3,1,98,42,98,16,15,24,10,4,47,44,6,2,8,6,2,3,3,3,4,3,1,1,379,2,1,9,4,182,85,21,50,5,10,152,4,7,9,4,9,171,34,46,2,3,14,3,7
2016-11-01,12,28,46,14,3,67,6,9,13,25,358,62,94,132,184,142,1,1,106,50,102,20,18,32,16,6,59,154,7,4,9,5,5,3,2,3,3,4,2,2,50,2,1,9,6,157,77,19,40,3,15,140,4,6,9,4,12,180,33,62,3,7,12,4,8
2016-12-01,10,27,51,17,4,78,6,9,12,23,311,79,104,141,194,147,2,1,95,41,103,13,16,36,9,7,54,64,6,4,8,6,4,3,3,5,1,4,1,3,43,1,2,10,10,144,77,21,40,2,23,133,2,8,10,8,8,171,37,55,2,6,11,5,7
2017-01-01,14,28,63,18,2,80,8,10,14,28,322,76,112,135,198,168,1,1,128,45,99,12,20,35,17,5,43,57,6,3,8,7,4,1,1,3,1,4,1,2,72,1,1,12,6,169,89,21,30,3,16,149,7,7,12,6,9,209,38,66,2,3,9,2,9
