date,how to encrypt text messages,who can see my snapchat story,most private browser,best anonymous browser,search without history,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Twitter privacy policy,uber privacy policy,How to make tweets private,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt whatsapp
2015-08-01,34,181,130,205,455,82,222,200,68,74,46,95,74,68,62,34,35,34,209,0,16,149,53,110,149,53,136,45,96,212,89
2015-09-01,50,208,99,107,430,201,272,263,111,89,56,132,117,33,66,61,45,23,200,17,16,198,61,82,198,61,218,39,90,189,78
2015-10-01,52,212,135,117,405,123,243,242,109,79,32,136,84,47,48,31,39,32,100,0,27,271,63,82,271,63,171,27,84,200,67
2015-11-01,43,193,133,200,405,101,190,267,43,86,65,85,103,70,76,32,54,37,152,0,24,179,61,114,179,61,148,38,82,200,89
2015-12-01,60,174,142,170,500,255,147,238,65,99,60,99,115,71,44,33,43,34,176,16,24,149,25,105,149,25,118,28,62,239,89
2016-01-01,52,193,119,152,410,191,290,242,51,74,42,102,126,52,54,46,66,48,203,0,16,179,80,123,179,80,130,41,78,195,56
2016-02-01,36,197,102,109,465,169,258,234,72,68,47,153,114,46,83,31,73,62,155,15,24,168,32,78,168,32,159,46,47,245,56
2016-03-01,57,239,100,160,475,264,243,234,95,106,49,100,134,53,77,29,47,48,138,29,24,141,19,73,141,19,183,58,58,273,100
2016-04-01,45,308,90,135,430,369,304,171,104,106,66,130,140,20,25,45,213,36,117,15,385,168,65,46,168,65,183,40,86,289,1112
2016-05-01,67,312,144,131,405,273,318,180,139,112,53,134,87,58,29,50,43,36,87,29,62,122,59,55,122,59,142,54,60,239,289
2016-06-01,25,235,119,117,395,455,322,300,114,100,106,130,111,45,25,23,86,15,100,15,85,179,71,51,179,71,124,40,45,234,223
2016-07-01,90,281,111,158,490,278,358,284,170,141,60,134,75,35,50,40,45,16,146,15,50,168,50,32,168,50,165,51,56,250,189
2016-08-01,59,254,107,154,460,251,279,209,136,129,39,112,84,78,45,30,64,44,109,15,24,144,40,73,144,40,136,50,56,223,145
2016-09-01,44,239,126,109,455,310,358,188,92,119,54,69,114,64,54,37,166,44,103,0,16,244,44,55,244,44,218,79,60,267,156
2016-10-01,60,320,144,117,450,282,265,180,78,103,43,144,103,42,47,56,60,69,60,14,24,171,80,87,171,80,159,33,56,239,123
2016-11-01,75,254,102,145,425,355,311,280,112,131,75,153,84,84,47,37,75,57,79,28,43,160,80,60,160,80,206,38,117,212,145
2016-12-01,88,308,100,139,445,223,283,163,119,116,65,142,112,65,55,48,83,23,71,21,54,173,148,28,173,148,142,38,103,200,123
2017-01-01,39,324,144,160,450,205,354,300,87,106,62,140,120,66,26,22,52,22,76,20,35,222,115,55,222,115,159,27,58,162,156
