date,how to delete facebook,how to change facebook privacy settings,youtube private channel,private twitter account,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to unfollow someone on facebook,how to unfollow someone on instagram,how to unfriend someone on facebook,Facebook privacy policy,instagram privacy policy,Facebook Privacy settings,Gmail privacy,pokemon go settings,Youtube Privacy,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,how to encrypt whatsapp
2015-04-01,49,0,1,1,4,1,1,1,2,2,17,12,13,14,11,1,0,1,0,0,1,1,0,2,1,0,2,2,1,0,1,0
2015-05-01,50,0,1,1,3,1,1,1,2,2,17,12,12,14,12,1,0,1,0,0,1,0,0,2,1,0,2,2,1,0,1,0
2015-06-01,54,0,0,1,3,1,1,1,2,2,18,13,13,16,13,1,1,1,1,0,1,0,0,2,1,0,1,3,2,0,1,0
2015-07-01,57,0,1,1,4,1,1,1,2,2,18,14,13,18,16,1,1,1,0,0,1,0,0,2,1,0,1,3,2,0,1,0
2015-08-01,55,0,1,1,4,1,1,1,2,2,19,14,13,15,18,1,1,1,0,0,1,0,0,2,1,0,2,3,1,0,1,0
2015-09-01,50,0,1,1,3,1,1,1,2,2,18,12,11,14,18,1,1,1,0,1,1,7,0,3,1,0,1,2,1,0,1,0
2015-10-01,48,0,0,1,3,1,1,1,2,2,17,11,11,11,16,1,0,1,0,0,1,1,0,2,1,0,2,2,1,0,1,0
2015-11-01,48,0,1,1,3,1,1,1,2,2,17,11,11,11,15,1,0,1,0,1,0,0,0,2,1,0,2,2,2,0,1,0
2015-12-01,51,0,1,1,3,1,1,1,2,2,18,12,12,12,17,1,0,1,0,0,0,0,0,2,1,0,1,2,2,0,1,0
2016-01-01,53,0,1,1,4,1,1,1,2,2,19,13,12,13,20,1,1,1,0,1,1,0,0,2,1,0,1,3,2,0,1,0
2016-02-01,48,0,0,1,3,1,1,1,2,1,18,11,11,13,22,1,1,1,0,1,1,0,0,2,1,0,2,2,2,0,1,0
2016-03-01,50,0,1,1,3,1,1,1,2,2,17,11,10,14,19,1,0,1,0,0,1,0,0,2,1,0,2,2,2,0,0,0
2016-04-01,51,0,1,1,3,1,1,1,2,2,17,11,10,16,18,1,0,1,0,0,0,1,0,2,1,0,2,2,2,0,1,1
2016-05-01,51,0,1,1,3,1,1,1,2,2,17,11,10,16,20,1,0,1,0,0,0,0,0,2,1,0,2,2,2,0,1,0
2016-06-01,54,0,1,1,4,1,1,1,2,2,18,13,11,18,28,1,0,1,0,1,1,3,0,2,1,0,2,2,2,0,1,0
2016-07-01,57,0,1,1,4,1,1,2,2,2,20,13,12,20,29,1,0,1,0,1,1,3,0,2,1,11,1,3,2,0,1,0
2016-08-01,53,0,1,1,3,1,1,1,2,2,19,13,12,18,22,1,1,1,0,1,1,1,0,2,1,5,1,3,2,0,1,0
2016-09-01,54,0,0,1,3,1,1,1,2,2,19,12,11,15,22,1,1,1,0,0,0,1,0,2,1,1,2,3,2,0,1,0
2016-10-01,52,0,1,1,3,1,1,1,2,2,18,11,10,16,26,1,0,1,0,1,1,4,0,2,1,1,2,2,2,0,1,0
2016-11-01,55,0,1,1,4,1,1,1,2,1,19,11,11,15,30,1,0,1,0,1,2,0,0,2,1,0,2,2,2,0,1,0
2016-12-01,52,0,1,1,4,1,1,2,2,2,20,11,12,18,27,1,0,1,0,1,1,0,0,2,1,0,1,2,2,0,1,0
2017-01-01,56,0,1,1,4,1,1,1,2,2,20,13,12,18,28,1,0,1,0,0,1,1,0,2,1,0,2,3,2,0,1,0
