date,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-11-01,52,39,0,0,104,2,3,6,14,589,123,0,5,131,93,4,0,158,39,90,0,3,2,12,0,2,38,0,0,4,3,2,0,4,0,0,0,2,0,47,2,3,0,6,0,434,72,2,5,2,185,4,7,6,0,8,3,0,66,0,3,16,3,2
2011-12-01,54,68,0,0,69,4,4,9,13,553,121,0,4,112,100,4,0,204,42,87,0,2,3,25,0,4,63,0,0,4,4,0,0,4,0,4,0,0,0,47,2,3,0,9,0,414,76,0,8,0,169,2,7,9,0,4,5,0,87,0,0,12,3,2
2012-01-01,41,56,0,2,52,8,9,16,17,583,114,0,5,138,108,3,0,173,31,96,0,2,4,27,0,2,84,0,0,8,4,0,2,2,0,2,0,0,0,54,8,0,0,7,0,420,110,0,8,0,235,3,20,7,0,29,11,0,90,0,2,19,2,0
2012-02-01,51,64,0,0,47,5,8,18,19,559,102,0,7,96,95,4,0,185,25,75,0,4,2,30,0,2,88,0,0,3,3,0,0,4,2,5,0,0,0,85,3,2,0,12,0,374,167,0,15,3,264,7,39,12,0,32,9,0,95,0,3,22,2,0
2012-03-01,49,60,0,0,47,7,7,13,14,536,91,0,5,103,105,2,0,170,26,93,0,7,3,17,0,7,75,0,0,3,5,0,2,5,2,2,0,0,0,85,4,3,0,10,0,300,134,0,10,0,214,6,27,10,0,34,7,2,84,0,3,15,2,0
2012-04-01,44,48,0,2,69,4,4,18,21,400,133,0,18,112,115,2,0,158,30,75,0,7,3,23,0,9,79,0,0,8,4,2,0,3,2,2,0,0,0,85,3,4,0,3,0,354,72,2,9,0,185,14,7,3,0,11,31,0,86,2,3,19,3,0
2012-05-01,45,62,0,3,76,4,5,15,12,371,125,0,20,105,110,2,0,140,23,81,0,7,2,16,0,12,97,0,2,5,4,0,0,5,2,2,0,0,0,62,2,3,0,10,0,387,78,2,14,2,111,6,6,10,0,10,40,0,86,0,4,18,0,2
2012-06-01,51,54,0,2,63,6,3,15,17,412,150,0,23,114,135,2,0,140,36,92,0,11,2,19,0,18,108,0,2,4,4,0,2,2,2,2,0,0,2,93,5,7,0,7,0,347,65,0,16,2,116,6,3,7,0,7,55,0,109,2,4,19,2,2
2012-07-01,38,58,0,2,80,5,6,15,14,530,168,3,30,124,143,3,0,158,30,111,0,8,3,11,0,16,102,0,3,5,7,0,0,3,0,2,0,0,0,70,2,4,0,7,0,340,61,0,16,0,153,10,4,7,0,7,83,0,104,0,2,16,3,2
2012-08-01,70,65,0,5,80,4,4,14,13,518,163,5,38,156,183,2,0,146,35,102,0,9,5,16,0,20,88,0,2,5,2,2,0,4,2,3,2,0,0,39,3,5,0,8,0,440,61,0,14,0,137,7,6,8,0,8,68,2,115,0,3,19,3,2
2012-09-01,100,74,0,24,69,3,3,15,19,424,116,5,30,128,153,2,0,146,29,114,0,6,3,14,0,19,61,0,2,5,3,3,0,3,2,3,0,0,0,47,5,4,0,9,0,607,84,0,15,2,148,6,7,9,0,5,90,3,98,0,1,14,2,2
2012-10-01,100,50,0,20,82,4,4,17,21,353,108,9,28,112,143,2,0,131,40,99,0,6,2,16,0,26,106,0,1,4,4,2,1,0,3,2,0,0,0,70,3,4,0,6,0,574,59,3,16,1,177,9,5,6,0,5,77,0,106,0,3,11,3,2
2012-11-01,65,61,0,17,71,2,7,13,18,465,138,37,26,121,130,1,0,152,37,108,0,8,4,18,0,21,140,1,2,5,3,1,1,0,0,1,0,1,0,124,3,3,0,9,1,500,65,3,14,1,179,9,9,9,1,7,68,4,102,0,1,21,4,2
2012-12-01,70,63,0,15,91,7,6,14,15,483,134,40,46,145,148,0,0,143,38,109,4,16,4,22,0,26,54,1,3,5,6,2,1,0,1,3,1,0,1,108,3,114,0,10,0,520,84,0,18,1,174,6,6,10,0,4,114,17,94,0,0,13,1,1
2013-01-01,60,74,0,16,113,4,6,14,15,418,150,30,63,142,178,3,0,173,41,89,3,8,14,19,0,41,47,2,3,7,3,5,1,3,1,1,1,0,0,62,5,32,0,9,0,487,72,2,22,0,172,7,3,9,0,6,127,12,106,0,3,20,2,1
2013-02-01,61,72,0,10,132,4,7,13,20,395,144,15,65,140,198,2,0,131,30,108,0,12,13,16,0,37,40,1,1,7,5,1,1,4,3,4,1,0,1,85,4,13,0,12,0,494,87,0,16,1,185,9,8,12,0,7,105,16,86,0,3,24,4,3
2013-03-01,50,71,0,12,112,3,7,13,17,418,125,25,49,133,128,3,0,122,37,89,1,7,27,19,0,34,140,2,3,3,4,1,1,3,1,4,3,0,0,62,3,11,0,11,0,560,78,2,18,0,158,6,5,11,0,11,129,22,89,0,5,15,1,3
2013-04-01,43,69,0,4,102,4,9,19,22,436,140,40,63,138,133,2,0,134,39,99,1,10,40,14,0,44,61,1,3,5,3,1,2,3,1,3,1,0,0,54,3,10,0,9,0,360,78,3,19,1,148,5,7,9,1,6,114,34,90,0,3,16,2,1
2013-05-01,46,55,0,12,102,6,8,13,16,342,134,40,60,168,148,3,0,137,42,92,2,14,22,19,0,32,59,5,2,4,5,1,5,3,1,1,4,0,0,54,2,7,0,5,0,387,72,1,22,1,127,7,4,5,0,7,111,43,83,2,3,25,1,3
2013-06-01,53,62,0,9,139,5,5,18,22,348,142,49,76,170,165,5,0,131,48,115,2,11,16,16,0,37,52,7,3,5,10,0,4,1,2,3,8,0,0,47,1,5,0,10,0,347,93,2,21,0,132,5,6,10,0,8,111,66,76,2,9,24,5,1
2013-07-01,54,72,0,14,165,6,6,13,22,465,165,57,68,177,160,3,0,137,49,118,4,16,21,19,0,47,143,5,3,6,7,3,4,5,2,3,11,0,0,54,5,5,0,7,0,454,89,6,32,1,124,8,8,7,0,7,157,43,80,1,7,24,2,2
2013-08-01,46,92,0,14,130,9,7,14,25,424,189,53,75,187,150,3,0,146,51,115,4,16,37,15,0,56,63,2,2,8,4,1,4,2,2,1,8,1,1,47,4,10,0,4,0,354,189,9,24,1,129,6,11,4,0,7,131,42,92,1,4,12,1,3
2013-09-01,45,73,0,10,138,5,7,12,21,300,140,48,54,166,138,0,0,134,55,118,6,14,34,16,2,43,56,1,2,6,6,1,1,3,2,1,12,0,1,62,3,7,0,7,1,374,95,12,23,2,124,3,3,7,1,9,124,40,82,1,7,16,2,3
2013-10-01,54,64,6,6,123,4,7,10,20,318,100,48,57,177,150,3,0,104,41,115,5,14,11,15,1,31,49,1,2,7,3,2,3,2,1,4,7,0,1,239,3,12,0,5,0,500,114,10,13,1,143,6,9,5,0,9,90,42,86,2,3,18,2,2
2013-11-01,41,60,6,6,134,6,9,14,23,353,106,49,44,184,133,4,0,125,48,131,6,14,18,16,0,34,102,1,2,4,4,1,4,2,2,3,10,2,1,62,3,6,0,8,0,307,108,10,14,2,158,6,9,8,1,7,103,48,65,2,2,18,2,2
2013-12-01,43,74,9,9,139,9,7,15,21,406,127,76,70,203,138,2,0,125,52,128,4,16,28,16,1,48,125,3,6,3,4,1,4,2,2,3,12,0,1,47,3,23,0,7,1,280,93,11,16,2,132,5,8,7,1,8,116,53,78,3,4,18,2,2
2014-01-01,50,70,9,10,150,5,9,17,23,383,142,103,75,219,188,2,0,134,61,142,6,13,38,18,1,43,58,1,2,5,7,1,2,3,1,3,10,1,1,39,3,16,0,8,0,254,108,13,21,1,143,5,8,8,1,10,120,83,86,3,4,13,2,3
2014-02-01,35,76,9,7,132,5,9,18,23,289,119,60,57,200,200,4,0,131,48,134,5,16,41,25,1,41,45,4,1,5,8,1,4,2,2,3,12,1,1,47,3,7,0,10,1,254,102,12,20,4,140,6,5,10,1,10,109,57,87,1,7,18,4,2
2014-03-01,36,59,6,8,171,6,5,17,19,295,114,68,70,200,160,1,0,125,57,123,5,18,22,19,0,37,45,2,3,5,8,2,2,2,1,3,11,1,0,47,3,68,0,12,0,254,97,17,21,1,143,7,6,12,0,8,114,57,76,1,4,11,3,4
2014-04-01,43,63,8,8,186,6,8,16,22,365,123,68,75,200,170,1,0,119,46,121,5,15,30,16,1,54,104,2,5,6,4,3,5,2,2,4,10,1,1,54,3,8,0,10,1,260,97,15,18,3,145,3,7,10,1,6,146,63,80,0,5,10,3,2
2014-05-01,35,55,12,9,132,7,10,12,19,377,106,102,70,196,163,2,0,110,49,114,21,9,37,15,2,50,115,2,5,7,4,1,2,3,4,2,10,1,2,54,3,8,0,9,2,267,85,18,22,3,124,7,6,9,2,9,133,59,74,2,5,14,3,2
2014-06-01,37,56,9,12,125,6,6,16,19,330,108,88,73,177,190,4,0,122,41,108,6,13,48,20,2,39,50,2,3,6,5,2,2,4,3,2,11,0,1,54,1,10,0,10,4,247,82,18,22,3,135,11,6,10,3,4,116,52,76,2,4,16,3,3
2014-07-01,37,50,11,10,138,6,6,25,20,330,148,83,96,217,198,1,0,128,53,142,5,10,52,17,4,48,43,4,5,7,5,3,3,1,4,4,11,0,1,47,2,6,0,8,0,234,80,19,18,2,132,12,6,8,2,9,135,74,74,1,4,16,3,3
2014-08-01,43,55,5,9,150,6,9,16,21,353,138,68,84,214,178,1,0,304,46,142,5,12,48,19,1,48,50,1,3,4,6,4,6,2,2,2,11,1,3,85,1,6,0,8,4,287,87,14,19,3,127,15,8,8,3,8,140,57,89,0,2,12,3,4
2014-09-01,30,52,11,8,128,10,8,14,23,353,100,69,62,187,168,2,0,204,55,136,5,9,27,14,0,47,47,2,4,7,7,2,6,3,2,2,15,0,2,62,2,11,0,13,5,260,87,18,21,4,156,10,5,13,5,7,118,53,72,0,5,13,3,4
2014-10-01,39,50,9,10,126,6,5,16,29,324,99,92,60,184,185,7,0,146,54,143,4,10,23,14,2,43,47,2,2,4,5,2,3,2,4,3,15,0,2,54,2,7,0,8,2,227,100,20,18,4,158,9,7,8,2,7,127,48,72,3,5,11,3,3
2014-11-01,32,53,9,8,121,5,10,17,21,312,95,91,83,184,173,2,0,149,50,128,7,12,37,19,2,38,42,3,2,10,5,5,1,2,3,2,16,0,1,93,2,13,0,12,4,227,100,20,20,43,145,6,5,12,4,10,135,67,79,2,3,11,2,3
2014-12-01,34,59,8,9,119,9,7,19,27,359,106,113,100,180,178,2,0,125,50,145,6,14,49,14,2,51,43,2,4,7,4,4,4,2,3,2,12,0,2,124,2,14,0,9,2,240,78,14,18,19,145,6,6,9,2,9,155,74,76,3,2,10,3,2
2015-01-01,35,59,10,8,134,5,13,21,28,365,123,129,113,191,210,3,0,125,54,136,27,11,46,12,4,48,38,3,2,6,5,3,3,3,1,5,11,0,1,770,1,13,0,10,3,294,89,17,11,9,150,8,6,10,3,10,146,129,79,2,2,11,2,3
2015-02-01,32,54,10,4,93,6,7,13,21,359,91,90,86,182,175,3,0,125,52,128,12,15,32,10,3,45,40,4,2,5,6,3,5,3,1,3,12,0,1,70,2,12,0,13,2,214,87,22,8,15,143,6,7,13,2,9,124,48,72,3,5,13,3,2
2015-03-01,36,62,14,6,93,5,9,17,23,353,93,102,92,170,160,2,0,107,53,117,5,12,27,16,4,44,47,2,3,3,4,2,3,2,6,2,11,1,2,62,2,11,0,10,1,220,104,12,6,9,143,6,6,10,1,10,127,25,72,4,7,13,4,5
2015-04-01,36,61,14,5,99,7,8,18,23,400,99,86,109,168,163,1,0,110,49,124,11,18,34,15,4,45,61,4,3,6,6,2,2,1,3,2,17,1,2,54,2,8,0,10,3,207,91,10,8,13,143,5,6,10,3,9,129,29,59,2,6,14,3,2
2015-05-01,30,59,13,3,93,5,7,14,23,312,99,72,99,168,198,3,0,100,50,111,4,14,39,18,5,42,127,7,7,6,5,2,4,3,1,1,9,0,2,54,1,8,0,8,4,207,74,13,12,12,153,8,7,8,3,7,131,34,74,2,3,13,3,5
2015-06-01,36,59,11,4,95,7,8,17,24,300,100,83,107,187,250,1,0,110,54,115,8,12,58,18,2,49,93,7,4,6,3,2,3,3,4,4,11,1,1,47,2,4,0,10,10,207,93,14,8,26,135,5,7,10,11,12,148,35,82,2,4,10,3,3
2015-07-01,36,57,26,4,100,9,11,18,28,395,100,105,144,203,193,2,0,119,61,140,15,13,29,18,6,47,56,5,2,7,4,2,2,3,4,2,14,0,1,39,1,6,0,11,5,220,93,16,8,17,140,7,8,11,6,7,157,35,73,4,5,13,3,4
2015-08-01,35,58,10,3,115,7,10,21,25,424,100,122,133,205,165,0,0,122,65,148,6,16,19,12,4,36,59,3,3,7,5,2,2,2,3,2,15,0,1,47,1,4,0,10,4,207,87,15,6,7,177,7,7,10,4,7,153,36,69,4,5,9,2,5
2015-09-01,36,48,12,4,112,5,8,18,26,330,76,95,110,184,168,1,0,122,53,126,12,17,36,18,3,53,143,6,6,6,6,2,4,4,4,3,15,1,1,770,2,8,0,9,2,347,95,11,4,17,145,8,8,9,3,15,140,34,67,1,3,11,4,6
2015-10-01,31,49,10,5,88,8,9,20,25,271,76,82,99,184,188,2,0,113,49,127,8,14,36,13,5,43,102,6,1,7,5,4,2,1,3,3,7,0,2,100,3,12,0,11,4,207,93,14,5,10,164,6,5,11,4,12,120,30,56,1,6,13,2,4
2015-11-01,35,57,11,3,113,10,12,16,27,271,72,78,94,175,190,1,0,104,42,117,8,9,23,19,1,48,50,7,5,4,4,3,4,2,3,2,10,0,1,47,4,11,0,12,3,180,84,15,6,10,161,6,7,12,4,11,140,25,57,4,4,15,4,6
2015-12-01,27,51,9,4,110,7,7,12,30,295,93,94,109,175,188,2,0,107,52,118,13,13,21,14,2,54,42,3,3,6,6,7,2,1,3,2,12,1,1,39,2,10,0,10,3,180,84,13,5,10,145,5,5,10,4,8,157,34,63,3,3,11,2,6
2016-01-01,35,65,14,4,110,7,11,12,25,383,97,96,134,207,188,1,0,110,57,115,10,22,25,19,5,52,68,4,3,8,5,3,2,2,4,3,14,0,1,39,3,8,0,8,5,180,97,16,7,13,161,4,8,8,4,9,181,31,78,4,4,15,4,4
2016-02-01,29,49,11,3,108,5,7,17,31,348,84,87,123,175,145,1,0,113,52,112,9,19,41,14,6,52,124,3,4,9,7,3,1,4,3,4,8,1,1,39,3,15,0,12,4,167,100,11,4,8,166,5,8,12,3,9,157,30,53,2,5,17,2,2
2016-03-01,26,60,15,4,104,10,8,14,28,295,87,106,142,182,165,1,0,97,44,114,16,20,29,12,6,48,97,6,3,8,8,2,5,1,4,2,7,1,2,54,1,11,0,10,2,180,100,15,8,8,174,4,7,10,1,10,161,34,56,3,3,19,3,5
2016-04-01,30,56,19,4,99,6,10,12,32,300,82,107,107,175,170,2,0,97,41,103,21,20,21,13,7,51,50,4,3,7,7,1,2,3,17,2,8,0,27,54,2,12,0,10,4,180,95,24,4,13,172,3,4,10,3,10,183,39,71,4,6,16,2,64
2016-05-01,29,54,16,2,86,9,8,10,23,318,80,117,123,177,168,1,0,97,40,95,17,19,18,10,7,49,43,5,4,8,6,5,2,1,4,2,6,1,4,47,1,10,0,9,4,174,91,19,4,11,156,6,7,9,4,11,155,34,59,3,5,16,4,16
2016-06-01,35,59,15,3,82,6,9,15,28,424,99,125,149,184,170,2,0,122,49,114,29,17,28,15,7,64,90,7,5,7,6,4,2,2,4,1,7,1,5,324,1,19,0,10,4,214,74,19,3,11,153,4,7,10,3,10,192,38,75,1,4,18,5,13
2016-07-01,33,53,15,5,88,8,10,16,24,412,102,136,162,233,178,1,15,119,51,112,20,23,43,17,13,69,136,10,5,6,6,2,2,1,4,3,6,0,5,324,2,15,33,13,2,207,110,22,2,11,132,7,8,13,2,11,216,43,87,1,3,16,3,13
2016-08-01,34,58,16,5,89,7,10,11,27,336,87,113,136,231,168,2,3,116,54,115,20,17,28,13,6,61,70,8,3,7,7,5,4,2,5,5,4,1,2,62,2,11,10,10,3,160,99,22,5,13,132,7,7,10,4,8,203,40,68,2,3,15,3,11
2016-09-01,29,49,17,2,76,6,8,14,23,330,70,106,107,196,165,2,1,107,53,106,17,19,21,11,6,53,50,6,4,4,8,3,2,2,11,2,3,0,2,62,4,13,3,13,2,174,106,21,4,11,148,5,8,13,4,13,177,30,65,4,3,20,1,9
2016-10-01,32,54,17,4,63,8,5,17,29,324,84,96,130,210,160,2,1,104,48,112,21,17,22,14,8,50,58,5,3,9,4,3,5,2,5,3,5,1,2,408,2,15,3,7,3,187,89,23,4,11,161,3,8,7,4,11,185,36,59,1,5,17,3,9
2016-11-01,36,56,16,4,80,7,7,14,31,406,68,100,142,182,155,2,1,104,49,118,15,21,36,12,4,57,179,8,4,8,8,5,1,3,6,5,7,2,3,62,2,14,0,11,6,167,95,21,3,18,143,3,8,11,6,13,192,39,71,3,5,16,3,9
2016-12-01,29,55,20,3,88,4,10,15,29,353,97,110,159,233,155,1,0,113,50,112,15,17,42,10,7,50,74,5,3,7,7,3,2,2,4,1,6,1,4,54,2,13,1,9,5,154,82,22,3,24,156,3,8,9,6,11,196,42,60,2,5,13,5,9
2017-01-01,28,60,22,5,93,10,9,15,29,377,93,128,150,214,195,3,1,131,47,114,13,18,34,19,4,50,63,7,3,7,9,4,2,2,5,1,5,1,2,77,1,16,2,12,5,174,97,21,4,18,148,8,11,12,5,11,218,44,71,2,4,11,3,9
