date,skype privacy policy,who can see my snapchat story,most private browser,how to browse anonymously,search without history,how to delete pokemongo,how to uninstall gmail,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to encrypt emails,best private messaging app,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,skype encryption,how to encrypt text messages
2013-02-01,37,0,111,208,264,0,510,22,152,217,188,0,23,91,0,34,45,22,44,67,0,220,0,23,261,24,133,100,220,0,345,89
2013-03-01,47,0,79,266,295,0,610,31,118,392,240,0,20,81,40,20,40,47,0,47,0,174,0,41,309,0,107,94,174,0,339,47
2013-04-01,20,0,88,247,327,0,550,40,94,575,304,20,48,95,41,20,34,0,0,34,0,184,0,32,279,39,100,120,184,0,284,61
2013-05-01,26,0,60,262,232,0,620,35,183,392,284,0,112,87,20,34,20,59,0,50,0,100,0,19,305,24,105,107,100,0,378,30
2013-06-01,34,0,88,235,353,0,660,53,200,217,212,0,115,97,20,40,40,120,0,31,0,124,0,51,353,0,54,107,124,0,439,40
2013-07-01,60,0,79,177,400,0,800,79,197,292,232,0,54,81,79,20,40,191,0,69,0,127,0,91,418,24,73,74,127,0,373,20
2013-08-01,53,0,86,270,416,0,780,66,228,625,232,0,33,134,20,29,20,137,20,66,0,93,20,105,331,24,80,160,93,20,250,20
2013-09-01,39,0,58,250,353,0,710,70,211,442,272,39,20,99,19,34,49,174,0,39,0,146,20,137,331,31,73,67,146,20,278,26
2013-10-01,18,90,62,189,300,0,680,74,218,192,264,0,18,69,28,38,18,152,0,74,0,136,0,101,161,16,87,114,136,0,245,28
2013-11-01,50,85,86,162,348,0,700,83,190,267,208,0,38,106,19,25,50,105,56,56,0,127,18,155,248,31,75,134,127,18,217,37
2013-12-01,50,110,108,266,364,0,840,87,266,384,240,37,57,46,19,29,63,186,0,57,0,134,20,169,283,39,49,107,134,20,212,44
2014-01-01,71,130,76,254,353,0,920,92,166,700,308,17,30,100,17,40,35,144,18,30,0,108,0,228,400,39,70,120,108,0,189,26
2014-02-01,38,125,46,304,306,0,870,70,183,542,364,19,39,59,19,52,58,166,0,49,0,162,20,201,314,31,103,120,162,20,339,38
2014-03-01,34,100,74,239,279,0,780,40,249,359,328,0,23,134,29,36,52,159,17,35,0,174,17,214,366,16,59,87,174,17,217,23
2014-04-01,18,160,78,324,264,0,860,53,187,384,244,27,27,102,35,36,41,159,18,48,0,174,0,291,266,39,66,127,174,0,173,53
2014-05-01,36,190,108,212,274,0,760,287,176,525,268,54,54,91,18,72,60,208,0,54,0,103,18,300,327,70,119,140,103,18,239,30
2014-06-01,26,110,86,308,306,0,720,127,228,775,336,33,60,87,40,47,40,191,20,21,0,127,80,219,435,62,145,100,127,80,239,46
2014-07-01,58,170,150,385,432,0,740,96,145,834,316,20,30,53,65,69,29,213,0,52,0,112,20,296,331,24,149,74,112,20,250,26
2014-08-01,29,135,111,258,358,0,850,70,242,609,324,39,20,59,58,20,19,166,0,20,0,146,33,187,357,39,233,94,146,33,150,48
2014-09-01,37,175,113,235,327,0,960,74,145,325,244,19,38,95,43,29,28,222,0,29,0,208,93,278,300,85,168,87,208,93,234,50
2014-10-01,53,155,158,297,432,0,820,100,163,342,180,19,48,83,47,47,35,198,0,36,0,167,35,287,214,100,105,100,167,35,195,53
2014-11-01,36,130,102,227,348,0,860,114,156,509,268,31,68,116,54,65,42,227,0,37,0,239,81,278,322,770,126,147,239,81,212,18
2014-12-01,30,125,143,258,348,0,710,79,211,750,220,30,36,73,41,36,27,176,18,19,0,120,42,255,209,254,107,107,120,42,195,36
2015-01-01,39,140,100,297,416,0,770,366,187,759,256,45,74,112,44,23,59,149,0,34,0,108,33,273,166,154,133,120,108,33,217,39
2015-02-01,18,145,97,220,395,0,840,218,249,442,188,73,98,85,60,49,48,174,0,28,0,141,24,319,144,162,110,114,141,24,195,54
2015-03-01,41,210,99,243,348,0,770,114,194,451,188,60,56,46,41,89,49,200,0,44,0,193,33,187,161,124,126,100,193,33,234,33
2015-04-01,34,230,90,297,369,0,740,196,221,534,172,57,69,97,28,56,34,240,17,18,0,143,57,237,118,231,119,127,143,57,239,23
2015-05-01,22,200,99,227,332,0,660,92,263,642,248,67,95,104,33,58,41,244,0,23,0,143,54,251,135,170,77,120,143,54,173,33
2015-06-01,61,195,90,150,453,0,690,83,190,826,200,62,78,79,67,43,39,154,17,18,0,141,150,201,83,385,84,140,141,150,184,67
2015-07-01,49,500,127,247,437,0,900,187,218,542,264,60,84,100,50,60,50,159,0,17,0,155,89,269,118,262,89,94,155,89,217,66
2015-08-01,38,170,120,381,332,0,1000,92,256,400,192,76,66,65,33,49,27,225,0,25,0,139,21,255,79,131,98,94,139,21,223,24
2015-09-01,58,160,85,285,432,0,820,200,242,525,224,80,96,93,27,58,48,154,16,33,16,141,75,219,96,200,112,100,141,75,128,43
2015-10-01,25,165,108,277,422,0,720,118,242,467,196,62,83,134,76,47,61,91,0,39,0,177,71,155,70,170,91,100,177,71,223,46
2015-11-01,36,180,176,204,427,0,740,92,159,317,224,27,68,89,52,32,47,118,0,55,0,167,51,223,83,131,56,87,167,51,150,26
2015-12-01,16,170,100,189,527,0,750,200,183,384,244,64,75,118,69,49,71,161,16,48,0,181,63,219,74,131,73,87,181,63,217,48
2016-01-01,40,175,134,200,385,0,790,157,283,417,248,45,109,136,45,45,30,179,0,45,0,117,68,237,122,177,54,60,117,68,234,60
2016-02-01,35,145,104,266,427,0,800,187,249,559,184,94,80,169,30,80,59,118,15,25,0,196,35,160,79,170,54,80,196,35,217,30
2016-03-01,42,210,97,266,458,0,610,209,287,442,200,107,112,122,69,34,23,115,14,24,0,131,38,241,96,139,84,127,131,38,267,62
2016-04-01,43,275,116,154,406,0,600,344,283,350,176,154,92,93,29,223,24,152,14,37,0,146,48,319,48,208,73,80,146,48,306,34
2016-05-01,42,240,102,127,374,0,650,300,318,267,160,102,103,95,88,69,28,105,14,15,0,98,69,300,61,177,103,147,98,69,228,74
2016-06-01,24,240,139,200,437,0,700,435,297,342,260,125,150,97,43,78,22,66,14,29,0,127,48,282,35,247,59,127,127,48,273,34
2016-07-01,34,225,125,254,395,205,780,266,318,609,200,154,130,89,29,54,14,120,29,34,527,155,57,323,44,124,117,94,155,57,239,43
2016-08-01,28,270,109,193,485,62,840,305,345,467,172,96,115,106,81,58,36,122,14,22,185,203,48,332,74,200,91,127,203,48,223,57
2016-09-01,38,295,104,189,390,15,780,248,266,367,180,94,77,100,42,189,14,71,0,36,58,229,53,337,61,224,66,134,229,53,295,52
2016-10-01,49,230,120,200,411,0,710,322,249,292,168,85,95,122,53,63,49,71,13,23,32,177,80,305,66,193,75,114,177,80,267,53
2016-11-01,45,235,118,243,390,15,740,340,328,584,176,73,123,151,77,92,50,66,20,37,27,179,86,337,57,277,91,87,179,86,273,68
2016-12-01,27,285,118,274,453,0,720,274,269,609,128,104,114,114,68,54,36,86,13,21,27,131,108,455,31,370,49,114,131,108,162,72
2017-01-01,30,345,132,235,485,19,690,196,307,592,316,51,127,102,68,38,25,98,21,26,11,172,63,369,61,277,135,154,172,63,184,51
