date,best anonymous browser,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,most private browser,how to browse anonymously,search without history,how to uninstall gmail,how to uninstall snapchat,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Privacy policy Pokemon Go,uber privacy policy,private instagram posts,How to make tweets private
2014-01-01,75,385,543,71,79,39,137,185,501,49,149,9,350,9,15,42,54,9,21,27,12,24,82,9,9,0,9,102,170
2014-02-01,72,270,593,73,60,42,145,185,390,40,203,10,328,26,10,42,62,10,32,13,20,23,98,10,11,0,10,95,158
2014-03-01,38,277,458,47,68,47,137,152,464,38,157,9,300,12,22,44,61,15,18,15,12,22,86,9,0,0,0,134,165
2014-04-01,67,331,493,69,64,48,133,177,374,38,132,9,434,18,36,51,30,23,45,9,14,30,82,9,9,0,9,117,140
2014-05-01,77,270,429,100,72,52,94,154,400,173,120,18,406,15,40,52,31,9,25,28,31,18,83,9,20,0,14,146,173
2014-06-01,51,285,436,73,97,44,131,154,332,47,161,17,317,17,21,51,41,14,20,31,26,17,86,0,11,0,20,142,175
2014-07-01,46,285,386,88,77,46,205,165,432,38,137,30,384,30,40,54,36,26,20,10,30,30,90,0,11,0,20,155,145
2014-08-01,69,331,429,43,70,49,133,172,374,35,152,10,384,10,26,33,46,30,49,15,16,13,86,10,24,0,25,108,148
2014-09-01,67,231,400,90,68,82,113,190,453,38,113,9,378,14,28,57,54,19,47,16,14,19,117,0,20,0,38,146,163
2014-10-01,36,300,386,71,85,48,131,234,437,33,113,23,345,12,18,30,39,15,27,18,34,24,117,0,18,0,18,159,143
2014-11-01,77,247,408,73,62,37,141,170,411,52,157,15,306,28,15,83,40,37,19,12,26,18,126,0,9,0,32,157,155
2014-12-01,57,262,458,64,74,70,149,221,411,49,115,15,412,18,32,54,30,33,36,14,23,12,96,0,20,0,18,116,140
2015-01-01,100,270,465,81,60,43,172,224,437,219,100,23,389,26,17,46,40,20,23,20,12,40,86,0,9,0,26,134,88
2015-02-01,52,247,415,86,35,46,107,172,427,98,81,28,362,34,15,37,49,28,40,23,10,22,92,0,9,0,12,174,65
2015-03-01,73,277,479,111,45,42,139,190,427,42,132,28,350,28,22,25,34,20,25,17,46,20,90,8,13,0,8,99,48
2015-04-01,66,277,479,111,41,55,143,188,400,89,120,29,362,37,23,52,46,17,20,13,23,17,136,9,18,0,20,84,63
2015-05-01,56,231,465,105,24,39,117,190,406,31,149,39,345,50,59,45,36,20,25,13,11,8,73,0,18,0,25,102,95
2015-06-01,66,277,458,88,35,60,135,193,443,63,147,23,395,54,28,46,23,20,28,26,28,28,91,9,9,0,91,110,65
2015-07-01,87,277,443,213,31,73,145,224,495,124,144,53,384,39,14,59,28,20,11,28,31,20,110,0,9,0,51,129,65
2015-08-01,83,270,450,81,25,58,168,198,527,45,96,39,289,36,25,53,41,19,22,21,26,12,117,0,9,0,29,116,45
2015-09-01,60,277,372,94,33,44,147,213,432,94,144,38,428,41,45,49,52,16,24,33,36,27,117,8,9,0,25,89,35
2015-10-01,72,239,379,81,37,62,162,198,395,66,105,57,345,39,12,57,36,34,33,16,23,21,60,0,15,0,28,110,35
2015-11-01,96,270,450,90,29,82,133,216,348,63,149,21,384,48,37,32,35,21,32,19,22,19,78,0,11,0,29,116,50
2015-12-01,59,208,393,73,35,56,96,242,427,107,110,21,434,43,21,48,48,52,19,12,24,16,96,8,9,0,28,104,38
2016-01-01,87,270,508,111,33,56,98,206,464,80,152,36,417,33,20,64,38,20,27,18,28,20,113,0,9,0,31,127,55
2016-02-01,58,224,379,92,25,43,139,249,427,77,110,40,417,28,35,68,58,27,13,30,26,30,67,8,9,0,25,89,30
2016-03-01,64,200,465,126,33,78,113,224,358,128,93,64,389,48,24,64,62,19,31,11,31,14,60,7,18,0,11,123,63
2016-04-01,81,231,436,149,35,52,100,257,332,168,105,69,412,37,22,57,59,11,15,33,134,12,67,0,213,0,27,189,30
2016-05-01,64,224,415,128,18,68,82,183,327,138,81,57,395,52,35,66,49,38,14,14,36,14,50,7,28,0,28,150,33
2016-06-01,69,270,458,124,27,47,125,226,395,233,120,74,517,66,37,59,49,30,22,15,35,11,57,7,37,0,27,151,25
2016-07-01,77,254,415,118,41,64,131,193,416,163,140,99,556,82,40,49,47,20,20,7,35,22,50,0,39,271,17,172,18
2016-08-01,82,262,450,126,45,53,90,216,437,163,105,62,495,72,22,53,55,41,32,17,39,40,29,7,20,82,29,178,38
2016-09-01,65,224,386,139,18,50,115,185,432,138,91,43,428,53,31,36,65,26,22,14,90,14,25,0,15,22,29,167,30
2016-10-01,41,247,422,139,31,66,139,231,390,170,113,55,406,41,21,68,32,23,30,20,39,25,40,7,13,25,34,185,35
2016-11-01,60,277,436,128,35,53,115,249,400,117,96,41,456,67,34,64,67,41,18,23,47,44,56,14,26,0,48,165,23
2016-12-01,78,224,429,160,22,32,123,231,406,121,81,50,406,50,23,57,53,23,25,16,30,9,50,7,32,11,48,176,20
2017-01-01,72,216,465,179,43,82,119,234,379,103,152,43,406,52,22,56,69,30,13,13,38,9,41,9,20,14,39,168,33
