date,whatsapp security settings,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,how to delete a snapchat account,how to delete a instagram account,government monitoring social media,how to delete pokemongo,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on instagram,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,facebook app privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages
2012-08-01,11,479,469,0,29,550,37,37,113,28,245,11,0,720,12,75,153,0,0,37,45,11,22,44,15,0,0,25,0,63,0,0,90,37,63,0,42,0,44,108,11
2012-09-01,11,715,513,0,205,513,26,29,115,28,234,11,0,830,12,45,211,0,33,37,33,11,0,18,22,0,0,25,0,59,0,11,96,40,59,0,39,0,22,81,22
2012-10-01,13,636,382,0,141,563,23,40,97,64,178,17,0,750,0,56,158,0,10,47,17,10,20,20,40,10,0,34,0,37,0,31,100,67,37,0,54,0,27,96,13
2012-11-01,10,515,400,0,100,538,0,44,108,255,212,13,0,850,0,75,153,0,20,30,10,15,10,20,17,10,11,17,0,50,10,21,104,57,50,10,49,0,20,137,25
2012-12-01,10,465,463,0,115,675,30,54,95,264,334,20,0,710,30,78,174,20,10,47,27,25,10,0,25,10,0,834,0,72,0,15,122,65,72,0,44,0,20,115,17
2013-01-01,9,400,482,0,115,725,18,46,120,228,434,18,0,670,18,53,295,15,18,24,14,37,9,12,14,0,0,251,0,64,0,15,182,46,64,0,62,9,28,174,21
2013-02-01,15,450,532,0,90,813,50,40,95,110,423,15,0,690,10,70,258,10,10,40,31,0,10,17,20,10,11,75,0,98,0,11,120,60,98,0,42,0,14,152,40
2013-03-01,9,365,444,0,80,800,36,48,122,201,367,18,0,600,14,54,269,9,27,36,18,18,9,21,18,22,10,84,0,78,0,19,142,49,78,0,67,0,41,149,21
2013-04-01,9,315,450,0,62,650,40,64,113,228,367,12,0,670,18,43,290,21,27,43,18,18,18,9,15,0,0,59,0,82,0,15,128,46,82,0,36,0,18,125,27
2013-05-01,15,372,350,0,72,850,27,60,120,273,412,18,0,650,16,85,227,51,31,39,21,9,33,12,9,27,10,34,0,45,0,9,140,48,45,0,47,0,27,166,13
2013-06-01,18,336,494,0,64,988,40,55,108,355,534,21,0,780,24,93,264,52,27,43,70,9,21,15,18,55,10,25,0,56,0,23,162,25,56,0,52,9,61,193,18
2013-07-01,9,393,557,0,90,1163,36,51,81,428,445,18,0,840,36,91,358,24,33,36,45,36,24,27,18,87,0,50,0,57,0,41,192,33,57,0,49,9,27,164,9
2013-08-01,13,365,625,0,56,1013,39,54,123,346,456,18,0,800,30,105,332,15,9,60,33,9,24,24,9,63,10,50,0,42,9,47,152,36,42,9,47,9,27,110,9
2013-09-01,15,350,544,0,90,913,26,64,115,346,389,18,0,880,32,97,248,9,12,44,41,9,9,18,22,79,0,75,0,65,9,62,152,33,65,9,72,9,29,122,12
2013-10-01,17,372,475,42,54,825,28,50,86,346,334,11,0,740,34,100,237,8,11,31,33,12,0,8,8,69,10,59,0,61,0,45,74,39,61,0,54,8,19,108,12
2013-11-01,11,315,369,40,47,875,39,59,74,346,334,22,0,880,38,88,279,17,13,48,59,8,20,22,23,48,10,42,0,57,8,70,114,34,57,8,49,11,23,96,17
2013-12-01,13,250,513,52,47,925,48,40,122,491,434,21,0,980,40,123,369,26,23,20,43,8,34,23,28,85,10,109,0,60,9,76,130,23,60,9,65,8,31,93,20
2014-01-01,18,358,500,61,60,1050,34,66,116,682,512,12,0,880,42,77,290,13,8,45,42,8,29,32,16,66,8,92,0,48,0,103,184,32,48,0,77,16,16,83,12
2014-02-01,23,258,538,59,56,913,20,46,139,391,367,14,0,870,32,85,285,17,17,26,41,9,29,17,26,76,11,50,0,73,9,90,144,47,73,9,77,9,44,149,17
2014-03-01,16,243,444,47,62,1250,34,49,109,582,489,16,0,950,18,115,279,10,10,60,55,13,31,16,23,73,8,484,0,78,8,96,168,27,78,8,36,12,34,96,10
2014-04-01,16,300,494,75,56,1200,35,61,148,555,456,13,0,850,24,86,353,12,11,45,38,16,32,8,19,73,8,59,0,78,0,131,122,30,78,0,42,16,27,76,24
2014-05-01,32,236,394,89,52,888,49,43,97,755,500,13,0,770,130,81,322,24,35,40,22,8,27,16,27,95,20,59,0,46,8,135,150,54,46,8,49,13,28,105,13
2014-06-01,21,300,369,52,52,763,39,33,141,610,578,13,0,730,57,105,295,27,18,39,30,18,27,12,18,87,10,67,0,57,36,98,200,66,57,36,36,12,24,105,21
2014-07-01,31,272,419,80,76,875,67,38,176,582,600,13,0,990,44,67,364,13,31,23,35,29,23,26,13,97,13,50,0,50,9,133,152,68,50,9,44,9,31,110,12
2014-08-01,9,350,444,63,58,1025,50,56,118,519,589,13,0,940,32,112,348,9,22,26,32,26,20,13,9,76,15,50,0,65,15,84,164,106,65,15,54,9,18,66,22
2014-09-01,13,272,369,82,54,913,50,53,108,528,478,14,0,960,34,67,343,17,17,42,31,20,28,17,13,102,13,84,0,93,42,125,138,76,93,42,44,17,48,103,22
2014-10-01,21,329,325,73,74,938,72,56,136,655,423,11,0,930,46,75,290,21,24,37,24,21,27,24,16,90,11,50,0,75,16,129,98,48,75,16,47,19,35,86,24
2014-11-01,29,250,363,61,49,800,46,49,104,591,556,19,0,940,51,72,358,30,16,52,49,25,14,16,19,104,8,75,0,107,37,125,148,57,107,37,52,25,30,93,8
2014-12-01,16,222,438,59,35,863,64,59,118,746,667,20,0,990,36,97,379,16,16,32,24,19,27,13,12,80,13,67,0,54,19,115,96,49,54,19,54,19,27,86,16
2015-01-01,10,272,363,66,47,813,45,85,136,864,734,11,0,930,165,86,353,33,8,50,38,20,33,18,27,68,0,92,0,48,15,123,76,60,48,15,75,20,13,96,18
2015-02-01,22,265,463,68,25,600,44,33,100,600,634,14,0,840,99,115,332,44,11,38,41,27,27,8,22,79,8,59,0,63,11,143,66,50,63,11,57,16,16,86,25
2015-03-01,40,236,457,98,27,613,45,62,111,782,623,15,0,840,51,89,306,25,12,20,37,18,11,19,22,92,11,67,0,87,15,84,74,57,87,15,59,17,37,103,15
2015-04-01,25,222,394,107,45,675,41,54,136,619,756,10,0,780,89,102,337,31,13,43,44,13,15,15,15,109,8,59,0,64,26,107,54,54,64,26,49,10,26,105,10
2015-05-01,26,243,419,94,33,613,45,49,104,519,600,22,0,760,42,121,337,42,17,47,42,15,35,10,19,112,8,67,0,64,25,113,62,35,64,25,62,19,25,76,15
2015-06-01,19,286,394,91,21,675,40,58,69,600,645,8,0,810,38,88,322,35,23,35,34,30,23,28,18,70,0,42,0,63,68,90,38,38,63,68,72,15,23,81,30
2015-07-01,27,250,382,233,23,738,57,75,113,746,967,12,0,1000,85,100,353,37,17,45,25,22,27,22,22,73,0,42,0,70,40,121,54,40,70,40,57,17,27,96,30
2015-08-01,22,222,450,80,23,763,54,81,174,828,867,11,0,990,42,118,332,29,22,29,17,15,24,17,12,103,15,59,0,62,10,115,36,45,62,10,49,24,37,98,11
2015-09-01,26,208,369,75,37,713,39,60,130,610,734,11,0,880,91,112,400,43,17,41,44,12,22,26,22,70,13,75,7,63,34,98,44,51,63,34,85,7,24,57,19
2015-10-01,21,215,363,77,27,625,48,62,127,528,700,9,0,890,53,112,316,37,9,60,23,35,25,11,28,42,11,59,0,79,32,70,32,42,79,32,85,10,55,98,21
2015-11-01,14,229,375,84,25,725,79,63,93,510,712,12,0,770,42,74,353,30,23,40,45,23,21,16,21,54,15,100,0,75,23,100,38,26,75,23,85,35,28,66,12
2015-12-01,22,258,400,80,27,688,45,76,86,619,745,11,0,790,91,85,353,33,24,53,50,31,21,7,32,74,10,75,0,81,29,98,34,33,81,29,54,17,32,96,22
2016-01-01,20,243,413,82,29,725,61,70,92,728,934,11,0,770,71,131,422,49,18,61,36,20,16,18,13,82,10,50,0,53,30,107,56,25,53,30,70,16,36,103,27
2016-02-01,36,250,344,68,21,688,47,60,122,600,789,18,0,810,85,115,400,36,22,76,45,13,40,16,27,54,8,67,0,88,16,72,36,25,88,16,83,23,25,96,13
2016-03-01,15,193,394,98,27,725,44,71,122,737,934,8,0,730,95,132,374,50,23,54,40,31,38,19,10,53,10,84,0,59,17,109,44,38,59,17,62,23,23,118,28
2016-04-01,100,208,388,128,31,625,52,74,71,737,778,11,0,720,155,131,327,41,22,41,57,13,13,20,11,69,182,84,0,65,22,143,22,33,65,22,85,17,44,135,15
2016-05-01,31,215,375,112,27,575,46,71,58,855,800,19,0,710,136,147,337,46,34,42,40,40,8,19,13,48,33,59,0,44,31,135,28,47,44,31,88,21,25,100,34
2016-06-01,35,258,388,112,23,538,63,69,92,873,989,13,0,740,197,137,422,67,33,43,46,20,17,11,10,30,24,117,0,57,22,127,16,27,57,22,70,16,13,120,15
2016-07-01,24,243,375,105,52,600,57,61,116,910,1100,9,92,810,120,147,527,59,35,39,52,13,20,15,7,55,26,92,233,70,26,145,20,53,70,26,95,26,13,105,20
2016-08-01,26,243,419,126,45,663,49,60,88,801,934,0,28,820,138,159,437,52,24,47,52,36,22,13,16,56,17,75,82,91,21,149,34,42,91,21,77,15,24,98,26
2016-09-01,85,229,400,138,13,488,47,70,86,746,712,6,6,770,112,123,343,34,38,45,64,19,28,17,6,33,20,117,26,103,23,152,28,30,103,23,98,28,28,130,23
2016-10-01,28,200,375,107,25,450,54,54,92,719,912,12,0,780,146,115,300,42,28,54,36,24,26,22,22,33,24,100,14,79,36,137,30,34,79,36,75,10,28,118,24
2016-11-01,41,229,357,110,19,463,53,49,111,728,1012,12,6,860,153,151,437,55,27,67,39,35,16,20,22,30,6,100,12,80,39,152,26,42,80,39,85,18,35,120,31
2016-12-01,24,208,363,133,25,525,53,53,125,819,1056,16,0,860,124,124,390,51,20,51,49,31,26,12,16,39,31,84,12,59,49,205,14,23,59,49,59,14,22,71,33
2017-01-01,17,193,488,161,37,663,59,73,108,855,1112,11,9,780,89,142,353,58,15,46,50,31,15,13,11,45,15,109,5,77,29,166,28,62,77,29,77,8,36,81,23
