date,skype privacy policy,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,government monitoring social media,how to delete pokemongo,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,best private messaging app,google hangouts privacy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,uber privacy policy,How to make tweets private,Uber privacy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2013-11-01,50,105,86,131,162,50,0,83,190,267,0,38,28,106,19,43,25,50,105,18,56,0,18,248,31,134,127,18,106,25,217,37,30
2013-12-01,50,105,108,87,266,47,0,87,266,384,37,57,50,46,19,75,29,63,186,18,57,0,20,283,39,107,134,20,139,19,212,44,50
2014-01-01,71,132,76,146,254,26,0,92,166,700,17,30,18,100,17,64,40,35,144,18,30,0,0,400,39,120,108,0,167,35,189,26,50
2014-02-01,38,123,46,102,304,32,0,70,183,542,19,39,38,59,19,64,52,58,166,18,49,0,20,314,31,120,162,20,167,19,339,38,30
2014-03-01,34,137,74,110,239,34,0,40,249,359,0,23,23,134,34,69,36,52,159,18,35,0,17,366,16,87,174,17,78,26,217,23,40
2014-04-01,18,123,78,136,324,30,0,53,187,384,27,27,24,102,53,71,36,41,159,35,48,0,0,266,39,127,174,0,89,35,173,53,30
2014-05-01,36,114,108,95,212,30,0,287,176,525,54,54,77,91,18,59,72,60,208,53,54,0,18,327,70,140,103,18,106,30,239,30,40
2014-06-01,26,114,86,74,308,30,0,127,228,775,33,60,40,87,33,59,47,40,191,22,21,0,80,435,62,100,127,80,78,26,239,46,40
2014-07-01,58,169,150,85,385,29,0,96,145,834,20,30,68,53,52,52,69,29,213,31,52,0,20,331,24,74,112,20,95,19,250,26,50
2014-08-01,29,128,111,123,258,29,0,70,242,609,39,20,48,59,71,45,20,19,166,40,20,0,33,357,39,94,146,33,117,20,150,48,80
2014-09-01,37,119,113,117,235,31,0,74,145,325,19,38,37,95,37,62,29,28,222,40,29,0,93,300,85,87,208,93,95,37,234,50,80
2014-10-01,53,164,158,123,297,24,0,100,163,342,19,48,53,83,59,59,47,35,198,22,36,0,35,214,100,100,167,35,100,41,195,53,30
2014-11-01,36,110,102,110,227,42,0,114,156,509,31,68,36,116,66,30,65,42,227,18,37,0,81,322,770,147,239,81,112,54,212,18,60
2014-12-01,30,78,143,131,258,44,0,79,211,750,30,36,36,73,36,59,36,27,176,27,19,0,42,209,254,107,120,42,117,41,195,36,50
2015-01-01,39,105,100,189,297,25,0,366,187,759,45,74,17,112,44,72,23,59,149,0,34,0,33,166,154,120,108,33,162,44,217,39,40
2015-02-01,18,55,97,72,220,30,0,218,249,442,73,98,24,85,54,60,49,48,174,57,28,0,24,144,162,114,141,24,123,36,195,54,40
2015-03-01,41,60,99,136,243,33,0,114,194,451,60,56,27,46,41,24,89,49,200,27,44,0,33,161,124,100,193,33,128,38,234,33,70
2015-04-01,34,101,90,119,297,23,0,196,221,534,57,69,28,97,17,34,56,34,240,35,18,0,57,118,231,127,143,57,106,23,239,23,50
2015-05-01,22,73,99,110,227,49,0,92,263,642,67,95,38,104,33,76,58,41,244,35,23,0,54,135,170,120,143,54,134,41,173,33,80
2015-06-01,61,46,90,129,150,17,0,83,190,826,62,78,50,79,61,50,43,39,154,0,18,0,150,83,385,140,141,150,156,33,184,67,40
2015-07-01,49,51,127,165,247,28,0,187,218,542,60,84,39,100,50,60,60,50,159,0,17,0,89,118,262,94,155,89,123,38,217,66,40
2015-08-01,38,51,120,180,381,24,0,92,256,400,76,66,49,65,27,54,49,27,225,18,25,0,21,79,131,94,139,21,106,54,223,24,100
2015-09-01,58,82,85,133,285,24,0,200,242,525,80,96,37,93,43,48,58,48,154,31,33,16,75,96,200,100,141,75,184,16,128,43,80
2015-10-01,25,60,108,138,277,20,0,118,242,467,62,83,20,134,56,56,47,61,91,31,39,0,71,70,170,100,177,71,184,23,223,46,90
2015-11-01,36,55,176,140,204,26,0,92,159,317,27,68,52,89,57,46,32,47,118,35,55,0,51,83,131,87,167,51,184,78,150,26,80
2015-12-01,16,60,100,170,189,24,0,200,183,384,64,75,53,118,63,47,49,71,161,22,48,0,63,74,131,87,181,63,117,37,217,48,80
2016-01-01,40,64,134,153,200,25,0,157,283,417,45,109,40,136,37,35,45,30,179,22,45,0,68,122,177,60,117,68,150,35,234,60,70
2016-02-01,35,46,104,134,266,40,0,187,249,559,94,80,49,169,22,89,80,59,118,22,25,0,35,79,170,80,196,35,178,52,217,30,40
2016-03-01,42,60,97,157,266,18,0,209,287,442,107,112,51,122,55,83,34,23,115,18,24,0,38,96,139,127,131,38,134,51,267,62,90
2016-04-01,43,69,116,165,154,24,0,344,283,350,154,92,48,93,36,29,223,24,152,435,37,0,48,48,208,80,146,48,184,38,306,34,1000
2016-05-01,42,60,102,157,127,42,0,300,318,267,102,103,74,95,88,19,69,28,105,70,15,0,69,61,177,147,98,69,189,46,228,74,280
2016-06-01,24,51,139,153,200,29,0,435,297,342,125,150,72,97,62,38,78,22,66,57,29,0,48,35,247,127,127,48,150,36,273,34,200
2016-07-01,34,114,125,134,254,19,205,266,318,609,154,130,77,89,29,43,54,14,120,74,34,527,57,44,124,94,155,57,206,58,239,43,200
2016-08-01,28,101,109,133,193,0,62,305,345,467,96,115,52,106,85,50,58,36,122,35,22,185,48,74,200,127,203,48,167,33,223,57,140
2016-09-01,38,28,104,155,189,14,15,248,266,367,94,77,85,100,56,61,189,14,71,44,36,58,53,61,224,134,229,53,212,61,295,52,120
2016-10-01,49,55,120,121,200,27,0,322,249,292,85,95,62,122,53,58,63,49,71,53,23,32,80,66,193,114,177,80,162,22,267,53,150
2016-11-01,45,41,118,108,243,27,15,340,328,584,73,123,59,151,63,36,92,50,66,18,37,27,86,57,277,87,179,86,184,41,273,68,130
2016-12-01,27,55,118,117,274,36,0,274,269,609,104,114,45,114,63,58,54,36,86,70,21,27,108,31,370,114,131,108,128,31,162,72,140
2017-01-01,30,82,132,161,235,25,19,196,307,592,51,127,34,102,68,34,38,25,98,44,26,11,63,61,277,154,172,63,167,17,184,51,100
