date,how to uninstall facebook,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete gmail,how to delete twitter,how to delete youtube,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-11-01,50,18,15,0,0,30,1,3,3,189,35,0,1,39,30,1,387,215,340,0,13,28,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,18,1,1,0,3,141,26,1,0,2,0,53,2,2,3,0,2,358,1,0,21,0,1,5,1,1
2011-12-01,69,17,21,0,0,22,1,3,4,174,38,0,1,43,30,1,400,234,475,0,12,31,0,1,1,0,1,0,0,2,1,0,1,0,1,0,0,0,13,1,0,0,3,144,25,0,0,3,1,62,1,1,3,0,2,448,2,0,26,0,1,5,1,0
2012-01-01,59,14,21,0,1,16,2,5,5,178,35,0,2,41,34,1,414,248,430,0,10,30,0,1,1,0,1,0,0,2,1,0,1,0,1,0,0,0,20,1,1,0,3,146,30,0,0,3,0,78,1,6,3,0,9,506,3,0,31,0,1,7,1,1
2012-02-01,50,18,21,0,0,13,3,5,7,189,32,0,3,36,31,1,334,243,380,0,8,24,0,1,1,0,1,0,0,2,1,0,1,0,1,0,0,0,30,2,1,0,5,137,50,0,0,4,1,80,1,14,5,0,12,427,3,0,29,0,1,5,1,0
2012-03-01,57,14,21,0,0,15,3,5,4,174,31,0,2,36,32,1,340,239,375,0,11,31,0,1,2,0,1,0,0,2,1,1,2,1,1,0,0,0,27,2,1,0,4,107,45,0,0,3,0,63,2,8,4,0,10,432,5,1,24,0,1,7,1,1
2012-04-01,48,17,19,0,1,18,2,3,4,131,43,0,6,34,37,1,354,286,385,0,10,30,0,2,1,0,2,0,0,2,1,0,1,0,1,0,0,0,32,1,1,0,3,126,25,1,0,4,1,66,4,3,3,0,5,495,10,0,27,1,2,6,1,0
2012-05-01,46,14,16,0,1,23,2,4,5,117,40,0,5,34,35,1,340,277,360,0,7,24,0,3,1,0,3,0,1,1,1,0,1,1,2,0,0,0,22,1,1,0,4,123,22,1,0,3,0,41,2,1,4,0,2,479,16,0,29,0,2,5,1,0
2012-06-01,45,16,19,0,1,21,1,4,6,129,47,1,6,38,44,1,367,334,400,0,13,26,0,4,1,0,6,0,1,2,1,1,1,1,1,0,0,0,27,2,1,0,2,119,22,0,0,4,1,36,2,2,2,0,2,527,20,0,35,0,1,7,2,0
2012-07-01,57,14,17,0,1,28,1,6,7,174,49,2,9,41,48,1,414,391,430,0,12,35,0,2,1,0,8,0,0,3,2,1,1,0,0,0,0,0,22,1,1,0,2,112,20,0,0,4,0,49,3,2,2,0,2,485,26,0,39,0,1,6,1,1
2012-08-01,45,21,22,0,1,27,2,4,6,174,54,1,12,52,59,1,440,362,425,0,12,34,1,3,1,0,7,0,0,2,2,1,2,1,1,0,0,0,15,1,1,0,3,148,16,0,0,4,1,46,2,1,3,0,2,490,22,1,36,0,2,5,1,1
2012-09-01,41,32,24,0,10,25,1,6,6,142,38,1,11,43,51,1,427,315,400,0,10,39,1,2,1,0,10,0,2,2,1,0,1,1,1,0,0,0,15,1,1,0,3,210,29,1,0,4,1,45,2,2,3,0,2,458,24,0,30,0,1,4,1,1
2012-10-01,45,29,18,0,7,28,1,4,6,121,34,3,8,36,40,1,380,329,380,0,13,35,0,3,1,0,7,0,0,2,1,1,0,1,2,0,0,0,22,1,1,0,2,203,19,1,0,5,0,58,3,2,2,0,2,464,27,0,35,0,1,4,1,1
2012-11-01,47,23,18,0,5,26,0,6,5,151,40,11,10,36,43,1,387,343,395,0,11,39,0,3,1,0,7,0,1,1,1,0,1,0,1,0,0,0,37,1,1,0,2,176,22,1,0,5,1,57,3,2,2,0,2,374,24,2,37,0,1,6,1,0
2012-12-01,44,21,21,0,5,33,1,5,6,159,42,13,16,46,48,1,460,400,480,0,14,33,1,4,1,0,8,1,0,2,1,0,0,0,1,0,0,0,32,0,38,0,3,176,27,1,0,6,0,56,3,2,3,0,2,243,33,5,33,0,1,5,1,0
2013-01-01,56,18,22,0,5,36,1,6,6,142,48,10,21,48,60,1,447,400,465,0,13,31,1,2,6,0,13,1,0,1,0,0,1,0,1,0,0,0,20,1,11,0,3,160,23,1,0,9,0,53,2,2,3,0,3,211,38,3,36,0,1,8,1,0
2013-02-01,49,20,25,0,4,40,2,5,6,123,46,5,21,47,64,1,440,372,440,0,11,32,0,3,5,0,12,0,0,2,1,0,1,1,1,0,1,0,25,2,3,0,5,166,33,0,0,6,0,60,3,2,5,0,2,190,37,5,29,0,1,7,2,1
2013-03-01,42,16,21,0,4,39,2,4,6,136,43,10,17,41,45,1,447,381,430,0,13,28,1,2,8,0,12,0,1,2,1,0,1,0,1,1,0,0,20,1,4,0,4,191,27,1,0,7,0,50,2,2,4,0,3,174,44,6,29,0,2,7,1,0
2013-04-01,48,14,21,0,3,32,2,5,7,140,42,11,18,44,42,1,460,329,440,0,12,31,1,2,12,0,13,1,1,2,1,1,0,0,1,0,0,0,22,1,3,0,4,121,25,1,0,6,1,52,2,2,4,0,2,158,36,9,25,0,1,6,1,0
2013-05-01,42,17,16,0,3,41,1,5,5,112,44,12,20,49,49,1,487,329,425,0,13,30,1,4,8,0,10,2,2,2,1,2,1,1,0,1,0,0,18,1,1,0,2,123,24,0,0,6,0,48,2,2,2,0,2,148,35,14,25,0,1,8,1,0
2013-06-01,42,15,23,0,3,48,2,5,7,116,44,16,26,49,49,1,514,348,455,0,14,36,1,4,5,0,12,2,1,2,3,1,1,1,1,3,0,0,18,1,1,0,3,121,25,1,0,7,0,39,1,2,3,0,2,137,36,19,23,0,3,9,1,1
2013-07-01,41,18,26,0,4,56,2,3,8,138,56,19,21,57,48,1,527,415,475,0,17,39,2,4,6,0,16,1,2,2,2,1,2,0,1,4,0,0,18,1,2,0,3,150,24,2,0,9,0,41,2,2,3,0,2,132,51,15,29,0,1,8,0,1
2013-08-01,41,16,29,0,3,49,2,5,9,138,58,15,22,62,47,1,540,381,500,0,17,37,1,5,13,0,15,1,0,3,2,1,1,1,0,3,0,0,15,2,2,0,2,116,61,2,0,7,0,40,2,3,2,0,2,132,48,12,28,0,1,5,0,1
2013-09-01,41,16,25,0,4,44,1,4,7,97,46,15,19,52,50,1,527,343,430,0,15,41,1,4,9,1,11,0,1,2,2,0,1,1,1,4,0,0,20,1,4,0,3,123,29,3,0,7,1,44,1,1,3,0,3,122,38,14,22,0,1,6,1,0
2013-10-01,36,17,22,2,2,40,1,4,6,102,35,16,16,58,45,1,534,315,395,0,15,35,2,5,4,0,11,0,0,1,2,0,0,1,0,3,0,0,74,2,3,0,3,169,37,2,0,3,0,47,2,2,3,0,2,122,33,14,25,0,1,5,1,1
2013-11-01,47,14,17,2,2,43,2,3,7,110,34,17,16,51,42,1,514,300,400,0,15,41,2,4,6,0,13,1,1,2,2,1,1,1,1,2,1,0,18,1,2,0,3,103,36,3,0,5,1,52,2,3,3,0,2,106,37,13,19,1,1,4,1,1
2013-12-01,41,11,24,2,2,45,2,6,8,133,44,22,21,63,45,1,594,358,440,0,18,45,2,6,8,1,17,1,1,1,2,2,1,1,1,4,0,0,18,2,5,0,3,89,30,4,0,6,1,48,1,2,3,0,3,111,40,19,22,1,1,4,1,1
2014-01-01,43,16,23,3,3,51,2,5,7,123,48,31,25,70,58,1,647,396,450,0,20,41,2,4,15,0,13,1,0,2,2,1,0,1,1,3,0,0,15,1,4,0,2,91,35,5,0,9,1,48,1,2,2,0,4,116,42,27,28,1,1,4,1,0
2014-02-01,44,11,25,3,3,44,1,6,6,99,38,18,18,72,61,1,620,381,400,0,19,40,1,4,12,0,13,1,1,1,1,1,1,1,1,3,0,1,18,1,2,0,3,85,36,4,0,7,1,51,2,2,3,0,3,111,38,18,26,0,2,7,1,1
2014-03-01,37,11,20,2,3,61,2,5,6,95,39,25,24,64,57,1,607,377,425,0,17,44,1,5,8,0,13,0,0,3,2,1,1,1,1,3,0,0,18,0,22,0,4,85,31,4,0,8,0,50,1,2,4,0,2,116,40,21,24,1,2,4,0,1
2014-04-01,41,13,23,3,3,59,2,7,6,119,39,25,22,66,51,1,607,367,420,0,18,40,1,4,8,1,16,1,1,2,1,1,0,1,1,3,0,0,18,1,3,0,4,85,29,6,0,6,1,50,1,3,4,0,2,111,48,19,25,2,1,4,1,1
2014-05-01,38,11,18,4,2,43,2,4,6,123,36,36,24,59,50,1,574,348,405,0,16,36,6,4,11,1,15,1,1,2,1,1,1,1,1,4,0,1,18,1,3,0,2,89,30,6,0,7,1,48,2,3,2,0,2,111,42,17,29,1,1,5,1,1
2014-06-01,38,13,17,2,2,37,2,6,7,110,35,29,28,57,54,1,600,348,405,0,15,34,3,5,16,1,13,1,1,2,2,1,0,1,1,4,0,0,18,0,3,0,3,87,28,5,0,9,1,45,3,2,3,2,2,106,41,19,27,0,1,5,1,1
2014-07-01,41,12,19,4,4,43,3,9,9,116,44,26,29,77,67,1,614,396,490,0,16,46,2,3,18,0,16,1,1,1,1,1,1,1,1,4,0,1,15,1,2,0,2,89,27,6,0,7,1,41,3,1,2,0,2,122,55,20,29,0,1,5,1,1
2014-08-01,100,16,21,3,3,50,2,5,8,119,43,24,28,65,61,1,667,400,495,0,18,44,1,5,13,1,16,0,1,1,2,1,1,0,0,4,0,1,25,0,2,0,3,98,27,4,0,8,1,40,5,2,3,1,2,116,49,19,31,0,1,3,1,2
2014-09-01,62,12,17,4,2,45,2,5,7,114,31,26,23,65,50,1,647,362,445,0,21,45,2,3,7,0,16,1,1,2,1,1,1,1,1,5,0,1,20,1,4,0,4,85,32,6,0,6,2,49,4,2,4,2,2,100,44,16,22,1,2,5,1,2
2014-10-01,49,15,15,3,3,46,3,6,9,102,29,31,20,60,56,0,614,343,430,0,18,43,2,3,7,0,13,1,1,2,1,1,1,1,1,4,0,0,18,1,2,0,3,78,32,6,0,5,2,54,2,2,3,1,2,95,47,16,22,1,2,4,1,0
2014-11-01,45,11,17,3,2,39,2,5,7,102,31,27,27,60,54,1,614,367,435,0,18,44,2,3,11,1,16,1,0,2,2,1,1,1,1,5,0,0,27,1,3,0,5,78,32,6,0,7,16,49,3,3,5,2,2,90,44,16,23,1,1,4,0,1
2014-12-01,43,10,20,3,2,42,3,6,7,110,33,34,32,60,57,1,567,391,450,0,15,46,2,4,16,1,17,1,0,1,1,1,1,1,1,4,0,1,40,0,3,0,2,85,31,5,0,4,5,49,2,2,2,1,2,95,51,27,26,1,1,4,1,1
2015-01-01,39,12,17,3,2,40,2,6,9,116,38,39,36,63,72,1,574,434,450,0,17,43,8,4,16,1,16,2,0,2,2,2,1,0,1,3,0,0,242,1,4,0,2,89,27,6,0,3,3,52,3,2,2,1,3,100,50,46,22,1,1,4,1,1
2015-02-01,44,12,21,3,1,29,2,5,8,114,29,30,30,57,58,1,554,381,410,0,18,39,5,5,9,2,15,2,0,2,2,1,0,1,1,4,0,0,25,1,3,0,3,69,30,7,0,3,3,50,2,2,3,1,3,90,47,17,23,1,1,4,1,1
2015-03-01,33,11,21,4,1,30,2,5,7,114,33,34,30,56,50,1,560,391,395,0,16,39,2,4,10,1,14,1,1,1,1,1,1,2,1,4,0,1,18,1,3,0,4,71,32,4,0,3,3,48,3,2,4,1,3,74,43,9,24,1,2,5,1,1
2015-04-01,33,10,18,5,2,33,2,7,8,125,30,30,36,55,52,0,547,405,395,0,16,36,4,5,11,1,15,1,1,2,2,1,1,1,1,5,0,0,18,0,3,0,3,73,28,5,0,2,5,53,2,3,3,1,2,90,45,13,20,1,1,5,0,1
2015-05-01,27,11,19,4,1,30,2,4,7,108,33,25,29,59,59,1,554,391,395,0,14,36,2,6,14,1,15,2,0,2,2,2,1,1,1,5,0,0,13,0,3,0,3,69,25,5,0,3,3,52,2,2,3,1,3,79,42,11,23,1,1,4,1,1
2015-06-01,34,13,18,4,1,33,2,3,10,100,30,28,31,63,84,0,587,396,410,0,15,38,2,4,17,1,15,2,1,2,2,1,2,1,1,3,0,0,15,0,2,0,3,69,30,4,0,2,8,47,2,3,3,3,3,85,52,12,25,1,1,4,1,1
2015-07-01,36,11,17,11,1,36,3,5,9,127,33,34,47,59,62,1,607,477,450,0,19,47,4,5,11,1,16,2,1,2,1,1,1,1,1,3,0,0,15,0,2,0,3,73,31,6,0,3,5,43,2,2,3,2,3,95,51,12,20,1,1,4,1,1
2015-08-01,38,10,21,4,1,37,2,8,7,134,33,40,42,66,53,1,634,467,445,0,21,46,2,5,8,2,15,1,1,1,1,1,1,1,1,5,0,1,15,1,2,0,3,75,31,5,0,2,3,58,2,2,3,0,2,95,51,11,25,1,2,5,1,2
2015-09-01,37,9,17,3,2,35,2,7,9,106,25,30,36,64,54,1,614,405,385,0,18,41,4,5,11,2,18,2,1,2,2,1,1,1,1,3,0,1,244,1,3,0,3,116,34,5,0,2,4,52,2,2,3,2,4,85,47,10,21,0,1,3,1,1
2015-10-01,38,9,17,4,1,30,2,6,9,93,24,24,34,58,68,0,567,362,370,0,15,41,2,5,10,1,14,2,0,3,1,1,0,1,1,2,0,0,32,1,3,0,4,69,32,3,0,1,4,53,2,2,4,1,4,79,42,9,19,0,3,5,1,2
2015-11-01,33,10,17,4,1,35,4,5,9,93,24,26,34,55,60,1,547,367,360,0,16,36,2,3,7,1,16,1,1,2,2,1,1,1,1,2,0,1,13,0,4,0,3,64,31,5,0,2,3,53,1,2,3,1,4,74,49,10,20,1,1,3,1,2
2015-12-01,35,11,18,4,1,33,2,4,11,104,31,30,36,62,60,0,594,396,415,0,16,37,4,4,8,1,16,2,1,2,2,1,0,1,1,3,0,0,15,1,3,0,4,57,26,5,0,2,3,48,2,2,4,1,2,79,54,11,22,1,1,4,1,2
2016-01-01,32,11,19,4,1,35,3,4,8,125,30,33,45,71,60,1,614,415,405,0,17,36,3,6,9,1,19,2,1,3,2,1,1,1,1,4,0,0,15,1,2,0,2,57,28,5,0,3,4,54,1,1,2,1,3,90,58,10,26,1,2,5,1,2
2016-02-01,38,11,16,3,1,33,2,6,9,116,29,27,38,62,43,1,580,372,365,0,17,38,4,5,12,2,18,2,1,4,2,2,1,2,1,2,0,0,15,0,3,0,4,57,32,3,0,2,4,53,1,2,4,1,4,85,58,9,22,2,1,4,1,1
2016-03-01,29,9,18,5,1,35,2,5,10,95,30,35,45,58,52,0,567,362,350,0,13,34,4,6,9,2,17,2,1,3,2,2,1,1,0,2,0,0,18,0,4,0,3,60,32,5,0,2,3,61,2,3,3,1,3,79,56,11,19,1,1,6,1,2
2016-04-01,34,9,18,6,1,30,2,3,9,100,25,35,38,58,56,1,560,353,350,0,13,34,7,6,7,3,15,2,1,2,3,1,1,5,1,3,0,8,18,1,4,0,3,57,33,7,0,1,4,54,2,2,3,1,4,74,58,11,25,1,2,6,1,23
2016-05-01,35,10,17,5,1,28,2,3,8,100,26,45,39,59,52,1,567,367,355,0,14,33,6,7,6,2,15,2,2,2,2,0,1,1,1,2,0,2,15,0,3,0,2,57,30,6,0,1,4,53,2,3,2,1,4,79,54,11,19,1,1,5,2,6
2016-06-01,37,12,18,5,1,26,3,4,9,138,31,39,48,57,53,1,607,420,360,0,15,35,9,6,7,3,19,3,1,2,2,1,1,2,0,1,0,1,100,0,5,0,3,73,25,6,4,1,5,52,1,3,3,1,3,85,65,12,27,1,1,6,1,5
2016-07-01,36,11,17,5,2,29,3,6,8,136,33,42,53,75,56,0,640,443,385,4,17,38,6,7,13,3,24,3,2,2,2,1,1,1,0,3,1,1,105,1,4,13,3,66,34,7,358,1,3,41,2,2,3,1,4,90,73,14,26,1,1,5,1,4
2016-08-01,31,11,19,6,2,32,2,4,10,112,29,38,45,68,57,0,654,410,390,1,18,38,6,7,10,2,20,2,1,2,3,1,1,1,1,3,0,1,20,1,3,3,4,55,30,7,172,2,4,49,2,3,4,1,3,90,68,13,22,1,1,5,1,3
2016-09-01,34,10,18,6,1,24,2,4,8,106,23,34,34,72,53,0,620,367,370,0,17,36,5,6,8,2,16,2,1,2,3,1,1,4,0,1,0,1,22,1,5,1,5,66,30,7,50,1,5,55,1,3,5,1,4,85,63,9,19,1,1,6,1,3
2016-10-01,34,9,17,5,1,22,3,4,9,110,24,34,44,65,50,1,607,362,360,0,15,36,7,5,6,2,14,2,2,3,2,1,1,1,1,1,0,1,127,0,5,1,4,62,33,6,22,1,4,50,2,2,4,2,3,85,63,13,21,1,1,5,1,4
2016-11-01,36,10,16,5,1,23,2,5,8,133,20,34,49,63,49,1,607,358,360,0,16,40,7,7,12,2,20,3,1,3,2,1,1,2,1,1,0,0,18,0,4,0,4,57,29,7,15,1,6,45,2,2,4,2,4,90,60,13,22,1,2,6,1,2
2016-12-01,32,9,17,6,1,26,2,6,10,116,28,37,51,70,53,1,654,372,395,0,15,40,6,6,13,2,18,2,1,2,2,1,0,1,1,2,0,1,15,0,4,1,3,55,27,10,15,1,8,48,1,2,3,2,3,85,62,14,20,1,1,3,2,3
2017-01-01,44,9,22,7,2,32,3,4,10,127,27,37,54,68,59,1,660,443,395,0,15,36,4,7,12,1,16,3,1,2,2,1,1,1,1,2,0,1,25,0,5,0,4,60,33,8,8,1,6,48,3,3,4,1,3,95,76,14,22,1,2,4,1,2
