date,how to unfriend someone on instagram,who can see my snapchat story,most private browser,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to delete pokemongo,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfriend someone on snapchat,how to encrypt emails,encrypted phone calls,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,google hangouts privacy,how to encrypt whatsapp messages,skype privacy policy,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,Encrypt phone calls,how to encrypt whatsapp
2014-04-01,28,189,92,160,382,313,35,0,64,226,460,291,32,119,97,43,49,192,21,84,20,22,56,0,203,0,337,322,46,78,147,0,107,42,70,34
2014-05-01,91,224,128,112,251,325,35,0,348,213,630,320,64,105,57,85,71,251,0,70,53,43,64,0,120,22,348,395,82,142,162,22,127,35,74,45
2014-06-01,47,130,103,87,364,363,35,0,153,275,930,400,71,101,79,56,48,230,23,70,24,31,24,0,148,95,253,527,73,173,116,95,94,31,62,45
2014-07-01,80,200,178,100,455,513,34,0,116,175,1000,377,36,62,91,82,35,256,0,61,34,69,61,0,131,24,343,400,28,178,85,24,114,23,80,56
2014-08-01,57,159,132,145,305,425,34,0,85,292,730,386,23,69,84,24,23,200,0,54,39,35,23,0,170,40,216,432,46,278,108,40,140,23,47,89
2014-09-01,44,206,134,138,278,388,37,0,90,175,390,291,44,110,80,35,34,268,0,73,34,44,34,0,242,111,322,364,101,200,100,111,114,44,124,89
2014-10-01,62,183,188,145,351,513,28,0,122,196,410,215,57,96,62,56,42,239,0,69,29,63,42,0,195,42,332,258,119,125,116,42,120,48,91,34
2014-11-01,43,153,121,129,269,413,50,0,137,188,610,320,79,135,128,77,50,274,0,36,20,43,43,0,278,97,322,390,910,150,170,97,134,64,78,67
2014-12-01,42,148,169,154,305,413,52,0,95,255,900,262,43,85,62,43,32,212,21,70,34,36,22,0,139,50,295,253,300,128,124,50,140,49,70,56
2015-01-01,20,165,119,223,351,494,29,0,443,226,910,305,86,130,99,27,69,180,0,85,0,46,40,0,125,40,316,200,182,159,139,40,194,52,34,45
2015-02-01,28,171,115,85,260,469,36,0,264,300,530,224,115,98,106,58,57,209,0,71,20,22,33,0,164,29,369,174,191,131,131,29,147,43,43,45
2015-03-01,32,248,117,160,287,413,39,0,137,234,540,224,65,53,97,106,58,242,0,30,29,49,52,0,225,40,216,195,146,150,116,40,154,45,97,78
2015-04-01,33,271,107,140,351,438,27,0,237,267,640,205,81,112,113,66,41,289,20,40,20,40,21,0,167,68,274,143,273,142,147,68,127,27,67,56
2015-05-01,45,236,117,129,269,394,58,0,111,317,770,296,111,121,110,69,49,295,0,90,20,26,27,0,167,65,290,164,201,92,139,65,160,48,66,89
2015-06-01,59,230,107,152,178,538,20,0,100,230,990,239,92,91,88,50,46,186,20,59,0,72,21,0,164,179,232,100,455,100,162,179,187,39,59,45
2015-07-01,45,589,150,194,291,519,32,0,227,263,650,315,99,116,64,72,59,192,0,71,0,58,20,0,181,106,311,143,310,106,108,106,147,45,72,45
2015-08-01,58,200,142,212,451,394,29,0,111,309,480,229,78,75,44,58,33,271,0,64,39,45,29,0,162,25,295,95,155,117,108,25,127,64,96,112
2015-09-01,44,189,100,156,337,513,28,0,243,292,630,267,113,107,113,69,57,186,19,57,34,69,39,19,164,90,253,116,237,134,116,90,220,19,62,89
2015-10-01,24,195,128,163,328,500,24,0,143,292,560,234,97,155,60,56,73,109,0,66,29,30,46,0,206,84,179,85,201,109,116,84,220,27,145,100
2015-11-01,61,212,209,165,241,507,30,0,111,192,380,267,79,103,115,37,56,142,0,55,39,43,65,0,195,61,258,100,155,67,100,61,220,92,74,89
2015-12-01,62,200,119,200,223,625,28,0,243,221,460,291,88,137,131,58,84,195,19,56,24,19,56,0,212,75,253,90,155,87,100,75,140,44,85,89
2016-01-01,47,206,159,180,237,457,29,0,190,342,500,296,129,157,93,53,36,215,0,41,24,48,53,0,137,81,274,148,210,64,70,81,180,41,94,78
2016-02-01,58,171,123,158,314,507,47,0,227,300,670,220,93,196,117,95,71,142,17,105,20,42,29,0,228,42,185,95,201,64,93,42,214,61,64,45
2016-03-01,60,248,115,185,314,544,22,0,253,346,530,239,132,141,104,40,28,139,16,98,24,50,28,0,153,45,279,116,164,100,147,45,160,60,61,100
2016-04-01,57,324,138,194,182,482,28,0,416,342,420,210,108,107,148,264,29,183,17,34,477,51,43,0,170,58,369,58,246,87,93,58,220,45,113,1112
2016-05-01,87,283,121,185,150,444,49,0,364,384,320,191,122,110,104,82,34,127,16,22,86,50,17,0,114,83,348,74,210,123,170,83,227,55,66,312
2016-06-01,85,283,165,180,237,519,34,0,527,359,410,310,176,112,119,93,26,80,17,45,62,29,34,0,148,58,327,43,291,70,147,58,180,42,34,223
2016-07-01,91,265,148,158,300,469,23,239,322,384,730,239,153,103,135,64,18,145,34,52,67,40,40,625,181,68,374,53,146,139,108,68,247,68,34,223
2016-08-01,61,318,130,156,228,575,0,72,369,417,560,205,136,123,133,69,43,148,17,59,43,33,25,219,237,58,385,90,237,109,147,58,200,39,62,156
2016-09-01,100,348,123,183,223,463,17,17,300,321,440,215,90,116,166,224,17,86,0,72,53,45,42,69,267,63,390,74,264,78,154,63,254,72,72,134
2016-10-01,73,271,142,143,237,488,31,0,390,300,350,200,111,141,95,74,58,86,16,68,62,58,27,38,206,95,353,79,228,89,131,95,194,26,74,167
2016-11-01,69,277,140,127,287,463,32,17,411,396,700,210,144,176,100,108,59,80,24,43,15,53,43,32,209,102,390,69,328,109,100,102,220,48,91,145
2016-12-01,53,336,140,138,323,538,42,0,332,325,730,153,134,132,128,64,43,103,16,69,81,32,24,32,153,129,527,37,437,59,131,129,154,37,59,156
2017-01-01,40,406,157,189,278,575,30,22,237,371,710,377,150,119,130,45,30,118,25,40,39,36,30,13,200,75,427,74,328,162,177,75,200,20,96,112
