date,how to unfriend someone on snapchat,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,best anonymous browser,how to browse anonymously,government monitoring social media,how to delete pokemongo,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,delete hangout history,can someone read my text messages from their phone,instagram privacy policy,Twitter privacy policy,private instagram posts,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt whatsapp
2013-06-01,77,470,719,0,94,82,161,32,0,36,139,145,144,0,385,41,65,105,14,32,23,27,82,0,38,83,34,36,70,83,0,75,14,91,293,20
2013-07-01,36,550,810,0,134,76,122,27,0,53,136,195,157,0,524,49,54,67,53,36,40,14,130,0,75,85,61,49,48,85,0,71,13,40,249,20
2013-08-01,22,510,910,0,82,80,185,26,0,45,158,417,157,0,485,13,90,49,13,35,35,20,94,13,75,62,70,54,105,62,14,67,13,40,167,27
2013-09-01,13,490,791,0,134,95,172,26,0,48,146,295,184,27,362,17,66,61,13,13,26,23,119,0,113,97,91,49,44,97,14,104,13,44,186,14
2013-10-01,12,520,691,63,79,74,129,16,0,50,150,128,179,0,347,16,47,49,19,0,12,26,104,0,88,91,67,58,74,91,0,78,12,29,163,20
2013-11-01,25,440,537,59,70,88,111,33,0,56,131,178,141,0,408,19,72,88,12,29,33,17,72,37,63,85,104,50,87,85,13,71,17,33,145,20
2013-12-01,38,350,746,76,70,59,182,32,0,59,184,256,163,25,539,34,31,64,13,50,34,20,127,0,163,89,113,33,70,89,14,93,13,46,141,34
2014-01-01,20,500,728,90,88,98,174,18,0,62,115,467,209,12,424,12,68,63,12,43,47,27,99,12,138,72,152,47,79,72,0,112,24,24,126,34
2014-02-01,26,360,782,87,82,69,208,21,0,48,127,362,246,13,416,26,40,61,13,43,26,35,114,0,75,108,134,69,79,108,14,112,13,65,226,20
2014-03-01,15,340,646,69,91,74,164,23,0,27,172,239,222,0,408,15,90,82,19,46,23,24,109,12,725,116,143,40,57,116,12,52,17,50,145,27
2014-04-01,18,420,719,111,82,92,222,20,0,36,129,256,165,18,516,16,69,56,24,48,12,24,109,12,88,116,194,44,83,116,0,60,24,40,115,20
2014-05-01,36,330,573,132,76,64,145,20,0,195,122,350,182,37,470,52,61,33,12,40,24,48,142,0,88,69,200,80,92,69,13,71,20,42,160,27
2014-06-01,40,420,537,76,76,50,211,20,0,86,158,517,228,22,431,27,58,45,27,40,18,32,130,13,100,85,146,97,66,85,54,52,18,36,160,27
2014-07-01,20,380,610,118,113,57,264,20,0,65,100,556,214,14,531,46,36,53,44,35,39,47,145,0,75,75,197,100,48,75,14,63,13,46,167,34
2014-08-01,13,490,646,94,85,83,177,19,0,48,167,406,219,27,508,33,40,48,39,30,19,14,114,0,75,97,125,157,61,97,23,78,13,26,100,54
2014-09-01,25,380,537,121,79,79,161,21,0,50,100,217,165,13,500,25,64,46,29,42,25,20,152,0,125,139,185,113,57,139,63,63,25,71,156,54
2014-10-01,32,460,473,107,110,83,203,16,0,68,112,228,122,13,424,36,56,36,32,39,36,32,135,0,75,112,191,71,66,112,24,67,28,52,130,20
2014-11-01,45,350,528,90,73,74,156,28,0,77,108,339,182,21,524,24,78,73,37,20,24,44,155,0,113,159,185,85,96,159,55,75,36,45,141,40
2014-12-01,24,310,637,87,52,88,177,30,0,53,146,500,149,20,554,24,49,36,28,40,20,24,120,12,100,80,170,72,70,80,29,78,28,40,130,34
2015-01-01,49,380,528,97,70,127,203,17,0,248,129,506,173,31,516,11,75,57,30,48,26,15,102,0,138,72,182,90,79,72,23,108,30,19,145,27
2015-02-01,65,370,673,100,37,49,150,20,0,148,172,295,128,49,485,16,57,61,41,40,12,33,119,0,88,94,213,74,74,94,17,82,24,24,130,27
2015-03-01,37,330,664,145,40,92,166,22,0,77,134,300,128,41,447,18,31,56,27,16,28,60,137,0,100,129,125,85,66,129,23,86,26,55,156,47
2015-04-01,46,310,573,159,67,80,203,15,0,133,153,356,117,39,493,19,65,65,19,23,23,38,164,11,88,96,158,80,83,96,39,71,15,38,160,34
2015-05-01,63,340,610,138,49,74,156,33,0,62,181,428,168,45,493,26,70,63,22,51,15,39,167,0,100,96,167,52,79,96,37,89,28,37,115,54
2015-06-01,52,400,573,135,31,87,103,11,0,56,131,550,136,42,470,34,53,50,45,34,41,29,105,11,63,94,134,57,92,94,102,104,22,34,123,27
2015-07-01,56,350,555,345,34,111,169,18,0,127,150,362,179,41,516,26,68,37,33,41,33,41,109,0,63,104,179,60,61,104,60,82,26,41,145,27
2015-08-01,44,310,655,118,34,121,261,16,0,62,177,267,130,52,485,33,44,25,22,36,25,33,154,0,88,93,170,66,61,93,15,71,36,55,149,67
2015-09-01,64,290,537,111,55,89,195,16,0,136,167,350,152,55,585,25,62,65,18,32,39,39,105,11,113,94,146,75,66,94,51,123,11,36,86,54
2015-10-01,55,300,528,114,40,93,190,14,0,80,167,312,133,42,462,14,90,35,51,38,17,32,62,0,88,118,104,61,66,118,48,123,16,82,149,60
2015-11-01,45,320,546,125,37,94,140,17,0,62,110,212,152,18,516,35,60,66,35,31,24,21,80,0,150,112,149,38,57,112,35,123,52,42,100,54
2015-12-01,50,360,582,118,40,114,129,16,0,136,127,256,165,43,516,36,79,75,46,32,11,33,110,11,113,121,146,49,57,121,43,78,25,48,145,54
2016-01-01,73,340,600,121,43,103,137,17,0,106,196,278,168,31,616,27,91,54,30,23,27,30,122,0,75,78,158,36,40,78,46,100,23,54,156,47
2016-02-01,53,350,501,100,31,90,182,27,0,127,172,373,125,64,585,33,114,67,20,60,23,54,80,10,100,131,107,36,53,131,24,119,35,37,145,27
2016-03-01,75,270,573,145,40,106,182,12,0,142,198,295,136,72,547,34,82,60,47,56,28,23,79,9,125,88,161,57,83,88,26,89,34,34,178,60
2016-04-01,61,290,564,190,46,111,106,16,0,233,196,234,119,105,477,32,62,85,19,19,29,150,104,10,125,97,213,49,53,97,33,123,26,65,204,667
2016-05-01,69,300,546,166,40,106,87,28,0,203,220,178,109,69,493,50,64,60,59,12,28,47,72,9,88,66,200,69,96,66,47,126,31,37,152,187
2016-06-01,100,360,564,166,34,103,137,19,0,295,205,228,176,85,616,48,65,68,29,26,16,53,45,10,175,85,188,40,83,85,33,100,24,19,182,134
2016-07-01,87,340,546,156,76,90,174,13,137,180,220,406,136,105,770,52,60,78,19,29,23,36,82,19,138,104,216,79,61,104,39,138,39,19,160,134
2016-08-01,77,340,610,187,67,89,132,0,42,206,239,312,117,65,639,35,72,77,54,33,19,39,84,10,113,135,222,61,83,135,33,112,22,35,149,94
2016-09-01,51,320,582,204,19,104,129,9,10,168,184,245,122,64,500,57,68,95,29,41,25,127,49,0,175,153,225,44,87,153,36,141,41,41,197,80
2016-10-01,63,280,546,159,37,82,137,18,0,218,172,195,114,58,439,42,82,55,36,39,33,42,49,9,150,118,204,50,74,118,54,108,15,42,178,100
2016-11-01,82,320,519,163,28,73,166,18,10,230,227,389,119,49,639,39,102,58,52,24,30,62,45,14,150,120,225,61,57,120,58,123,27,52,182,87
2016-12-01,76,290,528,197,37,79,187,24,0,186,186,406,87,70,570,30,77,73,46,39,18,36,59,9,125,88,304,33,74,88,73,86,21,33,108,94
2017-01-01,85,270,710,238,55,108,161,17,13,133,212,395,214,35,516,23,69,74,46,23,20,26,67,14,163,115,246,91,100,115,43,112,11,54,123,67
