date,how to delete gmail,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,encrypted phone calls,whatsapp security settings,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,skype encryption,how to encrypt whatsapp
2013-03-01,69,3,3,0,1,6,0,0,1,1,20,6,1,2,6,7,335,56,63,10,33,6,2,5,0,0,1,1,0,2,7,0,0,0,0,0,3,0,0,0,0,28,4,0,0,1,0,9,0,0,0,0,26,6,1,4,1,0
2013-04-01,72,2,3,0,0,5,0,0,1,1,21,7,2,3,7,6,320,51,64,15,34,7,2,5,0,0,2,1,0,2,2,0,0,0,0,0,3,0,0,1,0,18,4,0,0,1,0,7,0,0,1,0,24,6,1,4,1,0
2013-05-01,72,2,3,0,1,5,0,0,1,1,16,6,2,3,8,7,300,48,66,19,39,6,2,5,0,1,1,1,0,2,3,0,0,0,0,0,3,0,0,0,0,19,3,0,0,1,0,7,0,0,0,0,23,5,2,4,1,0
2013-06-01,78,3,3,0,1,7,0,0,1,1,17,7,3,4,8,8,305,54,67,26,56,7,2,6,0,1,1,1,0,2,3,1,1,0,0,0,2,0,0,0,0,17,4,0,0,1,0,6,0,0,0,0,21,5,3,4,1,0
2013-07-01,81,3,4,0,1,8,0,0,1,1,20,8,3,3,9,8,305,63,73,25,39,7,2,5,1,1,1,1,0,2,7,0,0,0,0,0,2,0,0,0,0,23,4,0,0,1,0,6,0,0,0,0,20,7,2,4,1,0
2013-08-01,82,3,4,0,1,7,0,1,1,1,20,9,2,4,9,7,310,61,74,23,39,7,3,5,0,1,2,1,0,2,4,0,0,0,0,0,2,0,0,0,0,18,9,0,0,1,0,6,0,1,0,0,20,7,2,4,1,0
2013-09-01,82,3,3,0,0,7,0,0,1,1,15,7,2,3,8,7,290,52,65,21,36,6,3,5,0,1,1,1,0,2,3,0,0,0,0,0,3,0,0,0,0,18,4,0,0,1,0,6,0,0,0,0,19,6,2,4,1,0
2013-10-01,81,2,3,0,0,6,0,0,0,1,16,6,2,3,8,7,280,48,59,44,37,6,2,6,0,1,1,1,0,1,2,0,0,0,0,0,11,1,0,0,0,25,5,0,0,1,0,7,0,0,0,0,17,5,2,4,1,0
2013-11-01,77,2,3,0,0,6,0,0,1,1,17,6,3,2,8,6,265,48,60,38,31,6,2,6,0,0,1,1,0,2,5,0,0,0,1,0,2,0,0,1,0,15,5,0,0,1,0,7,0,0,1,0,16,5,2,3,1,0
2013-12-01,88,2,4,1,1,7,0,0,1,1,21,7,3,3,10,7,285,54,65,48,33,6,3,7,0,1,1,1,0,3,6,0,0,0,0,0,2,1,0,0,0,14,4,0,0,1,0,8,0,0,0,0,16,6,3,3,1,0
2014-01-01,96,2,3,0,0,7,0,0,1,1,18,7,5,4,10,9,290,60,67,67,43,6,3,7,0,1,2,1,0,2,3,0,0,0,1,0,2,1,0,0,0,13,5,1,0,1,0,7,0,0,0,0,17,6,4,4,1,0
2014-02-01,92,2,3,0,0,6,0,0,1,1,14,6,3,3,10,8,270,56,58,46,53,6,2,6,0,1,2,1,0,2,2,0,0,0,1,0,3,0,0,0,0,12,4,1,0,1,0,7,0,0,0,1,16,5,3,4,1,0
2014-03-01,91,2,3,0,0,8,0,0,1,1,14,6,3,3,10,8,265,58,61,50,43,6,2,6,0,1,1,1,0,2,2,0,0,0,0,0,3,4,0,1,0,12,5,1,0,1,0,7,0,0,1,0,16,6,3,3,1,0
2014-04-01,91,2,3,1,0,9,0,0,1,1,17,5,3,3,9,7,265,55,62,53,40,6,2,6,0,1,1,1,0,3,6,0,0,0,1,0,3,0,0,1,0,13,4,1,0,1,0,8,0,0,1,0,16,7,3,4,1,0
2014-05-01,85,2,3,1,0,6,0,0,1,1,18,5,5,4,9,7,260,52,59,136,40,5,2,5,1,1,2,1,0,2,5,0,0,0,1,0,3,0,0,0,0,13,4,1,0,1,0,7,0,0,0,1,16,6,3,4,1,0
2014-06-01,89,2,2,0,0,6,0,0,1,1,16,5,4,4,9,8,280,54,61,71,61,6,2,5,0,1,3,1,0,2,3,0,0,0,1,0,3,0,0,0,0,12,4,1,0,1,0,7,0,0,0,0,16,6,3,4,1,0
2014-07-01,92,2,3,1,1,6,0,0,1,1,17,7,4,5,10,10,290,60,71,61,65,5,2,6,0,1,3,1,0,2,2,0,0,0,1,0,2,0,0,0,0,12,4,1,0,1,0,6,0,0,0,0,17,7,3,4,1,0
2014-08-01,100,2,3,0,0,7,0,0,1,1,17,7,4,4,10,9,310,60,73,57,50,15,3,7,0,1,2,1,0,3,2,0,0,0,1,0,3,0,0,0,0,14,4,1,0,1,0,6,1,0,0,0,17,7,3,5,0,0
2014-09-01,99,2,3,0,0,6,0,0,0,1,16,5,3,3,9,8,275,54,68,61,37,9,3,7,0,1,1,1,0,2,2,0,0,0,1,0,3,0,0,1,0,12,4,1,0,1,0,7,0,0,1,0,15,6,2,4,1,0
2014-10-01,89,2,2,0,1,6,0,0,1,1,15,5,4,3,9,8,260,52,62,63,37,7,3,6,0,0,1,1,0,2,2,0,0,0,1,0,3,0,0,0,0,11,5,1,0,1,0,8,0,0,0,0,14,6,2,4,1,0
2014-11-01,92,1,2,0,0,6,0,0,1,1,15,4,4,3,9,8,250,54,64,69,52,6,2,6,0,0,2,1,0,2,2,0,0,0,1,0,4,0,0,1,0,11,5,1,0,1,2,8,0,0,1,0,13,7,3,3,1,0
2014-12-01,85,1,3,0,0,6,1,0,1,1,17,4,5,5,9,9,260,59,70,76,61,6,3,6,0,1,2,1,0,3,2,0,0,0,0,0,6,1,0,1,0,13,4,1,0,1,1,7,0,0,0,0,14,7,4,3,0,0
2015-01-01,87,2,3,0,0,6,0,1,1,1,18,5,7,6,9,10,270,62,68,90,62,6,2,6,1,1,2,1,0,2,2,0,0,0,0,0,38,1,0,1,0,14,4,1,0,1,0,8,0,0,0,0,14,8,7,4,0,0
2015-02-01,80,2,3,0,0,4,0,0,1,1,17,4,4,4,8,9,255,58,61,80,50,6,2,6,1,1,1,0,0,2,2,0,0,0,1,0,3,1,0,0,0,10,4,1,0,0,1,7,0,0,1,1,13,7,2,4,1,0
2015-03-01,82,2,3,1,0,5,0,0,1,1,17,5,5,5,9,8,240,60,60,69,53,5,2,5,0,1,1,1,0,2,2,0,0,0,1,0,3,0,0,0,0,11,5,0,0,0,0,7,0,0,1,0,12,6,1,4,1,0
2015-04-01,85,2,3,1,0,4,0,0,1,1,20,4,4,5,8,8,240,61,63,72,56,5,2,6,0,1,2,1,0,2,3,0,0,0,1,0,3,0,0,0,0,11,4,1,0,0,1,8,0,0,0,0,12,6,2,4,1,0
2015-05-01,82,2,3,1,0,5,0,0,1,1,15,5,3,4,9,9,245,60,61,72,62,5,2,5,0,1,2,1,0,2,6,0,0,0,1,0,2,0,0,0,0,10,3,1,0,1,1,8,0,0,0,1,12,6,2,3,1,0
2015-06-01,88,1,2,0,0,5,0,0,1,1,14,5,4,5,9,11,270,64,63,79,67,5,3,6,0,1,3,1,0,2,4,0,0,0,0,0,2,0,0,0,1,10,5,1,0,0,1,7,0,0,0,0,13,8,1,4,1,0
2015-07-01,91,2,3,1,0,5,0,0,1,1,19,5,5,7,10,9,285,70,66,88,81,6,3,7,1,1,2,1,0,2,3,0,0,0,1,0,2,0,0,0,0,11,4,1,0,0,1,7,0,0,0,0,15,8,2,3,1,0
2015-08-01,96,2,3,1,0,5,1,1,1,1,20,5,6,7,10,8,270,70,68,72,92,6,3,7,0,1,1,1,0,2,3,0,0,0,1,0,2,0,0,0,0,10,4,1,0,0,0,8,0,0,0,0,13,7,2,3,1,0
2015-09-01,91,1,3,0,0,5,0,0,1,1,17,4,4,5,9,8,250,59,57,68,90,5,3,6,1,1,2,1,0,2,7,0,0,0,0,0,37,1,0,1,0,16,5,1,0,0,1,7,0,0,0,1,12,7,2,3,0,0
2015-10-01,84,1,2,0,0,4,0,0,1,1,13,4,4,5,9,9,245,53,56,56,80,5,2,6,0,1,2,1,0,2,5,0,0,0,0,0,5,0,0,1,0,11,5,1,0,0,0,8,0,0,1,1,12,6,1,3,1,0
2015-11-01,83,2,3,1,0,5,0,0,1,1,13,4,4,5,8,9,240,56,55,56,75,5,2,6,0,1,1,1,0,3,2,0,0,0,1,0,2,1,0,1,0,9,4,1,0,0,0,8,0,0,1,1,12,8,1,3,1,0
2015-12-01,87,2,3,1,0,5,0,0,0,1,15,5,4,6,9,9,255,60,61,60,84,6,2,6,0,1,1,1,0,2,2,0,0,0,1,0,2,0,0,1,0,9,5,1,0,0,0,7,0,0,1,0,12,8,2,3,0,0
2016-01-01,93,1,3,1,0,5,0,0,1,1,18,5,5,6,11,9,265,64,61,67,99,5,3,6,0,1,1,1,0,3,3,0,0,0,1,0,2,0,0,0,0,9,4,1,0,0,1,7,0,0,0,0,13,9,2,4,1,0
2016-02-01,88,1,2,1,0,5,0,0,1,2,17,4,4,6,9,7,240,55,52,63,112,5,3,5,0,1,2,1,0,3,6,0,0,0,0,0,2,1,0,1,0,8,5,0,0,0,0,8,0,0,0,1,12,8,2,3,1,0
2016-03-01,86,1,3,1,0,5,0,0,1,1,14,4,5,7,8,8,245,56,52,72,98,4,2,5,1,1,1,1,0,2,5,0,0,0,1,0,3,1,0,0,0,8,4,1,0,0,0,9,0,0,1,1,12,8,2,2,1,0
2016-04-01,84,1,3,1,0,4,0,0,0,1,15,4,5,6,8,8,255,54,51,79,89,5,2,5,1,1,1,1,0,2,2,0,0,1,0,1,2,0,0,0,0,8,4,1,0,0,1,8,0,0,0,0,12,9,2,3,1,3
2016-05-01,86,1,3,1,0,4,0,0,1,1,15,4,6,6,9,8,255,56,52,80,98,5,3,5,1,1,1,0,0,2,2,0,0,0,0,0,2,1,0,0,0,8,4,1,0,0,1,8,0,0,0,1,12,8,2,3,1,1
2016-06-01,90,2,3,1,0,4,1,0,1,1,20,4,6,7,9,8,270,64,53,88,139,6,2,5,1,1,1,1,0,3,4,0,0,0,0,0,15,1,0,1,0,11,4,1,0,0,1,8,0,0,1,0,12,10,2,4,1,1
2016-07-01,99,2,3,1,0,4,0,0,1,1,21,5,6,8,11,9,280,66,58,98,148,5,2,6,1,1,2,1,1,4,6,0,0,0,0,0,16,0,2,1,0,9,5,1,55,0,0,7,0,0,1,0,13,11,2,4,1,1
2016-08-01,95,2,3,1,0,4,0,0,1,1,16,4,5,7,11,8,270,63,57,88,111,5,3,5,1,1,1,1,0,3,3,0,0,0,0,0,3,1,1,0,0,8,5,1,25,0,1,7,0,0,1,0,13,11,2,3,1,1
2016-09-01,95,1,2,1,0,4,0,0,1,1,17,3,5,5,10,8,270,57,55,78,108,5,2,5,1,1,1,1,0,2,2,0,0,1,0,0,3,1,0,1,0,9,5,1,7,0,1,8,0,0,1,1,13,9,1,3,1,0
2016-10-01,91,1,3,1,0,3,0,0,1,1,16,4,5,6,10,8,265,55,51,80,133,5,2,5,1,1,1,1,0,3,3,0,0,0,0,0,19,1,0,1,0,10,5,1,3,0,1,8,0,0,1,1,11,9,2,3,1,0
2016-11-01,91,1,3,1,0,4,0,1,1,1,20,3,5,7,9,7,270,56,54,78,148,5,3,5,1,1,2,1,0,3,8,0,0,0,0,0,2,1,0,0,0,8,4,1,2,0,1,8,0,0,1,1,12,9,2,3,1,0
2016-12-01,98,1,3,1,0,4,0,1,1,1,18,4,6,8,11,7,255,56,58,88,136,5,2,6,1,1,2,1,0,3,3,0,0,0,0,0,2,1,0,0,0,8,4,1,2,0,1,7,0,0,0,1,12,10,2,3,1,0
2017-01-01,100,1,3,1,0,5,0,0,1,2,19,4,6,7,11,10,280,68,60,91,137,7,2,5,1,1,2,1,0,2,3,0,0,0,0,0,3,1,0,1,0,9,5,1,1,0,1,8,0,0,1,0,14,10,2,3,1,0
