date,how to encrypt whatsapp messages,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2012-09-01,0,385,265,0,104,274,13,8,61,66,413,10,124,484,546,6,0,489,96,437,7,23,16,51,0,106,227,0,17,19,17,6,0,11,6,11,0,0,14,13,0,30,0,300,6,50,6,501,21,21,30,0,20,275,0,325,0,11,42,11,10
2012-10-01,0,308,197,0,83,300,12,20,45,67,363,40,95,400,428,9,0,478,134,395,0,28,10,65,0,87,347,0,5,24,9,5,10,0,8,20,5,0,15,17,0,19,0,243,16,52,6,664,34,24,19,0,28,300,5,400,0,14,50,8,7
2012-11-01,0,258,207,0,56,287,0,25,66,56,432,120,112,400,464,7,0,534,100,448,0,38,16,79,0,66,547,0,10,16,5,8,5,10,5,8,5,0,10,9,0,26,5,272,11,54,11,619,29,20,26,5,25,267,20,413,0,10,71,10,12
2012-12-01,0,227,239,0,68,360,16,23,51,66,482,150,177,501,510,10,0,523,165,374,16,40,12,73,0,100,174,10,5,24,14,10,5,0,5,21,5,0,5,417,0,37,0,300,8,63,0,691,33,26,37,0,23,359,50,367,0,10,60,8,5
2013-01-01,0,189,249,0,61,387,9,25,60,63,494,105,230,509,637,9,0,589,141,353,10,27,67,70,0,145,180,7,9,13,7,14,5,7,5,9,0,0,14,126,0,33,0,258,8,94,0,628,23,24,33,0,32,417,30,417,5,14,90,9,5
2013-02-01,5,216,275,0,51,434,26,20,51,62,532,50,224,542,682,8,0,534,115,364,6,36,51,45,0,122,147,5,5,21,16,0,5,10,5,13,5,10,20,38,0,50,0,322,6,62,6,664,31,23,50,0,21,426,50,330,0,7,79,20,7
2013-03-01,0,185,230,0,43,427,18,25,46,70,488,110,195,467,491,9,0,489,153,316,8,28,93,57,0,145,514,5,14,18,9,5,5,11,5,9,11,0,9,42,0,40,0,300,10,74,0,637,25,21,40,0,34,476,65,305,0,21,78,14,5
2013-04-01,5,154,233,0,30,347,20,37,50,77,450,125,195,492,455,6,0,523,134,353,10,22,136,72,5,150,234,11,14,22,9,9,9,5,5,9,0,0,7,30,0,42,0,286,8,66,9,564,23,27,42,0,19,400,100,271,0,9,65,18,5
2013-05-01,5,197,181,0,38,454,14,29,59,55,494,130,218,559,537,9,0,512,139,343,9,43,93,67,0,119,227,14,16,20,11,5,17,7,9,5,14,0,9,17,0,23,0,279,5,73,6,528,24,24,23,0,24,375,155,284,0,14,87,7,5
2013-06-01,5,166,255,0,28,527,20,35,55,83,469,175,283,567,537,11,0,456,162,411,13,47,51,50,0,148,194,32,14,22,36,5,11,9,9,14,25,0,9,13,0,28,0,286,12,84,0,455,13,24,28,0,26,400,210,255,5,31,100,0,7
2013-07-01,0,204,288,0,40,620,18,18,36,94,544,210,236,659,519,9,0,456,179,443,19,46,69,55,0,177,494,14,17,18,23,18,12,23,5,9,45,0,9,25,0,29,0,279,22,99,6,455,17,17,29,0,25,534,165,321,5,14,85,5,7
2013-08-01,5,197,323,0,35,540,20,27,56,98,625,170,242,667,510,9,0,478,181,422,16,53,148,55,0,166,267,7,5,31,17,5,12,13,9,0,25,0,18,25,0,21,5,715,25,79,6,473,18,36,21,5,24,517,130,317,5,14,57,5,10
2013-09-01,0,185,281,0,40,487,13,24,47,83,519,170,206,592,537,9,0,445,177,464,17,49,104,64,9,122,220,4,6,23,21,4,4,11,9,11,40,0,9,38,0,33,5,322,32,79,8,528,17,15,33,5,37,426,155,263,5,15,64,7,5
2013-10-01,4,189,246,22,30,440,14,29,46,71,369,170,177,634,482,6,0,423,165,390,18,51,46,62,0,119,167,0,6,16,17,6,0,4,8,4,27,0,17,30,0,31,0,436,24,39,4,546,20,26,31,0,28,367,150,284,4,10,56,8,7
2013-11-01,4,150,191,21,28,467,20,32,30,82,400,185,177,600,455,11,0,500,153,464,20,45,63,49,0,132,400,4,6,24,30,4,10,13,4,4,25,13,13,21,0,29,4,379,36,59,8,573,17,30,29,4,25,409,145,205,6,12,50,0,7
2013-12-01,4,124,265,27,33,494,25,21,62,86,463,240,230,717,491,11,0,478,217,516,21,62,91,57,9,174,514,21,12,10,22,4,17,9,9,15,38,0,17,55,0,31,4,322,39,68,9,555,12,24,31,4,33,451,210,271,4,16,49,4,12
2014-01-01,4,170,259,31,33,560,18,36,60,83,550,340,271,742,628,6,0,500,222,464,22,39,165,73,4,148,167,6,4,23,22,4,15,0,12,10,36,0,6,46,0,24,0,400,53,95,9,537,16,27,24,0,39,451,290,305,8,8,44,6,12
2014-02-01,4,108,278,30,39,487,10,33,70,72,375,205,195,742,664,7,0,489,196,458,17,43,128,86,4,124,167,9,9,13,21,4,15,9,13,15,39,0,11,25,0,37,4,379,47,75,8,546,24,27,37,4,39,400,195,275,4,22,78,11,7
2014-03-01,4,112,230,24,32,667,17,31,53,66,432,285,259,717,619,8,0,423,170,501,10,58,85,77,0,140,200,4,5,31,28,8,16,6,6,16,30,0,4,242,0,40,4,365,50,87,4,564,13,20,40,4,19,451,225,259,6,17,50,6,10
2014-04-01,8,127,255,39,22,640,18,40,77,62,394,275,242,709,546,7,0,445,193,448,13,44,91,57,6,179,434,8,5,23,19,12,16,4,10,10,28,4,14,30,0,40,0,336,68,63,9,555,15,29,40,0,21,501,210,280,8,14,40,12,7
2014-05-01,12,104,204,46,33,474,25,16,47,65,375,400,265,692,537,7,0,434,191,406,67,41,124,63,12,161,407,10,18,21,11,4,14,8,18,14,55,0,16,30,0,24,4,329,70,78,16,591,28,32,24,4,25,459,190,288,7,15,55,8,10
2014-06-01,5,158,191,27,32,407,20,20,70,72,382,325,306,659,582,7,0,445,181,385,30,54,183,80,8,150,194,14,9,20,15,8,14,5,11,5,45,0,5,34,0,29,18,293,51,104,15,519,34,23,29,18,19,442,200,296,6,12,55,14,10
2014-07-01,7,135,217,41,44,467,34,18,93,102,450,285,318,767,728,7,0,445,158,522,23,34,197,75,5,187,167,7,16,12,18,12,12,13,15,4,51,0,9,25,0,26,5,300,69,79,6,446,34,17,26,5,23,609,215,300,4,16,57,7,12
2014-08-01,9,154,230,33,35,547,25,29,55,84,413,270,312,717,655,7,0,1112,198,495,17,57,144,76,9,182,180,4,11,14,17,16,10,9,4,4,40,0,4,25,0,33,8,308,44,85,9,473,54,21,33,8,28,567,210,334,5,9,35,18,19
2014-09-01,9,139,191,42,23,487,26,28,51,77,332,285,253,709,537,7,0,689,229,506,18,34,77,57,4,156,154,0,9,22,16,9,14,8,8,4,47,0,8,42,0,48,22,350,65,72,20,519,39,20,48,22,23,492,170,230,9,24,54,11,19
2014-10-01,5,170,168,37,49,500,37,24,66,102,319,340,224,675,610,5,0,556,165,490,24,38,81,42,4,140,147,14,12,19,12,14,14,12,8,4,50,0,8,25,0,38,8,343,67,51,23,591,25,23,38,8,24,525,170,246,10,18,45,16,7
2014-11-01,4,120,188,31,27,427,24,29,56,82,319,295,295,650,582,10,0,500,189,495,27,36,120,63,7,177,134,21,8,27,25,15,7,12,16,12,35,0,8,38,0,55,19,372,65,77,176,582,29,33,55,19,26,492,170,271,13,15,49,4,14
2014-12-01,6,93,226,30,22,460,33,34,65,82,325,380,353,667,619,10,0,467,153,522,19,49,177,52,7,182,154,8,8,17,12,8,14,6,6,6,38,4,4,34,0,28,10,322,59,50,58,564,25,24,28,10,28,567,290,284,10,14,45,4,12
2015-01-01,0,127,188,34,21,434,23,36,66,98,388,430,389,667,773,6,0,445,172,490,85,44,179,60,10,182,160,15,4,26,19,10,17,9,6,11,32,0,8,46,0,25,8,293,64,40,36,591,31,27,25,8,38,525,500,259,10,6,50,6,10
2015-02-01,13,124,239,35,10,320,22,19,56,93,307,325,336,642,628,7,0,478,184,443,51,59,104,45,17,169,167,27,6,20,21,13,14,4,12,12,41,0,8,30,0,32,6,343,74,35,37,555,25,26,32,6,29,492,185,263,8,8,45,21,10
2015-03-01,6,112,236,50,15,327,23,26,54,82,350,380,330,617,546,8,0,389,172,443,27,46,106,44,14,140,160,9,6,10,19,9,6,7,19,11,50,0,7,34,0,44,8,358,44,39,29,582,29,23,44,8,30,476,95,246,9,19,54,11,16
2015-04-01,8,104,204,55,27,360,21,23,75,87,344,340,400,609,564,5,0,378,160,411,46,52,126,40,13,145,214,14,7,22,22,4,8,8,15,8,54,4,4,30,0,33,13,336,55,28,53,637,27,29,33,13,25,492,140,226,5,13,55,6,12
2015-05-01,8,116,217,48,21,327,23,26,47,78,375,280,318,642,637,11,0,334,162,400,22,62,151,58,15,164,494,22,9,24,22,8,18,6,13,15,62,0,4,34,0,33,13,293,58,32,39,591,18,27,33,13,32,467,120,259,9,13,40,4,19
2015-06-01,0,135,204,47,9,360,21,34,34,107,313,305,342,700,910,4,0,378,172,427,20,45,195,48,14,161,327,21,12,18,17,14,12,17,11,8,40,4,4,21,0,32,35,336,47,20,88,546,19,32,32,35,37,559,135,271,8,12,42,15,10
2015-07-01,0,120,197,120,11,394,29,43,58,103,357,380,512,700,673,6,0,389,200,527,44,51,128,62,14,177,194,19,9,23,13,11,14,11,13,9,45,0,4,21,0,36,20,350,63,28,60,519,20,21,36,20,29,584,135,246,9,14,50,0,10
2015-08-01,4,93,233,41,11,407,28,43,91,78,350,435,459,734,573,6,0,445,239,522,22,60,95,45,18,172,214,9,11,15,9,6,13,11,11,7,54,0,6,30,0,31,5,343,59,19,30,637,23,21,31,5,25,567,125,263,13,19,51,6,23
2015-09-01,7,100,191,39,14,380,20,27,71,102,275,335,389,709,582,6,0,434,208,464,47,57,124,53,19,177,487,20,9,21,22,10,11,11,9,11,35,4,11,38,4,32,17,365,51,23,46,628,26,23,32,17,43,517,110,242,4,12,30,11,19
2015-10-01,7,97,188,40,18,334,25,36,64,99,275,270,371,650,737,5,0,412,160,469,28,57,110,46,14,158,400,21,5,31,12,13,13,5,12,17,23,0,9,30,0,40,17,336,36,17,39,637,21,23,40,17,43,492,100,200,5,28,51,9,21
2015-11-01,8,104,194,43,10,387,41,35,52,100,244,290,377,642,655,6,0,356,191,406,22,37,75,53,6,185,160,16,12,20,23,13,11,7,4,9,23,0,4,50,0,38,12,329,52,20,30,582,13,20,38,12,43,525,105,226,18,14,35,4,19
2015-12-01,5,135,207,41,18,367,23,36,43,124,350,330,395,684,646,5,0,412,177,416,47,43,91,57,15,174,174,14,12,27,26,15,11,4,13,7,36,4,7,38,0,42,15,300,51,18,30,555,17,20,42,15,28,609,115,242,9,17,50,9,19
2016-01-01,5,112,213,42,14,387,31,31,42,91,332,365,495,792,646,6,0,367,174,406,37,67,99,59,10,211,240,22,9,31,18,9,8,10,8,5,39,0,10,25,0,27,16,308,55,29,41,582,13,14,27,16,36,642,110,284,8,18,54,15,16
2016-02-01,5,108,178,35,12,367,24,22,63,100,294,300,418,667,464,9,0,389,177,427,44,58,132,43,22,187,454,20,11,39,23,5,21,8,15,19,25,3,5,34,0,45,8,350,37,19,39,591,13,18,45,8,42,650,100,238,12,13,50,8,10
2016-03-01,4,93,204,50,14,387,22,43,55,108,325,385,495,650,555,4,0,323,139,385,49,67,104,47,25,187,387,28,12,28,20,13,19,10,6,5,30,3,5,42,0,30,9,350,56,23,32,655,19,29,30,9,32,600,120,209,12,12,61,14,21
2016-04-01,100,108,200,66,22,334,27,38,34,96,288,390,412,625,610,6,0,356,134,379,80,67,83,41,36,161,194,18,11,21,29,8,7,8,51,5,34,3,8,42,0,34,11,343,74,12,48,591,17,18,34,11,43,675,120,263,9,22,70,5,228
2016-05-01,16,100,194,58,11,307,24,38,32,88,282,500,424,650,564,10,0,378,160,374,70,75,63,38,24,179,160,14,17,22,20,20,4,13,13,6,29,3,3,30,0,23,16,322,70,15,41,564,24,33,23,16,45,600,120,221,11,13,52,19,64
2016-06-01,13,131,200,58,13,287,32,43,48,103,325,425,524,650,573,7,0,412,160,390,102,70,81,61,29,214,320,36,17,22,23,14,9,7,15,5,13,0,0,59,0,29,11,308,66,9,57,582,13,29,29,11,36,742,125,296,8,7,63,7,46
2016-07-01,17,124,194,54,32,320,29,26,63,93,344,465,583,834,600,4,47,378,193,427,62,75,144,47,36,264,494,28,18,20,27,7,10,10,7,3,28,7,8,46,125,36,13,379,75,11,29,464,27,21,36,13,49,809,150,284,13,7,55,10,46
2016-08-01,8,112,217,65,27,354,25,31,42,114,332,425,495,775,619,0,14,356,181,432,71,81,110,41,22,211,260,28,12,24,26,20,11,8,10,6,29,3,6,38,38,46,11,336,77,18,46,564,21,29,46,11,39,750,140,255,8,12,51,16,32
2016-09-01,10,108,207,71,8,260,24,29,44,92,238,380,377,750,573,3,3,367,177,406,58,62,87,43,22,172,180,18,20,23,33,13,14,6,45,3,16,0,6,59,10,53,12,350,78,15,51,600,15,30,53,12,50,700,100,209,14,14,68,10,28
2016-10-01,12,93,194,55,19,240,28,26,41,97,263,375,483,725,537,6,0,367,160,411,75,59,69,39,20,143,187,20,14,28,19,12,13,9,12,8,15,3,5,50,7,40,19,365,71,16,44,591,18,26,40,19,38,709,145,217,5,14,61,6,35
2016-11-01,4,108,184,56,12,247,27,29,49,92,207,380,536,684,537,6,3,400,177,453,79,77,138,42,17,206,667,31,14,35,20,15,8,12,17,9,15,5,5,50,3,41,20,322,78,14,64,491,21,20,41,20,43,675,140,238,9,18,63,12,30
2016-12-01,16,108,188,68,16,280,27,32,60,107,300,410,559,800,564,8,0,378,162,453,64,64,144,30,24,193,294,25,10,26,25,15,14,3,17,8,15,3,3,42,7,30,25,286,106,8,85,510,11,26,30,25,30,692,150,230,7,11,37,17,32
2017-01-01,10,93,252,83,21,354,30,36,49,114,282,410,589,767,637,6,4,467,160,411,46,73,140,74,12,153,200,32,8,24,26,16,8,9,6,7,23,6,4,55,3,39,15,372,86,15,64,555,31,35,39,15,39,834,155,267,4,19,42,10,23
