date,how to uninstall instagram,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,how to browse anonymously,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,government monitoring social media,how to uninstall gmail,how to uninstall youtube,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on snapchat,how to encrypt emails,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,delete hangout history,can someone read my text messages from their phone,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,uber privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,how to encrypt text messages,how to encrypt whatsapp
2014-06-01,66,236,33,33,89,470,395,372,8,212,457,222,99,9,181,17,25,11,17,8,13,55,6,6,43,0,23,373,63,127,18,42,28,36,23,23,250,369,6,13,12
2014-07-01,42,268,50,49,112,593,377,393,8,218,619,239,94,6,223,8,15,18,15,17,19,61,0,15,32,0,6,382,85,97,7,43,21,32,6,28,269,379,6,7,14
2014-08-01,70,284,39,37,75,570,336,379,8,251,588,174,95,11,213,6,17,17,13,8,6,48,0,6,32,0,9,391,54,104,11,66,26,41,9,34,263,416,6,14,23
2014-09-01,43,236,52,34,68,416,342,308,9,283,600,93,71,5,210,11,27,12,18,11,8,64,0,8,53,0,27,446,80,88,24,48,25,59,27,28,213,290,13,14,23
2014-10-01,47,208,46,47,86,385,424,272,7,242,582,98,53,5,178,13,24,13,17,15,13,57,0,10,32,0,10,437,84,63,29,30,28,47,10,30,213,311,8,15,9
2014-11-01,45,232,39,32,66,416,383,365,12,253,594,146,78,9,220,19,33,16,9,10,18,66,0,10,48,0,23,473,80,94,218,36,41,68,23,33,213,337,18,5,17
2014-12-01,61,280,39,23,75,439,483,429,13,209,619,215,64,9,233,10,20,12,17,8,10,51,5,5,43,0,12,419,73,61,72,31,30,34,12,34,363,353,15,10,14
2015-01-01,54,236,42,30,86,500,559,479,7,227,582,217,75,13,217,21,32,13,21,11,6,43,0,10,58,0,10,373,78,49,44,38,34,30,10,47,625,322,11,11,12
2015-02-01,72,296,43,16,64,385,389,408,9,248,525,127,55,21,204,28,24,17,17,5,14,50,0,8,37,0,7,437,91,42,46,31,32,40,7,36,232,327,10,16,12
2015-03-01,56,292,62,17,70,447,501,400,9,227,525,129,55,17,184,16,13,12,7,12,25,58,0,12,43,0,9,455,54,47,35,36,28,55,9,38,119,311,11,9,20
2015-04-01,64,252,68,29,86,400,400,486,6,215,488,153,50,16,204,19,27,8,10,10,16,69,5,5,37,0,16,428,68,35,66,34,36,40,16,31,169,285,6,6,14
2015-05-01,77,268,59,21,66,431,336,386,14,195,482,184,73,19,207,27,30,9,22,6,16,70,0,6,43,0,16,373,72,40,48,22,34,41,16,39,150,322,9,9,23
2015-06-01,55,248,58,13,44,400,383,415,5,203,507,236,60,18,197,22,22,19,14,17,12,44,5,5,27,0,43,428,58,25,109,24,39,40,43,46,169,337,10,19,12
2015-07-01,63,244,148,15,72,439,483,629,8,265,625,155,77,17,213,24,28,14,17,14,17,46,0,5,27,0,25,446,77,35,74,25,26,44,25,36,169,311,13,19,12
2015-08-01,74,292,50,15,110,439,536,558,7,295,619,115,56,22,204,19,19,9,15,11,14,65,0,7,37,0,6,437,73,23,37,28,26,39,6,31,157,332,16,7,28
2015-09-01,70,236,48,24,83,339,395,472,7,242,550,150,66,23,246,27,26,8,14,17,17,44,5,9,48,0,21,464,63,28,57,32,28,40,21,54,138,306,5,12,23
2015-10-01,70,228,49,17,80,324,336,450,6,209,557,131,57,17,191,23,38,22,16,7,13,26,0,11,37,0,20,428,43,21,48,26,28,49,20,54,125,248,6,13,25
2015-11-01,46,240,53,16,59,324,330,458,7,218,482,91,66,7,217,19,25,15,13,10,9,34,0,15,64,0,15,419,64,25,37,16,25,47,15,54,132,285,16,7,23
2015-12-01,53,256,50,17,55,416,400,486,7,221,494,110,71,18,217,21,33,20,14,5,14,47,5,14,48,0,18,382,63,22,37,20,25,52,18,34,144,306,9,14,23
2016-01-01,82,264,52,19,58,400,471,600,7,233,482,120,73,13,255,31,38,13,10,11,13,51,0,13,32,0,19,391,68,36,50,16,17,33,19,44,132,353,13,17,20
2016-02-01,72,220,43,13,77,385,389,508,11,233,507,160,54,27,246,23,48,8,25,10,23,34,4,7,43,0,10,446,46,23,48,16,23,55,10,52,125,295,19,8,12
2016-03-01,83,252,62,17,77,393,477,608,5,180,463,127,59,30,230,32,34,20,24,12,9,33,4,7,53,0,11,446,69,28,40,24,36,37,11,39,150,264,16,18,25
2016-04-01,82,248,81,20,45,331,477,508,7,177,450,100,52,44,200,26,26,8,8,12,63,44,4,10,53,0,14,437,91,14,59,21,23,41,14,54,150,332,14,10,278
2016-05-01,93,240,71,17,37,339,553,515,12,192,444,77,47,29,207,29,26,25,5,12,20,30,4,4,37,0,20,410,86,18,50,29,41,28,20,55,150,274,13,21,78
2016-06-01,86,248,71,15,58,408,565,636,8,206,463,98,76,36,259,43,27,12,11,7,22,19,4,8,74,0,14,391,81,11,70,16,36,36,14,44,157,369,10,10,56
2016-07-01,92,244,67,33,74,431,589,708,6,230,507,174,59,44,323,37,25,8,12,10,15,34,8,10,58,157,17,482,93,13,35,33,26,44,17,60,188,353,19,12,56
2016-08-01,100,268,80,29,56,393,518,600,0,248,513,134,50,27,265,32,30,23,14,8,16,35,4,6,48,36,14,428,95,22,55,26,36,57,14,49,175,316,12,16,39
2016-09-01,77,256,87,8,54,308,483,458,4,230,482,105,53,27,210,22,28,12,17,11,54,20,0,10,74,15,15,446,95,18,61,19,38,65,15,62,125,264,17,15,34
2016-10-01,72,240,68,16,58,324,465,586,8,209,488,84,49,24,181,27,34,15,16,14,18,20,4,6,64,10,23,464,86,19,55,22,32,50,23,47,182,269,6,15,42
2016-11-01,95,228,70,12,70,270,471,650,8,218,538,167,52,21,268,35,43,22,10,13,26,19,6,10,64,4,25,410,97,17,79,26,25,50,25,54,175,300,12,19,37
2016-12-01,78,232,84,16,79,370,524,686,10,212,538,174,38,30,239,32,32,19,17,8,15,24,4,6,53,7,31,364,130,9,105,14,32,37,31,38,188,290,9,21,39
2017-01-01,89,312,100,24,68,362,548,715,7,203,488,170,92,15,217,36,29,19,10,8,11,28,6,7,69,4,18,473,106,18,79,39,43,48,18,47,188,337,11,14,25
