date,gmail privacy policy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,private twitter account,how to browse anonymously,search without history,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,can someone read my text messages from their phone,how to encrypt whatsapp messages,uber privacy policy,Gmail privacy,private instagram posts,Uber privacy,Youtube Privacy,facebook app privacy policy,instagram privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2013-11-01,34,144,187,32,436,30,65,169,148,543,409,11,0,145,420,14,30,46,0,306,7,10,18,16,4,21,9,4,4,4,6,353,29,4,550,12,18,33,6,25,362,179,8,8,56,8,5
2013-12-01,29,135,225,32,506,54,58,232,243,672,484,10,0,164,439,18,40,48,4,456,10,9,13,26,0,9,6,4,0,4,4,306,28,8,476,18,72,24,4,19,408,225,4,9,48,9,7
2014-01-01,18,157,225,29,512,48,77,337,227,679,559,4,0,203,439,17,47,64,4,173,4,7,12,18,0,12,11,7,4,0,4,365,43,9,509,21,29,18,4,31,416,275,13,15,47,5,5
2014-02-01,24,110,238,26,471,61,77,187,206,650,634,4,0,172,391,17,42,69,4,150,12,6,24,19,4,9,4,13,4,6,4,300,44,7,484,22,22,30,4,33,385,261,7,13,74,12,7
2014-03-01,24,116,219,29,589,50,68,237,243,629,575,5,0,166,420,10,46,58,4,167,6,7,22,24,8,16,7,10,0,4,4,289,53,9,484,14,229,38,4,28,393,225,7,7,41,5,7
2014-04-01,26,129,184,34,583,61,80,237,243,622,525,7,0,176,410,7,45,49,5,350,6,10,14,11,5,13,6,13,4,8,4,324,52,10,484,16,33,31,4,32,447,261,6,17,35,14,7
2014-05-01,16,113,184,45,406,30,71,346,227,572,517,4,0,141,372,54,26,50,9,350,8,14,26,9,4,8,11,11,4,4,4,312,44,17,517,24,22,31,4,21,424,261,6,13,43,8,7
2014-06-01,15,119,187,24,395,61,57,300,258,565,550,4,0,168,358,27,42,80,7,173,4,8,21,17,8,11,10,11,0,0,4,253,45,12,442,25,33,29,4,21,439,250,6,17,54,7,7
2014-07-01,19,125,179,34,465,88,86,273,316,679,667,8,0,170,448,16,27,58,8,167,8,11,20,19,6,5,5,20,4,8,4,236,64,5,392,27,22,14,4,20,539,250,4,12,46,9,14
2014-08-01,33,132,171,26,512,65,75,241,306,686,625,5,0,178,467,12,53,55,5,150,4,5,16,10,11,16,4,10,4,12,4,283,39,7,400,49,18,38,4,17,500,293,4,16,32,10,9
2014-09-01,24,97,182,38,430,64,70,241,222,579,559,8,0,205,448,17,35,56,6,156,6,5,17,14,16,12,7,8,0,7,0,289,54,18,467,29,25,38,0,22,424,211,6,21,41,12,12
2014-10-01,31,113,157,32,459,62,86,300,211,579,559,9,0,186,434,15,35,49,9,128,9,8,10,12,14,9,12,11,0,4,6,324,60,13,492,27,25,30,6,25,424,229,6,16,53,17,9
2014-11-01,22,107,171,28,371,62,75,273,264,572,584,10,0,172,439,20,32,50,6,134,11,10,31,14,11,11,8,9,4,12,10,312,59,125,484,29,36,36,10,27,470,265,9,11,53,5,9
2014-12-01,23,110,192,25,436,56,77,351,322,600,550,4,0,168,477,18,49,39,7,167,5,7,23,11,13,11,5,11,4,8,9,248,54,50,467,25,40,21,9,17,547,225,9,16,37,9,14
2015-01-01,25,119,187,41,389,60,71,455,343,615,734,4,0,160,443,91,39,53,13,128,14,7,21,22,8,13,8,9,0,4,11,300,62,23,525,34,33,39,11,32,570,268,7,14,40,6,12
2015-02-01,20,110,203,37,312,49,71,305,295,565,584,8,0,178,386,53,33,42,6,139,14,11,15,16,9,14,11,13,0,0,8,277,72,37,509,16,33,30,8,35,439,254,4,14,46,8,7
2015-03-01,26,113,209,47,318,61,75,364,316,572,534,10,0,172,381,23,43,65,12,134,14,8,14,16,10,10,7,17,3,4,7,318,47,29,542,22,33,31,7,29,462,233,10,20,46,12,16
2015-04-01,21,110,184,34,306,59,80,291,369,536,525,11,0,156,362,35,53,46,9,206,18,6,26,14,4,7,8,18,4,0,12,312,44,42,525,18,33,31,12,31,431,225,4,12,33,4,7
2015-05-01,23,107,195,46,312,44,86,232,295,600,584,8,0,143,362,23,48,54,17,423,20,14,18,17,6,19,7,7,0,14,13,248,58,53,509,14,25,30,13,33,470,200,5,13,41,7,14
2015-06-01,29,91,187,36,312,47,83,287,316,608,834,7,0,170,381,22,42,62,9,289,18,10,22,13,8,12,8,10,4,5,42,342,38,84,459,20,18,34,42,29,539,233,9,15,47,9,9
2015-07-01,23,116,187,79,336,67,91,369,453,608,675,7,0,178,477,51,57,71,16,162,14,9,20,9,12,10,12,10,3,3,18,295,45,59,476,17,15,31,18,21,554,211,14,18,43,9,12
2015-08-01,26,113,195,37,400,72,88,360,432,672,534,7,0,205,448,17,45,40,14,184,15,9,19,15,14,13,7,7,0,3,10,312,58,25,542,19,22,30,10,28,516,225,8,19,44,7,18
2015-09-01,25,119,179,43,348,64,88,300,358,593,542,3,0,178,439,42,55,53,22,450,18,11,27,24,7,14,12,9,3,3,12,312,44,49,550,28,36,39,12,45,470,208,8,18,39,10,16
2015-10-01,22,82,152,44,289,50,77,251,337,565,634,7,0,180,400,26,49,49,22,384,16,6,28,17,10,10,6,8,0,5,13,300,47,34,509,11,25,54,13,35,454,179,4,17,41,11,14
2015-11-01,22,104,179,39,342,51,83,251,348,529,659,4,0,154,405,21,38,54,9,162,18,13,17,21,14,15,7,11,0,4,12,300,49,28,509,16,43,36,12,31,485,183,8,16,41,9,18
2015-12-01,21,107,184,36,324,43,106,296,385,593,575,8,0,184,396,52,30,48,13,145,20,12,20,23,14,9,7,9,3,5,5,289,45,32,509,16,29,30,5,25,593,211,8,12,49,12,18
2016-01-01,24,116,206,39,342,43,77,341,469,672,592,6,0,172,386,39,59,49,11,250,15,8,21,25,11,11,9,14,0,3,16,289,55,38,492,13,29,36,16,27,600,225,11,16,40,11,12
2016-02-01,25,110,195,40,348,58,95,314,385,586,451,8,0,152,367,34,52,47,15,400,14,9,31,23,9,17,6,15,3,5,6,300,45,39,534,18,43,33,6,33,570,186,9,9,51,7,12
2016-03-01,26,97,184,49,330,50,90,319,427,572,542,6,0,147,348,54,50,47,19,356,21,10,20,27,11,16,6,10,6,4,4,312,57,29,609,14,43,28,4,38,600,204,10,12,56,12,20
2016-04-01,16,79,182,63,336,31,94,360,385,579,575,5,0,137,329,76,62,35,21,162,21,13,26,28,4,5,9,44,3,78,13,306,66,47,550,14,29,34,13,38,585,225,8,17,60,9,223
2016-05-01,20,97,179,64,248,40,92,414,379,536,509,7,0,137,320,56,65,36,28,134,23,11,27,18,12,6,10,9,6,13,12,295,57,40,550,20,29,24,12,29,585,183,9,12,49,14,58
2016-06-01,17,116,171,48,259,35,82,432,479,565,542,5,0,162,367,94,65,60,23,295,20,21,26,22,9,5,5,17,3,17,14,289,70,42,509,16,50,36,14,26,716,261,7,9,48,5,45
2016-07-01,21,113,160,57,277,47,100,401,527,715,592,4,35,160,377,57,72,57,35,439,29,12,28,15,7,10,8,9,3,10,10,324,76,34,409,23,43,34,10,34,762,272,13,11,52,18,38
2016-08-01,18,104,184,52,330,47,98,373,443,700,575,0,14,174,377,52,57,42,28,217,26,8,23,17,16,9,6,13,3,5,8,312,70,42,509,23,33,29,8,28,708,229,10,11,46,12,29
2016-09-01,27,97,182,49,265,44,97,355,348,636,550,3,6,186,358,64,73,38,19,150,24,11,14,23,13,11,7,34,0,3,9,324,76,34,525,8,50,49,9,45,647,200,20,12,55,9,32
2016-10-01,24,110,192,65,224,53,88,369,432,622,476,8,3,154,353,59,54,36,16,156,21,8,29,21,8,9,11,12,3,5,16,300,77,37,542,21,40,34,16,33,631,172,7,11,49,12,25
2016-11-01,23,110,165,52,253,46,92,346,479,643,509,4,3,180,367,73,63,56,23,556,27,15,31,17,17,10,8,15,6,9,16,271,69,57,501,12,43,32,16,43,662,211,9,24,44,15,29
2016-12-01,30,97,182,63,283,43,85,382,511,679,525,7,3,147,372,46,57,33,24,228,23,13,29,23,13,11,10,17,4,11,30,271,75,85,476,10,36,35,30,29,631,204,8,21,41,18,25
2017-01-01,26,97,225,66,306,52,103,410,490,693,600,3,5,164,358,42,72,61,18,206,21,12,28,24,13,5,4,11,4,7,23,312,77,59,534,28,50,45,23,33,770,258,5,12,33,8,32
