date,gmail privacy issues,who can see my snapchat story,most private browser,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to delete pokemongo,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,skype privacy policy,delete hangout history,can someone read my text messages from their phone,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,skype encryption,how to encrypt text messages
2015-03-01,43,210,97,134,243,348,32,0,194,451,188,60,55,27,45,82,40,40,200,0,189,33,187,161,124,94,189,33,128,38,222,33
2015-04-01,17,230,88,117,297,369,22,0,221,534,172,57,68,28,95,96,17,33,240,17,140,57,237,118,231,119,140,57,106,22,227,22
2015-05-01,22,200,97,108,227,332,49,0,263,642,248,67,93,38,102,93,32,22,244,0,140,54,251,135,170,113,140,54,134,40,164,32
2015-06-01,17,195,88,126,150,453,16,0,190,826,200,62,77,49,77,74,60,60,154,17,138,150,201,83,385,132,138,150,156,33,174,66
2015-07-01,16,500,125,162,247,437,27,0,218,542,264,60,83,38,99,54,49,49,159,0,152,89,269,118,262,88,152,89,123,38,206,65
2015-08-01,24,170,118,176,381,332,24,0,256,400,192,76,65,48,64,37,27,37,225,0,135,21,255,79,131,88,135,21,106,53,211,24
2015-09-01,32,160,83,130,285,432,24,0,242,525,224,80,95,37,91,96,42,58,154,16,138,75,219,96,200,94,138,75,184,16,122,42
2015-10-01,38,165,106,136,277,422,20,0,242,467,196,62,81,20,131,51,55,25,91,0,173,71,155,70,170,94,173,71,184,23,211,45
2015-11-01,54,180,173,138,204,427,25,0,159,317,224,27,67,51,87,97,56,36,118,0,163,51,223,83,131,82,163,51,184,77,143,26
2015-12-01,47,170,99,167,189,527,23,0,183,384,244,64,74,52,116,111,63,16,161,16,177,63,219,74,131,82,177,63,117,36,206,47
2016-01-01,44,175,132,150,200,385,25,0,283,417,248,45,108,39,133,79,37,39,179,0,114,68,237,122,177,57,114,68,150,34,222,59
2016-02-01,24,145,102,132,266,427,39,0,249,559,184,94,78,49,166,99,22,34,118,15,191,35,160,79,170,75,191,35,178,51,206,29
2016-03-01,23,210,95,154,266,458,18,0,287,442,200,107,111,50,120,88,55,41,115,14,128,38,241,96,139,119,128,38,134,50,253,62
2016-04-01,36,275,114,162,154,406,24,0,283,350,176,154,90,47,91,125,36,43,152,14,142,48,319,48,208,75,142,48,184,38,290,33
2016-05-01,14,240,100,154,127,374,41,0,318,267,160,102,102,73,93,88,87,41,105,14,96,69,300,61,177,138,96,69,189,46,216,73
2016-06-01,28,240,137,150,200,437,29,0,297,342,260,125,148,71,95,100,62,24,66,14,124,48,282,35,247,119,124,48,150,36,258,33
2016-07-01,33,225,123,132,254,395,19,200,318,609,200,154,128,76,87,114,29,33,120,28,152,57,323,44,124,88,152,57,206,57,227,43
2016-08-01,21,270,107,130,193,485,0,60,345,467,172,96,114,51,104,113,84,28,122,14,198,48,332,74,200,119,198,48,167,33,211,56
2016-09-01,35,295,102,152,189,390,14,14,266,367,180,94,75,84,99,140,56,37,71,0,224,53,337,61,224,125,224,53,212,60,279,51
2016-10-01,22,230,118,119,200,411,26,0,249,292,168,85,93,61,120,80,53,48,71,13,173,80,305,66,193,107,173,80,162,22,253,53
2016-11-01,36,235,116,106,243,390,27,14,328,584,176,73,121,58,149,85,62,45,66,20,175,86,337,57,277,82,175,86,184,40,258,67
2016-12-01,20,285,116,115,274,453,36,0,269,609,128,104,112,44,112,108,62,27,86,13,128,108,455,31,370,107,128,108,128,31,153,71
2017-01-01,25,345,130,158,235,485,25,18,307,592,316,51,126,33,100,110,67,29,98,21,168,63,369,61,277,144,168,63,167,17,174,50
