date,Uber privacy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-11-01,5,155,122,0,0,260,5,14,14,30,290,0,5,359,200,9,0,417,123,224,0,7,5,30,0,9,105,0,0,13,9,0,5,5,0,5,0,0,0,5,0,0,12,0,181,5,9,527,9,23,11,0,20,6,0,171,0,7,42,7,6
2011-12-01,0,130,177,0,0,150,12,9,30,41,320,0,9,330,254,0,0,534,102,258,0,5,5,67,0,6,155,0,5,8,9,0,0,9,0,8,0,0,0,5,6,0,11,0,186,0,16,520,11,11,9,0,19,12,0,251,0,6,53,5,6
2012-01-01,0,120,140,0,4,114,19,16,60,44,305,0,17,395,274,4,0,501,81,224,0,4,8,56,0,8,205,0,0,13,8,0,0,9,0,6,0,0,0,19,9,0,21,0,305,0,27,627,6,54,27,0,65,18,0,248,0,13,61,4,0
2012-02-01,7,125,170,0,0,119,13,16,48,46,280,0,21,271,240,9,0,426,81,193,0,9,8,65,0,9,210,0,0,18,9,4,0,9,4,6,0,0,0,13,6,0,28,4,415,0,27,667,13,80,27,4,97,18,0,265,4,11,42,9,0
2012-03-01,0,110,207,0,8,146,20,10,46,31,265,0,9,253,247,4,0,417,87,239,0,19,5,46,0,11,210,0,0,13,10,4,8,13,4,4,0,0,0,19,0,0,29,0,377,0,41,567,20,73,31,0,93,42,0,218,0,10,42,0,4
2012-04-01,4,115,146,0,7,173,11,9,41,34,325,0,59,271,294,4,0,442,73,231,0,15,11,62,0,20,264,0,4,32,4,9,4,9,4,4,0,0,0,6,9,0,24,0,210,4,25,480,50,25,21,0,38,77,0,221,0,9,48,7,4
2012-05-01,4,135,137,0,4,173,8,11,48,40,330,8,63,283,280,0,0,375,74,220,0,11,8,49,0,32,255,0,4,12,14,0,0,10,8,29,0,4,0,8,6,0,24,0,196,4,29,347,21,12,26,0,25,106,0,253,0,5,39,4,4
2012-06-01,0,120,140,0,6,160,6,17,45,39,355,4,75,306,387,4,0,384,84,247,0,21,5,65,0,55,296,0,6,10,10,0,4,8,4,4,4,4,0,4,12,0,12,0,191,0,28,320,13,8,13,0,18,130,0,283,0,13,46,6,0
2012-07-01,0,113,146,0,8,201,11,18,52,41,380,8,59,324,374,8,0,350,99,289,0,17,11,41,0,67,282,0,13,17,12,0,0,8,0,8,0,0,4,7,3,0,14,0,177,4,34,460,15,14,15,0,18,212,0,283,0,7,49,6,6
2012-08-01,4,185,187,0,11,210,12,15,39,38,420,18,75,389,447,4,0,417,97,262,4,25,11,29,0,51,178,0,4,11,4,4,0,6,4,6,4,0,0,7,6,0,22,0,158,0,32,394,17,18,28,0,28,189,4,277,4,8,39,7,4
2012-09-01,4,250,192,0,70,173,7,8,37,54,310,11,75,342,414,4,0,375,86,312,4,16,7,38,0,58,155,0,8,12,12,6,0,12,4,4,0,0,4,8,12,0,30,0,191,0,44,374,11,16,27,0,15,206,4,251,0,7,16,7,9
2012-10-01,4,245,135,0,62,232,12,15,35,53,295,25,67,289,347,7,0,334,94,293,0,16,4,49,0,65,291,0,7,14,11,9,4,11,4,13,4,0,0,6,12,0,22,0,167,11,25,434,17,16,19,0,24,206,0,262,0,7,37,7,8
2012-11-01,5,175,144,0,38,196,6,14,29,37,335,83,55,300,380,5,0,417,86,247,0,31,11,47,0,55,373,4,4,11,7,6,0,6,4,6,0,0,4,8,6,0,26,4,196,0,44,520,18,14,23,4,23,212,17,295,4,4,48,5,4
2012-12-01,0,173,174,0,48,269,15,24,45,42,360,115,130,324,367,0,0,442,102,281,9,34,13,53,0,65,146,6,4,6,11,4,4,0,4,8,4,0,4,9,286,0,26,0,210,4,35,480,18,15,24,0,18,259,34,256,0,4,48,6,8
2013-01-01,0,153,200,0,48,278,9,12,34,42,365,79,155,395,507,5,0,442,110,243,7,18,43,61,0,102,96,9,9,11,7,14,3,7,0,3,3,0,0,5,72,0,24,0,205,3,73,480,14,13,26,0,17,300,30,256,3,7,50,5,4
2013-02-01,4,145,187,0,23,314,13,13,42,48,395,43,142,348,474,6,0,367,87,250,4,31,30,44,0,79,128,4,4,9,7,4,11,9,4,8,6,4,0,9,23,0,22,0,234,0,47,467,21,23,30,0,18,300,44,245,0,8,50,8,6
2013-03-01,0,150,187,0,39,287,11,20,28,36,360,86,113,318,407,8,0,325,107,227,7,21,66,45,0,106,373,5,6,16,10,6,3,3,3,9,3,0,0,8,20,0,21,0,210,7,58,454,9,12,25,0,26,342,50,242,0,11,52,6,6
2013-04-01,5,118,153,0,26,237,17,21,51,60,355,118,121,377,327,5,0,400,107,250,3,22,108,53,3,100,178,9,7,10,8,3,3,3,3,9,0,0,0,8,23,0,15,0,205,7,51,447,18,16,24,0,19,324,70,212,0,9,41,10,4
2013-05-01,3,120,146,0,31,305,10,14,43,39,345,90,130,424,380,6,0,384,112,247,5,36,65,46,0,90,155,17,4,9,13,3,7,7,5,3,16,0,3,6,23,0,15,0,196,3,51,374,13,19,13,0,19,283,120,227,0,7,55,5,6
2013-06-01,3,123,157,0,32,369,23,18,52,79,385,129,209,436,420,14,0,342,143,304,7,35,29,42,0,88,141,15,9,14,20,3,7,3,9,14,22,0,0,3,12,0,20,0,220,5,51,334,10,20,19,0,13,295,177,206,3,24,54,3,4
2013-07-01,3,158,196,0,31,437,20,14,35,57,420,150,209,471,380,10,0,350,119,316,13,25,54,49,0,123,369,8,8,23,23,7,9,17,0,7,24,0,3,13,15,0,18,0,224,8,68,287,22,20,25,0,17,359,120,242,3,11,49,7,8
2013-08-01,5,138,218,0,31,332,24,22,46,55,500,143,200,495,400,3,0,359,115,277,11,30,96,47,0,139,196,9,3,19,11,5,13,3,3,3,24,0,3,14,20,0,21,3,477,23,70,320,16,28,19,3,17,353,100,245,0,8,38,3,6
2013-09-01,7,115,190,0,27,346,12,15,46,54,335,118,159,412,374,10,0,350,135,308,10,30,83,45,0,108,164,6,7,15,11,3,3,11,5,7,22,0,3,7,29,0,21,3,234,16,59,387,12,13,21,3,41,300,127,215,3,12,55,7,6
2013-10-01,0,135,168,12,16,314,9,12,25,49,295,140,155,465,387,8,0,309,117,308,17,37,29,45,0,72,123,3,8,13,14,3,3,4,3,5,15,9,3,8,29,0,18,0,300,27,30,407,12,20,21,0,21,271,114,195,3,8,44,3,6
2013-11-01,3,115,150,25,16,337,18,20,24,48,300,133,109,448,327,8,0,317,117,339,12,24,43,37,0,109,251,5,8,15,14,3,17,7,3,7,22,3,3,5,15,0,28,5,286,25,42,440,9,27,26,5,19,277,130,148,6,6,39,6,4
2013-12-01,6,108,181,25,29,391,19,19,43,45,325,183,184,553,387,8,0,334,132,354,15,32,68,38,3,134,373,8,7,11,26,0,7,5,3,6,31,0,3,8,58,0,19,3,248,26,55,380,15,23,19,3,15,312,167,186,3,7,30,7,6
2014-01-01,7,125,181,24,29,396,12,24,38,59,340,265,175,559,447,3,0,367,163,354,14,37,121,51,3,122,141,3,6,10,16,0,10,9,6,6,30,3,0,12,23,0,14,3,296,34,54,407,17,15,15,3,25,318,204,227,10,12,38,4,4
2014-02-01,5,88,192,20,19,364,10,14,48,52,270,147,142,536,507,3,0,350,138,316,14,33,93,55,3,93,123,10,5,19,11,3,8,3,11,5,32,3,5,6,18,0,16,3,243,39,48,387,17,19,24,3,26,295,157,215,5,11,56,10,6
2014-03-01,7,93,177,23,21,455,10,16,40,49,305,186,171,518,460,4,0,342,133,339,8,36,60,46,3,92,137,5,6,17,17,7,13,6,8,8,23,0,3,9,183,0,31,3,234,45,54,387,12,19,31,3,22,300,170,186,6,6,35,4,6
2014-04-01,8,103,148,27,22,451,16,24,49,59,320,186,200,512,420,6,0,334,141,331,6,36,82,39,4,130,287,5,8,11,10,4,10,4,10,9,32,3,6,10,26,0,20,3,262,38,53,387,13,21,25,3,25,342,167,215,4,13,29,11,6
2014-05-01,13,90,148,36,20,314,22,17,24,64,285,272,171,471,414,3,0,309,114,300,43,21,93,40,7,130,287,6,11,21,9,3,6,9,9,5,44,3,3,6,18,0,28,3,253,29,47,414,19,13,25,3,16,324,137,215,5,10,38,6,6
2014-06-01,9,95,150,19,29,305,10,21,49,43,270,236,196,465,440,3,0,350,135,289,22,33,129,64,6,104,141,3,7,17,15,7,9,8,9,6,36,0,0,3,26,0,25,3,205,36,66,354,20,12,23,3,17,336,120,206,4,13,37,6,6
2014-07-01,4,100,144,27,30,360,15,16,70,64,365,215,251,559,534,7,0,325,137,362,13,22,147,47,6,132,137,6,9,16,14,5,4,4,16,6,29,3,6,7,18,0,11,3,191,46,44,314,22,15,11,3,15,412,177,206,3,10,39,8,11
2014-08-01,5,105,137,21,16,396,11,19,52,56,355,190,259,565,500,4,0,834,143,377,10,42,118,44,4,120,123,3,4,13,8,9,13,3,8,4,30,3,10,3,15,0,30,3,229,18,56,320,39,26,31,3,13,383,137,242,3,13,27,8,8
2014-09-01,14,78,146,30,15,332,28,16,51,63,265,190,167,477,447,6,0,542,164,362,14,28,79,45,5,104,128,5,4,14,12,13,9,5,6,6,37,0,5,6,20,0,32,0,234,34,52,374,23,19,30,0,18,324,134,174,5,17,35,9,9
2014-10-01,10,90,127,26,26,355,19,18,50,69,255,236,175,477,447,7,0,375,150,350,12,28,60,39,8,108,105,7,6,8,7,11,7,10,9,9,41,0,3,6,20,0,25,4,262,47,46,394,22,25,24,4,19,324,140,189,5,13,40,14,8
2014-11-01,100,85,137,22,21,287,13,30,50,66,265,215,221,471,467,8,0,375,138,354,16,25,85,40,5,115,110,9,8,24,10,9,9,6,7,12,25,3,9,6,29,0,27,8,253,48,51,387,23,17,29,8,21,359,170,218,7,9,39,4,8
2014-12-01,40,88,155,20,17,337,23,20,45,55,265,275,255,495,440,3,0,350,135,385,14,39,130,31,6,143,137,4,6,18,7,10,9,4,9,12,32,3,6,3,32,0,21,7,200,52,48,374,20,18,17,7,13,418,184,186,8,13,29,7,11
2015-01-01,18,95,150,33,23,300,13,32,48,43,315,358,284,506,587,3,0,350,128,358,73,31,121,43,10,118,105,11,6,17,18,7,10,7,7,10,24,0,3,4,26,0,33,8,243,54,37,420,27,20,31,8,25,436,334,221,6,11,25,5,9
2015-02-01,29,88,164,29,8,241,14,18,39,53,235,240,238,465,467,6,0,367,143,312,42,26,88,33,5,120,114,11,9,12,15,7,11,9,10,7,22,0,0,6,26,0,21,6,224,53,20,407,13,16,24,6,28,336,127,209,3,11,36,6,6
2015-03-01,23,90,168,38,9,246,14,26,49,59,265,286,255,471,427,8,0,309,138,308,18,34,63,52,10,106,110,11,6,11,12,8,8,6,14,7,29,3,3,7,26,0,24,6,258,29,18,434,18,21,25,6,23,353,77,192,8,16,38,9,13
2015-04-01,33,88,148,27,9,237,23,21,47,69,250,229,280,442,420,8,0,284,125,293,28,42,85,37,8,123,169,14,5,21,10,3,6,7,14,6,32,3,0,6,26,0,24,9,253,37,26,420,14,17,25,9,25,330,94,186,3,9,27,3,6
2015-05-01,42,85,157,37,11,241,14,21,35,67,240,183,221,495,467,6,0,275,115,293,18,39,121,43,14,118,346,16,11,15,11,5,15,6,5,4,28,0,11,5,20,0,22,10,200,48,27,407,11,18,24,10,26,359,87,165,4,10,28,6,11
2015-06-01,67,73,150,29,12,241,16,21,37,66,285,225,263,501,667,6,0,275,137,308,18,34,157,50,7,125,237,14,8,18,4,7,9,7,8,10,36,3,4,6,15,0,25,34,277,32,18,367,16,23,27,34,23,412,84,192,7,12,40,7,8
2015-07-01,47,93,150,63,10,260,20,30,54,76,265,290,363,501,540,6,0,309,143,385,41,45,77,57,13,137,132,11,7,16,8,10,8,9,8,10,42,3,3,3,12,0,23,15,239,37,23,380,14,18,25,15,17,424,94,174,11,15,31,7,9
2015-08-01,20,90,157,29,9,310,21,33,58,68,250,283,342,553,427,5,0,325,164,362,14,36,66,32,11,99,150,12,7,16,11,11,10,5,5,5,42,0,3,6,18,0,24,8,253,48,17,434,16,21,24,8,22,395,100,186,6,16,24,6,15
2015-09-01,39,95,144,34,6,269,16,17,51,65,215,236,284,489,434,3,0,300,143,354,33,44,90,42,18,129,369,14,9,22,13,5,11,10,7,4,29,3,3,7,29,3,36,10,253,38,13,440,23,20,32,10,36,359,87,171,6,14,32,8,13
2015-10-01,27,65,122,35,15,223,22,19,40,65,200,197,259,465,507,6,0,300,145,324,20,39,86,39,18,123,314,13,5,22,15,8,8,5,6,5,16,0,4,7,20,0,45,10,243,37,13,407,9,18,43,10,28,348,70,148,3,14,31,9,11
2015-11-01,22,83,144,32,6,264,22,32,41,60,180,197,288,436,527,4,0,284,123,327,17,31,55,43,7,118,132,14,11,14,17,11,12,5,9,6,22,0,4,8,35,0,30,10,243,33,18,407,13,17,29,10,25,371,64,150,6,13,34,7,15
2015-12-01,25,85,148,28,10,251,23,27,35,81,235,233,296,489,460,6,0,334,148,320,42,24,66,38,11,134,119,16,10,16,18,12,7,5,7,5,29,3,4,6,23,0,31,4,234,35,17,407,12,17,24,4,20,453,87,174,6,10,39,10,15
2016-01-01,30,93,166,31,6,264,19,24,35,60,250,268,355,553,474,5,0,292,138,312,31,47,75,39,8,151,205,12,7,17,22,8,9,8,11,8,28,0,3,9,23,0,30,13,234,43,19,394,10,19,29,13,21,459,74,186,8,13,30,8,9
2016-02-01,31,88,157,32,8,269,17,18,46,78,220,247,330,483,360,7,0,292,122,297,28,42,97,38,12,141,328,11,8,25,14,8,13,5,12,10,20,3,4,3,35,0,35,5,243,38,13,427,14,20,27,5,26,436,84,153,8,8,35,6,9
2016-03-01,23,78,148,39,8,255,16,26,40,70,225,250,355,471,434,5,0,251,119,281,44,40,71,37,16,129,291,17,8,16,21,9,12,5,8,8,25,5,4,5,35,0,23,3,253,43,12,487,11,21,23,3,30,459,90,168,8,9,52,9,17
2016-04-01,37,63,146,50,10,260,15,22,25,66,205,283,317,477,460,4,0,267,110,266,61,49,50,28,17,144,132,17,11,21,21,3,4,7,35,6,23,2,63,12,23,0,30,11,248,50,7,440,11,13,27,11,30,448,94,186,7,14,52,7,179
2016-05-01,32,78,144,51,9,191,24,21,32,65,220,325,309,442,407,6,0,251,110,258,45,52,49,29,23,104,110,18,9,22,18,9,5,8,7,6,14,5,10,5,23,0,16,9,239,39,9,440,16,16,20,9,23,448,97,150,7,9,44,11,47
2016-06-01,33,93,137,38,7,201,20,19,28,64,265,340,367,465,434,4,0,334,130,297,75,52,69,48,19,164,241,16,17,21,13,7,4,4,14,2,14,2,14,4,40,0,29,11,234,56,8,407,13,14,29,11,20,548,94,215,6,7,34,4,36
2016-07-01,27,90,129,46,12,214,18,25,38,74,290,315,417,589,474,3,28,292,128,304,46,58,118,46,28,167,360,23,10,22,7,6,8,7,7,2,22,2,8,6,35,87,28,8,262,60,5,327,19,17,27,8,27,583,110,224,11,9,40,15,31
2016-08-01,33,83,148,42,18,255,18,25,38,68,240,293,334,577,460,0,11,300,140,304,42,45,58,34,22,176,178,21,6,18,15,13,7,5,10,7,15,2,4,3,26,26,21,6,253,53,12,407,18,14,23,6,22,542,107,189,8,9,38,10,24
2016-09-01,27,78,146,39,7,205,21,17,35,82,185,279,251,524,440,2,5,300,150,289,51,58,65,30,15,130,123,19,9,11,21,10,9,6,27,7,18,0,2,7,40,8,37,7,262,61,9,420,6,21,39,7,36,495,80,165,16,10,38,7,25
2016-10-01,29,88,155,52,16,173,23,19,42,72,190,290,325,512,380,7,2,284,123,285,47,43,69,29,13,130,128,17,7,23,18,7,8,9,10,11,9,2,4,6,32,3,22,13,243,65,14,434,17,20,27,13,26,483,97,142,5,9,43,10,20
2016-11-01,45,88,133,42,11,196,17,23,37,72,175,272,375,530,407,3,2,300,145,297,58,51,91,45,18,169,455,21,12,25,12,14,8,6,12,9,14,5,7,7,35,2,20,13,220,43,9,400,10,18,26,13,34,506,94,174,8,19,27,12,24
2016-12-01,68,78,146,50,8,219,17,23,35,75,225,300,400,559,420,6,2,300,119,300,37,46,105,26,19,157,187,19,11,23,19,11,9,8,13,4,8,3,9,4,29,6,29,24,220,59,5,380,8,24,28,24,23,483,107,168,7,16,27,14,20
2017-01-01,47,78,181,53,9,237,24,26,41,71,215,322,388,571,480,2,4,367,132,289,33,58,102,49,14,132,169,17,10,23,20,11,4,4,9,4,13,3,6,4,40,3,38,19,253,66,9,427,22,21,36,19,26,589,110,212,4,9,22,6,25
