date,how to delete a google account,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a twitter account,government monitoring social media,how to delete twitter,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2013-07-01,76,25,34,0,6,74,3,3,6,9,178,70,25,31,67,1,557,0,60,20,48,5,7,10,9,0,21,59,1,1,3,2,0,1,1,1,1,4,0,1,20,1,3,0,4,0,197,33,2,0,11,1,52,4,3,4,0,3,64,18,39,1,3,9,1,1
2013-08-01,80,22,35,0,6,58,3,5,6,10,178,83,19,34,61,0,544,0,59,23,48,2,6,15,5,0,18,34,1,1,4,3,1,1,1,1,1,4,0,1,17,2,3,0,3,1,155,80,3,0,11,2,48,3,5,3,0,3,60,17,35,1,2,8,1,1
2013-09-01,68,23,29,0,4,57,2,3,7,9,130,58,22,26,59,0,475,0,55,24,47,1,5,13,8,1,18,24,1,1,3,2,1,1,1,1,1,3,0,0,27,1,4,0,2,1,158,37,4,0,8,1,56,5,1,2,1,4,51,17,34,1,3,8,1,1
2013-10-01,74,21,29,3,2,52,2,3,5,9,143,49,21,23,62,2,425,0,52,21,50,2,6,5,8,1,11,19,1,1,2,2,1,1,1,1,2,4,2,1,97,1,4,0,3,0,219,51,4,0,6,1,67,3,4,3,0,5,40,16,38,2,2,7,1,1
2013-11-01,73,16,28,3,4,54,3,3,5,8,148,49,23,17,55,1,432,0,52,20,57,2,4,7,5,0,17,42,1,2,3,3,1,2,1,1,1,6,2,1,20,1,2,0,4,1,134,42,3,0,6,1,63,3,3,4,1,4,48,18,26,1,1,7,1,1
2013-12-01,87,18,32,4,4,63,3,3,6,9,180,57,30,31,60,1,482,0,51,23,60,2,5,12,6,0,21,57,1,2,2,2,1,1,1,1,1,4,0,1,24,2,9,0,4,1,128,36,4,0,7,1,65,3,4,4,1,3,50,27,28,1,1,7,2,1
2014-01-01,92,22,30,4,4,65,2,4,7,10,158,58,43,32,79,1,532,0,58,28,58,1,4,20,7,0,19,24,1,1,3,3,0,1,1,1,1,5,0,0,20,1,7,0,4,0,119,45,6,0,11,1,67,2,4,4,0,4,55,33,35,1,1,7,1,1
2014-02-01,92,14,28,3,4,56,2,4,6,10,120,53,24,28,74,1,500,0,51,21,52,3,5,15,8,1,16,20,1,1,3,3,1,2,1,2,1,5,1,1,24,1,2,0,4,1,107,39,5,0,9,1,60,2,2,4,1,5,48,22,35,2,2,7,1,1
2014-03-01,87,14,27,4,3,74,2,2,8,8,128,52,30,30,74,1,519,0,51,22,50,2,6,10,8,0,13,20,1,1,2,3,1,2,1,1,1,4,0,0,24,2,33,0,5,0,110,43,7,0,9,1,65,2,2,5,0,3,50,26,31,1,2,5,1,1
2014-04-01,82,16,27,5,2,75,2,4,7,8,148,48,30,27,64,1,494,0,50,21,53,1,6,13,8,0,21,49,1,1,3,1,1,2,1,1,2,6,0,0,24,1,3,0,5,1,113,41,8,0,10,1,69,2,3,5,1,3,62,26,33,1,3,6,2,1
2014-05-01,77,15,23,6,3,56,3,2,5,8,158,44,45,32,66,1,475,0,47,20,48,8,5,15,7,1,20,47,1,1,3,1,0,2,1,2,2,5,0,0,24,2,2,0,4,0,119,34,6,0,9,1,67,3,3,4,0,4,52,22,32,1,1,7,1,1
2014-06-01,79,15,22,3,4,50,1,2,9,6,140,45,35,33,71,1,488,0,54,20,46,2,7,23,9,1,18,24,1,1,3,2,1,1,2,1,1,6,1,1,24,1,3,0,3,2,104,37,6,0,11,1,57,4,2,3,2,2,54,22,37,1,2,6,1,1
2014-07-01,91,16,24,4,5,57,2,2,11,10,145,59,39,38,88,1,544,0,48,16,55,2,5,24,7,1,21,18,1,1,3,3,1,2,1,2,1,5,0,0,20,1,3,0,2,1,110,33,8,0,8,1,51,3,1,2,0,2,67,26,34,1,2,8,1,2
2014-08-01,90,20,23,4,3,63,2,3,9,10,150,60,31,38,77,1,544,0,134,23,60,2,6,19,8,1,22,22,1,1,1,2,3,2,1,1,1,6,1,1,30,1,3,0,4,1,122,35,5,0,10,2,53,4,2,4,1,3,64,23,41,1,2,4,1,2
2014-09-01,80,16,22,5,3,54,4,4,7,11,143,42,30,28,69,1,488,0,80,27,61,2,4,11,6,1,17,20,1,1,3,2,2,2,2,1,2,8,0,1,27,1,4,0,5,2,104,40,7,0,7,2,59,4,3,5,2,2,54,22,30,1,3,6,1,2
2014-10-01,77,18,20,4,5,54,3,3,8,13,130,43,39,29,74,1,475,0,62,24,54,1,4,9,7,1,18,17,1,0,2,2,2,1,1,1,1,8,0,0,24,1,3,0,4,1,97,42,6,0,7,2,67,3,3,4,1,4,59,21,31,1,1,5,2,2
2014-11-01,78,13,21,3,4,49,2,3,8,8,135,39,36,30,70,1,494,0,58,22,53,4,4,15,6,1,17,17,1,1,3,2,1,1,1,1,1,5,0,0,34,1,5,0,5,2,100,40,7,0,8,17,66,2,3,5,2,2,59,23,31,1,1,6,1,1
2014-12-01,78,12,24,4,3,54,5,3,8,10,145,39,45,48,80,1,525,0,52,23,57,3,7,19,5,1,22,17,1,2,2,1,2,2,1,0,1,4,0,1,54,1,5,0,3,1,113,35,6,0,7,6,63,4,3,3,1,3,67,33,28,1,2,4,1,1
2015-01-01,77,18,28,3,2,49,2,5,8,11,153,45,58,56,92,0,557,0,54,22,53,13,6,20,7,1,21,17,2,1,2,3,1,2,1,1,2,3,0,0,334,1,5,0,4,1,122,39,9,0,7,4,68,5,3,4,1,4,67,58,35,1,1,4,1,1
2015-02-01,72,13,25,4,2,37,1,3,5,9,150,39,36,37,80,0,519,0,55,21,53,7,6,12,4,1,18,17,2,1,3,2,2,2,1,1,1,6,0,1,30,1,4,0,5,1,91,37,10,0,4,5,67,3,2,5,2,5,56,19,33,1,2,6,1,1
2015-03-01,76,16,26,5,2,40,3,3,8,9,145,41,45,43,73,1,525,0,48,22,46,2,6,11,7,2,18,17,2,0,2,2,1,2,1,3,1,6,0,1,24,1,4,0,4,2,94,43,4,0,3,3,68,3,3,4,1,3,52,11,31,1,2,6,2,2
2015-04-01,70,14,24,6,2,40,3,3,6,12,173,39,36,42,69,1,538,0,46,18,49,3,7,15,6,2,22,27,2,1,2,3,1,1,0,2,1,5,0,0,24,1,3,0,4,1,94,38,5,0,3,5,69,2,3,4,2,3,55,15,30,1,2,5,3,1
2015-05-01,75,14,26,6,1,41,2,3,4,11,135,46,29,40,81,1,532,0,48,18,48,3,7,19,6,2,21,54,3,1,3,2,1,2,1,0,0,5,0,1,20,0,3,0,3,2,91,33,6,0,5,5,72,2,3,3,2,4,57,15,29,1,1,6,1,2
2015-06-01,79,13,21,5,2,41,3,3,5,9,125,46,35,46,103,1,575,0,46,27,50,2,5,24,6,3,20,37,3,1,2,2,1,1,1,1,1,4,0,1,17,1,2,0,4,5,91,44,6,0,4,11,67,3,4,4,4,3,69,12,31,1,2,6,2,2
2015-07-01,84,13,23,10,1,42,4,4,9,9,163,40,47,64,82,1,625,0,50,26,65,7,6,14,8,2,21,24,2,1,2,2,1,2,1,2,1,6,0,0,17,1,2,0,4,3,97,39,6,0,4,8,59,3,2,4,3,4,70,17,31,2,1,5,1,2
2015-08-01,89,15,25,5,1,43,4,6,8,10,175,44,50,58,69,1,613,0,54,25,62,3,7,11,5,2,16,25,1,1,2,2,2,2,1,1,1,7,0,0,20,1,3,0,3,1,91,35,6,0,3,3,67,4,4,3,1,3,62,17,31,1,2,5,1,1
2015-09-01,80,13,22,4,1,41,2,3,8,12,150,34,39,48,73,0,525,0,46,24,55,6,8,15,8,3,23,59,2,2,2,3,1,1,1,1,1,3,0,1,324,1,4,0,4,1,146,44,5,0,3,5,69,4,4,4,2,6,59,14,29,1,2,4,1,2
2015-10-01,77,12,19,4,2,36,3,4,9,10,115,33,32,48,79,1,482,0,48,20,52,3,6,13,6,3,18,46,3,1,3,2,1,2,1,1,1,2,0,1,47,1,3,0,5,1,94,39,5,0,2,3,74,3,3,5,2,5,56,12,22,1,2,5,1,2
2015-11-01,72,14,24,5,1,46,4,3,6,13,113,32,33,47,77,1,507,0,47,21,52,3,5,11,7,1,22,19,2,1,3,2,1,1,1,1,1,5,0,1,20,2,5,0,5,2,79,38,6,0,2,3,69,2,4,5,2,5,66,12,27,2,2,6,1,2
2015-12-01,82,14,24,4,1,43,4,3,4,13,128,41,39,49,76,1,532,0,52,20,51,4,5,11,7,1,21,17,2,1,3,3,2,1,1,1,1,6,0,1,20,1,5,0,5,1,76,40,5,0,3,2,67,2,2,5,0,4,73,13,27,2,2,4,1,3
2016-01-01,96,13,29,6,2,45,3,4,6,10,160,42,44,56,76,1,569,0,44,25,50,4,9,11,7,1,26,30,2,1,3,2,2,2,1,1,1,6,0,0,20,1,4,0,4,1,76,39,7,0,4,5,62,2,3,4,1,4,79,14,32,1,2,5,1,2
2016-02-01,80,13,22,5,2,43,2,4,6,14,148,34,38,54,57,1,488,0,48,25,45,4,6,16,6,3,23,52,2,2,3,3,1,2,1,1,2,3,0,0,17,1,6,0,4,1,73,41,4,0,2,3,67,2,3,4,1,4,74,13,27,1,2,6,1,1
2016-03-01,74,12,23,7,1,43,3,4,5,12,123,33,45,60,70,1,500,0,38,18,45,10,8,12,5,2,20,41,3,1,3,3,1,2,0,1,1,5,0,1,24,1,5,0,4,1,73,41,7,0,3,3,77,3,4,4,1,4,72,15,23,1,2,9,1,3
2016-04-01,74,12,26,8,1,39,3,4,4,13,133,32,47,49,74,1,475,0,43,19,42,11,9,9,5,2,21,19,3,1,3,4,0,1,1,7,1,4,0,11,24,0,5,0,4,1,76,37,9,0,1,6,73,2,3,4,2,4,77,16,27,1,2,9,1,26
2016-05-01,75,12,25,7,2,32,3,4,5,11,130,35,53,53,71,1,494,0,40,22,43,7,7,8,4,2,20,18,3,1,3,2,3,0,1,2,1,2,0,1,20,0,4,0,2,2,70,40,8,0,2,5,71,2,4,2,2,4,73,15,24,2,1,8,2,8
2016-06-01,77,15,22,7,1,32,4,4,6,12,173,38,55,65,73,0,569,0,50,19,46,13,9,12,8,4,24,36,4,2,3,3,1,1,1,3,1,2,0,3,137,1,7,0,5,2,94,37,7,0,1,6,67,3,2,5,2,3,89,18,35,1,1,7,1,6
2016-07-01,100,14,23,9,2,36,3,4,7,12,180,45,54,75,80,0,600,5,43,18,50,9,10,17,8,6,32,52,4,2,3,3,1,1,1,1,1,2,0,2,140,1,4,14,5,1,82,44,9,477,1,4,60,4,3,5,2,5,97,17,35,1,1,7,1,5
2016-08-01,94,16,24,7,3,37,3,3,5,12,143,38,47,56,73,0,557,2,47,23,45,8,7,12,5,3,28,30,4,2,3,3,2,1,1,2,1,2,0,1,24,1,5,5,4,1,73,41,9,215,2,4,62,4,3,4,1,4,96,18,29,1,1,8,1,5
2016-09-01,89,12,21,7,1,32,4,3,6,10,145,28,41,41,70,1,513,1,46,21,45,4,7,10,5,2,18,22,3,1,3,3,2,1,1,5,1,2,0,1,27,1,7,1,7,1,82,42,10,62,2,5,69,2,3,7,1,6,79,14,26,2,2,8,1,3
2016-10-01,86,12,24,7,2,29,3,2,6,11,140,34,41,53,67,1,488,0,43,22,46,8,8,10,6,3,22,22,2,1,3,3,2,2,1,3,2,2,0,1,170,0,5,1,5,3,85,42,9,29,2,5,69,2,3,5,3,5,80,16,24,1,1,7,1,4
2016-11-01,78,12,23,6,1,32,3,5,6,11,175,30,43,60,64,1,500,1,47,22,47,10,8,15,5,3,26,73,3,2,3,3,2,2,1,2,2,1,1,1,20,0,5,0,5,2,70,38,9,20,1,6,66,2,3,5,2,5,78,17,27,1,2,6,2,4
2016-12-01,96,12,24,7,1,35,3,5,6,11,155,39,54,71,69,1,500,0,47,19,50,5,8,18,5,4,23,30,3,1,3,3,1,1,1,2,1,2,0,2,20,1,5,1,4,2,70,36,11,20,1,11,59,2,3,4,3,5,84,16,26,1,2,6,3,4
2017-01-01,99,12,27,9,2,41,3,4,7,14,165,36,51,63,85,1,594,0,58,17,48,6,9,16,7,3,23,25,3,1,3,4,2,2,2,2,1,2,1,1,30,1,6,0,5,3,76,43,11,15,2,7,68,3,3,5,3,6,97,19,33,2,2,5,1,3
