date,how to unfollow someone on twitter,who can see my snapchat story,how to change instagram privacy settings,search without history,how to delete a youtube account,how to delete a twitter account,government monitoring social media,how to unfollow someone on instagram,best private messaging app,can someone read my text messages from their phone,how to encrypt whatsapp messages,private instagram posts,instagram privacy policy,how to unfollow on twitter,how to encrypt emails,google hangouts encryption
2015-07-01,54,108,12,100,357,664,4,182,8,0,0,72,24,227,23,10
2015-08-01,38,38,15,69,350,582,4,176,10,0,0,55,24,274,15,15
2015-09-01,60,38,23,109,275,628,6,182,4,4,8,59,39,235,24,4
2015-10-01,42,34,9,102,275,764,5,160,16,0,8,36,39,205,34,7
2015-11-01,51,44,13,100,244,691,7,190,16,0,8,46,47,222,22,18
2015-12-01,48,37,13,127,350,682,6,179,19,4,6,50,31,248,24,9
2016-01-01,56,38,17,88,332,655,7,214,10,0,6,54,27,287,24,9
2016-02-01,41,30,9,103,294,473,9,192,7,3,4,43,43,240,43,10
2016-03-01,42,48,10,108,325,573,5,192,19,3,6,58,50,209,26,11
2016-04-01,54,69,12,95,288,619,7,165,8,3,103,65,43,283,24,10
2016-05-01,32,51,13,99,282,564,10,184,26,3,18,64,31,209,20,8
2016-06-01,54,57,11,111,325,591,7,219,8,0,12,80,54,296,20,8
2016-07-01,52,54,26,106,344,637,3,271,8,7,16,83,47,292,25,10
2016-08-01,46,69,18,114,332,637,0,217,18,3,11,77,35,248,26,10
2016-09-01,43,71,7,90,238,573,3,173,12,0,9,81,62,209,25,16
2016-10-01,44,53,10,103,263,573,6,146,11,3,16,74,50,231,25,6
2016-11-01,46,59,7,88,207,564,6,211,21,5,4,66,54,248,32,8
2016-12-01,40,73,10,116,307,591,9,198,3,3,19,120,35,222,30,9
2017-01-01,68,84,18,114,275,701,6,157,15,6,10,93,58,248,21,4
