date,how to delete youtube,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete twitter,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to encrypt emails,encrypted phone calls,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,skype encryption,how to encrypt whatsapp
2015-07-01,88,2,3,1,0,6,1,1,1,1,25,6,7,10,13,12,380,120,94,117,110,0,7,4,10,1,1,2,1,0,3,4,0,0,0,0,0,1,0,3,0,0,0,1,0,15,6,1,0,1,1,9,0,0,1,0,1,20,11,3,5,1,0
2015-08-01,89,2,4,1,0,6,1,1,1,1,27,7,7,9,13,10,360,128,92,95,122,0,8,4,9,0,1,2,1,0,2,4,0,0,0,0,0,1,0,3,0,0,0,0,0,13,5,1,0,1,0,10,0,1,0,0,1,18,9,2,5,1,0
2015-09-01,75,2,3,1,0,6,0,0,1,2,24,5,6,7,12,11,334,123,79,90,120,0,7,4,8,1,1,2,1,0,4,9,0,0,0,0,0,0,0,49,0,1,0,1,0,22,7,1,0,0,1,10,0,1,1,0,1,16,9,2,4,1,0
2015-10-01,74,2,3,1,0,5,1,1,1,1,18,5,5,7,12,12,327,114,71,74,106,0,7,3,9,1,1,2,1,0,3,7,0,0,0,0,0,0,0,7,0,0,0,1,0,14,6,1,0,0,0,11,0,0,1,0,1,16,8,2,4,1,0
2015-11-01,72,2,4,1,0,7,1,0,1,2,18,5,5,7,11,12,320,111,75,74,100,0,7,3,8,1,1,2,1,0,3,3,0,0,0,0,0,1,0,3,0,1,0,1,0,12,6,1,0,0,1,10,0,1,1,0,1,16,10,2,4,1,0
2015-12-01,83,2,4,1,0,7,1,0,1,2,20,6,6,7,12,11,340,118,80,79,112,0,8,3,8,1,1,2,1,0,3,3,0,0,0,0,0,1,0,3,0,1,0,1,0,11,6,1,0,0,0,10,0,0,1,0,1,17,11,2,4,1,0
2016-01-01,81,2,4,1,0,7,0,1,1,2,24,6,7,9,14,11,354,124,84,88,132,0,7,4,8,1,2,2,1,0,4,5,0,0,0,0,0,1,0,3,0,0,0,1,0,11,6,1,0,1,1,9,0,0,1,0,1,18,12,2,5,1,0
2016-02-01,72,2,3,1,0,6,0,1,1,2,23,5,6,8,12,9,320,118,73,83,150,0,7,4,7,1,1,3,1,0,3,8,0,0,0,0,0,0,0,3,0,1,0,1,0,11,6,1,0,0,1,10,0,0,1,0,1,17,11,2,5,1,0
2016-03-01,69,2,3,1,0,6,0,1,1,2,20,5,7,9,11,11,327,115,74,95,130,0,6,3,6,2,1,2,1,0,3,6,0,0,0,0,0,1,0,3,0,1,0,1,0,11,6,1,0,0,0,11,0,1,1,0,1,16,11,3,3,1,0
2016-04-01,68,2,4,1,0,6,0,1,1,2,20,5,7,7,11,11,340,114,71,104,118,0,6,3,6,2,1,1,1,0,3,3,0,0,1,1,0,1,2,3,0,1,0,1,0,11,6,1,0,0,1,11,0,0,1,0,1,16,12,2,4,1,4
2016-05-01,69,2,4,1,0,5,0,1,1,2,20,5,8,8,11,11,340,115,73,106,130,0,6,3,7,1,1,1,1,0,3,3,0,0,0,0,0,0,0,3,0,1,0,0,0,11,6,1,0,0,1,11,0,1,0,0,1,16,11,2,4,1,1
2016-06-01,71,2,3,1,0,5,1,1,1,2,26,6,8,10,12,11,360,122,84,117,184,0,7,3,7,2,1,2,1,1,4,5,1,0,0,0,0,0,0,21,0,1,0,1,0,14,6,1,0,0,1,10,0,0,1,0,0,16,13,3,6,1,1
2016-07-01,77,2,3,1,0,5,0,1,1,2,28,7,8,11,15,12,374,132,89,129,194,1,6,3,8,1,1,3,1,1,5,8,1,0,1,0,0,0,0,21,0,1,2,1,0,12,7,1,73,0,1,9,0,0,1,0,1,18,15,3,6,1,1
2016-08-01,77,2,4,1,0,6,0,0,1,2,22,6,7,8,14,11,360,130,84,117,146,0,7,3,7,1,1,2,1,0,4,5,1,0,0,0,0,0,0,4,0,1,1,1,0,11,6,1,33,0,1,9,1,0,1,0,1,17,14,3,5,1,1
2016-09-01,73,2,3,1,0,5,1,0,1,2,23,4,6,6,13,10,360,127,76,102,146,0,7,3,6,1,1,2,1,0,3,3,0,0,1,1,0,0,0,4,0,1,0,1,0,12,6,2,10,0,1,10,0,1,1,0,1,18,12,2,4,1,0
2016-10-01,69,2,4,1,0,4,0,0,1,2,22,5,6,8,13,10,354,123,73,106,176,0,6,3,6,1,1,2,1,0,3,3,0,1,0,0,0,0,0,26,0,1,0,1,0,13,6,2,4,0,1,10,0,0,1,0,1,16,12,2,4,1,1
2016-11-01,70,2,3,1,0,5,0,1,1,2,27,5,7,9,12,10,360,123,75,102,200,0,7,3,7,2,1,2,1,0,4,11,0,1,0,0,0,0,0,3,0,1,0,1,0,10,6,1,3,0,1,10,0,1,1,0,1,17,12,3,4,1,1
2016-12-01,77,2,4,1,0,5,0,1,1,2,24,6,8,11,14,10,340,134,75,117,180,0,7,3,8,1,1,3,1,1,4,5,0,0,0,0,0,0,0,3,0,1,0,1,0,10,5,2,3,0,2,9,0,1,1,0,1,17,13,2,4,1,1
2017-01-01,79,2,4,1,0,6,0,1,1,2,25,5,8,10,15,13,374,134,89,120,184,0,9,3,7,1,2,2,1,0,3,4,1,1,1,0,0,0,0,5,0,1,0,1,0,11,7,2,2,0,1,10,0,1,1,0,1,19,15,3,5,1,0
