date,most private browser,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,best anonymous browser,government monitoring social media,how to uninstall snapchat,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to encrypt emails,encrypted phone calls,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,private instagram posts,How to make tweets private,Uber privacy,gmail privacy policy,twitter privacy policy,privacy policy youtube,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2016-01-01,68,646,134,40,107,12,98,245,183,44,500,77,46,32,22,34,25,137,11,28,0,78,156,67,121,74,78,84,31,46,146,34,38
2016-02-01,52,482,111,31,71,9,95,389,133,50,500,83,71,15,37,31,37,81,11,25,0,119,110,37,80,81,119,94,28,49,165,22,19
2016-03-01,95,591,152,40,79,14,158,278,112,79,467,78,75,38,13,38,17,73,21,12,0,93,152,76,80,74,93,97,29,46,188,26,44
2016-04-01,63,555,180,42,99,15,206,200,127,85,494,69,72,18,41,162,15,81,257,15,0,99,233,37,121,43,99,97,36,60,152,21,625
2016-05-01,83,528,154,21,79,11,169,167,98,69,474,80,60,17,17,44,17,61,34,9,0,87,184,40,113,66,87,104,37,40,152,34,157
2016-06-01,57,582,149,33,85,22,286,267,145,90,620,72,60,27,18,42,13,69,44,9,0,98,187,31,109,66,98,94,12,36,171,45,125
2016-07-01,78,528,142,49,94,9,200,412,168,121,667,60,57,24,9,42,27,61,47,24,323,123,212,22,113,77,123,110,33,30,152,30,125
2016-08-01,64,573,152,54,100,18,200,267,127,76,594,65,67,39,20,47,48,35,24,18,97,97,219,46,121,66,97,74,15,41,142,32,113
2016-09-01,61,491,167,21,80,23,169,200,109,54,514,44,79,26,17,109,17,30,18,35,26,125,205,37,105,77,125,124,44,41,194,12,94
2016-10-01,80,537,167,38,50,17,209,212,136,67,487,83,39,36,25,47,30,48,16,19,30,73,228,43,109,81,73,104,11,42,162,31,82
2016-11-01,64,555,154,42,74,17,143,345,115,51,547,78,81,22,28,57,53,68,31,17,0,109,203,28,171,81,109,127,34,48,152,25,88
2016-12-01,39,546,193,26,96,14,149,400,98,62,487,70,64,31,19,36,11,61,39,22,13,84,217,25,234,77,84,107,19,53,126,50,94
2017-01-01,100,591,216,52,88,32,126,328,183,54,487,69,84,16,16,46,11,50,24,12,17,113,207,40,171,108,113,104,16,37,104,29,88
