date,how to uninstall snapchat,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-11-01,0,216,194,0,0,6,13,26,31,382,319,13,0,145,295,13,14,43,0,6,144,0,0,13,16,6,6,10,0,7,0,7,0,6,8,0,28,0,6,24,0,19,25,28,0,26,0,238,0,13,50,7,9
2011-12-01,0,174,242,0,0,9,8,34,47,413,328,6,0,126,335,6,6,76,0,6,232,0,0,17,8,6,0,13,0,13,0,0,0,6,0,0,27,0,0,38,8,11,15,27,0,20,0,292,0,10,52,6,0
2012-01-01,0,150,210,0,7,19,35,48,57,382,373,9,0,114,320,6,12,93,0,11,307,0,0,21,12,0,0,12,0,6,0,0,0,6,0,0,37,0,0,33,0,14,65,37,0,99,0,346,0,11,78,6,7
2012-02-01,0,204,230,0,0,28,24,62,75,344,337,8,0,84,255,15,10,88,0,14,250,0,0,21,12,0,0,6,0,6,0,0,0,21,8,0,52,0,0,46,6,10,148,52,0,129,0,338,0,12,53,9,0
2012-03-01,0,162,236,0,0,28,26,49,42,332,346,11,0,121,335,15,18,72,0,11,244,0,0,19,15,11,6,23,0,6,0,0,0,17,8,0,40,0,0,37,0,17,87,40,0,115,5,271,0,11,80,0,7
2012-04-01,0,158,207,0,12,18,12,60,48,469,401,6,0,110,320,20,10,67,0,22,294,0,0,24,12,0,0,9,0,12,0,0,0,6,20,0,28,0,6,46,6,48,31,28,0,54,0,300,6,22,63,9,0
2012-05-01,0,170,181,0,12,19,13,50,55,432,373,6,0,75,260,28,12,54,0,35,325,0,11,11,11,0,0,6,6,22,0,0,0,8,8,0,39,0,6,38,0,24,12,39,0,18,0,321,0,17,57,8,0
2012-06-01,0,181,223,0,7,11,13,50,69,507,473,8,0,138,285,42,10,76,0,69,388,0,9,17,15,0,9,9,6,6,0,0,0,23,8,0,27,0,0,43,6,17,18,27,0,27,0,392,0,12,74,17,0
2012-07-01,0,120,204,0,6,11,17,68,81,532,519,6,0,131,375,17,8,43,0,77,363,0,0,28,20,0,6,14,0,0,0,0,0,9,8,0,21,0,0,48,0,36,25,21,0,25,0,392,0,11,70,0,9
2012-08-01,6,231,236,0,15,19,19,56,64,588,637,6,0,126,360,38,12,45,0,77,238,0,0,19,23,6,11,23,0,6,0,0,0,6,12,0,32,0,0,46,6,19,15,32,0,21,5,400,0,23,55,6,12
2012-09-01,6,385,242,0,105,13,15,58,65,413,546,6,0,105,415,22,16,50,0,106,207,0,17,19,11,6,0,11,6,11,0,0,0,14,16,0,30,0,0,49,6,20,21,30,0,20,0,321,0,11,42,11,9
2012-10-01,0,308,194,0,73,12,20,49,66,369,437,8,0,142,380,28,10,64,0,87,363,0,5,24,7,5,10,0,8,20,5,0,0,15,16,0,19,0,16,51,6,34,24,19,0,27,5,400,0,14,49,8,7
2012-11-01,0,258,191,0,52,0,22,54,54,438,464,7,0,114,425,37,16,78,0,66,475,0,10,15,10,8,5,10,5,8,5,0,5,10,12,0,26,5,0,53,11,29,20,26,5,25,20,413,0,10,70,10,12
2012-12-01,16,227,255,0,59,15,27,48,65,457,519,10,0,152,355,39,12,72,0,100,169,10,5,24,10,13,5,0,5,21,5,0,0,5,385,0,36,0,5,62,0,33,25,36,0,22,50,363,0,10,59,8,5
2013-01-01,10,193,246,0,60,9,23,60,63,519,646,9,0,145,335,26,66,70,0,145,157,7,5,12,5,19,5,7,5,9,0,0,0,14,116,0,33,0,10,93,0,23,24,33,0,31,35,417,0,14,89,9,5
2013-02-01,5,220,268,0,46,26,20,48,61,500,682,8,0,119,345,36,50,44,0,124,150,5,5,20,14,0,5,10,5,13,5,10,5,21,31,0,50,0,5,62,6,31,23,50,0,21,50,330,0,7,78,21,7
2013-03-01,5,185,210,0,41,18,24,61,69,469,491,9,0,142,300,27,91,56,0,143,463,5,16,18,9,9,5,11,5,9,11,0,5,9,31,0,40,0,15,71,0,24,21,40,0,34,65,300,0,20,77,14,5
2013-04-01,9,154,204,0,31,20,32,57,76,450,455,6,0,126,330,21,133,70,5,148,219,12,14,21,12,9,9,5,5,9,0,0,0,7,27,0,42,0,8,65,9,23,27,42,0,18,100,271,5,9,64,18,5
2013-05-01,7,193,191,0,37,13,30,60,54,475,528,9,0,142,325,42,91,66,0,116,200,14,22,19,11,4,16,7,9,5,13,0,4,9,20,0,23,0,5,71,6,24,24,23,0,24,150,280,5,14,84,7,5
2013-06-01,12,166,249,0,33,20,28,54,82,482,528,11,0,154,390,46,50,49,0,148,157,33,14,22,31,5,11,9,9,14,28,0,5,9,16,0,28,0,15,81,0,12,24,28,0,26,205,251,5,31,99,0,7
2013-07-01,18,204,310,0,46,18,26,41,93,600,519,9,0,184,420,45,68,54,0,174,494,14,18,18,21,18,12,23,5,9,44,0,0,9,24,0,29,0,24,97,6,17,17,29,0,25,165,321,0,14,84,5,7
2013-08-01,11,197,323,0,29,20,27,62,97,625,510,9,0,182,400,53,145,54,0,166,269,7,5,30,20,4,12,14,9,0,32,0,4,18,27,0,21,4,17,77,6,18,36,21,4,24,130,317,5,14,57,5,9
2013-09-01,11,185,284,0,46,13,33,58,82,494,537,9,0,166,440,49,102,64,9,122,194,4,7,22,19,4,4,11,9,11,40,0,0,9,47,0,33,4,37,77,8,16,15,33,4,36,155,263,4,15,63,7,5
2013-10-01,15,189,249,24,28,14,25,43,70,375,491,6,0,159,375,50,45,62,0,119,169,0,4,15,24,6,0,4,8,4,35,0,4,17,35,0,31,0,24,38,4,20,25,31,0,27,150,284,4,10,55,9,7
2013-11-01,21,150,188,20,24,20,30,37,81,363,455,11,0,163,440,44,62,48,0,132,357,4,6,24,21,4,10,13,4,4,24,13,4,13,24,0,28,4,43,58,8,17,30,28,4,25,145,205,6,11,49,0,7
2013-12-01,22,120,239,37,24,24,20,61,85,469,491,11,0,196,485,61,89,56,9,174,469,22,9,10,17,4,17,9,9,15,43,0,4,17,54,0,30,4,44,66,9,11,24,30,4,33,205,267,6,16,48,4,12
2014-01-01,14,170,259,25,31,17,33,59,82,513,628,6,0,214,440,39,162,72,4,148,182,6,4,23,19,4,15,0,12,10,33,0,4,6,43,0,24,0,55,93,9,16,27,24,0,39,290,305,10,8,43,6,12
2014-02-01,18,108,297,36,29,10,23,70,70,407,664,7,0,200,435,42,125,84,4,122,175,9,9,13,16,4,15,9,13,15,38,0,6,11,20,0,37,4,45,73,8,23,27,37,4,39,195,271,0,22,77,11,7
2014-03-01,10,112,249,26,32,17,25,55,64,419,619,8,0,182,475,58,83,76,0,140,188,4,4,30,24,7,16,6,6,16,37,0,4,4,270,0,39,4,52,85,4,13,20,39,4,18,225,255,12,17,49,6,9
2014-04-01,8,127,271,37,29,18,31,74,61,419,555,7,0,200,425,43,89,57,6,179,382,8,6,23,15,8,16,4,10,10,36,4,4,14,24,0,39,0,69,62,9,15,28,39,0,21,210,280,21,14,40,12,7
2014-05-01,64,104,197,49,27,24,22,49,64,388,537,7,0,177,385,41,122,62,12,161,413,10,16,20,15,4,14,8,18,14,48,0,10,16,39,0,23,4,58,76,16,27,31,23,4,25,190,284,8,14,54,8,9
2014-06-01,16,158,159,26,27,20,17,71,71,382,582,7,0,168,365,53,179,78,8,150,175,14,9,20,17,9,14,5,11,5,44,0,5,5,27,0,29,18,44,102,15,33,23,29,18,18,200,292,5,12,54,14,9
2014-07-01,18,135,239,43,39,34,19,89,100,482,728,7,0,173,495,34,193,74,4,187,169,7,16,12,12,15,12,13,16,4,49,0,7,9,27,0,25,4,72,77,6,34,17,25,4,22,215,300,0,16,57,7,12
2014-08-01,16,150,226,43,30,25,28,59,83,463,655,7,0,198,470,56,141,75,9,182,175,4,13,13,18,13,10,9,4,4,38,0,7,4,27,0,33,7,32,83,9,53,21,33,7,27,210,330,4,9,34,18,18
2014-09-01,19,139,184,28,28,26,27,54,76,338,537,7,0,224,480,34,75,57,4,156,169,0,11,21,14,10,14,9,9,4,51,0,6,9,43,0,47,21,55,70,20,38,20,47,21,22,170,230,9,24,53,11,18
2014-10-01,25,170,181,33,38,36,28,69,100,313,610,5,0,191,465,38,79,42,4,140,150,14,8,19,14,11,13,12,8,4,46,0,5,8,24,0,38,8,68,50,23,24,23,38,8,24,170,246,6,18,44,16,7
2014-11-01,27,120,197,31,25,23,25,52,81,338,582,10,0,200,475,36,118,62,7,177,138,21,4,26,21,12,7,12,17,12,52,0,4,8,31,0,54,19,52,75,176,29,33,54,19,26,170,267,12,15,48,4,14
2014-12-01,16,93,246,27,18,33,30,60,80,357,619,10,0,166,495,49,174,51,7,182,169,8,0,16,15,9,14,6,6,6,41,4,6,4,35,0,27,9,66,49,58,24,24,27,9,27,290,280,16,14,44,4,12
2015-01-01,95,127,204,29,24,23,43,69,97,407,782,6,0,180,465,43,175,60,10,185,132,15,4,25,22,10,16,10,6,12,34,0,0,8,47,0,24,8,58,39,36,31,27,24,8,38,500,255,12,6,49,6,9
2015-02-01,50,124,236,31,13,22,17,51,91,313,628,7,0,196,420,58,102,44,17,166,150,27,4,19,18,14,14,4,12,12,40,0,4,8,35,0,32,6,71,34,37,25,25,32,6,29,185,259,6,8,44,21,9
2015-03-01,26,112,220,45,14,22,31,56,80,363,546,7,0,180,420,45,104,44,14,137,144,9,6,10,15,9,6,8,19,11,46,0,6,8,20,0,44,8,42,38,29,29,23,44,8,30,95,246,11,19,53,11,16
2015-04-01,49,104,181,55,23,21,27,68,85,325,564,5,0,170,390,51,124,40,13,143,207,14,6,22,24,6,8,8,16,8,55,4,4,4,39,0,32,13,59,28,53,27,28,32,13,25,135,226,6,13,53,6,12
2015-05-01,17,116,207,42,17,22,25,52,76,350,637,11,0,154,385,61,149,57,15,164,457,23,4,24,20,8,17,6,13,15,56,0,4,4,27,0,33,13,65,32,39,18,27,33,13,31,120,255,8,13,39,4,18
2015-06-01,21,135,181,48,11,20,29,34,105,325,910,4,0,161,405,44,191,47,14,161,307,21,6,18,19,15,11,17,12,8,35,4,0,4,24,0,32,34,43,20,88,19,31,32,34,36,135,267,8,11,42,15,9
2015-07-01,46,120,178,107,12,29,38,57,100,357,673,6,0,210,500,50,125,62,14,177,169,19,10,23,10,11,14,11,13,10,36,0,0,4,24,0,35,20,71,28,60,20,21,35,20,29,135,246,11,14,49,0,9
2015-08-01,13,93,220,38,12,27,41,88,77,357,573,6,0,233,495,59,93,45,17,172,207,9,8,15,12,7,12,11,11,8,52,0,7,6,24,0,31,5,55,19,30,22,21,31,5,25,125,263,15,19,50,6,23
2015-09-01,46,100,188,38,19,19,30,66,100,275,582,5,0,191,440,56,122,52,18,177,475,20,9,21,17,6,11,11,9,11,35,4,6,11,39,0,32,17,58,23,46,26,23,32,17,43,110,242,4,12,30,11,18
2015-10-01,23,97,184,33,14,24,31,64,98,263,737,5,0,166,445,56,106,45,14,156,382,21,5,30,13,17,13,5,12,17,21,0,5,9,39,0,40,16,36,17,39,21,23,40,16,43,100,196,5,28,50,9,20
2015-11-01,29,104,188,43,13,40,32,47,99,263,655,6,0,173,385,37,74,52,6,185,144,16,13,20,24,12,11,7,4,9,27,0,7,4,47,0,38,12,45,20,30,13,20,38,12,43,105,226,13,14,34,4,18
2015-12-01,44,135,213,37,14,23,39,43,122,338,655,5,0,175,395,42,89,57,15,174,144,15,13,27,22,16,11,4,13,7,37,4,5,7,31,0,41,15,50,18,30,16,20,41,15,27,115,242,7,16,49,9,18
2016-01-01,34,108,213,38,15,31,35,46,90,325,646,6,0,184,385,66,97,58,10,208,250,22,7,31,20,10,8,10,9,5,41,0,5,10,27,0,26,15,53,29,41,12,14,26,15,35,105,280,12,18,53,15,16
2016-02-01,51,104,168,29,11,24,30,61,98,313,464,9,0,184,405,58,129,43,21,187,432,21,9,38,19,7,20,9,15,19,27,3,3,5,43,0,44,8,43,19,39,12,18,44,8,42,100,234,17,12,49,9,9
2016-03-01,48,93,226,47,14,22,36,61,107,319,555,4,0,142,370,67,102,46,24,187,332,29,13,27,19,16,19,10,6,5,26,3,5,5,50,0,30,8,57,23,32,19,28,30,8,31,120,209,13,12,60,14,20
2016-04-01,83,108,197,69,16,26,37,35,94,269,610,5,0,140,360,66,81,41,35,161,175,18,12,21,29,7,7,8,51,5,35,3,92,8,43,0,33,11,64,12,48,17,18,33,11,43,120,263,13,22,69,5,223
2016-05-01,61,100,200,50,14,23,36,30,87,275,564,10,0,152,355,74,62,37,23,179,150,14,19,21,20,20,4,13,13,6,24,3,17,3,31,0,22,16,63,15,41,23,33,22,16,44,120,217,8,13,52,19,63
2016-06-01,100,131,188,57,12,32,35,46,102,332,573,7,0,163,370,69,79,60,29,214,294,37,13,22,17,10,9,7,15,5,15,0,12,0,54,0,29,11,79,9,57,13,28,29,11,35,125,292,8,7,62,7,45
2016-07-01,67,124,207,54,27,29,31,58,92,350,610,4,46,182,405,74,141,46,35,264,457,28,18,20,27,7,10,10,7,3,28,7,13,8,47,118,35,13,82,11,29,26,21,35,13,48,150,280,13,7,54,10,45
2016-08-01,75,112,213,69,23,25,30,44,111,319,619,0,14,196,410,80,108,40,22,211,244,28,16,24,30,18,11,8,10,7,28,3,9,7,35,33,46,11,76,18,44,21,28,46,11,39,140,251,13,12,50,16,32
2016-09-01,49,104,210,71,7,24,35,43,91,250,573,3,3,182,385,61,85,42,22,169,157,18,16,23,31,10,14,7,46,3,16,0,10,7,62,10,52,12,80,15,50,15,30,52,12,49,100,209,16,14,67,10,27
2016-10-01,80,93,210,53,13,27,27,46,96,263,537,6,0,166,390,58,68,39,19,143,188,20,20,27,20,12,13,9,12,8,16,3,12,5,50,9,40,18,73,16,44,17,25,40,18,38,145,213,6,14,60,6,34
2016-11-01,72,108,194,58,10,27,25,56,90,219,537,6,3,173,430,76,135,41,17,206,625,31,14,34,22,18,8,13,17,9,15,5,3,5,54,0,40,20,65,14,64,21,20,40,20,43,140,238,8,18,62,13,29
2016-12-01,63,108,188,72,13,27,27,63,105,300,573,8,0,168,430,63,141,30,24,193,238,25,14,26,24,15,13,3,17,8,20,3,15,3,35,6,30,25,118,8,85,11,25,30,25,30,150,230,9,11,37,17,32
2017-01-01,45,93,255,83,19,30,37,54,113,294,637,6,4,161,390,71,137,73,12,153,194,32,10,23,25,15,8,9,6,7,22,6,8,4,58,3,39,14,92,15,64,31,34,39,14,38,150,267,12,18,42,10,20
