date,Gmail privacy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a twitter account,government monitoring social media,how to delete twitter,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-11-01,35,31,24,0,0,45,0,1,3,9,297,59,0,1,47,3,322,0,74,18,46,0,1,1,7,0,1,20,0,0,2,2,1,1,2,0,0,0,0,0,31,1,1,0,2,0,236,1,0,2,0,97,2,4,2,0,3,567,2,0,40,0,2,8,1,1
2011-12-01,35,19,31,0,0,36,2,2,4,6,291,64,0,1,50,0,350,0,106,19,45,0,2,1,9,0,1,33,0,0,3,2,0,0,1,0,1,0,0,0,20,1,1,0,2,0,218,0,0,6,1,93,2,2,2,0,2,700,3,0,50,0,1,7,1,1
2012-01-01,54,20,31,0,0,28,2,5,8,9,294,61,0,2,63,3,400,0,96,12,41,0,1,2,17,0,1,38,0,0,3,1,0,1,2,0,1,0,0,0,27,5,0,0,5,0,225,0,0,6,0,115,2,9,5,0,13,792,5,0,46,0,1,11,1,1
2012-02-01,87,23,35,0,0,22,3,3,8,8,304,50,0,4,50,1,379,0,79,14,43,0,1,1,17,0,2,40,0,0,3,1,0,0,2,0,1,0,0,0,47,2,1,0,8,0,204,0,0,7,1,121,3,21,8,0,20,692,5,0,47,0,3,10,1,0
2012-03-01,72,25,35,0,2,30,3,5,7,9,273,54,0,5,52,0,379,0,83,18,48,0,3,1,10,0,3,41,0,0,2,2,1,0,1,0,2,0,0,0,39,2,1,0,5,0,175,0,0,5,0,117,2,13,5,0,15,700,9,0,43,0,2,10,1,1
2012-04-01,47,23,27,0,2,30,3,1,9,6,207,75,0,9,54,1,436,0,83,16,41,0,5,1,14,0,4,43,0,1,5,2,1,1,2,1,1,0,0,0,43,2,1,0,5,0,200,1,0,7,1,80,8,5,5,0,5,767,19,0,46,1,4,10,2,1
2012-05-01,35,23,29,0,2,39,2,3,7,5,200,66,0,10,56,1,415,0,66,13,38,0,2,1,9,0,5,52,0,1,2,3,0,1,2,2,2,0,0,0,35,2,2,0,5,0,200,0,0,6,1,70,4,3,5,0,4,767,18,0,48,1,2,7,1,1
2012-06-01,33,27,27,0,1,37,1,3,7,7,216,81,1,11,76,2,493,0,74,19,44,0,4,2,14,0,9,56,0,2,3,1,1,1,1,1,1,1,0,0,43,2,1,0,5,0,172,1,0,7,1,63,2,2,5,0,2,834,25,0,57,1,2,10,1,1
2012-07-01,32,20,26,0,1,41,2,3,9,8,273,85,1,14,82,2,593,0,80,15,55,0,2,1,7,0,10,50,0,2,3,3,0,1,1,0,2,0,0,1,31,1,1,0,3,0,175,1,0,6,0,87,6,3,3,0,4,775,37,0,59,0,2,11,1,1
2012-08-01,34,38,34,0,2,37,2,3,8,9,276,90,2,20,91,1,579,0,79,17,55,1,4,2,5,0,10,33,0,1,3,1,2,1,2,1,1,1,0,0,24,1,1,0,5,0,240,0,0,5,0,76,3,3,5,0,4,742,36,1,56,0,1,8,1,1
2012-09-01,41,47,34,0,12,34,2,2,7,7,228,54,3,14,82,1,508,0,77,16,63,1,5,2,8,0,15,35,0,1,3,2,1,0,1,2,1,0,0,0,24,2,2,0,5,0,318,0,0,7,1,75,3,3,5,0,5,709,46,1,46,0,1,5,2,1
2012-10-01,31,52,26,0,11,46,2,3,9,9,194,61,4,14,67,1,500,0,69,18,55,0,2,2,10,0,15,56,0,1,2,2,1,1,0,1,1,0,1,0,35,1,2,0,2,0,318,3,6,7,1,91,4,2,2,0,3,717,44,0,51,0,2,8,1,1
2012-11-01,39,35,30,0,8,42,1,3,6,6,237,70,16,16,71,1,536,0,73,18,56,0,5,2,13,0,12,67,1,1,3,2,1,0,2,1,1,1,0,1,66,1,1,0,6,0,283,1,0,7,1,94,3,3,6,0,5,567,43,3,59,0,2,11,1,2
2012-12-01,37,35,32,0,9,46,3,5,8,10,255,65,23,25,80,1,600,0,79,23,56,1,7,3,12,0,13,27,0,1,3,2,2,1,1,1,1,1,0,1,50,1,54,0,5,0,283,0,0,10,0,97,3,2,5,0,2,384,53,9,45,0,1,7,1,1
2013-01-01,38,31,34,0,10,58,2,2,8,8,216,77,15,32,107,2,665,0,85,17,51,0,4,7,10,0,22,24,1,1,2,1,2,1,1,1,1,1,0,0,27,3,12,0,4,0,247,1,0,13,0,87,4,2,4,0,4,325,58,4,54,0,1,9,1,1
2013-02-01,47,29,36,0,3,63,3,3,7,11,207,73,7,31,98,1,586,0,69,17,53,1,5,6,5,0,21,18,1,1,4,1,0,1,3,1,1,1,1,1,35,2,5,0,6,0,272,0,0,8,0,92,5,4,6,0,3,300,59,9,42,0,2,10,1,1
2013-03-01,42,28,36,0,6,59,2,3,7,9,219,70,15,23,78,2,586,0,63,22,48,1,5,11,8,0,17,72,2,2,3,1,0,1,2,0,1,1,0,0,31,2,6,0,7,0,290,1,0,9,0,96,2,2,7,0,5,284,69,11,49,0,2,10,2,1
2013-04-01,43,24,36,0,5,50,3,4,10,10,222,74,22,28,70,1,536,0,72,19,51,0,4,20,9,0,22,32,1,2,3,2,0,1,0,1,2,1,1,0,31,2,5,0,8,0,204,1,0,10,1,84,4,3,8,1,3,259,59,12,44,1,1,9,1,0
2013-05-01,40,27,31,0,4,62,3,4,6,9,179,70,18,26,82,0,500,0,73,26,53,1,6,11,12,0,20,27,2,1,1,1,1,2,2,1,1,3,0,1,27,2,5,0,4,0,197,2,0,10,1,68,3,4,4,0,4,234,60,29,36,1,2,12,1,1
2013-06-01,46,26,29,0,6,74,3,5,9,11,179,72,26,41,92,4,558,0,69,23,62,2,7,6,9,0,16,27,4,2,4,4,1,1,1,2,2,4,0,0,24,1,2,0,4,0,183,1,0,10,0,66,2,3,4,0,4,217,64,33,37,1,4,12,2,1
2013-07-01,42,27,41,0,5,88,4,4,7,13,225,92,31,38,84,1,643,0,73,27,61,2,5,11,11,0,24,72,2,1,3,4,1,3,2,1,1,6,0,1,27,2,2,0,3,0,247,2,0,14,0,66,4,4,3,0,4,209,80,21,45,1,4,11,2,2
2013-08-01,100,24,45,0,5,74,4,3,8,12,228,100,25,38,78,0,608,0,69,26,58,2,7,19,7,0,25,38,1,1,5,2,1,1,1,1,1,5,0,1,24,2,3,0,3,1,190,6,0,12,0,61,3,5,3,1,5,200,71,19,40,1,2,9,1,1
2013-09-01,44,26,36,0,6,71,2,4,9,12,155,68,25,24,72,0,536,0,69,27,56,1,7,18,11,1,21,28,1,1,3,2,1,2,5,1,1,5,0,0,35,1,6,0,5,1,193,4,0,10,2,75,2,1,5,1,5,200,64,19,38,1,2,9,1,1
2013-10-01,59,24,34,4,4,62,2,3,6,13,164,57,26,25,71,2,486,0,63,23,60,2,6,6,9,1,11,26,1,1,2,3,1,1,1,2,2,5,1,1,108,3,5,0,5,0,268,5,0,8,1,84,3,4,5,0,5,184,50,20,41,1,2,8,1,1
2013-11-01,59,21,31,5,3,66,2,5,7,10,179,58,24,24,71,2,479,0,61,25,63,3,5,8,6,0,19,52,1,1,2,2,1,3,1,1,1,5,1,1,31,1,3,0,5,1,161,6,0,8,1,74,3,4,5,1,4,159,57,26,30,2,2,9,2,1
2013-12-01,40,21,39,5,5,67,4,3,8,10,222,62,33,38,75,1,565,0,64,24,69,2,8,13,6,1,21,67,2,3,3,3,1,1,2,1,2,5,0,0,27,2,12,0,4,1,150,6,0,11,1,70,3,3,4,1,5,167,68,28,37,2,2,8,2,2
2014-01-01,53,24,38,3,6,80,3,5,9,13,188,65,52,36,90,1,608,0,63,33,66,3,6,20,10,1,22,27,1,1,3,2,1,1,1,2,1,5,1,0,24,2,6,0,5,1,150,6,0,13,1,73,2,4,5,1,6,184,62,45,44,2,2,8,2,1
2014-02-01,49,15,37,3,4,68,3,2,8,11,149,58,33,31,98,1,600,0,63,25,62,3,7,20,13,1,15,21,1,1,3,3,1,1,1,2,1,4,1,1,27,1,5,0,6,0,133,8,0,10,1,74,3,4,6,0,5,150,55,26,40,1,2,11,1,1
2014-03-01,48,15,29,4,4,86,2,3,8,10,158,67,42,39,92,1,593,0,63,31,61,2,7,13,10,1,16,22,1,1,4,4,2,1,1,2,1,5,1,1,24,1,39,0,5,0,143,9,0,11,1,70,3,4,5,0,4,175,63,33,37,1,2,7,1,1
2014-04-01,48,21,30,5,4,95,3,3,9,12,179,63,33,38,86,1,572,0,61,25,66,2,8,16,8,0,24,57,2,2,3,3,1,3,1,2,2,6,1,1,24,2,4,0,7,0,136,11,0,10,1,78,2,5,7,0,4,167,66,30,38,1,2,6,1,2
2014-05-01,45,15,26,4,3,64,4,4,5,13,194,56,55,33,79,1,543,0,56,23,60,7,4,19,9,1,24,56,1,2,3,3,0,2,1,2,1,5,1,1,27,2,3,0,4,0,136,6,0,10,3,73,4,4,4,0,3,184,65,29,43,2,2,6,1,2
2014-06-01,44,21,29,3,6,57,2,4,9,7,173,57,45,38,96,3,565,0,61,24,56,3,7,24,14,1,19,25,1,1,3,2,1,2,2,1,1,5,1,1,27,2,4,0,4,2,140,7,0,12,2,69,5,3,4,1,2,159,64,26,38,1,2,7,1,2
2014-07-01,39,17,30,7,6,60,3,3,13,10,170,70,45,51,103,2,622,0,60,25,72,2,6,25,9,1,25,22,1,2,3,2,2,2,1,3,1,7,0,1,24,1,2,0,3,1,143,9,0,12,1,64,4,3,3,1,4,184,84,33,40,1,2,6,1,1
2014-08-01,43,26,28,5,3,76,3,3,11,13,188,68,33,38,95,1,622,0,145,30,75,1,9,22,9,1,26,28,1,1,2,2,2,2,2,1,1,5,1,1,39,1,4,0,4,1,147,5,0,11,2,70,8,3,4,1,4,184,78,31,42,1,2,5,2,2
2014-09-01,43,18,26,6,3,71,5,4,9,15,179,51,36,34,83,1,572,0,102,32,71,3,5,15,7,1,24,28,2,2,3,2,1,2,2,1,1,7,0,1,35,1,5,0,6,3,133,6,0,9,4,81,4,2,6,3,3,159,65,30,33,1,3,7,1,2
2014-10-01,53,17,22,5,7,66,3,4,10,15,176,51,48,32,99,1,529,0,77,28,66,2,7,12,9,1,20,23,1,1,4,1,2,1,2,1,2,7,0,1,31,1,3,0,5,1,115,10,0,9,2,80,4,4,5,1,4,150,68,27,31,1,2,8,3,2
2014-11-01,51,16,25,4,5,62,2,5,10,9,170,52,40,42,86,1,558,0,70,27,62,4,6,17,7,1,23,20,2,1,5,3,1,2,2,1,2,7,1,1,47,1,6,0,6,3,108,10,0,11,23,84,2,3,6,3,5,142,68,33,40,1,3,8,1,1
2014-12-01,44,17,33,5,5,63,4,3,9,11,191,60,51,48,99,1,600,0,69,24,72,3,8,22,8,1,29,24,1,1,3,1,1,2,1,1,1,5,1,1,66,1,6,0,4,1,125,9,0,8,8,69,4,2,4,1,4,159,89,43,38,1,2,4,1,1
2015-01-01,48,19,28,5,4,61,3,6,10,12,185,55,71,54,108,1,650,0,69,24,71,14,8,25,6,1,25,19,2,1,2,3,2,3,2,1,2,5,0,0,374,1,5,0,6,1,150,11,0,5,3,80,3,3,6,1,5,150,86,67,39,1,1,7,1,1
2015-02-01,48,20,32,5,3,51,2,3,7,13,185,42,50,50,91,2,600,0,69,27,65,7,8,12,7,1,23,21,2,1,2,3,3,2,2,2,1,7,0,1,39,1,4,0,6,1,122,12,0,4,5,82,3,3,6,1,6,150,73,22,40,1,3,7,1,1
2015-03-01,51,18,32,7,2,51,3,5,8,14,182,48,53,50,80,1,615,0,56,26,60,4,5,14,6,2,21,23,2,2,3,3,1,2,1,2,1,8,1,1,27,1,4,0,7,1,118,7,0,4,4,86,5,2,7,1,3,126,69,14,37,1,2,7,2,3
2015-04-01,48,19,32,7,2,49,4,4,7,14,207,46,43,55,87,1,629,0,56,27,58,4,9,17,7,1,23,31,3,1,4,3,1,2,1,3,1,7,1,1,27,1,4,0,6,3,115,7,0,4,6,81,3,4,6,2,4,134,68,19,37,1,2,6,1,1
2015-05-01,39,17,34,7,1,46,3,4,6,13,167,54,40,46,91,2,622,0,53,23,57,3,9,21,6,2,24,66,3,2,3,1,1,2,2,1,0,7,0,1,24,1,5,0,6,3,118,8,0,6,7,84,3,3,6,3,5,134,69,16,36,1,2,4,1,3
2015-06-01,52,18,29,5,2,48,3,5,8,13,152,57,43,54,134,1,658,0,53,26,60,4,6,30,10,2,25,43,2,3,2,1,1,2,1,2,1,6,0,1,20,1,2,0,5,4,111,6,0,5,12,79,3,5,5,4,5,142,82,19,38,2,2,4,2,1
2015-07-01,40,19,25,11,3,48,4,5,9,11,207,51,52,73,98,1,715,0,54,29,72,10,6,15,9,3,25,28,3,2,4,2,1,1,2,2,1,5,1,1,24,1,3,0,4,4,108,6,0,5,11,74,2,3,4,4,4,150,83,17,36,1,3,7,2,1
2015-08-01,47,18,31,4,1,52,5,5,14,11,222,52,62,66,87,0,708,0,61,31,77,4,9,14,7,3,21,34,2,2,3,3,2,1,3,1,1,6,0,1,24,1,3,0,5,1,125,7,0,4,4,87,2,2,5,1,4,150,78,17,39,2,3,8,1,2
2015-09-01,50,17,28,7,3,46,3,4,9,12,185,40,52,56,87,1,629,0,56,24,65,9,10,17,8,2,26,69,4,2,4,3,1,1,3,1,1,5,1,1,385,1,5,1,6,3,193,8,0,3,9,85,3,4,6,2,8,126,71,18,33,1,1,5,2,3
2015-10-01,45,16,25,6,3,49,4,4,9,10,140,38,39,55,100,1,550,0,53,27,63,3,7,14,5,2,23,57,2,1,4,3,3,1,2,1,1,5,0,1,50,1,4,0,6,2,111,7,0,3,6,84,2,3,6,2,6,134,68,14,28,2,3,5,2,2
2015-11-01,48,18,26,4,1,61,4,5,7,11,140,39,37,53,99,1,579,0,51,24,61,4,7,14,8,2,23,23,3,2,4,3,2,2,1,2,2,4,0,1,20,1,5,0,5,2,97,9,0,2,5,81,3,4,5,2,6,117,76,14,34,2,3,5,1,2
2015-12-01,44,16,27,6,2,48,4,5,7,17,158,45,49,62,87,1,608,0,58,23,61,7,6,13,8,2,26,23,3,2,4,4,2,1,1,2,2,6,1,1,20,1,4,0,5,1,100,6,0,4,5,78,2,3,5,1,5,126,84,16,32,2,3,6,1,3
2016-01-01,45,16,34,7,2,53,4,5,7,14,197,50,52,69,84,1,650,0,57,29,58,5,9,14,6,2,26,35,3,1,3,3,2,2,1,2,1,6,0,1,24,1,5,0,4,2,90,8,0,4,5,80,2,4,4,1,4,134,91,19,38,1,2,7,1,2
2016-02-01,53,15,25,6,2,52,3,4,7,17,179,44,49,61,66,1,565,0,54,28,58,6,8,19,6,2,28,63,2,2,5,3,1,2,2,1,3,4,0,1,24,1,8,0,5,1,86,6,0,3,5,81,2,3,5,1,6,134,89,18,29,2,2,9,1,1
2016-03-01,46,14,28,7,1,52,4,4,7,14,152,45,53,66,87,1,572,0,48,22,54,11,9,16,5,3,24,54,4,2,4,3,3,3,1,1,1,4,0,1,27,1,8,0,4,1,90,8,0,3,4,87,3,3,4,1,5,126,90,18,29,2,2,8,2,3
2016-04-01,46,13,30,9,2,45,3,5,4,15,158,38,53,60,92,2,543,0,53,24,54,12,10,11,7,4,28,25,3,1,4,4,1,2,1,8,1,3,0,14,27,1,5,0,5,2,90,11,0,1,6,90,2,3,5,2,5,117,93,18,36,2,2,11,2,35
2016-05-01,51,14,26,9,2,41,5,4,6,14,167,35,62,65,87,1,558,0,50,22,50,10,9,10,6,3,26,20,4,2,4,3,2,0,1,2,1,3,0,2,24,1,4,0,4,2,93,12,0,2,9,84,3,3,4,2,5,126,89,19,31,1,1,8,1,9
2016-06-01,45,17,29,7,1,40,4,4,6,14,222,43,65,79,87,1,643,0,58,27,56,13,9,14,9,4,33,45,4,3,4,4,2,1,1,3,0,3,0,3,162,0,9,0,4,2,118,11,0,2,7,78,3,4,4,2,4,134,105,21,38,1,2,10,1,6
2016-07-01,52,17,27,9,4,47,4,5,7,13,222,55,67,84,95,0,693,7,58,27,60,13,11,21,10,5,35,72,5,2,4,3,1,1,1,1,1,3,0,2,170,1,6,16,6,2,111,12,589,1,5,73,3,3,6,2,5,134,118,22,43,2,2,7,2,6
2016-08-01,51,17,29,9,2,45,5,5,6,17,173,48,60,71,94,0,643,2,57,27,59,11,12,12,7,5,30,36,5,2,2,4,2,2,1,2,2,3,0,0,31,1,5,6,5,1,90,8,259,2,6,73,3,4,5,2,5,142,113,21,36,2,2,7,1,6
2016-09-01,50,15,27,8,2,37,4,4,7,12,170,37,55,55,88,1,572,1,54,27,53,9,10,11,5,2,25,25,5,3,3,5,3,2,1,6,1,2,0,2,31,2,9,1,6,2,104,12,77,1,6,82,2,5,6,2,10,134,100,18,29,3,2,9,1,4
2016-10-01,52,16,28,8,2,33,3,4,8,16,182,41,49,68,76,1,550,0,51,24,57,11,9,12,7,3,25,28,3,3,4,2,1,1,1,3,2,2,0,1,204,1,7,1,5,2,104,13,36,2,7,86,2,5,5,3,6,126,100,19,30,4,2,8,2,5
2016-11-01,46,17,27,8,1,36,3,4,5,12,207,32,49,77,83,1,579,1,57,26,54,9,10,21,8,3,30,94,4,2,5,2,2,1,1,3,2,3,1,1,27,1,8,1,5,3,79,11,24,2,8,75,2,3,5,2,6,142,99,19,32,0,2,7,2,4
2016-12-01,44,13,29,8,2,41,3,3,8,15,185,44,61,80,79,0,579,0,56,23,56,8,10,16,5,4,31,35,4,1,3,3,2,2,1,3,0,3,1,1,24,0,5,1,4,5,86,14,24,1,13,75,3,4,4,4,4,134,102,18,32,2,3,7,3,5
2017-01-01,53,16,31,11,2,46,5,6,8,16,194,41,67,78,107,0,679,0,66,24,53,8,11,19,9,2,28,31,3,2,5,4,2,1,2,2,1,3,1,1,39,1,9,1,4,2,90,14,18,2,9,79,3,5,4,3,6,150,117,28,39,2,2,6,2,5
