date,uber privacy policy,how to change facebook privacy settings,youtube private channel,how to change instagram privacy settings,best anonymous browser,how to browse anonymously,search without history,how to delete a snapchat account,how to delete a instagram account,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,google hangouts privacy,skype privacy policy,whatsapp security settings,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,instagram privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,how to encrypt text messages,how to encrypt whatsapp
2013-04-01,0,440,655,91,94,165,222,358,550,18,0,367,958,27,63,384,206,14,31,40,63,19,27,13,14,0,0,15,22,0,121,22,189,25,68,79,88,121,0,52,286,813,0,40,14
2013-05-01,0,520,510,107,88,175,158,429,617,26,0,414,929,24,124,262,192,0,74,46,58,38,48,18,23,40,0,15,33,0,66,13,206,15,71,70,50,66,0,67,443,850,0,20,14
2013-06-01,0,470,719,94,80,157,240,558,800,31,0,440,1115,36,135,145,144,0,76,40,64,97,31,22,27,81,0,15,20,0,82,34,239,0,36,70,38,82,0,75,600,763,13,27,20
2013-07-01,0,550,810,134,75,118,272,672,667,26,0,534,1200,53,133,195,157,0,35,48,54,64,35,40,14,128,0,0,46,0,83,61,283,15,49,48,75,83,0,71,472,963,13,13,20
2013-08-01,13,510,910,82,79,180,283,543,684,26,0,520,1143,45,154,417,157,0,22,13,89,50,35,35,20,92,13,15,44,0,61,70,224,15,54,105,75,61,13,67,372,950,13,13,27
2013-09-01,13,490,791,134,94,167,240,543,584,26,0,474,1258,48,142,295,184,26,13,17,65,69,13,26,23,117,0,0,26,0,96,91,224,20,49,44,113,96,13,104,443,788,13,17,14
2013-10-01,0,520,691,79,73,126,204,543,501,16,0,454,1058,50,147,128,179,0,12,16,46,40,0,12,25,102,0,12,49,0,90,67,109,10,58,74,88,90,0,78,429,850,12,18,20
2013-11-01,12,440,537,70,87,108,236,543,501,33,0,467,1258,56,128,178,141,0,25,19,71,118,29,33,17,71,37,12,37,0,83,104,168,20,50,87,63,83,12,71,415,613,17,25,20
2013-12-01,13,350,746,70,58,177,247,772,650,31,0,560,1400,59,180,256,163,25,38,33,30,66,50,33,20,125,0,12,38,0,88,113,192,25,33,70,163,88,13,93,600,813,12,29,34
2014-01-01,0,500,728,88,97,170,240,1072,767,17,0,614,1258,62,112,467,209,12,19,12,67,66,43,47,27,97,12,12,19,0,71,152,271,25,47,79,138,71,0,112,829,913,23,17,34
2014-02-01,13,360,782,82,68,203,208,615,550,21,0,580,1243,48,124,362,246,13,26,26,39,56,43,26,34,112,0,12,32,0,107,134,212,20,69,79,75,107,13,112,558,825,13,26,20
2014-03-01,11,340,646,91,73,159,190,915,734,23,0,520,1358,27,168,239,222,0,15,15,89,56,46,23,24,107,11,12,23,0,115,143,248,10,40,57,725,115,11,52,643,775,17,15,27
2014-04-01,0,420,719,82,90,216,179,872,684,20,0,574,1215,36,126,256,165,18,18,16,68,62,47,12,24,107,12,23,31,0,115,194,180,25,44,83,88,115,0,60,600,838,23,35,20
2014-05-01,12,330,573,76,63,142,186,1186,750,20,0,507,1100,195,119,350,182,37,36,52,60,35,40,24,48,140,0,35,36,0,68,200,221,45,80,92,88,68,12,71,543,863,20,20,27
2014-06-01,53,420,537,76,49,206,208,958,867,20,0,480,1043,86,154,517,228,22,40,26,58,32,40,18,31,128,13,15,13,0,83,146,295,40,97,66,100,83,53,52,572,888,18,31,27
2014-07-01,13,380,610,113,57,257,293,915,901,19,0,494,1415,65,98,556,214,14,19,45,36,69,34,39,46,143,0,20,34,0,74,197,224,15,100,48,75,74,13,63,615,900,13,17,34
2014-08-01,22,490,646,85,82,172,243,815,884,19,0,567,1343,48,163,406,219,26,13,32,39,50,30,19,14,112,0,26,13,0,96,125,242,25,157,61,75,96,22,78,600,1000,13,32,54
2014-09-01,62,380,537,79,78,157,222,829,717,21,0,640,1372,50,98,217,165,13,25,25,63,48,41,25,20,150,0,26,19,0,136,185,203,55,113,57,125,136,62,63,486,688,25,33,54
2014-10-01,23,460,473,110,82,198,293,1029,634,16,0,547,1329,68,110,228,122,13,31,35,55,29,39,35,31,133,0,15,23,0,110,191,145,65,71,66,75,110,23,67,486,738,27,35,20
2014-11-01,54,350,528,73,73,152,236,929,834,28,0,574,1343,77,105,339,182,21,44,24,77,80,20,24,43,153,0,12,24,0,157,185,218,500,85,96,113,157,54,75,486,813,36,12,40
2014-12-01,28,310,637,52,87,172,236,1172,1001,30,0,474,1415,53,142,500,149,20,24,24,49,29,39,20,24,119,12,18,12,0,79,170,142,165,72,70,100,79,28,78,829,850,28,24,34
2015-01-01,22,380,528,70,125,198,283,1358,1100,17,0,514,1329,248,126,506,173,30,48,11,75,53,48,26,15,100,0,0,22,0,71,182,112,100,90,79,138,71,22,108,1429,775,30,26,27
2015-02-01,16,370,673,37,48,147,268,943,951,20,0,560,1200,148,168,295,128,49,64,16,56,64,40,12,33,117,0,38,18,0,93,213,98,105,74,74,88,93,16,82,529,788,24,36,27
2015-03-01,22,330,664,40,90,162,236,1229,934,22,0,514,1200,77,131,300,128,41,36,18,30,63,16,27,59,135,0,18,29,0,127,125,109,80,85,66,100,127,22,86,272,738,25,22,47
2015-04-01,38,310,573,67,79,198,250,972,1134,15,0,494,1115,133,149,356,117,39,45,19,64,44,22,22,37,161,11,23,11,0,94,158,80,150,80,83,88,94,38,71,400,675,15,15,34
2015-05-01,36,340,610,49,73,152,225,815,901,33,0,440,1086,62,177,428,168,45,62,25,69,52,51,15,39,164,0,23,15,0,94,167,92,110,52,79,100,94,36,89,343,775,27,22,54
2015-06-01,100,400,573,31,85,101,308,943,967,11,0,460,1158,56,128,550,136,42,52,33,52,22,33,41,28,104,11,0,11,0,93,134,56,250,57,92,63,93,100,104,386,813,22,44,27
2015-07-01,59,350,555,34,109,165,297,1172,1450,18,0,600,1429,127,147,362,179,41,55,26,67,37,40,33,40,107,0,0,11,0,102,179,80,170,60,61,63,102,59,82,386,738,26,44,27
2015-08-01,14,310,655,34,119,254,225,1300,1300,16,0,667,1415,62,173,267,130,51,43,32,43,26,36,25,33,151,0,12,16,0,91,170,53,85,66,61,88,91,14,71,358,788,36,16,67
2015-09-01,50,290,537,55,88,190,293,958,1100,16,0,547,1258,136,163,350,152,54,64,25,62,62,32,39,39,104,11,20,21,11,93,146,65,130,75,66,113,93,50,123,315,725,11,28,54
2015-10-01,47,300,528,40,92,185,286,829,1050,14,0,480,1272,80,163,312,133,42,54,14,89,39,37,17,31,61,0,20,25,0,116,104,48,110,61,66,88,116,47,123,286,600,15,30,60
2015-11-01,34,320,546,37,93,136,290,800,1067,17,0,494,1100,62,107,212,152,18,45,34,59,55,31,24,21,79,0,23,36,0,110,149,56,85,38,57,150,110,34,123,300,675,52,17,54
2015-12-01,42,360,582,40,113,126,358,972,1117,16,0,500,1129,136,124,256,165,43,49,35,78,76,32,11,33,109,10,15,32,0,119,146,50,85,49,57,113,119,42,78,329,725,25,32,54
2016-01-01,45,340,600,43,102,134,261,1143,1400,17,0,527,1100,106,191,278,168,30,73,26,90,62,23,26,30,120,0,15,30,0,77,158,83,115,36,40,75,77,45,100,315,850,23,40,47
2016-02-01,23,350,501,31,89,177,290,943,1184,26,0,534,1158,127,168,373,125,63,53,33,112,48,59,23,53,79,10,15,16,0,129,107,53,110,36,53,100,129,23,119,286,713,34,20,27
2016-03-01,25,270,573,40,104,177,311,1158,1400,12,0,407,1043,142,194,295,136,72,74,34,81,62,55,28,23,78,9,12,15,0,86,161,65,90,57,83,125,86,25,89,343,625,34,42,60
2016-04-01,32,290,564,46,109,103,275,1158,1167,16,0,400,1029,233,191,234,119,104,61,32,62,88,19,29,148,102,10,286,24,0,96,213,33,135,49,53,125,96,32,123,343,788,26,22,667
2016-05-01,46,300,546,40,104,85,254,1343,1200,28,0,434,1015,203,214,178,109,69,68,49,63,63,12,28,46,71,9,46,9,0,65,200,42,115,69,96,88,65,46,126,343,663,31,49,187
2016-06-01,32,360,564,34,102,134,297,1372,1484,19,0,467,1058,295,200,228,176,84,99,48,64,64,25,16,52,45,10,38,19,0,83,188,24,160,40,83,175,83,32,100,358,888,24,22,134
2016-07-01,38,340,546,76,89,170,268,1429,1651,13,136,520,1158,180,214,406,136,104,87,51,59,69,29,22,36,81,19,49,22,345,102,216,30,80,79,61,138,102,38,138,429,850,38,29,134
2016-08-01,32,340,610,67,88,129,329,1258,1400,0,41,560,1172,206,233,312,117,64,76,35,71,68,33,19,39,82,9,23,14,104,133,222,50,130,61,83,113,133,32,112,400,763,22,38,94
2016-09-01,35,320,582,19,103,126,265,1172,1067,9,10,520,1100,168,180,245,122,63,50,56,67,95,41,25,126,48,0,29,23,28,150,225,42,145,44,87,175,150,35,141,286,625,41,34,80
2016-10-01,53,280,546,37,80,134,279,1129,1367,18,0,474,1115,218,168,195,114,57,62,41,81,51,38,33,42,48,9,35,15,18,116,204,45,125,50,74,150,116,53,108,415,650,15,36,100
2016-11-01,57,320,519,28,72,162,265,1143,1517,18,10,494,1229,230,221,389,119,49,81,39,100,56,24,30,61,45,14,12,24,7,118,225,39,180,61,57,150,118,57,123,400,713,27,45,87
2016-12-01,72,290,528,37,78,183,308,1286,1584,24,0,480,1229,186,182,406,87,70,75,30,76,65,39,18,36,58,9,46,13,18,86,304,21,240,33,74,125,86,72,86,429,688,21,48,94
2017-01-01,42,270,710,55,107,157,329,1343,1667,17,13,460,1115,133,207,395,214,35,85,23,68,65,23,20,25,66,14,29,17,7,113,246,42,180,91,100,163,113,42,112,443,800,11,34,67
