date,private instagram posts,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on instagram,encrypted phone calls,best private messaging app,google hangouts privacy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,twitter privacy policy
2013-03-01,8,0,44,420,15,24,47,63,500,105,426,537,11,0,430,152,327,5,35,64,0,118,507,14,9,0,5,0,6,9,0,0,14,40,0,46,0,300,61,0,659,17,46
2013-04-01,9,0,31,354,19,28,68,69,480,150,525,464,6,0,490,135,348,5,28,71,0,154,227,12,12,0,5,9,11,9,5,0,14,28,0,53,5,308,73,5,575,25,53
2013-05-01,9,0,29,434,24,29,44,55,507,130,550,537,9,0,500,182,364,6,39,70,0,140,194,9,9,5,14,5,6,18,0,4,15,32,0,27,0,286,71,5,467,18,27
2013-06-01,8,0,33,527,23,36,62,82,494,180,625,610,23,0,470,161,422,12,51,52,0,113,187,14,31,9,8,12,12,25,0,0,7,12,0,25,0,329,73,0,451,17,25
2013-07-01,15,0,38,620,27,24,49,82,587,215,650,573,7,0,500,189,416,11,35,71,0,171,514,8,24,7,18,5,7,41,0,5,16,16,0,20,0,300,98,9,451,26,20
2013-08-01,35,0,41,520,26,24,57,94,667,175,625,528,4,0,470,182,395,11,51,70,0,179,267,7,14,5,9,4,5,36,0,5,14,24,0,21,5,715,81,5,417,23,21
2013-09-01,27,0,37,500,15,29,62,68,467,180,600,501,13,0,470,187,385,12,52,69,4,147,200,4,16,4,11,9,9,35,0,0,7,32,0,32,4,315,71,12,517,15,32
2013-10-01,37,30,24,434,11,24,41,82,394,185,642,510,8,0,430,163,411,20,41,64,4,79,187,10,18,6,4,11,14,34,4,4,18,36,0,34,0,422,56,5,575,20,34
2013-11-01,30,37,26,467,17,33,50,81,394,165,609,482,10,0,420,177,427,21,36,48,0,135,374,4,17,4,18,8,10,37,8,4,10,20,0,36,8,422,57,6,509,18,36
2013-12-01,39,33,40,474,27,23,54,76,427,230,734,510,6,0,440,170,474,13,56,56,4,152,480,20,19,4,10,9,13,34,0,0,16,76,0,30,4,286,76,8,484,21,30
2014-01-01,39,19,35,560,24,33,60,84,440,365,750,619,5,0,430,233,453,23,40,69,4,157,187,5,15,4,8,11,8,37,4,0,15,48,0,33,4,379,89,6,501,16,33
2014-02-01,44,22,31,480,20,16,55,84,400,230,700,655,9,0,430,173,427,20,47,82,7,105,147,9,22,4,10,11,9,29,4,7,9,24,0,41,0,350,73,5,509,22,41
2014-03-01,56,30,28,607,16,21,54,69,454,295,717,628,9,0,430,214,422,13,50,68,4,115,160,10,28,10,9,12,7,34,4,4,10,248,0,37,0,343,76,6,484,21,37
2014-04-01,72,35,23,667,22,19,64,73,440,230,717,582,6,0,420,175,453,18,53,59,0,171,407,14,19,10,20,16,14,42,4,8,12,36,0,50,0,343,69,5,534,12,50
2014-05-01,42,29,22,454,29,31,34,83,394,385,675,564,6,0,380,163,411,60,27,59,7,171,400,14,19,0,11,14,8,38,4,10,11,24,0,29,0,322,68,15,501,24,29
2014-06-01,45,23,35,400,17,27,62,68,394,315,667,646,18,0,420,166,385,36,45,90,7,135,180,4,14,5,12,8,7,36,4,5,13,36,0,29,9,315,86,12,476,33,29
2014-07-01,71,46,38,420,21,19,92,74,480,320,826,701,9,0,410,177,495,15,38,61,9,176,160,16,12,15,12,19,9,50,0,4,7,16,0,22,4,279,81,11,442,31,22
2014-08-01,40,32,19,534,22,22,77,87,474,230,742,637,7,0,1000,212,511,12,61,57,7,188,194,9,15,16,13,9,7,35,4,9,9,24,0,28,4,308,75,14,484,53,28
2014-09-01,49,41,21,500,37,28,61,95,360,250,675,600,7,0,700,226,485,23,38,41,4,166,200,13,17,9,13,6,8,50,0,4,6,36,0,42,21,308,59,32,559,31,42
2014-10-01,71,35,39,467,19,27,72,106,340,340,700,655,6,0,530,194,448,16,50,57,8,144,160,5,9,16,10,9,16,51,0,4,7,20,0,35,6,379,62,12,550,27,35
2014-11-01,69,29,33,440,17,37,71,65,360,280,634,610,7,0,480,189,422,28,40,58,10,159,140,6,18,6,12,10,14,47,4,6,8,36,0,39,19,365,73,145,575,15,39
2014-12-01,57,38,29,447,30,22,60,88,380,355,692,691,6,0,470,170,495,29,59,53,8,203,174,6,7,8,16,5,5,37,4,5,4,40,0,27,8,315,56,50,476,26,27
2015-01-01,65,32,28,427,23,41,71,96,380,500,659,728,6,0,470,163,490,92,56,49,6,176,134,8,20,13,18,9,11,34,0,0,4,32,0,39,8,343,37,22,550,20,39
2015-02-01,76,33,19,354,15,18,51,83,287,350,617,637,10,0,470,187,443,43,55,45,8,166,147,8,18,19,11,15,10,46,0,4,7,28,0,39,8,343,28,38,567,18,39
2015-03-01,49,46,11,360,20,34,54,97,347,370,617,573,9,0,380,180,411,24,36,51,15,147,160,11,18,10,15,16,10,55,4,6,8,40,0,46,9,365,31,24,592,31,46
2015-04-01,41,49,14,347,27,31,51,92,307,305,617,591,9,0,380,191,395,31,62,56,10,161,220,6,24,8,13,18,8,49,4,4,8,28,0,42,13,343,28,35,559,22,42
2015-05-01,51,49,10,327,23,29,43,75,380,280,634,637,15,0,360,163,395,19,60,56,14,169,474,11,8,6,11,9,0,50,0,9,6,32,0,44,19,279,43,48,575,18,44
2015-06-01,54,36,17,340,19,32,56,81,400,300,675,910,9,0,360,180,406,27,43,64,11,179,300,18,9,9,15,14,8,43,0,4,10,20,0,38,28,372,34,90,542,22,38
2015-07-01,46,79,15,334,27,36,65,74,354,365,659,691,4,0,370,200,495,59,40,63,19,181,200,11,14,6,10,11,9,36,4,6,4,20,0,30,29,286,32,79,509,16,30
2015-08-01,47,30,9,367,35,34,97,82,367,435,767,600,15,0,420,212,527,27,64,39,20,149,247,12,19,12,10,6,6,45,0,4,4,20,0,35,6,336,26,25,600,16,35
2015-09-01,54,50,16,327,20,31,62,99,274,360,684,619,7,0,380,170,443,57,68,45,17,186,494,11,22,9,7,6,10,32,4,5,9,36,4,40,17,358,23,54,584,22,40
2015-10-01,46,39,23,347,29,26,62,69,254,275,667,691,6,0,360,189,427,24,51,44,15,161,407,5,21,20,8,8,9,34,0,9,7,32,0,43,13,322,23,38,575,13,43
2015-11-01,60,31,9,427,25,37,48,83,254,265,675,691,5,0,350,166,416,21,47,63,12,159,160,11,20,13,11,13,14,28,0,7,8,40,0,38,12,343,13,32,559,18,38
2015-12-01,41,39,13,340,27,34,48,112,327,345,667,610,7,0,400,161,416,36,42,60,13,186,160,13,25,13,8,13,14,45,4,5,7,24,0,34,9,315,27,32,534,17,34
2016-01-01,57,48,13,374,28,36,51,91,340,365,792,591,7,0,390,200,395,42,63,47,15,186,247,7,23,11,11,12,8,39,0,7,10,36,0,27,8,322,26,44,550,14,27
2016-02-01,39,39,13,367,22,28,50,106,294,345,659,464,7,0,370,194,395,35,58,43,11,198,447,13,22,9,17,10,24,26,3,5,5,52,0,33,7,379,19,37,559,14,33
2016-03-01,55,50,12,360,24,28,46,100,300,375,642,591,4,0,330,154,369,63,63,39,20,169,380,11,20,21,19,7,7,30,3,5,7,48,0,24,10,329,23,34,600,18,24
2016-04-01,69,65,15,314,21,36,31,100,267,370,650,619,11,0,360,166,374,82,73,44,28,196,174,8,26,4,12,57,7,23,0,95,4,40,0,34,12,329,8,44,617,14,34
2016-05-01,77,64,10,287,33,31,38,90,267,440,675,600,8,0,340,152,337,70,63,46,18,181,147,15,23,17,3,15,5,23,3,17,6,32,0,30,13,365,13,54,575,21,30
2016-06-01,72,50,13,280,28,27,41,96,300,455,650,600,7,0,400,189,385,96,64,62,28,230,320,20,31,13,9,19,3,21,3,18,3,60,0,30,14,322,15,44,534,21,30
2016-07-01,80,60,22,334,29,35,45,92,360,470,826,673,3,52,400,187,406,81,79,62,38,244,514,14,24,10,6,8,7,19,3,15,4,44,112,43,13,372,8,35,501,22,43
2016-08-01,62,63,17,320,34,33,42,114,327,425,792,637,3,15,390,184,406,69,80,47,34,213,254,11,27,16,13,16,13,20,0,3,7,36,39,34,13,365,13,45,501,21,34
2016-09-01,77,59,14,260,27,30,47,83,260,385,734,591,5,4,370,191,364,59,70,35,13,176,180,18,32,18,12,40,8,16,0,12,13,64,10,42,17,358,9,40,567,11,42
2016-10-01,77,59,18,234,22,26,57,94,274,345,725,510,9,0,350,166,390,67,65,50,19,176,200,22,17,9,10,19,14,15,3,10,4,44,6,36,18,372,15,47,592,12,36
2016-11-01,73,53,10,254,21,27,38,88,227,345,650,546,5,6,390,182,369,65,70,55,18,213,667,13,15,14,8,17,12,18,6,6,5,56,7,36,15,329,11,50,517,13,36
2016-12-01,95,57,9,287,22,24,55,90,294,430,834,582,5,3,380,159,385,46,71,31,25,220,247,5,23,13,15,23,3,24,6,8,3,36,9,29,30,315,8,92,517,20,29
2017-01-01,100,77,14,320,34,44,58,115,294,470,800,691,4,0,450,170,364,56,78,62,17,196,220,12,29,13,10,17,9,21,6,7,6,60,6,31,18,379,14,66,542,24,31
