date,privacy policy youtube,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,encrypted phone calls,best private messaging app,whatsapp security settings,can someone read my text messages from their phone,google hangouts privacy,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,privacy policy uber,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,how to encrypt emails,google hangouts encryption,Encrypt phone calls,how to encrypt whatsapp
2011-12-01,19,185,0,0,158,12,10,31,34,337,0,9,254,0,0,534,0,5,5,70,0,6,155,0,5,10,0,0,0,0,5,0,10,195,0,16,0,11,11,0,13,0,258,8,0,6,6
2012-01-01,67,146,0,4,120,19,16,62,37,322,0,14,274,4,0,501,0,4,9,58,0,8,205,0,0,9,0,0,0,0,19,0,28,320,0,28,0,6,56,0,19,0,255,13,0,13,0
2012-02-01,100,178,0,0,124,14,16,49,43,295,0,22,240,9,0,426,0,9,9,68,0,10,210,0,0,9,5,5,0,0,14,0,28,435,0,28,8,14,83,5,19,0,273,18,5,12,0
2012-03-01,96,216,0,9,153,20,10,48,36,279,0,14,247,4,0,417,0,20,5,48,0,11,210,0,0,12,4,4,0,9,20,0,32,395,0,42,0,20,76,0,44,0,225,13,0,10,4
2012-04-01,39,153,0,7,181,11,9,42,42,343,0,57,294,5,0,442,0,15,12,64,0,20,264,0,5,7,9,5,0,5,6,0,21,220,5,26,5,52,26,0,82,0,228,33,0,9,4
2012-05-01,26,144,0,4,181,8,11,50,42,348,8,66,280,0,0,375,0,11,9,51,0,33,255,0,4,13,0,8,4,0,9,0,27,205,4,30,5,21,13,0,113,0,261,13,0,6,4
2012-06-01,19,146,0,7,167,7,18,47,47,374,4,70,387,4,0,384,0,22,5,67,0,57,296,0,7,12,0,4,4,4,4,0,13,200,0,29,0,13,9,0,138,0,291,10,0,13,0
2012-07-01,19,153,0,9,210,12,19,54,43,400,8,66,374,9,0,350,0,17,12,42,0,70,282,0,13,15,0,0,0,0,7,0,16,185,4,35,0,16,14,0,225,0,291,17,0,7,6
2012-08-01,29,196,0,11,220,13,16,40,41,443,19,83,447,4,0,417,4,26,12,30,0,53,178,0,4,4,4,4,0,0,7,0,29,165,0,33,5,17,19,0,200,4,285,11,4,9,4
2012-09-01,16,201,0,72,181,7,8,38,54,327,12,87,414,4,0,375,4,17,7,40,0,60,155,0,8,8,6,4,0,0,8,0,28,200,0,45,5,11,17,0,219,4,258,13,0,7,10
2012-10-01,25,141,0,65,243,13,15,36,57,311,26,79,347,8,0,334,0,17,4,50,0,68,291,0,8,9,10,4,0,4,6,0,19,175,12,26,5,18,17,0,219,0,270,14,0,8,8
2012-11-01,23,150,0,39,205,6,14,30,38,353,86,70,380,5,0,417,0,32,12,48,0,57,373,4,4,7,6,4,0,0,8,0,23,205,4,45,6,18,14,4,225,18,304,12,4,4,4
2012-12-01,18,182,0,49,281,16,25,47,34,379,119,144,367,0,0,442,10,35,13,55,0,68,146,6,4,12,4,4,0,4,10,0,25,220,4,36,0,18,16,0,275,35,264,7,0,4,8
2013-01-01,18,210,0,50,291,9,12,35,45,385,82,153,507,5,0,442,7,19,44,63,0,106,96,9,9,6,14,0,0,4,5,0,27,215,4,76,0,14,13,0,319,32,264,12,4,7,4
2013-02-01,18,196,0,23,329,13,13,43,51,416,45,157,474,6,0,367,4,33,31,46,0,82,128,4,4,10,4,4,4,12,9,0,31,245,0,48,5,22,23,0,319,45,252,9,0,8,6
2013-03-01,27,196,0,41,300,12,21,29,46,379,89,118,407,9,0,325,7,22,68,46,0,110,373,5,6,12,6,3,0,3,8,0,26,220,5,60,0,9,13,0,363,52,249,16,0,12,6
2013-04-01,20,160,0,27,248,18,21,53,63,374,123,131,327,5,0,400,4,22,112,54,4,104,178,9,7,11,4,4,0,4,8,0,25,215,7,53,6,19,17,0,344,73,219,11,0,9,4
2013-05-01,20,153,0,32,320,10,15,45,37,364,93,140,380,6,0,384,5,37,67,47,0,93,155,17,5,14,3,5,0,7,6,0,14,205,3,53,4,14,20,0,300,125,234,9,0,7,6
2013-06-01,13,164,0,33,386,24,19,54,77,406,134,214,420,14,0,342,7,36,30,44,0,91,141,15,9,25,4,9,0,7,4,0,20,230,5,53,4,11,21,0,313,183,213,14,4,25,4
2013-07-01,17,205,0,32,458,21,15,36,60,443,156,200,380,10,0,350,14,25,55,51,0,128,369,8,9,23,7,0,0,9,14,0,25,235,12,70,4,23,21,0,382,125,249,24,3,12,8
2013-08-01,17,228,0,32,348,25,23,47,62,527,149,205,400,3,0,359,11,31,99,48,0,144,196,9,3,12,5,3,0,14,15,0,20,500,28,72,6,16,29,3,375,104,252,20,0,8,6
2013-09-01,43,198,0,28,362,12,16,47,55,353,123,153,374,10,0,350,10,32,86,46,0,111,164,7,7,11,3,5,0,3,7,0,21,245,20,61,8,12,14,3,319,132,222,16,3,12,6
2013-10-01,21,176,13,16,329,10,13,26,49,311,145,157,387,9,0,309,17,39,30,46,0,75,123,3,9,13,3,3,10,3,9,0,21,315,24,31,0,13,20,0,288,118,200,14,3,9,6
2013-11-01,20,157,26,16,353,19,21,25,50,316,138,122,327,9,0,317,12,25,44,38,0,113,251,5,8,13,3,3,3,17,5,0,27,300,24,44,4,10,28,5,294,135,152,15,7,7,4
2013-12-01,15,189,26,30,410,20,20,45,49,343,189,200,387,8,0,334,15,33,70,39,3,139,373,8,8,22,0,3,0,8,9,0,20,260,23,57,7,15,24,3,332,173,191,11,3,8,6
2014-01-01,25,189,24,30,415,12,24,40,56,358,275,187,447,3,0,367,14,39,125,53,3,126,141,3,6,15,0,6,3,10,12,0,15,310,36,56,8,17,15,3,338,211,234,10,11,12,4
2014-02-01,27,201,21,20,381,10,14,50,67,285,152,170,507,3,0,350,14,34,96,57,3,97,123,10,5,16,3,11,3,8,7,0,25,255,37,50,6,18,20,3,313,163,222,20,6,11,6
2014-03-01,23,185,24,22,477,10,17,42,52,322,193,200,460,4,0,342,8,38,62,48,3,95,137,5,6,20,7,8,0,13,9,0,32,245,44,56,8,12,20,3,319,176,191,18,6,6,6
2014-04-01,26,155,28,23,472,17,25,51,62,337,193,200,420,6,0,334,6,37,84,40,4,135,287,5,8,9,4,11,3,10,10,0,26,275,43,55,9,13,22,3,363,173,222,11,5,14,6
2014-05-01,17,155,38,21,329,23,18,25,61,300,282,187,414,3,0,309,45,22,96,42,7,135,287,6,11,7,3,9,3,6,6,0,26,265,36,49,14,20,14,3,344,142,222,22,5,10,6
2014-06-01,17,157,20,30,320,10,22,51,46,285,245,214,440,3,0,350,23,35,133,66,6,108,141,3,7,14,7,9,0,9,3,0,24,215,37,68,10,21,13,3,357,125,213,17,5,14,6
2014-07-01,16,150,28,31,377,16,17,73,65,385,223,261,534,7,0,325,13,22,152,48,7,137,137,7,9,16,5,17,3,4,7,0,11,200,53,46,5,22,16,3,438,183,213,17,3,10,12
2014-08-01,14,144,21,17,415,11,19,54,61,374,197,253,500,5,0,834,10,44,121,45,5,124,123,3,5,8,9,8,3,14,3,0,32,240,33,58,6,41,27,3,407,142,249,14,3,14,8
2014-09-01,18,153,31,15,348,29,16,53,65,279,197,183,447,7,0,542,14,29,81,47,5,108,128,5,4,12,13,7,0,10,7,0,31,245,44,54,15,24,20,0,344,138,179,14,5,17,10
2014-10-01,20,132,27,27,372,20,19,52,69,269,245,174,447,7,0,375,12,29,62,40,8,111,105,7,6,10,11,9,0,7,6,0,25,275,50,48,11,23,26,5,344,145,194,8,5,13,8
2014-11-01,22,144,23,22,300,14,31,52,65,279,223,218,467,8,0,375,17,26,88,41,5,119,110,10,8,12,10,7,3,10,6,0,30,265,48,53,104,24,18,8,382,176,225,25,7,9,8
2014-12-01,14,162,21,18,353,24,21,47,63,279,286,266,440,3,0,350,15,40,134,32,6,148,137,4,6,9,10,9,3,9,3,0,18,210,45,50,42,21,19,8,444,190,191,19,8,13,12
2015-01-01,26,157,34,23,315,14,33,50,55,332,371,283,587,3,0,350,75,32,125,44,11,122,105,12,6,19,7,7,0,11,4,0,32,255,52,38,19,28,20,9,463,345,228,18,6,12,10
2015-02-01,29,171,30,8,253,15,19,41,63,248,249,244,467,6,0,367,44,27,91,35,5,124,114,12,9,14,7,10,0,12,6,0,25,235,60,21,30,14,17,6,357,132,216,13,3,11,6
2015-03-01,24,176,39,10,258,14,27,51,66,279,297,261,427,9,0,309,19,35,65,54,10,110,110,12,7,13,9,14,3,9,8,0,26,270,39,19,24,18,22,6,375,80,197,11,9,16,13
2015-04-01,25,155,28,10,248,23,21,49,77,264,238,305,420,9,0,284,29,44,88,38,8,128,169,15,5,12,3,15,3,6,6,0,25,265,36,27,35,15,18,10,350,97,191,22,3,10,6
2015-05-01,27,164,38,11,253,14,22,36,72,253,189,244,467,7,0,275,19,40,125,45,14,122,346,16,11,14,5,6,0,16,6,0,25,210,48,28,44,11,19,10,382,90,170,15,4,10,12
2015-06-01,24,157,30,13,253,16,22,39,64,300,234,261,667,6,0,275,18,35,162,51,8,130,237,15,9,11,7,9,3,10,6,0,28,290,32,18,70,16,24,35,438,87,197,18,8,13,8
2015-07-01,17,157,65,11,272,21,31,56,77,279,300,374,540,6,0,309,42,47,80,59,13,142,132,12,7,8,10,9,3,9,3,0,26,250,37,24,49,14,19,15,450,97,179,16,12,15,10
2015-08-01,23,164,30,9,324,22,34,60,75,264,293,357,427,6,0,325,14,37,68,33,11,102,150,12,8,12,11,6,0,10,6,0,25,265,48,18,21,16,22,9,419,104,191,16,7,16,15
2015-09-01,37,150,35,7,281,17,18,53,71,227,245,296,434,3,0,300,34,46,92,44,19,133,369,15,9,20,6,7,3,11,7,3,33,265,36,14,41,23,20,10,382,90,176,22,7,15,13
2015-10-01,29,128,36,16,234,23,19,42,67,211,204,279,507,6,0,300,21,41,89,41,19,128,314,13,5,14,8,7,0,8,7,0,45,255,39,13,28,9,19,11,369,73,152,23,4,14,12
2015-11-01,25,150,33,6,277,23,34,43,67,190,204,287,527,4,0,284,17,32,57,44,7,122,132,15,11,17,12,9,0,13,8,0,30,255,41,19,23,14,18,10,394,66,155,15,6,14,15
2015-12-01,20,155,29,10,262,24,28,36,83,248,241,318,460,6,0,334,43,25,68,40,11,139,119,17,10,19,12,7,3,7,6,0,25,245,38,17,26,13,17,4,482,90,179,17,6,10,15
2016-01-01,22,173,32,6,277,20,25,36,68,264,278,387,474,5,0,292,32,49,78,40,9,157,205,12,7,21,9,11,0,9,9,0,30,245,45,20,31,10,20,13,488,76,191,17,9,13,10
2016-02-01,27,164,33,8,281,17,18,48,77,232,256,318,360,7,0,292,29,43,100,39,12,146,328,11,8,19,8,12,3,14,3,0,28,255,37,13,32,15,21,5,463,87,158,26,8,8,10
2016-03-01,31,155,40,8,267,17,27,41,78,237,260,353,434,5,0,251,45,41,73,39,16,133,291,18,8,23,9,8,5,13,6,0,23,265,48,12,24,11,22,3,488,94,173,17,8,10,17
2016-04-01,31,153,52,10,272,15,23,26,72,216,293,318,460,4,0,267,63,51,52,29,18,150,132,18,11,24,3,36,3,4,13,0,28,260,55,8,39,12,13,11,475,97,191,22,7,14,186
2016-05-01,24,150,53,9,200,24,22,33,67,232,338,314,407,6,0,251,46,54,50,30,24,108,110,19,9,15,10,7,5,5,5,0,20,250,47,9,33,16,16,10,475,100,155,23,7,10,49
2016-06-01,21,144,40,7,210,20,19,29,65,279,352,396,434,4,0,334,78,54,71,50,19,170,241,17,18,19,8,14,3,4,4,0,30,245,58,8,35,14,14,12,582,97,222,22,6,8,38
2016-07-01,28,135,47,13,224,19,26,39,81,306,326,435,474,3,29,292,47,60,121,47,29,173,360,24,10,13,6,8,3,8,6,90,28,275,63,5,28,19,18,8,619,114,231,23,11,9,32
2016-08-01,23,155,43,19,267,18,26,39,76,253,304,366,460,0,12,300,43,47,60,35,23,182,178,22,7,14,13,11,2,7,3,27,24,265,58,12,35,19,15,7,575,111,194,19,8,9,25
2016-09-01,37,153,40,7,215,21,18,36,75,195,289,287,440,2,5,300,53,60,67,31,16,135,123,20,9,19,11,28,0,9,7,8,40,275,63,9,28,7,22,7,525,83,170,12,17,10,26
2016-10-01,27,162,54,16,181,24,20,44,74,200,300,357,380,7,2,284,48,45,71,30,13,135,128,17,7,17,7,10,2,8,6,4,28,255,64,14,30,17,20,13,513,100,146,24,5,9,21
2016-11-01,35,139,43,12,205,17,24,39,70,185,282,396,407,3,2,300,60,53,94,46,19,175,455,22,13,14,14,13,5,8,7,2,27,230,57,9,47,10,19,13,538,97,179,26,8,20,25
2016-12-01,24,153,52,9,229,17,23,36,74,237,312,422,420,6,2,300,38,47,109,27,20,162,187,19,11,19,11,14,3,9,4,6,29,230,62,5,71,9,25,25,513,111,173,24,7,17,21
2017-01-01,27,189,55,10,248,24,27,43,75,227,334,405,480,2,4,367,35,60,105,50,15,137,169,18,10,20,11,9,3,4,4,3,37,265,64,9,49,23,21,19,625,114,219,24,4,10,26
