date,2016 base set booster box pokemon,2016 base set booster box reprint,base set booster box ebay,cachedview,fates collide booster pack,fates collide trainer box,how to share a private youtube video,how to share youtube videos on facebook,make youtube video private,pokemon base set reprint 2016,pokemon booster box opening legendary treasures,pokemon flashfire booster box opening,share private youtube video,unlisted meaning youtube,unlisted meaning,unlisted watches,unlisted youtube link,unlistedleaf address,unlistedleaf booster box,unlistedleaf fates collide,unlistedleaf pokemon go,unlistedleaf pokemon,unlistedleaf steam siege,unlistedleaf youtube,videopress,vimeo private video,watch private video youtube,what does private mean on youtube,what is an unlisted youtube video,youtube private channel,youtube private link,youtube private video downloader,youtube share button,youtube unlisted video,Row Total
3/1/12,0,0,2,0,0,0,4,61,26,0,0,0,11,2,3,38,5,0,0,0,0,0,0,0,23,25,11,2,2,73,11,8,20,26,353
4/1/12,0,0,2,0,0,0,5,53,29,0,0,0,14,2,3,49,5,0,0,0,0,0,0,0,29,31,16,3,3,60,10,15,21,35,385
5/1/12,0,0,4,0,0,0,3,44,28,0,0,0,12,2,2,45,3,0,0,0,0,0,0,0,26,34,18,4,2,64,12,9,15,33,360
6/1/12,0,0,4,0,0,0,8,40,28,0,0,0,16,2,6,50,3,0,0,0,0,0,0,0,29,30,13,5,2,62,11,7,19,32,367
7/1/12,0,0,4,0,0,0,2,45,25,0,0,0,18,2,4,52,3,0,0,0,0,0,0,0,32,23,26,3,2,61,5,5,16,30,358
8/1/12,0,0,4,0,0,0,8,43,29,0,0,0,19,2,3,49,3,0,0,0,0,0,0,0,28,27,19,5,2,71,13,6,18,36,385
9/1/12,0,0,2,0,0,0,5,35,28,0,0,0,19,2,4,58,4,0,0,0,0,0,0,0,25,31,18,4,2,73,9,6,18,31,374
10/1/12,0,0,2,0,0,0,9,29,32,0,0,0,23,2,5,50,3,0,0,0,0,0,0,0,23,33,16,3,2,61,16,7,15,31,362
11/1/12,0,0,3,0,0,0,11,21,31,0,0,0,25,1,4,65,5,0,0,0,0,0,0,0,25,34,15,4,3,63,11,5,19,36,381
12/1/12,0,0,3,0,0,0,13,20,31,0,0,0,26,1,3,100,2,0,0,0,0,0,0,0,31,32,16,4,2,68,20,9,13,38,432
1/1/13,0,0,3,0,0,0,9,26,37,0,0,0,24,1,3,55,3,0,0,0,0,0,0,0,32,28,21,5,1,82,12,7,19,36,404
2/1/13,0,0,2,0,0,0,10,27,39,0,0,0,27,2,2,48,4,0,0,0,0,0,0,0,24,35,28,4,2,77,12,11,19,44,417
3/1/13,0,0,1,0,0,0,11,20,37,0,0,0,30,2,4,46,2,0,0,0,0,0,0,0,25,34,14,4,3,79,16,7,18,36,389
4/1/13,0,0,1,0,0,0,7,21,35,0,0,0,23,1,4,43,2,0,0,0,0,0,0,0,19,41,22,4,3,76,17,6,15,32,372
5/1/13,0,0,1,0,0,0,10,31,39,0,0,0,24,1,6,48,2,0,0,0,0,0,0,0,21,34,19,7,1,64,13,10,15,30,376
6/1/13,0,0,2,0,0,0,8,26,32,0,0,0,28,1,3,59,2,0,0,0,0,0,0,0,18,35,33,6,2,67,12,5,16,32,387
7/1/13,0,0,2,0,0,0,4,23,34,0,0,0,20,1,4,63,4,0,0,0,0,1,0,1,17,39,32,8,2,81,13,8,25,36,418
8/1/13,0,0,1,0,0,0,9,24,29,0,0,0,29,4,9,38,1,0,0,0,0,0,0,0,15,42,23,7,3,100,15,6,20,40,415
9/1/13,0,0,1,0,0,0,9,26,25,0,1,0,27,3,5,45,1,0,0,0,0,0,0,0,19,35,22,7,1,82,19,8,23,33,392
10/1/13,0,0,4,0,0,0,7,26,24,0,2,0,22,4,6,37,3,0,0,0,0,0,0,0,22,40,23,5,3,72,15,10,24,36,385
11/1/13,0,0,3,0,0,0,8,26,31,0,4,0,22,3,7,46,3,0,0,0,0,0,0,0,19,37,27,7,4,65,20,8,32,56,428
12/1/13,0,0,3,0,0,0,10,13,40,0,4,0,23,5,9,83,4,0,0,0,0,0,0,0,25,36,25,5,5,85,18,10,24,64,491
1/1/14,0,0,3,0,0,0,9,18,29,0,2,0,21,2,5,55,3,0,1,0,0,0,0,3,24,36,25,5,4,76,15,9,26,48,419
2/1/14,0,0,1,0,0,0,9,23,45,0,1,1,21,3,8,48,4,0,2,0,0,1,0,3,25,40,28,6,3,80,18,10,23,52,455
3/1/14,0,0,1,0,0,0,6,17,49,0,3,1,20,5,8,42,5,0,2,0,0,2,0,3,20,37,25,9,7,74,22,9,20,70,457
4/1/14,0,0,1,0,0,0,16,9,47,0,4,2,29,11,16,38,6,0,2,0,0,2,0,3,18,41,20,13,6,70,24,7,19,86,490
5/1/14,0,0,1,0,0,0,13,9,57,0,3,2,31,14,19,46,7,0,3,0,0,7,0,1,21,42,21,9,3,60,16,9,16,83,493
6/1/14,0,0,3,0,0,0,8,10,53,0,4,9,18,8,12,39,6,0,2,0,0,6,0,4,16,39,27,10,2,59,15,10,15,83,458
7/1/14,0,0,4,0,0,0,11,16,46,0,1,3,30,9,18,42,6,0,2,0,0,7,0,2,20,44,23,11,5,64,19,10,22,75,490
8/1/14,0,0,2,0,0,0,10,15,38,0,4,4,29,5,15,43,5,0,3,0,0,10,0,4,13,40,23,11,8,66,21,12,18,90,489
9/1/14,0,0,1,0,0,0,8,10,35,0,3,4,35,6,7,30,7,0,4,0,0,5,0,2,22,38,26,9,6,59,24,14,23,83,461
10/1/14,0,0,2,0,0,0,13,13,34,0,2,4,36,6,12,45,8,0,2,0,0,8,0,3,15,35,17,11,7,58,22,11,21,75,460
11/1/14,0,0,3,0,0,0,10,15,32,0,3,3,30,6,11,39,9,1,6,0,0,14,0,3,16,45,24,8,3,67,20,14,18,78,478
12/1/14,0,0,1,0,0,0,16,17,35,0,3,3,35,9,12,93,7,2,4,0,0,15,0,4,10,43,24,8,4,69,18,15,16,75,538
1/1/15,0,0,2,2,0,0,10,16,46,0,2,2,26,6,12,52,5,2,4,0,0,16,0,3,23,36,27,8,8,63,16,10,16,79,492
2/1/15,0,0,1,1,0,0,17,12,45,0,2,2,40,7,12,42,7,1,3,0,0,13,0,3,26,34,25,7,6,70,25,15,16,82,514
3/1/15,0,0,1,2,0,0,11,11,42,0,3,2,34,6,10,36,4,1,6,0,0,21,0,5,16,38,26,10,6,73,18,14,17,79,492
4/1/15,0,0,3,4,0,0,15,20,48,0,1,4,43,6,8,32,4,1,2,0,0,15,0,7,20,44,21,16,6,64,21,12,21,83,521
5/1/15,0,0,2,4,0,0,17,13,49,0,5,2,35,4,12,44,4,1,4,0,0,19,0,10,15,40,25,7,7,76,21,10,14,90,530
6/1/15,0,0,1,2,0,0,15,10,45,0,2,3,42,6,15,42,4,1,5,0,0,17,0,6,13,45,27,11,5,61,27,10,13,80,508
7/1/15,0,0,1,5,0,0,9,10,34,0,4,1,35,6,13,23,5,2,4,0,0,13,0,9,24,35,20,10,6,63,25,7,19,76,459
8/1/15,0,0,1,4,0,0,12,9,37,0,1,1,31,6,12,42,6,1,6,0,0,12,0,7,16,31,21,8,7,69,19,9,17,88,473
9/1/15,0,0,1,5,0,0,13,16,40,0,1,1,33,8,15,28,6,1,3,0,1,18,0,5,14,41,24,11,6,55,23,8,15,85,477
10/1/15,0,0,3,5,0,0,13,14,39,0,1,1,33,9,19,30,8,1,4,0,1,15,0,6,12,43,23,11,7,59,23,11,17,79,487
11/1/15,0,0,2,2,0,0,17,12,49,0,2,3,36,7,15,33,5,2,8,0,1,26,0,8,21,36,18,9,7,61,24,11,20,85,520
12/1/15,0,0,2,3,0,0,14,11,44,1,1,1,42,14,19,68,10,1,5,0,1,26,0,8,28,35,19,11,8,63,21,14,14,102,586
1/1/16,1,0,1,8,0,0,14,12,53,1,1,2,30,8,14,45,9,1,6,0,1,27,0,5,19,38,20,9,4,74,25,9,13,83,533
2/1/16,1,0,1,5,1,0,10,16,38,1,1,1,30,8,23,30,11,2,9,0,1,38,0,9,20,47,21,9,12,51,23,10,15,104,548
3/1/16,1,0,3,3,1,4,12,14,39,1,2,1,38,5,18,25,9,2,6,0,2,39,0,10,15,47,21,9,8,69,22,12,15,99,552
4/1/16,1,0,1,8,3,7,11,11,50,1,1,1,36,10,21,24,11,1,8,1,1,29,0,9,12,43,23,10,7,64,26,12,18,96,557
5/1/16,1,0,2,9,17,40,17,13,41,1,2,2,33,7,19,33,8,2,7,4,2,38,0,11,11,50,25,9,9,60,24,9,15,118,639
6/1/16,1,0,1,7,9,23,13,10,35,1,1,2,30,7,19,33,8,3,10,2,2,41,1,14,13,37,25,8,6,58,27,9,31,91,578
7/1/16,3,0,4,7,9,19,12,12,40,1,1,1,35,8,20,28,7,2,8,3,18,59,1,12,16,37,18,8,9,58,24,11,16,89,596
8/1/16,9,0,4,13,10,22,12,16,37,1,1,1,32,9,19,29,8,2,8,1,20,65,4,12,13,41,20,7,4,63,23,11,20,96,633
9/1/16,14,5,8,6,5,11,12,12,39,6,1,1,38,13,25,25,8,2,12,2,12,60,4,12,12,41,20,8,7,52,22,12,15,110,632
10/1/16,9,3,3,11,6,12,8,10,36,9,1,1,33,14,30,27,11,2,9,3,15,64,4,14,12,45,19,10,7,63,22,14,13,113,653
11/1/16,3,2,4,9,4,7,13,13,38,2,1,1,28,11,20,33,12,2,11,1,9,62,1,12,9,41,19,6,8,59,25,12,18,108,604
12/1/16,2,1,1,15,6,10,8,16,40,1,1,2,31,6,18,40,10,2,9,1,7,69,1,14,11,34,15,8,6,61,20,11,18,108,603
1/1/17,1,1,3,11,4,7,15,12,39,1,1,2,44,8,18,35,11,3,7,1,3,51,1,11,15,50,15,9,9,77,26,10,20,105,626
