date,facebook delete friends,Facebook how to unfriend,Facebook remove friend,facebook unfollow,facebook unfriend,how do I unfollow someone on Facebook,How to delete friend on Facebook,how to unfollow in Facebook,how to unfollow someone on facebook,how to unfriend in Facebook,how to unfriend someone on Facebook,remove someone from my facebook,unfollow facebook,Unfollow friend Facebook,Unfriending facebook,Total
4/1/13,32,19,14,20,61,1,6,1,3,4,4,1,20,1,5,192
5/1/13,28,18,11,20,56,0,5,1,2,4,3,1,20,1,4,174
6/1/13,26,19,13,18,54,0,5,1,1,3,3,1,18,1,4,167
7/1/13,26,19,12,20,56,1,4,1,1,3,9,1,20,1,4,178
8/1/13,26,17,10,20,56,1,5,1,3,3,5,1,20,1,4,173
9/1/13,24,17,10,17,51,0,5,1,2,3,3,1,17,0,4,155
10/1/13,22,17,10,16,50,0,5,1,1,4,3,1,16,1,4,151
11/1/13,21,15,9,15,45,0,4,1,1,3,6,1,15,0,4,140
12/1/13,20,16,9,27,46,1,4,1,2,3,8,1,27,2,4,171
1/1/14,22,16,9,29,55,1,5,1,3,3,4,1,29,2,5,185
2/1/14,19,15,8,31,47,1,4,1,2,3,3,1,31,2,4,172
3/1/14,21,15,10,32,51,1,4,1,2,3,3,1,32,2,4,182
4/1/14,21,16,10,30,57,1,4,1,2,4,7,1,30,2,5,191
5/1/14,22,18,9,31,48,1,4,1,2,3,8,1,31,2,5,186
6/1/14,21,17,10,29,49,1,5,1,3,3,3,1,29,2,5,179
7/1/14,22,18,9,34,53,1,4,1,4,3,3,1,34,2,5,194
8/1/14,23,17,10,33,53,1,5,1,3,3,3,1,33,3,5,194
9/1/14,19,18,8,29,50,1,4,1,2,3,3,1,29,2,4,174
10/1/14,18,16,8,28,50,1,4,1,1,3,3,1,28,2,4,168
11/1/14,17,15,7,26,48,1,3,1,2,3,2,1,26,2,4,158
12/1/14,19,16,8,28,46,1,4,1,3,3,3,1,28,2,5,168
1/1/15,18,16,8,29,49,1,4,1,3,3,3,1,29,3,4,172
2/1/15,17,15,7,25,45,0,4,1,2,3,2,1,25,2,3,152
3/1/15,16,16,7,24,44,1,4,1,2,3,3,1,24,1,4,151
4/1/15,16,16,8,24,44,1,4,1,2,3,4,1,24,2,5,155
5/1/15,16,16,6,26,49,0,3,1,3,3,8,1,26,2,5,165
6/1/15,17,17,7,29,50,1,4,1,3,3,6,1,29,2,5,175
7/1/15,18,17,8,30,55,1,3,1,2,2,4,1,30,2,6,180
8/1/15,17,18,7,26,52,1,4,1,2,3,4,1,26,2,5,169
9/1/15,16,17,8,23,47,0,3,1,2,3,8,1,23,2,5,159
10/1/15,15,15,8,26,43,0,3,1,2,3,6,1,26,2,5,156
11/1/15,15,13,7,27,42,0,4,1,1,2,3,1,27,2,5,150
12/1/15,15,15,8,23,44,0,4,1,2,3,3,1,23,2,5,149
1/1/16,16,15,7,25,45,1,4,1,1,3,5,1,25,2,5,156
2/1/16,16,14,7,21,43,0,3,1,3,3,8,1,21,2,5,148
3/1/16,15,15,7,22,41,0,4,1,2,3,6,1,22,2,4,145
4/1/16,15,13,7,21,40,0,3,1,1,3,3,1,21,1,5,135
5/1/16,16,17,7,21,43,1,4,1,1,3,3,1,21,2,4,145
6/1/16,16,17,9,24,45,1,4,1,2,3,5,1,24,2,4,158
7/1/16,17,18,9,27,48,1,5,1,3,3,8,1,27,2,5,175
8/1/16,17,15,9,24,43,0,4,1,1,3,4,1,24,2,5,153
9/1/16,16,16,9,24,44,0,4,1,1,3,3,1,24,1,4,151
10/1/16,16,17,9,23,43,1,4,1,2,3,3,1,23,2,5,153
11/1/16,17,21,9,30,55,1,4,1,2,4,11,1,30,2,7,195
12/1/16,16,15,8,26,42,1,4,1,2,3,4,1,26,2,4,155
1/1/17,17,17,9,32,46,1,4,1,2,4,3,1,32,2,6,177
