date,android encryption app,android file encryption,android marshmallow encryption,best encrypted messaging app,best encryption app for android,decrypt sd card android,encrypt sd card,encrypt text messages android,encrypted message meaning,encrypted mobile phones,encrypted phone calls,how to decrypt android phone,how to encrypt iphone 6,how to encrypt your iphone,most secure messaging app 2016,should i encrypt my android phone,Row Total
8/1/14,250,198,0,12,35,39,328,24,11,12,43,52,12,24,0,24,1064
9/1/14,237,180,0,11,19,60,310,11,11,11,56,90,38,34,0,30,1098
10/1/14,320,126,0,11,46,50,300,11,16,18,43,72,39,43,0,32,1127
11/1/14,200,175,0,11,18,40,319,22,11,18,59,88,26,33,0,29,1049
12/1/14,247,154,0,22,21,54,282,18,16,11,32,105,29,25,0,29,1045
1/1/15,244,168,0,10,20,37,319,20,15,10,47,61,51,27,0,25,1054
2/1/15,250,175,0,17,33,44,328,10,11,29,62,40,40,25,0,15,1079
3/1/15,220,152,0,20,27,47,305,10,10,17,47,67,30,23,0,17,992
4/1/15,224,124,0,20,15,34,337,15,12,17,71,79,27,24,0,24,1023
5/1/15,204,124,0,30,15,63,287,15,15,17,40,60,23,33,0,15,941
6/1/15,204,154,0,15,30,46,278,10,10,20,37,74,27,27,0,25,957
7/1/15,217,138,0,20,23,27,287,10,20,30,40,64,20,27,0,27,950
8/1/15,210,168,10,26,26,46,314,10,15,10,56,50,20,30,0,17,1008
9/1/15,194,133,15,14,19,26,296,14,13,35,77,52,19,26,0,23,956
10/1/15,197,140,52,28,22,25,291,15,55,12,40,35,37,28,0,12,989
11/1/15,254,119,57,19,32,38,351,9,14,28,57,60,32,24,0,19,1113
12/1/15,277,124,49,38,53,22,369,13,24,19,64,58,45,38,0,10,1203
1/1/16,277,119,24,42,30,36,346,13,9,12,48,39,30,40,0,21,1086
2/1/16,334,163,118,9,12,39,455,13,24,30,63,58,51,39,0,72,1480
3/1/16,290,161,157,11,25,25,382,17,13,17,73,73,70,50,8,59,1431
4/1/16,237,163,88,38,38,41,405,26,38,35,85,59,41,13,9,35,1351
5/1/16,247,168,85,17,20,54,332,28,59,17,57,80,37,31,17,21,1270
6/1/16,220,175,88,35,17,52,360,9,38,17,76,70,38,32,13,13,1253
7/1/16,260,184,68,26,26,53,391,22,18,21,62,68,50,32,18,31,1330
8/1/16,254,233,55,26,22,55,414,11,23,22,66,49,32,29,17,23,1331
9/1/16,247,217,29,31,31,57,382,11,40,23,100,71,37,43,30,11,1360
10/1/16,187,147,46,32,22,76,414,12,62,16,41,46,35,57,8,16,1217
11/1/16,237,187,36,65,35,60,437,8,29,16,49,80,49,54,12,8,1362
12/1/16,270,166,44,11,16,60,405,12,35,20,68,66,45,87,16,16,1337
1/1/17,197,161,32,57,23,49,419,15,31,16,67,86,28,64,15,18,1278
