date,best social media monitoring tools,computer and network surveillance,detekt download,digimind social,digital stakeout,digitalstakeout,geofeedia pricing,government internet surveillance,government monitoring cell phones,government monitoring social media,government spying on citizens,government surveillance articles,government surveillance pros and cons,human rights and media,media sonar,nsa spying on citizens,role of media in reporting human rights violations in a responsible manner,role of media in reporting human rights violations,social listening platforms,social listening tools comparison,social media and human right violation,social media and human rights violation,social media and human rights violations,social media monitoring companies,social media monitoring definition,social media monitoring software,social media monitoring tools comparison,what role do the media have in reporting human rights violations
2014-11-01,63,20,3334,34,20,21,0,89,21,48,122,34,35,417,334,84,0,0,72,21,0,0,0,103,18,118,21,0
2014-12-01,47,20,434,20,20,41,0,75,20,20,85,47,48,300,339,67,0,0,68,19,0,0,0,54,90,88,27,0
2015-01-01,38,19,134,51,25,31,19,52,19,38,37,39,77,267,239,34,0,0,19,19,0,0,0,70,34,64,19,0
2015-02-01,47,20,100,34,41,31,28,109,24,41,90,48,56,300,284,134,0,0,48,31,0,0,0,109,18,88,19,0
2015-03-01,28,19,100,56,19,20,37,143,28,56,148,70,57,434,256,134,0,0,37,19,0,0,0,38,33,120,19,0
2015-04-01,51,19,67,44,38,20,19,146,33,49,143,64,84,400,289,134,0,0,51,19,0,19,0,63,34,115,28,0
2015-05-01,50,19,34,37,18,28,19,118,37,49,116,31,56,534,278,84,0,0,49,19,0,18,18,44,49,88,37,0
2015-06-01,57,19,67,44,48,25,18,46,19,38,43,19,26,300,212,67,0,0,32,29,0,18,18,76,42,115,38,0
2015-07-01,63,19,234,69,44,29,18,78,17,38,53,19,20,234,212,50,0,0,38,28,0,18,19,56,46,57,18,0
2015-08-01,56,23,100,27,18,37,18,75,17,37,37,37,47,350,273,117,0,0,31,18,19,18,19,68,49,118,18,0
2015-09-01,42,27,34,27,17,18,17,66,17,18,48,37,67,451,234,67,0,0,60,18,17,17,0,61,40,79,36,0
2015-10-01,46,26,34,63,17,17,17,118,17,17,95,47,24,367,234,67,0,0,52,17,17,17,0,63,15,93,17,0
2015-11-01,47,41,67,47,59,41,18,212,18,29,74,30,65,417,189,84,0,0,53,18,17,17,0,70,31,125,23,0
2015-12-01,49,42,67,27,18,18,21,92,18,30,64,36,90,384,234,100,0,0,36,18,17,17,0,54,40,91,18,0
2016-01-01,28,17,34,51,34,17,25,58,26,28,79,51,35,300,295,50,0,0,62,34,17,17,0,34,45,98,17,0
2016-02-01,33,17,34,39,34,17,25,135,17,56,58,92,79,400,245,50,0,0,73,17,23,16,0,50,60,103,17,0
2016-03-01,63,31,34,57,24,16,16,69,16,21,64,53,86,400,228,50,0,14,31,23,28,16,0,47,35,96,16,25
2016-04-01,55,16,34,60,24,17,16,109,16,25,32,55,83,784,206,67,125,314,66,24,33,16,16,88,36,159,24,350
2016-05-01,49,16,34,26,32,40,16,75,16,21,64,27,58,1667,284,67,345,667,74,24,0,16,24,40,56,118,31,834
2016-06-01,50,22,34,76,22,17,16,72,16,33,43,33,25,534,212,34,38,140,41,24,0,33,17,33,65,57,16,34
2016-07-01,61,16,34,44,33,17,16,23,17,22,11,17,22,234,267,34,14,47,27,17,0,32,17,66,51,79,16,34
2016-08-01,55,16,0,81,59,22,16,38,32,16,11,22,17,334,228,84,14,14,65,32,0,32,16,38,36,147,16,17
2016-09-01,32,96,0,43,16,27,16,49,16,32,79,48,65,317,195,84,14,14,59,32,0,32,16,42,35,108,16,17
2016-10-01,66,71,34,56,61,25,25,103,15,38,111,41,81,334,278,50,0,14,56,15,0,15,15,41,27,113,20,17
2016-11-01,51,31,34,41,41,46,15,180,15,20,95,51,118,567,245,34,0,14,54,15,118,92,66,67,48,144,15,0
2016-12-01,66,30,34,15,31,31,0,92,15,31,85,46,52,334,195,50,0,14,20,15,36,23,41,52,27,66,15,0
2017-01-01,30,14,34,48,43,15,0,92,0,22,122,24,68,317,256,50,0,14,44,15,15,14,14,48,19,118,29,0
