date,how to delete twitter,search without history,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel,delete account instagram,how to delete gmail,how to unfollow someone on snapchat,most private browser,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,how to delete a twitter account,how to delete snapchat,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,how to unfriend someone on facebook,private twitter account,best anonymous browser,how to browse anonymously,delete hangout history
2013-02-01,81,1,1,0,0,11,1,25,2,5,75,95,0,0,4,94,0,13,10,0,0,6,9,5,0,0,3,8,0,1,0
2013-03-01,79,1,2,0,0,10,2,27,3,5,48,100,0,0,4,91,0,9,14,0,0,8,9,3,0,0,10,7,0,1,0
2013-04-01,73,1,3,0,0,9,3,30,2,5,44,98,0,0,4,93,0,9,22,0,0,8,9,3,0,0,4,6,1,1,0
2013-05-01,68,1,2,0,0,9,1,23,3,5,53,103,0,0,4,93,0,11,27,0,0,8,11,4,0,0,4,8,1,1,0
2013-06-01,76,2,4,0,0,9,1,23,3,5,75,109,0,0,4,95,2,11,35,0,0,8,11,6,0,1,4,9,0,1,1
2013-07-01,86,1,4,0,0,11,1,29,3,5,55,112,0,0,4,102,0,11,33,0,0,8,12,4,0,0,9,11,1,1,1
2013-08-01,84,2,3,0,0,12,2,29,4,7,53,116,0,2,4,105,0,10,31,2,0,8,13,5,0,0,5,9,1,1,1
2013-09-01,73,1,3,0,0,10,2,21,3,5,48,115,0,0,4,92,0,10,27,0,0,8,11,4,0,0,4,9,1,1,0
2013-10-01,69,1,4,0,0,7,1,22,3,5,53,113,0,0,4,85,0,9,62,0,0,8,12,4,0,0,3,8,0,1,1
2013-11-01,67,1,3,1,0,8,1,23,3,5,44,109,0,0,3,86,0,9,54,0,0,10,12,3,0,0,7,9,1,1,0
2013-12-01,76,1,5,1,0,9,2,29,3,5,42,127,0,0,4,91,0,11,66,0,0,10,15,5,0,0,9,10,1,1,1
2014-01-01,85,2,7,1,0,9,3,24,4,5,59,139,0,0,4,94,0,12,91,2,0,10,14,5,0,0,4,10,1,1,1
2014-02-01,80,1,4,1,0,8,2,20,3,5,69,129,0,0,3,85,0,12,66,0,0,8,12,4,0,0,3,10,0,1,1
2014-03-01,82,1,5,0,0,9,2,19,4,5,61,127,0,0,3,89,0,11,70,0,0,8,14,5,0,1,4,12,0,1,1
2014-04-01,76,1,5,1,0,8,2,24,3,5,55,130,0,0,3,86,0,11,75,0,0,8,14,5,0,0,7,12,1,1,1
2014-05-01,76,1,7,1,0,7,3,25,3,5,55,122,0,2,3,84,0,10,193,0,0,8,14,5,1,0,8,9,1,1,1
2014-06-01,79,1,6,1,0,8,3,22,3,5,86,129,0,0,4,87,0,12,100,2,0,8,13,5,1,0,4,8,1,1,1
2014-07-01,84,1,6,1,0,10,4,23,4,5,88,131,0,0,3,98,0,14,85,0,0,10,14,7,0,0,3,9,1,2,1
2014-08-01,88,2,4,1,0,10,3,25,4,5,71,140,0,2,4,104,0,12,79,2,0,10,15,5,0,0,3,10,1,1,1
2014-09-01,76,2,5,1,0,7,2,25,4,5,50,139,0,2,3,93,0,11,81,0,0,10,13,4,0,0,3,9,1,1,1
2014-10-01,74,2,6,1,0,7,2,22,4,5,55,131,0,0,3,90,0,12,85,0,0,10,13,5,0,0,3,9,0,1,1
2014-11-01,78,1,6,1,0,7,2,23,4,5,71,127,0,0,3,91,0,12,93,0,0,10,13,4,1,0,3,8,1,1,1
2014-12-01,83,1,7,1,0,7,3,23,4,5,84,122,0,2,3,98,0,12,106,2,0,10,12,7,1,0,3,9,1,1,1
2015-01-01,89,2,10,1,0,8,3,24,3,5,86,120,0,0,3,94,0,15,125,0,0,10,12,8,2,0,3,8,1,1,1
2015-02-01,82,2,6,1,0,6,2,24,4,5,73,117,0,0,3,86,0,12,110,0,0,10,12,6,1,0,3,6,1,1,1
2015-03-01,85,2,7,1,0,6,2,23,4,5,71,119,0,2,3,84,0,11,95,0,0,8,12,6,0,0,3,6,1,1,1
2015-04-01,86,2,6,1,0,7,2,27,3,5,80,119,0,0,3,84,0,12,99,0,0,8,11,9,1,0,4,6,1,1,1
2015-05-01,83,2,4,1,0,7,3,22,3,5,86,119,0,0,3,85,0,11,102,0,0,8,12,7,0,0,9,6,0,1,1
2015-06-01,89,2,6,1,0,7,4,20,4,5,92,123,0,0,3,90,0,17,112,0,0,8,14,6,0,0,6,7,1,1,1
2015-07-01,100,2,7,2,0,7,2,26,4,5,115,129,0,0,4,93,0,13,124,2,0,10,13,10,1,0,4,7,1,1,1
2015-08-01,99,2,8,1,0,7,1,28,4,5,130,136,0,0,3,93,0,11,99,2,0,10,14,10,0,0,4,7,1,1,1
2015-09-01,84,2,7,1,0,5,2,24,4,5,128,127,0,0,3,83,0,11,93,2,0,8,13,8,1,0,9,7,1,1,1
2015-10-01,79,2,5,1,0,6,2,18,3,5,111,119,0,0,3,79,0,13,81,2,0,8,12,7,0,0,7,6,1,1,0
2015-11-01,80,2,5,1,0,4,1,19,3,5,107,116,0,2,3,77,0,13,79,0,0,8,12,7,1,0,3,7,1,1,1
2015-12-01,83,2,6,1,0,7,1,21,4,5,117,126,0,2,3,88,0,12,85,0,0,8,12,8,1,0,3,7,1,1,1
2016-01-01,90,2,6,1,0,7,2,26,3,5,138,131,0,0,3,88,0,12,93,2,0,8,14,9,1,0,4,7,1,1,1
2016-02-01,78,2,6,1,0,5,2,24,3,5,157,122,0,2,3,77,0,9,89,2,0,8,14,8,1,0,8,7,1,1,1
2016-03-01,77,2,6,1,1,6,2,20,3,5,136,120,0,0,3,72,0,11,102,2,0,8,12,9,1,0,7,8,1,1,1
2016-04-01,73,2,8,1,0,6,1,21,3,5,128,117,0,0,3,73,0,12,108,2,2,8,13,8,1,1,3,7,1,1,1
2016-05-01,78,2,9,1,0,6,1,21,3,5,140,122,0,0,3,75,0,11,112,2,0,8,12,8,2,0,3,5,1,1,0
2016-06-01,88,2,8,1,0,6,2,29,3,5,192,130,0,2,3,79,2,11,122,2,0,8,13,10,2,0,6,5,1,1,0
2016-07-01,92,2,8,1,0,6,3,30,3,5,205,139,2,0,3,81,0,12,137,2,0,8,16,11,1,0,10,6,1,1,0
2016-08-01,88,2,7,1,0,6,2,23,3,5,155,137,0,0,3,81,2,13,122,2,0,8,16,10,1,1,5,6,1,1,0
2016-09-01,80,2,6,1,0,5,1,23,3,5,150,136,0,0,3,77,0,11,106,2,0,6,14,7,1,1,3,5,1,1,0
2016-10-01,75,2,7,1,0,5,1,24,3,5,182,129,0,0,3,73,0,11,112,2,0,8,14,9,1,0,4,4,1,1,0
2016-11-01,78,2,7,1,0,5,2,28,3,5,209,131,0,2,3,75,2,10,104,2,0,8,14,10,1,0,12,5,1,1,0
2016-12-01,79,2,8,1,0,6,3,24,3,5,192,137,0,0,3,83,0,11,125,2,0,8,15,11,1,0,5,5,1,1,0
2017-01-01,91,2,8,1,0,6,3,25,3,5,194,141,0,2,3,83,0,13,125,2,0,8,15,11,1,0,4,6,1,1,0
