date,how to encrypt whatsapp messages,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,can someone read my text messages from their phone,how to protect against phishing,how to unfriend someone on instagram,how to delete a twitter account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2012-08-01,5,48,5,14,0,12,495,18,0,8,8,593,111,0,11,17,5,48,4
2012-09-01,5,57,9,22,0,12,395,12,0,8,8,547,95,0,11,12,5,38,4
2012-10-01,0,48,9,22,0,12,312,18,0,16,8,431,79,0,16,17,5,53,4
2012-11-01,0,44,5,114,0,6,371,18,0,8,8,431,95,0,11,18,5,42,4
2012-12-01,0,53,9,105,0,6,412,12,0,16,8,447,137,6,22,18,5,52,5
2013-01-01,0,66,9,83,0,6,495,42,0,8,8,624,195,6,11,18,15,43,8
2013-02-01,0,57,9,57,0,6,471,48,8,8,8,608,190,6,11,18,5,41,6
2013-03-01,0,53,9,87,0,6,459,89,0,8,8,462,158,6,11,22,8,33,7
2013-04-01,0,66,9,122,0,6,424,148,0,8,8,431,169,6,11,30,4,62,8
2013-05-01,0,40,5,122,0,12,436,77,0,8,8,439,190,6,16,21,4,48,19
2013-06-01,4,70,14,170,0,12,477,48,0,8,8,524,269,16,27,21,6,48,34
2013-07-01,4,70,9,192,0,12,536,65,0,8,16,470,190,11,16,27,10,61,39
2013-08-01,4,87,9,170,0,12,589,130,8,8,8,470,227,11,16,27,4,57,35
2013-09-01,4,70,9,135,0,6,395,106,8,16,8,462,179,27,22,16,4,44,25
2013-10-01,4,61,9,140,22,6,359,30,8,16,8,462,158,22,22,24,4,37,42
2013-11-01,4,70,18,157,22,12,359,65,8,8,0,416,132,11,11,22,6,37,32
2013-12-01,4,66,9,214,31,12,406,100,0,8,16,431,222,16,11,29,4,41,36
2014-01-01,4,74,5,318,31,12,448,130,0,8,8,585,227,22,16,19,4,52,35
2014-02-01,4,66,5,170,27,12,383,112,8,8,8,631,195,11,16,26,6,42,40
2014-03-01,4,74,5,231,22,24,418,77,0,8,8,508,237,11,16,18,9,50,31
2014-04-01,6,70,5,218,27,12,353,100,0,16,8,508,237,11,11,19,5,52,32
2014-05-01,8,66,5,335,35,18,336,100,0,8,24,516,206,53,16,24,4,44,29
2014-06-01,8,61,5,305,31,12,330,159,8,8,8,508,258,16,32,20,5,63,31
2014-07-01,8,79,5,283,40,12,436,183,8,16,16,631,306,16,6,17,11,80,37
2014-08-01,8,79,5,209,27,12,459,130,0,8,8,562,274,11,11,29,8,60,34
2014-09-01,6,83,5,214,40,18,318,83,0,0,8,508,211,16,11,29,10,44,55
2014-10-01,4,92,14,266,35,12,336,71,0,16,8,539,195,16,16,23,8,52,49
2014-11-01,4,66,5,287,27,6,312,118,0,8,8,539,269,22,11,39,14,53,40
2014-12-01,6,70,9,318,31,6,312,148,0,8,16,577,306,16,11,25,11,56,36
2015-01-01,3,70,5,435,40,18,377,148,0,8,0,677,353,85,27,32,10,74,38
2015-02-01,3,74,5,261,35,12,277,100,0,8,8,585,300,48,22,21,14,34,37
2015-03-01,3,79,9,314,31,12,336,71,0,8,8,524,290,16,11,25,10,41,34
2015-04-01,3,83,5,283,44,6,300,83,0,8,8,516,337,32,16,24,5,49,43
2015-05-01,3,74,9,240,53,18,324,124,0,8,16,600,279,16,16,23,7,35,37
2015-06-01,5,79,5,261,40,6,324,189,0,8,16,770,306,16,11,30,14,52,45
2015-07-01,3,74,5,340,74,12,289,95,0,8,16,624,458,37,11,26,10,53,42
2015-08-01,3,70,9,357,31,12,324,89,0,8,8,539,443,22,11,42,13,71,42
2015-09-01,3,83,5,287,31,18,259,124,0,8,16,554,332,43,22,17,13,63,40
2015-10-01,6,66,5,227,27,12,236,100,0,8,8,608,358,27,16,30,12,54,23
2015-11-01,7,74,5,240,40,12,218,83,0,8,8,624,322,27,27,39,11,27,33
2015-12-01,5,96,9,283,31,6,289,77,0,8,8,600,358,37,22,29,13,37,40
2016-01-01,3,70,9,309,40,12,324,83,0,8,8,562,427,32,16,28,15,49,41
2016-02-01,3,100,9,283,35,12,277,130,0,16,16,424,379,32,16,25,8,48,25
2016-03-01,6,87,5,314,53,12,277,83,8,8,8,524,406,48,22,32,6,44,17
2016-04-01,100,87,9,348,53,6,253,71,0,8,8,554,364,79,22,27,4,37,23
2016-05-01,18,92,5,409,57,6,271,59,0,8,16,547,374,58,22,32,15,27,19
2016-06-01,21,96,5,366,57,6,271,83,8,0,16,524,458,100,22,33,16,37,14
2016-07-01,9,74,5,392,53,12,336,130,8,0,8,577,527,64,22,32,4,59,21
2016-08-01,7,100,5,348,48,6,265,77,0,8,16,570,427,58,22,28,16,45,20
2016-09-01,6,74,5,348,44,12,253,77,0,8,16,539,332,48,32,28,11,42,14
2016-10-01,8,70,9,300,61,12,242,65,8,16,8,454,406,58,16,21,9,48,9
2016-11-01,7,83,5,309,35,6,218,112,8,16,16,500,464,64,16,23,17,53,16
2016-12-01,10,83,5,366,66,12,265,118,0,0,8,493,511,37,27,30,8,50,21
2017-01-01,16,100,9,387,74,6,283,124,0,8,8,608,490,43,27,35,12,38,18
