date,how to delete a snapchat account,search without history,government monitoring social media,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2014-06-01,62,13,2,7,0,80,38,234,11,2,76,128,57,6,4,6,1,14,8
2014-07-01,61,15,1,8,0,105,42,238,6,0,97,157,68,4,4,6,3,18,10
2014-08-01,48,17,1,5,5,100,34,259,11,2,100,152,62,3,4,6,3,15,7
2014-09-01,43,16,2,8,5,67,21,263,7,0,99,130,45,4,3,7,2,10,10
2014-10-01,59,20,1,7,0,71,17,234,7,0,97,126,51,4,3,4,2,13,10
2014-11-01,64,15,2,6,0,71,21,246,9,2,94,135,52,6,3,7,1,11,11
2014-12-01,79,15,1,6,0,75,30,246,13,2,94,133,70,5,3,6,3,11,8
2015-01-01,100,19,1,7,5,84,34,259,9,0,95,126,79,18,5,8,2,14,9
2015-02-01,61,16,2,8,5,59,17,251,9,2,92,125,62,9,4,5,2,10,11
2015-03-01,73,17,2,10,0,67,17,251,9,0,82,121,67,5,4,6,2,11,8
2015-04-01,62,18,1,10,0,71,25,284,11,2,76,113,80,6,4,6,2,13,10
2015-05-01,42,19,2,10,5,71,34,234,9,2,80,125,63,5,5,4,1,9,8
2015-06-01,57,18,1,8,5,75,42,217,11,2,83,138,68,4,4,6,2,9,7
2015-07-01,77,16,2,16,5,71,17,275,13,0,107,137,107,13,3,5,2,13,7
2015-08-01,79,20,2,8,5,71,17,300,13,2,104,144,102,5,5,9,3,14,10
2015-09-01,66,21,1,7,5,55,21,255,14,2,87,140,80,13,5,6,2,13,8
2015-10-01,53,17,2,6,5,55,21,192,11,2,88,126,77,5,3,6,4,13,4
2015-11-01,57,19,1,7,5,50,17,196,11,2,82,121,71,7,4,7,1,9,7
2015-12-01,59,21,1,6,0,67,17,221,7,0,88,132,77,8,5,7,3,8,7
2016-01-01,67,19,1,7,0,75,21,271,14,0,85,147,92,7,5,6,2,10,9
2016-02-01,58,22,1,8,5,63,25,259,11,0,80,138,85,7,5,5,2,9,7
2016-03-01,70,18,1,9,5,59,21,213,13,2,73,128,96,11,5,5,1,8,6
2016-04-01,86,22,1,14,5,59,17,221,13,19,76,128,85,16,6,7,1,8,6
2016-05-01,85,17,1,11,0,63,13,221,14,2,71,126,86,15,4,6,3,8,5
2016-06-01,89,20,1,9,0,63,17,313,13,4,83,133,105,20,5,7,2,10,5
2016-07-01,89,19,1,13,5,71,34,313,16,4,82,173,113,15,5,7,2,10,4
2016-08-01,74,21,1,10,5,67,21,246,14,2,78,159,100,13,6,7,4,9,5
2016-09-01,67,19,1,11,0,50,17,238,14,2,68,142,71,11,7,6,3,9,3
2016-10-01,67,17,2,13,5,55,17,251,11,2,76,149,90,14,4,5,2,12,4
2016-11-01,68,18,1,10,5,46,25,292,14,2,83,138,104,14,4,6,4,10,4
2016-12-01,86,19,1,14,0,63,30,259,13,2,78,163,111,9,5,7,2,13,4
2017-01-01,78,21,1,14,0,59,30,271,16,2,83,152,107,9,6,7,3,12,4
