date,how to delete gmail,search without history,how to delete a snapchat account,who can see my snapchat story,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel,delete account instagram,how to delete facebook,how to unfollow someone on instagram,how to unfollow someone on snapchat,how to change facebook privacy settings,how to delete youtube,how to unfriend someone on snapchat,how to delete a twitter account,how to delete snapchat,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,how to unfriend someone on facebook,private twitter account,how to delete twitter,best anonymous browser,how to browse anonymously,delete hangout history
2012-11-01,58,1,2,0,6,0,23,2,3,23,343,0,0,3,62,0,7,7,0,0,5,6,1,0,7,4,51,0,1,0
2012-12-01,69,1,2,0,6,0,24,2,3,47,391,0,0,3,72,0,7,11,1,0,5,7,2,0,3,5,58,0,1,0
2013-01-01,67,1,1,0,7,1,20,2,3,51,372,0,0,3,67,0,9,9,0,0,5,7,3,0,2,5,62,0,1,0
2013-02-01,67,1,1,0,7,1,18,1,3,54,339,0,0,2,67,0,10,7,1,0,5,7,3,0,2,6,58,0,1,0
2013-03-01,71,1,1,0,7,1,19,2,3,35,324,0,0,3,64,0,7,10,0,0,5,6,2,0,7,5,56,0,1,0
2013-04-01,69,1,2,0,7,2,21,2,3,32,310,0,0,2,66,0,7,16,0,0,5,6,2,0,3,5,52,0,1,0
2013-05-01,73,1,2,0,6,1,16,2,3,38,291,0,0,3,66,0,7,20,0,0,5,7,3,0,3,6,48,1,1,0
2013-06-01,77,1,3,0,7,1,17,2,3,54,291,0,0,2,68,0,7,25,1,0,5,8,4,0,3,7,54,0,1,0
2013-07-01,79,1,3,0,8,1,21,2,3,39,296,5,0,3,72,0,7,24,1,0,6,9,3,0,6,8,61,0,1,1
2013-08-01,82,1,3,0,9,2,21,3,5,38,300,0,0,2,74,0,7,22,1,0,6,9,3,0,3,6,59,0,1,0
2013-09-01,81,1,2,0,7,2,15,2,3,35,277,0,0,2,65,0,7,20,0,0,5,8,3,0,3,7,52,0,1,0
2013-10-01,80,1,2,0,5,1,16,2,3,38,262,0,0,2,60,0,7,44,1,0,5,8,3,0,2,6,49,0,1,1
2013-11-01,77,1,2,0,6,1,16,2,3,32,258,0,0,2,61,0,6,39,1,0,7,9,2,0,5,6,48,0,0,0
2013-12-01,90,1,4,0,7,1,21,2,3,30,272,0,0,2,64,0,7,47,1,0,7,10,4,0,7,7,54,0,1,0
2014-01-01,98,1,5,0,6,2,17,3,3,42,286,0,0,2,67,0,9,65,1,0,6,10,3,0,3,7,60,0,1,1
2014-02-01,91,1,3,0,6,2,14,2,3,50,267,0,0,2,60,0,10,47,1,0,6,9,3,0,2,7,57,0,1,1
2014-03-01,90,1,3,0,6,1,14,3,3,44,258,0,0,2,63,0,9,50,1,0,6,10,3,0,3,8,58,0,1,0
2014-04-01,92,1,3,0,6,1,17,2,3,39,253,5,0,2,61,0,9,54,1,0,6,9,3,0,5,9,54,0,1,1
2014-05-01,86,1,5,1,5,2,18,2,3,39,258,0,0,2,59,0,7,137,0,0,5,9,3,1,6,7,54,0,1,1
2014-06-01,91,1,5,0,5,2,16,2,3,62,277,0,0,2,61,0,9,72,1,0,5,9,4,0,3,6,56,0,1,1
2014-07-01,93,1,4,1,7,3,16,3,3,63,281,5,0,2,69,0,10,61,0,0,7,11,4,0,2,7,60,0,1,1
2014-08-01,99,1,3,0,7,2,17,3,3,51,305,5,0,2,73,0,10,57,1,0,7,10,4,0,2,7,62,0,1,0
2014-09-01,98,1,3,0,5,2,18,3,3,36,267,0,0,2,66,0,9,58,1,0,7,9,3,0,2,6,54,1,1,1
2014-10-01,93,1,4,1,5,1,16,3,3,39,248,0,0,2,64,0,9,61,0,0,7,9,4,0,2,6,53,0,1,1
2014-11-01,90,1,4,0,5,2,17,3,3,51,243,0,0,1,64,0,9,66,1,0,6,9,4,0,2,6,56,0,1,1
2014-12-01,86,1,4,0,5,2,17,3,3,60,248,5,0,1,70,0,9,76,1,0,6,9,5,0,2,6,59,0,1,1
2015-01-01,85,1,7,0,6,2,17,2,3,62,262,0,0,2,67,0,11,90,1,0,6,9,6,1,2,6,63,1,1,1
2015-02-01,83,1,5,0,4,1,17,3,3,53,248,5,0,1,60,0,9,79,1,0,6,8,4,1,2,4,58,0,1,1
2015-03-01,84,1,5,1,5,1,17,3,3,51,239,0,0,2,59,0,9,68,1,0,6,8,4,0,2,4,60,0,1,1
2015-04-01,84,1,4,1,5,2,19,2,3,57,229,0,0,2,59,0,9,70,1,0,5,8,5,0,3,4,61,0,1,1
2015-05-01,84,1,3,1,5,2,16,2,3,62,239,0,0,2,60,0,9,73,1,0,5,9,4,0,6,5,59,0,1,1
2015-06-01,87,1,4,0,5,3,14,3,3,66,258,0,0,2,63,0,13,80,1,0,6,9,5,0,5,5,63,0,1,0
2015-07-01,91,1,5,1,5,1,19,3,3,83,272,0,0,2,66,0,10,88,1,0,7,9,7,1,3,5,71,0,1,1
2015-08-01,96,1,6,0,5,1,20,3,3,93,258,0,0,2,66,0,9,70,1,0,7,10,7,0,3,5,71,1,1,1
2015-09-01,90,1,5,0,4,1,17,3,3,92,243,5,0,2,58,0,9,66,1,0,6,9,5,1,7,5,60,0,1,1
2015-10-01,84,1,3,0,4,1,13,2,3,80,234,0,0,1,55,0,10,58,1,0,6,9,5,0,5,4,56,0,1,0
2015-11-01,82,1,4,1,3,1,13,2,3,77,234,0,0,1,54,0,9,57,1,0,6,8,5,0,2,5,57,1,1,0
2015-12-01,89,2,4,0,4,1,15,3,3,84,243,0,0,1,62,0,9,61,0,0,6,9,5,1,2,5,59,0,1,1
2016-01-01,93,1,5,0,5,1,18,2,3,99,258,0,0,2,62,0,9,66,1,0,6,10,6,0,3,5,64,0,1,1
2016-02-01,86,1,4,1,4,2,17,2,3,112,234,0,0,1,54,0,7,64,1,0,5,9,6,1,6,5,55,0,1,0
2016-03-01,85,1,5,1,4,1,14,2,3,98,234,5,0,1,51,0,9,73,1,0,5,9,7,1,5,5,55,0,1,0
2016-04-01,83,2,6,1,4,1,15,2,3,92,243,5,0,1,52,0,9,77,1,1,5,9,6,1,2,5,52,1,1,0
2016-05-01,86,1,7,1,4,1,15,2,3,100,248,0,0,1,53,0,9,80,1,0,5,9,6,1,2,4,55,0,1,0
2016-06-01,92,1,6,1,4,1,21,2,3,138,258,5,0,2,55,0,9,87,1,0,6,9,7,1,4,4,63,0,1,0
2016-07-01,98,1,6,1,5,2,21,2,3,147,277,5,1,2,57,0,9,98,1,0,6,12,8,1,7,4,66,0,1,0
2016-08-01,97,1,5,1,4,1,16,2,3,111,258,5,0,2,57,1,9,87,1,0,5,11,7,1,3,5,63,0,1,0
2016-09-01,96,1,4,1,3,1,16,2,3,108,262,5,0,2,54,0,9,76,1,0,5,10,4,1,2,4,57,0,1,0
2016-10-01,91,1,5,1,4,1,17,2,3,130,253,5,0,2,52,0,9,80,1,0,5,10,6,1,3,3,54,0,1,0
2016-11-01,93,1,5,1,3,2,20,2,3,150,258,5,0,1,54,0,7,74,1,0,6,9,7,1,9,4,55,0,1,0
2016-12-01,97,1,6,1,4,2,17,2,3,138,253,5,0,1,59,0,9,90,1,0,5,11,7,1,3,4,57,0,1,0
2017-01-01,100,1,5,1,4,2,18,2,3,139,272,0,0,2,59,0,10,90,1,0,6,10,7,1,3,5,64,0,1,0
