date,how to delete facebook,how to delete a snapchat account,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel,delete account instagram,how to unfollow someone on instagram,how to delete gmail,how to change facebook privacy settings,how to delete youtube,how to delete a twitter account,how to delete snapchat,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to unfriend someone on facebook,private twitter account,how to delete twitter
2014-02-01,55,1,1,0,3,0,1,10,0,18,0,12,2,9,1,2,1,0,1,11
2014-03-01,53,1,1,0,3,1,1,9,0,18,0,13,2,10,1,2,1,1,2,12
2014-04-01,52,1,1,0,3,0,1,8,1,19,0,12,2,11,1,2,1,1,2,11
2014-05-01,53,1,1,0,4,0,0,8,0,17,0,12,1,28,1,2,1,1,1,11
2014-06-01,57,1,1,0,3,0,1,12,0,18,0,12,2,14,1,2,1,1,1,11
2014-07-01,58,1,1,1,3,1,1,13,1,19,0,14,2,12,1,2,1,0,1,12
2014-08-01,62,1,1,0,4,1,1,10,0,20,0,15,2,11,1,2,1,0,1,13
2014-09-01,55,1,1,0,4,1,0,7,0,20,0,13,2,12,1,2,1,0,1,11
2014-10-01,51,1,1,0,3,1,0,8,0,19,0,13,2,12,1,2,1,0,1,11
2014-11-01,50,1,1,0,3,1,1,10,0,18,0,13,2,13,1,2,1,0,1,11
2014-12-01,52,1,1,0,3,1,1,12,1,17,0,14,2,15,1,2,1,0,1,12
2015-01-01,54,1,1,0,3,0,1,12,0,17,0,14,2,18,1,2,1,0,1,13
2015-02-01,51,1,1,0,3,1,1,10,0,17,0,12,2,16,1,2,1,0,1,12
2015-03-01,50,1,1,0,3,1,1,10,0,17,0,12,2,14,1,2,1,0,1,12
2015-04-01,48,1,1,0,4,0,1,11,0,17,0,12,2,14,1,2,1,1,1,12
2015-05-01,50,1,1,0,3,0,1,12,0,17,0,12,2,15,1,2,1,1,1,12
2015-06-01,54,1,1,1,3,1,1,13,0,18,0,13,3,16,1,2,1,1,1,13
2015-07-01,57,1,1,0,4,1,1,17,0,18,0,13,2,18,1,2,1,1,1,14
2015-08-01,54,1,1,0,4,1,1,19,0,19,0,13,2,14,1,2,1,1,1,14
2015-09-01,50,1,1,0,3,1,1,18,1,18,0,12,2,13,1,2,1,1,1,12
2015-10-01,49,1,1,0,3,0,0,16,0,17,0,11,2,12,1,2,1,1,1,11
2015-11-01,48,1,1,0,3,0,0,16,0,16,0,11,2,11,1,2,1,0,1,12
2015-12-01,50,1,1,0,3,1,1,17,0,18,0,13,2,12,1,2,1,0,1,12
2016-01-01,53,1,1,0,4,0,1,20,0,19,0,13,2,13,1,2,1,1,1,13
2016-02-01,48,1,1,0,3,0,1,23,1,17,0,11,1,13,1,2,1,1,1,11
2016-03-01,49,1,1,0,3,0,1,20,1,17,0,10,2,15,1,2,1,1,1,11
2016-04-01,51,1,1,0,3,0,1,18,1,17,0,10,2,16,1,2,1,0,1,10
2016-05-01,51,1,1,0,3,0,1,20,0,17,0,11,2,16,1,2,1,0,1,11
2016-06-01,54,1,1,0,4,0,1,28,1,19,0,11,2,18,1,2,1,1,1,13
2016-07-01,57,1,1,0,4,0,1,30,1,20,0,12,2,20,1,2,2,1,1,13
2016-08-01,53,1,1,0,3,0,1,22,1,20,0,11,2,17,1,2,1,1,1,13
2016-09-01,54,1,1,0,3,0,1,22,0,19,0,11,2,15,1,2,1,0,1,11
2016-10-01,53,1,1,0,3,1,1,26,0,18,0,10,2,16,1,2,1,1,1,11
2016-11-01,54,1,1,0,4,0,1,30,1,19,0,11,1,15,1,2,1,2,1,11
2016-12-01,52,1,1,0,4,0,1,28,1,20,0,12,2,18,1,2,2,1,1,11
2017-01-01,56,1,1,0,4,0,1,28,1,20,0,12,2,18,1,2,1,1,1,13
