date,how to change facebook privacy settings,search without history,government monitoring social media,how to delete a snapchat account,who can see my snapchat story,google hangouts privacy,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,encrypted phone calls,best anonymous browser,best private messaging app,how to browse anonymously,delete hangout history
2014-02-01,34,22,5,60,7,4,116,38,277,53,12,3,114,198,68,7,7,7,1,13,11
2014-03-01,31,19,3,78,6,6,113,26,283,53,14,0,126,203,62,4,8,8,2,19,13
2014-04-01,41,21,2,65,13,7,113,30,330,48,10,0,124,184,70,5,4,5,2,15,10
2014-05-01,33,18,3,103,11,2,102,38,359,42,10,3,114,189,57,17,4,8,1,10,12
2014-06-01,40,18,2,91,10,4,111,50,330,48,12,3,110,163,73,5,7,6,3,19,9
2014-07-01,33,22,5,79,13,4,135,56,306,48,7,3,147,212,96,4,7,6,2,23,12
2014-08-01,47,19,6,63,7,6,138,42,348,53,14,3,142,198,87,5,5,8,3,16,12
2014-09-01,36,23,3,69,11,4,100,28,324,65,10,3,128,187,62,7,7,9,4,15,15
2014-10-01,37,26,3,90,10,6,94,23,295,53,10,3,133,184,62,5,5,8,3,16,14
2014-11-01,32,25,3,83,11,2,94,32,306,48,12,0,138,175,76,7,7,8,3,15,15
2014-12-01,27,23,2,103,9,6,106,37,336,48,17,3,126,182,96,5,4,9,3,16,9
2015-01-01,36,21,3,136,10,6,113,44,348,53,14,0,126,187,113,24,5,8,2,16,10
2015-02-01,33,25,2,95,11,6,83,28,330,48,12,3,128,173,84,11,7,6,4,14,11
2015-03-01,38,28,3,99,14,2,106,26,336,53,12,0,107,168,91,8,5,9,2,14,11
2015-04-01,32,25,3,84,14,7,102,30,365,42,12,0,117,163,104,10,8,7,1,19,16
2015-05-01,34,22,2,75,13,4,94,40,300,48,14,5,107,175,93,4,5,6,2,10,14
2015-06-01,36,26,3,86,10,2,102,52,300,48,10,0,119,177,99,7,4,7,2,15,12
2015-07-01,34,25,3,111,23,6,95,26,377,53,12,0,131,184,127,16,5,10,3,18,11
2015-08-01,39,23,2,109,14,2,100,25,412,59,12,3,145,196,133,8,7,14,4,20,14
2015-09-01,30,29,2,83,13,2,85,35,330,53,14,3,119,191,97,14,8,9,1,21,13
2015-10-01,25,22,3,82,13,4,69,30,259,48,17,3,110,168,104,7,5,10,4,18,6
2015-11-01,35,26,3,69,9,2,76,21,265,48,12,0,114,168,97,7,7,10,2,13,8
2015-12-01,29,28,3,94,11,4,88,25,283,48,14,0,114,182,104,10,7,7,4,13,11
2016-01-01,34,26,3,99,14,4,99,32,359,48,19,3,112,200,120,11,5,10,3,14,10
2016-02-01,32,30,3,90,9,2,88,37,342,42,14,3,107,175,119,8,7,7,2,15,7
2016-03-01,31,23,2,95,17,4,78,30,283,42,19,3,96,173,127,14,8,8,3,15,7
2016-04-01,23,29,2,107,19,2,75,19,295,42,17,26,96,170,120,19,8,10,2,9,9
2016-05-01,28,28,2,118,17,0,83,18,300,42,21,5,98,173,125,17,7,5,5,8,5
2016-06-01,33,23,2,125,14,4,88,28,412,48,21,5,107,173,144,27,8,9,1,12,5
2016-07-01,33,26,2,130,19,6,102,44,395,53,21,5,117,233,154,20,7,8,2,13,5
2016-08-01,28,30,2,109,19,4,83,26,318,53,21,3,110,214,127,17,7,8,5,12,6
2016-09-01,29,25,2,103,17,2,76,23,324,53,17,3,100,198,107,17,10,7,4,13,5
2016-10-01,29,25,3,96,19,4,73,26,336,48,17,3,114,194,131,19,5,6,5,13,5
2016-11-01,33,29,3,102,15,4,68,32,377,48,19,0,105,184,136,24,5,7,5,13,5
2016-12-01,29,26,2,111,17,2,87,35,348,48,17,3,112,219,150,13,7,6,3,15,5
2017-01-01,30,30,2,123,23,2,87,35,371,48,21,3,114,205,142,13,7,9,5,15,5
