date,delete account instagram,search without history,how to delete a snapchat account,who can see my snapchat story,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel,how to change instagram privacy settings,how to delete facebook,how to unfollow someone on instagram,how to delete gmail,how to change facebook privacy settings,how to delete youtube,how to delete a twitter account,how to delete snapchat,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,how to unfriend someone on facebook,private twitter account,how to delete twitter,how to browse anonymously,delete hangout history
2013-05-01,25,1,1,0,4,1,11,2,2,0,204,0,49,2,44,5,13,0,0,3,5,2,0,2,4,32,0,0
2013-06-01,36,1,2,0,5,0,11,2,2,0,204,0,51,2,45,5,17,0,0,4,5,3,0,2,4,36,1,0
2013-07-01,26,1,2,0,6,1,14,2,2,0,207,4,53,2,48,5,16,0,0,4,6,2,0,4,5,41,0,0
2013-08-01,25,1,2,0,6,1,14,2,3,0,207,0,55,1,49,5,15,1,0,4,6,2,0,2,4,40,1,0
2013-09-01,23,1,1,0,5,1,10,1,2,1,190,0,54,1,43,5,13,0,0,4,5,2,0,2,4,35,1,0
2013-10-01,25,0,2,0,4,0,10,1,2,0,180,0,53,2,40,4,29,0,0,4,6,2,0,1,4,33,0,0
2013-11-01,21,1,1,0,4,1,11,2,2,0,180,0,51,1,41,4,26,0,0,4,6,1,0,3,4,32,0,0
2013-12-01,20,1,2,0,4,1,14,2,2,0,190,0,60,1,43,5,32,0,0,5,7,2,0,4,5,36,1,0
2014-01-01,28,1,3,0,4,1,11,2,2,0,197,0,66,1,45,6,44,1,0,4,7,2,0,2,5,40,0,0
2014-02-01,33,1,2,0,4,1,10,2,2,0,184,0,61,1,40,6,32,0,0,4,6,2,0,1,5,38,0,0
2014-03-01,29,1,2,0,4,1,9,2,2,0,177,0,60,1,42,5,33,0,0,4,7,2,0,2,6,39,1,0
2014-04-01,26,1,2,0,4,1,11,2,2,0,174,4,61,1,41,5,35,0,0,4,6,2,0,3,6,36,0,0
2014-05-01,26,1,3,0,3,1,12,1,2,0,177,0,57,1,40,5,92,0,0,3,6,2,0,4,4,36,0,0
2014-06-01,41,1,3,0,4,2,11,1,2,0,190,0,61,1,41,6,49,1,0,3,6,3,0,2,4,38,1,0
2014-07-01,42,1,3,0,5,2,11,2,2,0,194,4,62,1,46,7,41,0,0,4,7,3,0,2,4,40,1,0
2014-08-01,34,1,2,0,4,2,12,2,2,0,207,0,66,1,49,6,38,0,0,5,7,3,0,2,5,42,1,0
2014-09-01,24,1,2,0,3,1,12,2,2,0,184,0,65,1,44,5,40,0,0,4,6,2,0,1,4,36,0,0
2014-10-01,26,1,3,0,3,1,11,2,2,0,170,0,62,1,42,6,41,0,0,4,6,3,0,1,4,35,1,0
2014-11-01,34,1,3,0,3,1,11,2,2,0,167,0,60,1,43,6,44,0,0,4,6,3,0,1,4,37,1,0
2014-12-01,40,1,3,0,3,1,11,2,2,0,174,4,57,1,47,6,50,1,0,4,6,3,0,1,4,39,1,0
2015-01-01,41,1,5,0,4,2,12,2,2,0,180,0,57,1,45,7,62,0,0,4,6,4,1,1,4,42,1,0
2015-02-01,35,1,3,0,3,1,11,2,2,0,170,0,56,1,40,6,54,0,0,4,6,3,0,1,3,39,0,1
2015-03-01,34,1,3,0,3,1,11,2,2,0,167,0,56,1,39,5,46,0,0,4,5,3,0,2,3,40,1,0
2015-04-01,38,1,3,0,3,1,13,2,2,0,160,0,56,1,40,6,48,0,0,3,5,4,0,2,3,41,1,0
2015-05-01,41,1,2,0,3,1,10,2,2,0,167,0,56,1,40,6,49,0,0,4,6,3,0,4,3,39,0,0
2015-06-01,44,1,3,0,3,2,10,2,2,0,180,0,58,1,42,8,54,0,0,4,6,3,0,3,3,42,0,0
2015-07-01,55,1,3,1,3,1,12,2,2,0,190,0,61,1,44,6,60,1,0,5,6,5,1,2,3,48,1,0
2015-08-01,62,1,4,0,3,1,13,2,2,0,180,0,64,1,44,5,47,1,0,5,6,5,0,2,3,47,1,0
2015-09-01,61,1,3,0,3,1,11,2,2,0,167,4,60,1,39,5,45,1,0,4,6,4,1,4,3,40,1,0
2015-10-01,53,1,2,0,3,1,9,2,2,0,164,0,56,1,37,6,39,0,0,4,6,4,0,3,3,37,1,0
2015-11-01,51,1,3,0,2,1,9,1,2,0,160,0,55,1,36,6,38,0,0,4,5,3,0,1,4,38,0,0
2015-12-01,56,1,3,0,3,1,10,2,2,0,167,0,59,1,41,6,42,0,0,4,6,3,0,1,3,39,0,0
2016-01-01,66,1,3,0,3,1,12,1,2,0,177,0,62,1,42,6,45,1,0,4,7,4,0,2,3,43,0,0
2016-02-01,75,1,3,0,3,1,12,2,2,0,160,4,58,1,36,4,43,1,0,4,6,4,0,4,3,37,0,0
2016-03-01,65,1,3,0,3,1,10,1,2,0,164,4,57,1,34,5,50,1,0,3,6,5,1,3,4,37,0,0
2016-04-01,61,1,4,1,3,1,10,1,2,0,170,4,56,1,35,6,52,1,1,3,6,4,1,1,3,35,0,0
2016-05-01,67,1,4,1,3,1,10,1,2,0,170,0,57,1,36,5,55,1,0,3,6,4,1,1,3,37,0,0
2016-06-01,92,1,4,0,3,1,14,2,2,0,180,4,61,1,37,5,59,1,0,4,6,5,1,3,3,42,0,0
2016-07-01,98,1,4,1,3,1,14,2,2,0,190,4,65,1,38,6,67,1,0,4,8,6,1,5,3,44,0,0
2016-08-01,74,1,3,0,3,1,11,1,2,0,177,4,65,1,38,6,59,1,0,3,7,5,1,2,3,42,0,0
2016-09-01,72,1,3,1,2,1,11,2,2,0,180,0,64,1,36,5,51,1,0,3,6,3,0,2,3,38,0,0
2016-10-01,87,1,3,1,3,1,11,2,2,0,177,0,61,1,35,5,54,0,0,3,7,4,1,2,2,36,1,0
2016-11-01,100,1,3,0,2,1,13,2,2,0,180,4,62,1,36,5,50,1,0,4,6,5,1,6,2,37,0,0
2016-12-01,92,1,4,1,3,1,12,2,2,0,174,4,65,1,39,5,60,1,0,4,7,5,0,2,3,38,1,0
2017-01-01,93,1,4,1,3,1,12,1,2,0,187,4,67,1,39,6,61,1,0,4,7,5,0,2,3,43,1,0
