date,how to delete snapchat,search without history,how to delete a snapchat account,who can see my snapchat story,how to delete a youtube account,how to unfollow someone on facebook,how to delete a facebook account,how to uninstall gmail,youtube private channel,delete account instagram,how to delete facebook,how to unfollow someone on instagram,how to delete gmail,how to unfollow someone on snapchat,how to change facebook privacy settings,how to delete youtube,how to delete a twitter account,how to uninstall instagram,how to encrypt whatsapp messages,how to uninstall youtube,how to delete a google account,how to delete a instagram account,how to uninstall snapchat,how to unfriend someone on facebook,private twitter account,how to delete twitter,how to browse anonymously,delete hangout history
2013-11-01,28,1,2,0,4,1,12,2,3,23,193,0,56,0,1,45,4,0,0,5,6,1,0,4,5,35,0,0
2013-12-01,34,1,3,0,5,1,15,2,3,22,204,0,65,0,1,47,5,1,0,5,8,3,0,5,5,39,1,0
2014-01-01,47,1,3,0,5,2,13,2,3,31,211,0,71,0,2,50,6,1,0,5,8,3,0,2,5,44,1,0
2014-02-01,34,1,2,0,4,1,10,2,3,36,197,0,66,0,1,44,7,0,0,4,7,2,0,2,5,41,1,0
2014-03-01,36,1,2,0,4,1,10,2,3,32,190,0,66,0,1,47,6,0,0,4,7,2,0,2,6,42,1,0
2014-04-01,39,1,3,0,4,1,12,2,3,29,186,4,67,0,1,45,6,1,0,4,7,3,0,4,6,39,1,0
2014-05-01,100,1,4,0,4,1,13,2,3,29,190,0,62,0,1,43,5,0,0,4,6,2,1,4,5,39,0,0
2014-06-01,52,1,3,0,4,2,11,2,3,45,204,0,66,0,1,46,6,1,0,4,6,3,0,2,4,41,1,0
2014-07-01,44,1,3,0,5,2,11,2,3,46,208,4,68,0,1,52,7,0,0,5,8,3,0,2,5,44,1,0
2014-08-01,41,1,2,0,5,2,13,2,3,37,222,0,72,0,1,55,7,0,0,5,8,3,0,2,5,45,1,0
2014-09-01,42,1,2,0,3,1,13,2,3,27,197,0,71,0,1,49,6,0,0,5,7,2,0,1,5,39,0,0
2014-10-01,44,1,3,0,4,1,12,2,3,29,183,0,68,0,1,47,6,0,0,5,6,3,0,1,4,38,1,0
2014-11-01,48,1,3,0,3,1,12,2,3,37,179,0,66,0,1,47,6,0,0,5,7,3,0,1,4,40,1,1
2014-12-01,55,1,4,0,4,1,12,2,3,44,186,4,62,0,1,51,6,1,0,4,7,3,0,1,5,43,1,0
2015-01-01,65,1,5,0,4,2,13,2,3,45,193,0,62,0,1,49,8,0,0,5,7,4,1,1,4,46,1,0
2015-02-01,57,1,3,0,3,1,12,2,3,39,183,0,61,0,1,45,6,0,0,5,6,3,0,1,3,42,1,1
2015-03-01,49,1,4,1,3,1,12,2,3,37,179,0,61,0,1,43,6,1,0,4,6,3,0,2,3,44,1,0
2015-04-01,51,1,3,1,3,1,14,2,3,42,172,0,61,0,1,44,6,1,0,4,5,4,0,2,3,45,1,1
2015-05-01,53,1,2,0,3,2,11,2,3,45,179,0,61,0,1,44,6,1,0,4,6,3,0,4,3,43,0,0
2015-06-01,58,1,3,0,4,2,11,2,3,48,193,0,63,0,1,46,9,1,0,4,7,3,0,3,3,46,0,0
2015-07-01,64,1,4,1,3,1,13,2,3,60,204,0,66,0,1,48,7,1,0,5,7,5,1,2,4,52,1,0
2015-08-01,51,1,4,0,4,1,15,2,3,68,193,0,70,0,1,48,6,1,0,5,7,5,0,2,4,51,1,1
2015-09-01,48,1,3,0,3,1,13,2,3,67,179,4,65,0,1,44,6,1,0,4,7,4,1,5,4,44,1,0
2015-10-01,42,1,3,0,3,1,9,2,3,58,175,0,61,0,1,41,7,1,0,4,6,4,0,4,3,41,1,0
2015-11-01,41,1,3,0,2,1,10,1,3,56,172,0,59,0,1,40,6,0,0,4,6,3,0,2,4,42,0,0
2015-12-01,44,1,3,0,3,1,11,2,3,61,179,0,64,0,1,46,6,0,0,4,7,4,0,2,3,43,0,0
2016-01-01,48,1,3,0,4,1,13,2,3,72,190,0,67,0,1,46,6,1,0,4,8,5,0,2,4,46,0,0
2016-02-01,46,1,3,0,3,1,12,2,3,82,172,4,63,0,1,39,5,1,0,4,7,4,0,4,3,40,0,0
2016-03-01,53,1,3,0,3,1,10,2,3,71,175,4,62,0,1,38,6,1,0,4,6,5,1,4,4,40,0,0
2016-04-01,56,1,4,1,3,1,11,1,3,67,183,4,61,0,1,38,6,1,1,4,7,4,1,2,3,38,0,0
2016-05-01,58,1,5,1,3,1,11,2,3,73,183,0,62,0,1,39,6,1,0,4,6,4,1,1,3,40,0,0
2016-06-01,63,1,4,0,3,1,15,2,3,100,193,4,67,0,1,40,6,1,0,4,6,5,1,3,3,46,0,0
2016-07-01,71,1,4,1,3,2,15,2,3,107,204,4,71,1,1,42,6,1,0,4,9,6,1,5,3,48,1,0
2016-08-01,63,1,4,0,3,1,12,2,3,81,190,4,71,0,1,43,6,1,0,4,8,5,1,2,3,45,0,0
2016-09-01,55,1,3,1,3,1,12,2,3,79,193,0,70,0,1,39,6,1,0,3,7,3,0,2,3,41,0,0
2016-10-01,58,1,3,1,3,1,12,2,3,95,190,0,67,0,1,38,6,0,0,4,7,4,1,2,2,39,1,0
2016-11-01,54,1,4,0,2,1,14,2,3,109,193,4,67,0,1,40,5,1,0,4,7,5,1,6,3,40,0,0
2016-12-01,65,1,4,1,3,2,12,2,3,100,186,4,71,0,1,43,6,0,0,4,8,6,0,3,3,41,1,0
2017-01-01,65,1,4,1,3,1,13,2,3,102,200,4,73,0,1,43,7,1,0,4,8,5,1,2,3,47,1,0
